Month,Agency,Police Force,Felony Type,Felony Count,Crimes per Million Riders
2019-01-01,NYCT,NYPD,Burglary,1,0.01
2019-01-01,NYCT,NYPD,Felony Assault,30,0.16
2019-01-01,NYCT,NYPD,Murder,0,0.0
2019-01-01,NYCT,NYPD,Rape,1,0.01
2019-01-01,NYCT,NYPD,Robbery,34,0.18
2019-01-01,NYCT,NYPD,Grand Larceny,129,0.68
2019-02-01,NYCT,NYPD,Burglary,1,0.01
2019-02-01,NYCT,NYPD,Felony Assault,27,0.15
2019-02-01,NYCT,NYPD,Murder,1,0.01
2019-02-01,NYCT,NYPD,Rape,0,0.0
2019-02-01,NYCT,NYPD,Robbery,50,0.28
2019-02-01,NYCT,NYPD,Grand Larceny,113,0.64
2019-03-01,NYCT,NYPD,Burglary,0,0.0
2019-03-01,NYCT,NYPD,Felony Assault,33,0.16
2019-03-01,NYCT,NYPD,Murder,0,0.0
2019-03-01,NYCT,NYPD,Rape,0,0.0
2019-03-01,NYCT,NYPD,Robbery,33,0.16
2019-03-01,NYCT,NYPD,Grand Larceny,107,0.53
2019-04-01,NYCT,NYPD,Burglary,0,0.0
2019-04-01,NYCT,NYPD,Felony Assault,31,0.15
2019-04-01,NYCT,NYPD,Murder,0,0.0
2019-04-01,NYCT,NYPD,Rape,0,0.0
2019-04-01,NYCT,NYPD,Robbery,35,0.17
2019-04-01,NYCT,NYPD,Grand Larceny,112,0.55
2019-05-01,NYCT,NYPD,Burglary,0,0.0
2019-05-01,NYCT,NYPD,Felony Assault,35,0.17
2019-05-01,NYCT,NYPD,Murder,0,0.0
2019-05-01,NYCT,NYPD,Rape,1,0.0
2019-05-01,NYCT,NYPD,Robbery,37,0.18
2019-05-01,NYCT,NYPD,Grand Larceny,126,0.6
2019-06-01,NYCT,NYPD,Burglary,0,0.0
2019-06-01,NYCT,NYPD,Felony Assault,22,0.11
2019-06-01,NYCT,NYPD,Murder,0,0.0
2019-06-01,NYCT,NYPD,Rape,0,0.0
2019-06-01,NYCT,NYPD,Robbery,46,0.23
