date,mode,count,count_sa,count_ma90,count_sa_ma90
2023-01-01,Subway,1675507,3407188.9642008324,1675507.0,3407188.9642008324
2023-01-02,Subway,1938154,2881522.5485951845,1806830.5,3144355.756398008
2023-01-03,Subway,3175777,3012433.6698633367,2263146.0,3100381.727553118
2023-01-04,Subway,3413052,3108331.5723476936,2550622.5,3102369.188751762
2023-01-05,Subway,3428520,3108516.7642435078,2726202.0,3103598.703850111
2023-01-06,Subway,3229858,3183428.9701351034,2810144.6666666665,3116903.748230943
2023-01-07,Subway,2116138,3200380.834093231,2711000.8571428573,3128829.0462112697
2023-01-08,Subway,1610764,2880796.442266343,2573471.25,3097824.970718154
2023-01-09,Subway,3145743,3401457.696147163,2637057.0,3131561.940210266
2023-01-10,Subway,3469177,3193579.111211793,2720269.0,3137763.657310419
2023-01-11,Subway,3508962,3066382.26842877,2791968.3636363638,3131274.4401393603
2023-01-12,Subway,3472709,3068949.622216291,2848696.75,3126080.705312438
2023-01-13,Subway,3270020,3117628.6884429306,2881106.230769231,3125430.5501686293
2023-01-14,Subway,2072387,3085954.0555391368,2823340.5714285714,3122610.800552237
2023-01-15,Subway,1705804,3411745.026901246,2748838.1333333333,3141886.4156421707
2023-01-16,Subway,2172218,3127082.3463318315,2712799.375,3140961.1613102746
2023-01-17,Subway,3451604,3153956.8014865927,2756258.470588235,3141725.6107324106
2023-01-18,Subway,3603344,3146157.529673532,2803318.777777778,3141971.8284513624
2023-01-19,Subway,3492226,3165570.8388790633,2839577.052631579,3143213.8816317674
2023-01-20,Subway,3375887,3181679.749295921,2866392.55,3145137.1750149755
2023-01-21,Subway,2137169,2976902.2334096297,2831667.619047619,3137125.9873194825
2023-01-22,Subway,1593386,2971845.5413408186,2775382.090909091,3129613.239774998
2023-01-23,Subway,3135214,3108876.389965456,2791026.9565217393,3128711.637609366
2023-01-24,Subway,3566756,3149216.4365789504,2823349.0,3129566.004233098
2023-01-25,Subway,3511071,3123580.5926877693,2850857.88,3129326.5877712853
2023-01-26,Subway,3629029,3147327.328731239,2880787.5384615385,3130018.9239620524
2023-01-27,Subway,3335372,3113409.026282844,2897624.0,3129403.7425665264
2023-01-28,Subway,2248107,3247742.0166373947,2874426.964285714,3133630.1094976286
2023-01-29,Subway,1637398,3073583.840907743,2831770.793103448,3131559.5485117706
2023-01-30,Subway,3223530,3053051.584491722,2844829.433333333,3128942.616377769
2023-01-31,Subway,3654404,3152753.4698098125,2870944.7419354836,3129710.7084239637
2023-02-01,Subway,3682758,3116767.9654131383,2896313.90625,3129306.2477048757
2023-02-02,Subway,3699932,3133330.2014445,2920665.9696969697,3129428.1856969856
2023-02-03,Subway,3189550,3080809.816078005,2928574.3235294116,3127998.2336493684
2023-02-04,Subway,1742435,3123756.706915537,2894684.6285714284,3127877.047171259
2023-02-05,Subway,1625375,3036286.339682644,2859426.027777778,3125332.8608521307
2023-02-06,Subway,3372445,3087126.725051317,2873291.4054054054,3124300.262587244
2023-02-07,Subway,3738539,3102863.1152270446,2896061.0789473685,3123736.1271303967
2023-02-08,Subway,3780682,3141281.0930752675,2918743.6666666665,3124185.9980520597
2023-02-09,Subway,3754859,3121034.536351136,2939646.55,3124107.211509537
2023-02-10,Subway,3539529,3120569.827175865,2954277.8292682925,3124020.933842862
2023-02-11,Subway,2333625,3217795.8496183427,2939500.380952381,3126253.6699327542
2023-02-12,Subway,1746099,3097874.752314167,2911746.8604651163,3125593.6951044155
2023-02-13,Subway,3303337,3552739.8869839683,2920646.6363636362,3135301.5631016777
2023-02-14,Subway,3812943,3131429.379827452,2940475.4444444445,3135215.5145844724
2023-02-15,Subway,3762817,3145359.284057731,2958352.434782609,3135436.0313121523
2023-02-16,Subway,3683782,3097158.759590601,2973787.1063829786,3134621.621275523
2023-02-17,Subway,3253165,3130372.223395762,2979607.4791666665,3134533.092153028
2023-02-18,Subway,2271106,2966325.812437271,2965148.2653061226,3131100.290526176
2023-02-19,Subway,1824136,3421490.141454092,2942328.02,3136908.0875447346
2023-02-20,Subway,2238557,2957436.3212730777,2928528.588235294,3133389.033304114
2023-02-21,Subway,3325542,3132672.9964295058,2936163.4615384615,3133375.2633642177
2023-02-22,Subway,3454362,3127418.991815431,2945940.7924528304,3133262.880882165
2023-02-23,Subway,3498367,3186925.422111665,2956170.907407407,3134256.631645674
2023-02-24,Subway,3246699,3091278.7899818844,2961453.2363636363,3133475.2163426965
2023-02-25,Subway,2043635,3175047.9364885464,2945063.625,3134217.5863453005
2023-02-26,Subway,1625191,3062061.465511648,2921907.964912281,3132951.6894885697
2023-02-27,Subway,3337916,3108759.4814396217,2929080.5172413792,3132534.582453243
2023-02-28,Subway,3412079,3134905.190004454,2937266.9322033897,3132574.7622422464
2023-03-01,Subway,3780713,3140328.4292115984,2951324.3666666667,3132703.990025069
2023-03-02,Subway,3765925,3139597.384878632,2964678.475409836,3132816.9964980786
2023-03-03,Subway,3481830,3190542.5627210066,2973019.629032258,3133748.054017803
2023-03-04,Subway,2173217,3134119.11029463,2960324.3492063493,3133753.943799975
2023-03-05,Subway,1772121,3073006.4683182193,2941758.671875,3132804.7644955725
2023-03-06,Subway,3427019,3131252.6523139593,2949224.2153846156,3132780.8858466246
2023-03-07,Subway,3773780,3172726.2135383515,2961717.484848485,3133386.1180843785
2023-03-08,Subway,3842861,3155227.9460083894,2974868.880597015,3133712.11551608
2023-03-09,Subway,3827656,3107161.4936677376,2987409.867647059,3133321.6651947806
2023-03-10,Subway,3502339,3179988.999775101,2994872.6086956523,3133998.003377104
2023-03-11,Subway,2230530,3202532.3959851274,2983953.4285714286,3134977.0661286474
2023-03-12,Subway,1773585,3105111.714086733,2966905.9859154928,3134556.4273674935
2023-03-13,Subway,3352388,3105740.416901115,2972259.902777778,3134156.204999905
2023-03-14,Subway,3577250,3092788.4885981316,2980547.4383561644,3133589.523953305
2023-03-15,Subway,3912366,3122935.314850221,2993139.581081081,3133445.548154615
2023-03-16,Subway,3949788,3145368.2766470294,3005894.8933333335,3133604.5178678473
2023-03-17,Subway,3661519,3086657.7619891753,3014521.5263157897,3132986.7973957597
2023-03-18,Subway,2417873,3152444.355678643,3006772.8441558443,3133239.492957875
2023-03-19,Subway,1894476,3143862.458705766,2992512.628205128,3133375.6848264374
2023-03-20,Subway,3442589,3163854.6808693716,2998209.7974683545,3133761.49490293
2023-03-21,Subway,3801084,3153311.515672026,3008245.725,3134005.870162544
2023-03-22,Subway,3797399,3159553.5858055335,3017988.358024691,3134321.274059371
2023-03-23,Subway,3774396,3137349.6725369543,3027212.8414634145,3134358.2057481217
2023-03-24,Subway,3534300,3284229.2426834907,3033322.325301205,3136163.8808919215
2023-03-25,Subway,2153554,3107854.2515893653,3022848.8928571427,3135826.8614954627
2023-03-26,Subway,1939984,3115268.0967599005,3010109.305882353,3135584.9936750443
2023-03-27,Subway,3397258,3117189.255671979,3014611.034883721,3135371.089744776
2023-03-28,Subway,3765920,3108945.7996937064,3023246.7701149425,3135067.3507786714
2023-03-29,Subway,3872948,3160782.6110915835,3032902.465909091,3135359.569645864
2023-03-30,Subway,3860289,3261402.060497829,3042198.9438202246,3136775.7774082455
2023-03-31,Subway,3573735,3095503.5289728353,3048104.9,3136317.1968700746
2023-04-01,Subway,2283533,3085956.7286937917,3054860.7444444443,3132747.949808885
2023-04-02,Subway,1949665,3204592.605299161,3054988.644444444,3136337.617105596
2023-04-03,Subway,3597785,3182386.2267806786,3059677.6222222224,3138225.9788491223
2023-04-04,Subway,3906882,3169102.6458625,3065164.6222222224,3138901.212999287
2023-04-05,Subway,3799965,3105846.660139316,3069291.788888889,3138871.5451759067
2023-04-06,Subway,3421271,3010627.474352719,3071418.6,3136951.5285561024
2023-04-07,Subway,3130675,3056773.194211552,3082691.2333333334,3135355.888112973
2023-04-08,Subway,2393347,3195661.8402206283,3091386.6,3138854.392534687
2023-04-09,Subway,1855826,3139952.283781344,3077054.188888889,3135948.776841734
2023-04-10,Subway,3142740,3053279.9709267346,3073427.111111111,3134389.897505232
2023-04-11,Subway,3537843,3137096.953056417,3073748.011111111,3135175.616223318
2023-04-12,Subway,3576687,3082210.845212695,3074903.322222222,3135322.9631454996
2023-04-13,Subway,3628304,3070285.1858214084,3078884.2555555557,3134796.9242274826
2023-04-14,Subway,3471420,3129149.970030883,3094429.066666667,3135276.878832947
2023-04-15,Subway,2365464,3092475.766799655,3101758.6222222224,3131729.4426095956
2023-04-16,Subway,1864753,3026231.157943215,3098342.3444444444,3130608.8738497226
2023-04-17,Subway,3418834,3048218.663807136,3097978.2333333334,3129434.005653284
2023-04-18,Subway,3862133,3077886.587729445,3100853.6666666665,3128675.439631683
2023-04-19,Subway,3927706,3100946.211702551,3105692.3333333335,3127957.388218611
2023-04-20,Subway,4002433,3179416.481783517,3112653.9555555554,3127932.240801806
2023-04-21,Subway,3492257,3128873.7571962043,3127710.488888889,3129620.813288323
2023-04-22,Subway,2506140,3189118.8730859202,3137852.2,3132034.9614188247
2023-04-23,Subway,1923243,3256176.766220335,3124385.855555556,3133671.632266101
2023-04-24,Subway,3561262,3296212.2505856813,3124324.811111111,3135304.9190883986
2023-04-25,Subway,3956922,3291792.7045988534,3129278.711111111,3137173.942554077
2023-04-26,Subway,3994837,3285526.236306443,3133343.2444444443,3138709.4859715793
2023-04-27,Subway,3999831,3237155.1133748647,3140726.1222222224,3140084.442494824
2023-04-28,Subway,3703088,3210801.2278931537,3156892.577777778,3139673.9892865545
2023-04-29,Subway,2179978,3104522.6632892024,3162921.2444444443,3140017.7539796815
2023-04-30,Subway,1744098,3199036.6033712714,3146483.111111111,3141639.8097450105
2023-05-01,Subway,3664755,3282173.2936238195,3146598.1222222224,3143077.807787388
2023-05-02,Subway,3961858,3168013.9667066885,3149699.2333333334,3143647.207801761
2023-05-03,Subway,4030601,3175536.953319813,3153373.3333333335,3144116.1717114868
2023-05-04,Subway,3985001,3148584.2459101346,3162211.677777778,3144869.220931844
2023-05-05,Subway,3759375,3170818.58515939,3184622.1222222224,3145392.1306901085
2023-05-06,Subway,2563102,3250480.673409787,3195041.311111111,3147772.067731521
2023-05-07,Subway,2033790,3098164.089846895,3180167.3666666667,3147894.7051181383
2023-05-08,Subway,3563340,3135243.9591331496,3178220.711111111,3148254.4922726504
2023-05-09,Subway,3925555,3147786.1260785805,3179830.4111111113,3148326.770417132
2023-05-10,Subway,4014009,3122832.0550768906,3182709.855555556,3148346.742847419
2023-05-11,Subway,4015942,3191288.3035430615,3188003.3333333335,3149132.5036959425
2023-05-12,Subway,3723192,3131725.264966772,3203442.966666667,3148176.163866481
2023-05-13,Subway,2487178,3269072.0860969215,3211677.177777778,3150078.3564640675
2023-05-14,Subway,1926966,3001737.181441853,3196384.1666666665,3143956.1041802657
2023-05-15,Subway,3553443,3127064.646289349,3193500.8333333335,3143907.6071409537
2023-05-16,Subway,4002015,3135773.824359279,3196158.5888888887,3143801.102033193
2023-05-17,Subway,4104786,3131347.0295450175,3200836.4111111113,3144180.971699353
2023-05-18,Subway,4082154,3151903.1017495766,3210047.4,3144420.2036810615
2023-05-19,Subway,3789929,3151873.6523267496,3226923.211111111,3146481.846346501
2023-05-20,Subway,2314672,3141398.559775651,3232373.611111111,3143369.7176611847
2023-05-21,Subway,2132724,3059946.1462597935,3231197.688888889,3144508.7157165925
2023-05-22,Subway,3571748,3182666.959947596,3233933.311111111,3145064.2042001267
2023-05-23,Subway,3929003,3121086.760756787,3239207.1,3144993.8460772526
2023-05-24,Subway,3960264,3175549.9878080967,3244339.288888889,3144867.4523627693
2023-05-25,Subway,3859385,3166923.746594741,3251146.9111111113,3145707.9518806892
2023-05-26,Subway,3496511,3203610.9448243803,3267289.9777777777,3146025.318639977
2023-05-27,Subway,2375741,2915096.438744465,3275629.422222222,3144392.373898119
2023-05-28,Subway,2029088,3675552.4393773335,3261086.888888889,3150690.0734307608
2023-05-29,Subway,1952779,2994371.6641346095,3244872.4444444445,3149128.5898099844
2023-05-30,Subway,3714864,3135675.4458764675,3244140.788888889,3149076.88999515
2023-05-31,Subway,3911382,3150090.5318139573,3245756.9777777777,3149193.480516653
2023-06-01,Subway,3894167,3155682.4435542664,3250338.5,3148806.1458592447
2023-06-02,Subway,3626490,3188066.6270047636,3266485.9777777777,3149405.5627115793
