Year,Vehicle Type,Fatalities
2025,Pedestrians,111
2024,Pedestrians,122
2023,Pedestrians,104
2022,Pedestrians,124
2021,Pedestrians,128
2020,Pedestrians,94
2019,Pedestrians,125
2018,Pedestrians,117
2017,Pedestrians,108
2016,Pedestrians,149
2015,Pedestrians,139
2014,Pedestrians,140
2013,Pedestrians,184
2025,Motor Vehicle Occupants,31
2024,Motor Vehicle Occupants,52
2023,Motor Vehicle Occupants,55
2022,Motor Vehicle Occupants,56
2021,Motor Vehicle Occupants,62
2020,Motor Vehicle Occupants,70
2019,Motor Vehicle Occupants,43
2018,Motor Vehicle Occupants,37
2017,Motor Vehicle Occupants,58
2016,Motor Vehicle Occupants,46
2015,Motor Vehicle Occupants,55
2014,Motor Vehicle Occupants,60
2013,Motor Vehicle Occupants,58
2025,Motorized Two-Wheelers,63
2024,Motorized Two-Wheelers,79
2023,Motorized Two-Wheelers,108
2022,Motorized Two-Wheelers,83
2021,Motorized Two-Wheelers,86
2020,Motorized Two-Wheelers,79
2019,Motorized Two-Wheelers,53
2018,Motorized Two-Wheelers,52
2017,Motorized Two-Wheelers,58
2016,Motorized Two-Wheelers,37
2015,Motorized Two-Wheelers,40
2014,Motorized Two-Wheelers,59
2013,Motorized Two-Wheelers,57
