Month,Category,Amount (in Millions)
2025-01-01,Program Expenses,-11.14
2025-01-01,Toll Revenue,48.66
2025-02-01,Program Expenses,-11.47
2025-02-01,Toll Revenue,51.92
2025-03-01,Program Expenses,-13.28
2025-03-01,Toll Revenue,58.43
2025-04-01,Program Expenses,-10.82
2025-04-01,Toll Revenue,56.73
2025-05-01,Program Expenses,-10.94
2025-05-01,Toll Revenue,61.04
2025-06-01,Program Expenses,-8.72
2025-06-01,Toll Revenue,58.11
2025-07-01,Program Expenses,-8.73
2025-07-01,Toll Revenue,57.46
2025-08-01,Program Expenses,-9.54
2025-08-01,Toll Revenue,57.05
2025-09-01,Program Expenses,-11.72
2025-09-01,Toll Revenue,57.97
2025-10-01,Program Expenses,-8.95
2025-10-01,Toll Revenue,65.82
