category,subcategory,response,percentage
Overall,Overall,Strongly support,35
Overall,Overall,Somewhat support,10
Overall,Overall,Neutral or no opinion,9
Overall,Overall,Somewhat oppose,6
Overall,Overall,Strongly oppose,40
Primary travel mode,Transit/foot/bike,Strongly support,53
Primary travel mode,Transit/foot/bike,Somewhat support,13
Primary travel mode,Transit/foot/bike,Neutral or no opinion,9
Primary travel mode,Transit/foot/bike,Somewhat oppose,7
Primary travel mode,Transit/foot/bike,Strongly oppose,19
Primary travel mode,Driving,Strongly support,11
Primary travel mode,Driving,Somewhat support,8
Primary travel mode,Driving,Neutral or no opinion,1
Primary travel mode,Driving,Somewhat oppose,5
Primary travel mode,Driving,Strongly oppose,74
Borough,Bronx,Strongly support,15
Borough,Bronx,Somewhat support,1
Borough,Bronx,Neutral or no opinion,13
Borough,Bronx,Somewhat oppose,4
Borough,Bronx,Strongly oppose,68
Borough,Brooklyn,Strongly support,41
Borough,Brooklyn,Somewhat support,13
Borough,Brooklyn,Neutral or no opinion,5
Borough,Brooklyn,Somewhat oppose,7
Borough,Brooklyn,Strongly oppose,34
Borough,Manhattan,Strongly support,47
Borough,Manhattan,Somewhat support,10
Borough,Manhattan,Neutral or no opinion,11
Borough,Manhattan,Somewhat oppose,4
Borough,Manhattan,Strongly oppose,28
Borough,Queens,Strongly support,28
Borough,Queens,Somewhat support,12
Borough,Queens,Neutral or no opinion,10
Borough,Queens,Somewhat oppose,6
Borough,Queens,Strongly oppose,45
Borough,Staten Island,Strongly support,7
Borough,Staten Island,Somewhat support,5
Borough,Staten Island,Neutral or no opinion,15
Borough,Staten Island,Somewhat oppose,10
Borough,Staten Island,Strongly oppose,64
Party,DEM,Strongly support,41
Party,DEM,Somewhat support,8
Party,DEM,Neutral or no opinion,9
Party,DEM,Somewhat oppose,5
Party,DEM,Strongly oppose,36
Party,NONE,Strongly support,21
Party,NONE,Somewhat support,18
Party,NONE,Neutral or no opinion,12
Party,NONE,Somewhat oppose,4
Party,NONE,Strongly oppose,44
Party,REP,Strongly support,1
Party,REP,Somewhat support,5
Party,REP,Neutral or no opinion,2
Party,REP,Somewhat oppose,18
Party,REP,Strongly oppose,74
Age,18-34,Strongly support,35
Age,18-34,Somewhat support,4
Age,18-34,Neutral or no opinion,7
Age,18-34,Somewhat oppose,8
Age,18-34,Strongly oppose,47
Age,35-54,Strongly support,33
Age,35-54,Somewhat support,14
Age,35-54,Neutral or no opinion,8
Age,35-54,Somewhat oppose,4
Age,35-54,Strongly oppose,41
Age,55-64,Strongly support,40
Age,55-64,Somewhat support,4
Age,55-64,Neutral or no opinion,15
Age,55-64,Somewhat oppose,4
Age,55-64,Strongly oppose,37
Age,65-74,Strongly support,36
Age,65-74,Somewhat support,3
Age,65-74,Neutral or no opinion,15
Age,65-74,Somewhat oppose,4
Age,65-74,Strongly oppose,43
Age,75 and over,Strongly support,32
Age,75 and over,Somewhat support,31
Age,75 and over,Neutral or no opinion,5
Age,75 and over,Somewhat oppose,10
Age,75 and over,Strongly oppose,22
