Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Kobe Bryant,81,2006-01-22,27-152,LAL,,TOR,W 122-104,*,42,28,46,.609,21,33,.636,7,13,.538,18,20,.900,.739,2,4,6,2,3,1,3,1,81,63.5,33.6,25,G-F,bryanko01
2,Luka Dončić,73,2024-01-26,24-332,DAL,@,ATL,W 148-143,*,45,25,33,.758,17,20,.850,8,13,.615,15,16,.938,.912,0,10,10,7,1,0,4,1,73,64.0,20.7,13,G-F,doncilu01
3,Damian Lillard,71,2023-02-26,32-226,POR,,HOU,W 131-114,*,39,22,38,.579,9,16,.563,13,22,.591,14,14,1.000,.804,1,5,6,6,0,0,2,0,71,57.6,23.5,21,G,lillada01
4,Donovan Mitchell,71,2023-01-02,26-117,CLE,,CHI,W 145-134 (OT),*,50,22,34,.647,15,19,.789,7,15,.467,20,25,.800,.789,3,5,8,11,0,1,4,3,71,60.8,23.0,19,G,mitchdo01
5,David Robinson,71,1994-04-24,28-261,SAS,@,LAC,W 112-97,*,44,26,41,.634,25,39,.641,1,2,.500,18,25,.720,.683,4,10,14,5,0,2,8,2,71,51.8,19.7,,C,robinda01
6,Devin Booker,70,2017-03-24,20-145,PHO,@,BOS,L 120-130,*,45,21,40,.525,17,29,.586,4,11,.364,24,26,.923,.680,2,6,8,6,3,1,5,3,70,54.5,18.5,-6,G,bookede01
7,Joel Embiid,70,2024-01-22,29-312,PHI,,SAS,W 133-123,*,37,24,41,.585,23,39,.590,1,2,.500,21,23,.913,.685,9,9,18,5,1,1,1,2,70,62.5,32.8,11,C,embiijo01
8,Michael Jordan,69,1990-03-28,27-039,CHI,@,CLE,W 117-113 (OT),*,50,23,37,.622,21,31,.677,2,6,.333,21,23,.913,.732,7,11,18,6,4,1,2,5,69,64.6,30.8,,G-F,jordami01
9,Kobe Bryant,65,2007-03-16,28-205,LAL,,POR,W 116-111 (OT),*,50,23,39,.590,15,27,.556,8,12,.667,11,12,.917,.734,1,6,7,3,3,0,2,3,65,50.9,21.4,4,G-F,bryanko01
10,Giannis Antetokounmpo,64,2023-12-13,29-007,MIL,,IND,W 140-126,*,37,20,28,.714,20,25,.800,0,3,.000,24,32,.750,.760,3,11,14,3,4,1,4,1,64,57.0,23.6,29,F-G,antetgi01
11,Michael Jordan,64,1993-01-16,29-334,CHI,,ORL,L 124-128 (OT),*,47,27,49,.551,26,44,.591,1,5,.200,9,11,.818,.594,4,2,6,1,5,0,2,5,64,44.8,19.9,,G-F,jordami01
12,Michael Jordan,63,1986-04-20,23-062,CHI,@,BOS,L 131-135 (2OT),*,53,22,41,.537,22,41,.537,0,0,,19,21,.905,.627,1,4,5,6,3,2,4,4,63,47.2,19.4,,G-F,jordami01
13,Carmelo Anthony,62,2014-01-24,29-240,NYK,,CHA,W 125-96,*,39,23,35,.657,17,24,.708,6,11,.545,10,10,1.000,.787,1,12,13,0,0,0,0,1,62,50.6,24.6,34,F,anthoca01
14,Devin Booker,62,2024-01-26,27-088,PHO,@,IND,L 131-133,*,38,22,37,.595,16,25,.640,6,12,.500,12,13,.923,.726,0,5,5,4,1,2,4,2,62,46.4,14.2,1,G,bookede01
