Season,Team Name,3PA/G,W/L%,average
2024,Boston Celtics,48.2,0.744,False
2025,Boston Celtics,46.0,0.4,False
2018,Houston Rockets,45.4,0.646,False
2019,Houston Rockets,45.3,0.611,False
2025,Cleveland Cavaliers,45.2,0.667,False
2025,New York Knicks,43.6,0.625,False
2025,Phoenix Suns,43.2,0.444,False
2022,Golden State Warriors,43.2,0.537,False
2020,Utah Jazz,43.0,0.722,False
2022,Boston Celtics,42.6,0.695,False
2023,Boston Celtics,42.5,0.78,False
2024,Golden State Warriors,42.4,0.585,False
2017,Houston Rockets,42.3,0.793,False
2025,Portland Trail Blazers,42.1,0.625,False
2025,Golden State Warriors,42.1,0.5,False
2024,Chicago Bulls,42.0,0.476,False
2025,Brooklyn Nets,41.8,0.111,False
2024,Cleveland Cavaliers,41.5,0.78,False
2021,Minnesota Timberwolves,41.3,0.561,False
2019,Dallas Mavericks,41.3,0.573,False
2022,Dallas Mavericks,41.0,0.463,False
2020,Portland Trail Blazers,40.8,0.583,False
2025,Oklahoma City Thunder,40.6,0.9,False
2020,Houston Rockets,40.6,0.236,False
2021,Utah Jazz,40.3,0.598,False
2022,Milwaukee Bucks,40.3,0.707,False
2016,Houston Rockets,40.3,0.671,False
2024,Minnesota Timberwolves,39.9,0.598,False
2024,Utah Jazz,39.8,0.207,False
2019,Minnesota Timberwolves,39.7,0.297,False
2025,Indiana Pacers,39.6,0.125,False
2024,San Antonio Spurs,39.6,0.415,False
2025,Charlotte Hornets,39.6,0.333,False
2023,Dallas Mavericks,39.5,0.61,False
2024,Brooklyn Nets,39.4,0.317,False
2021,Golden State Warriors,39.4,0.646,False
2020,Toronto Raptors,39.3,0.375,False
2025,Memphis Grizzlies,39.3,0.4,False
2023,Sacramento Kings,39.3,0.561,False
2025,Milwaukee Bucks,39.2,0.667,False
2024,Washington Wizards,39.1,0.22,False
2023,Golden State Warriors,38.9,0.561,False
2019,Milwaukee Bucks,38.9,0.767,False
2024,Oklahoma City Thunder,38.8,0.829,False
2020,Golden State Warriors,38.7,0.542,False
2021,Houston Rockets,38.7,0.244,False
2025,Utah Jazz,38.6,0.333,False
2021,Milwaukee Bucks,38.4,0.622,False
2024,Charlotte Hornets,38.3,0.232,False
2018,Milwaukee Bucks,38.2,0.732,False
2021,Charlotte Hornets,38.2,0.524,False
2019,Brooklyn Nets,38.1,0.486,False
2020,Dallas Mavericks,38.1,0.583,False
2023,Milwaukee Bucks,38.1,0.598,False
2024,Phoenix Suns,38.0,0.439,False
2024,Memphis Grizzlies,37.9,0.585,False
2022,Utah Jazz,37.8,0.451,False
2023,Memphis Grizzlies,37.8,0.329,False
2024,Portland Trail Blazers,37.7,0.439,False
2023,Atlanta Hawks,37.7,0.439,False
2024,Atlanta Hawks,37.7,0.488,False
2020,Minnesota Timberwolves,37.6,0.319,False
2021,Oklahoma City Thunder,37.4,0.293,False
2021,Dallas Mavericks,37.4,0.634,False
2024,Miami Heat,37.3,0.451,False
2022,Sacramento Kings,37.3,0.585,False
2024,Philadelphia 76ers,37.2,0.293,False
2021,Boston Celtics,37.1,0.622,False
2020,Milwaukee Bucks,37.1,0.639,False
2020,Charlotte Hornets,37.0,0.458,False
2018,Atlanta Hawks,37.0,0.354,False
2019,Toronto Raptors,37.0,0.736,False
2022,Indiana Pacers,37.0,0.427,False
2021,New York Knicks,36.9,0.451,False
2019,New Orleans Pelicans,36.9,0.417,False
2021,Orlando Magic,36.9,0.268,False
2021,Portland Trail Blazers,36.8,0.329,False
2023,Cleveland Cavaliers,36.8,0.585,False
2023,Brooklyn Nets,36.7,0.39,False
2024,Milwaukee Bucks,36.6,0.585,False
2018,Dallas Mavericks,36.6,0.402,False
2025,Los Angeles Clippers,36.5,0.375,False
2023,Utah Jazz,36.5,0.378,False
2023,San Antonio Spurs,36.4,0.268,False
2020,Boston Celtics,36.4,0.5,False
2024,Los Angeles Lakers,36.4,0.61,False
2025,Philadelphia 76ers,36.3,0.625,False
2020,Miami Heat,36.2,0.556,False
2018,Brooklyn Nets,36.2,0.512,False
2023,Houston Rockets,36.1,0.5,False
2025,Washington Wizards,36.1,0.111,False
2020,Brooklyn Nets,36.1,0.667,False
2019,Atlanta Hawks,36.1,0.299,False
2021,Denver Nuggets,35.9,0.585,False
2024,Houston Rockets,35.8,0.634,False
2023,New York Knicks,35.8,0.61,False
2021,Miami Heat,35.8,0.646,False
2024,Indiana Pacers,35.8,0.61,False
2025,Miami Heat,35.8,0.556,False
2022,New York Knicks,35.7,0.573,False
2017,Brooklyn Nets,35.7,0.341,False
2023,Washington Wizards,35.5,0.183,False
2019,Miami Heat,35.4,0.603,False
2024,Detroit Pistons,35.4,0.537,False
2021,Indiana Pacers,35.4,0.305,False
2022,Portland Trail Blazers,35.3,0.402,False
2024,Orlando Magic,35.3,0.5,False
2023,Indiana Pacers,35.3,0.573,False
2019,Utah Jazz,35.2,0.611,False
2024,Sacramento Kings,35.2,0.488,False
2020,Oklahoma City Thunder,35.1,0.306,False
2019,Chicago Bulls,35.1,0.338,False
2019,Sacramento Kings,34.9,0.431,False
2018,Detroit Pistons,34.8,0.5,False
2022,Miami Heat,34.8,0.537,False
2020,Los Angeles Clippers,34.7,0.653,False
2025,San Antonio Spurs,34.6,0.75,False
2024,New Orleans Pelicans,34.6,0.256,False
2021,Detroit Pistons,34.6,0.28,False
2020,Phoenix Suns,34.6,0.708,False
2019,Boston Celtics,34.5,0.667,False
2025,Chicago Bulls,34.5,0.75,False
2018,Boston Celtics,34.5,0.598,False
2021,Los Angeles Lakers,34.5,0.402,False
2025,Minnesota Timberwolves,34.4,0.556,False
2018,Golden State Warriors,34.4,0.695,False
2021,Atlanta Hawks,34.4,0.524,False
2025,Denver Nuggets,34.4,0.75,False
2025,New Orleans Pelicans,34.4,0.25,False
2019,Charlotte Hornets,34.3,0.354,False
2021,Toronto Raptors,34.2,0.585,False
2022,Memphis Grizzlies,34.2,0.622,False
2023,Oklahoma City Thunder,34.2,0.695,False
2020,Denver Nuggets,34.2,0.653,False
2021,Los Angeles Clippers,34.2,0.512,False
2024,Dallas Mavericks,34.2,0.476,False
2019,Portland Trail Blazers,34.1,0.473,False
2022,Oklahoma City Thunder,34.1,0.488,False
2024,New York Knicks,34.1,0.622,False
2018,Utah Jazz,34.0,0.61,False
2023,Charlotte Hornets,34.0,0.256,False
2024,Toronto Raptors,34.0,0.366,False
2020,Chicago Bulls,34.0,0.431,False
2020,Indiana Pacers,34.0,0.472,False
2018,Charlotte Hornets,33.9,0.476,False
2016,Cleveland Cavaliers,33.9,0.622,False
2022,Brooklyn Nets,33.8,0.549,False
2018,Toronto Raptors,33.8,0.707,False
2023,Miami Heat,33.7,0.561,False
2019,Los Angeles Clippers,33.5,0.681,False
2016,Boston Celtics,33.4,0.646,False
2024,Los Angeles Clippers,33.4,0.61,False
2020,Atlanta Hawks,33.4,0.569,False
2022,Los Angeles Clippers,33.4,0.537,False
2025,Toronto Raptors,33.3,0.556,False
2020,Sacramento Kings,33.3,0.431,False
2023,Philadelphia 76ers,33.3,0.573,False
2022,Minnesota Timberwolves,33.3,0.512,False
2018,Washington Wizards,33.3,0.39,False
2023,Portland Trail Blazers,33.2,0.256,False
2021,Sacramento Kings,33.2,0.366,False
2023,Los Angeles Clippers,33.2,0.622,False
2023,Toronto Raptors,33.1,0.305,False
2017,Toronto Raptors,33.0,0.72,False
2020,Detroit Pistons,32.9,0.278,False
2025,Dallas Mavericks,32.9,0.222,False
2017,Dallas Mavericks,32.8,0.293,False
2021,Cleveland Cavaliers,32.8,0.537,False
2023,Minnesota Timberwolves,32.7,0.683,False
2014,Houston Rockets,32.7,0.683,False
2019,Detroit Pistons,32.7,0.303,False
2021,Memphis Grizzlies,32.7,0.683,False
2018,Oklahoma City Thunder,32.6,0.598,False
2022,Philadelphia 76ers,32.6,0.659,False
2022,Phoenix Suns,32.6,0.549,False
2023,New Orleans Pelicans,32.6,0.598,False
2023,Phoenix Suns,32.6,0.598,False
2019,Washington Wizards,32.6,0.347,False
2022,Charlotte Hornets,32.5,0.329,False
2022,Detroit Pistons,32.4,0.207,False
2018,Miami Heat,32.4,0.476,False
2019,Orlando Magic,32.2,0.452,False
2022,San Antonio Spurs,32.2,0.268,False
2017,Cleveland Cavaliers,32.1,0.61,False
2025,Atlanta Hawks,32.1,0.444,False
2018,Orlando Magic,32.1,0.512,False
2023,Chicago Bulls,32.1,0.476,False
2021,New Orleans Pelicans,32.1,0.439,False
2022,Toronto Raptors,32.0,0.5,False
2021,San Antonio Spurs,32.0,0.415,False
2024,Denver Nuggets,31.9,0.61,False
