Rk,Season,Team,3PA/G,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
1,2024-25,BOS,48.2,82,61,21,.744,19830,3413,7382,1956,3427,1457,3955,1251,1565,933,2783,3716,2144,589,452,973,1303,9534,.462,.571,.368,.799,.591,.561
2,2025-26,BOS,47.0,9,4,5,.444,2160,377,845,242,422,135,423,131,166,116,265,381,208,85,45,98,217,1020,.446,.573,.319,.789,.556,.526
3,2018-19,HOU,45.4,82,53,29,.646,19830,3218,7163,1895,3442,1323,3721,1582,2001,836,2613,3449,1741,700,405,1094,1803,9341,.449,.551,.356,.791,.581,.542
4,2019-20,HOU,45.3,72,44,28,.611,17380,2936,6512,1810,3251,1126,3261,1484,1876,704,2484,3188,1557,627,371,1057,1566,8482,.451,.557,.345,.791,.578,.537
5,2025-26,CLE,45.3,8,5,3,.625,1920,322,706,193,344,129,362,158,205,84,238,322,213,80,40,130,178,931,.456,.561,.356,.771,.585,.547
6,2025-26,NYK,43.6,8,5,3,.625,1920,334,744,203,395,131,349,152,179,122,261,383,214,62,35,112,159,951,.449,.514,.375,.849,.578,.537
7,2025-26,PHO,43.2,9,4,5,.444,2185,376,818,230,429,146,389,152,188,115,272,387,248,91,44,154,219,1050,.460,.536,.375,.809,.583,.549
8,2022-23,GSW,43.2,82,44,38,.537,19830,3538,7393,2175,3853,1363,3540,1314,1655,864,2793,3657,2446,588,323,1336,1757,9753,.479,.564,.385,.794,.600,.571
9,2020-21,UTA,43.0,72,52,20,.722,17355,2971,6344,1766,3246,1205,3098,1235,1546,765,2709,3474,1703,474,371,1023,1335,8382,.468,.544,.389,.799,.597,.563
10,2022-23,BOS,42.6,82,57,25,.695,19980,3460,7278,2145,3786,1315,3492,1436,1769,796,2921,3717,2186,521,430,1095,1542,9671,.475,.567,.377,.812,.600,.566
11,2023-24,BOS,42.5,82,64,18,.780,19830,3601,7396,2250,3914,1351,3482,1334,1654,876,2923,3799,2207,557,538,979,1326,9887,.487,.575,.388,.807,.609,.578
12,2024-25,GSW,42.4,82,48,34,.585,19730,3342,7412,2078,3937,1264,3475,1383,1811,1029,2692,3721,2386,771,391,1152,1571,9331,.451,.528,.364,.764,.568,.536
13,2017-18,HOU,42.3,82,65,17,.793,19755,3174,6906,1918,3436,1256,3470,1609,2061,739,2825,3564,1767,699,392,1135,1597,9213,.460,.558,.362,.781,.590,.551
14,2025-26,GSW,42.2,9,5,4,.556,2185,362,773,214,393,148,380,185,218,85,291,376,255,83,38,155,192,1057,.468,.545,.389,.849,.608,.564
15,2025-26,POR,42.1,8,5,3,.625,1920,329,738,215,401,114,337,191,229,110,227,337,210,93,38,137,182,963,.446,.536,.338,.834,.574,.523
16,2024-25,CHI,42.0,82,39,43,.476,19755,3543,7545,2277,4098,1266,3447,1308,1617,825,2935,3760,2383,621,386,1203,1444,9660,.470,.556,.367,.809,.585,.553
17,2024-25,CLE,41.5,82,64,18,.780,19755,3652,7444,2349,4043,1303,3401,1392,1793,917,2806,3723,2304,670,350,1082,1487,9999,.491,.581,.383,.776,.607,.578
18,2021-22,MIN,41.3,82,46,36,.561,19780,3411,7458,2200,4072,1211,3386,1474,1894,921,2700,3621,2106,721,460,1175,1786,9507,.457,.540,.358,.778,.573,.539
19,2019-20,DAL,41.3,75,43,32,.573,18175,3124,6772,1988,3677,1136,3095,1392,1787,791,2729,3520,1849,460,363,953,1462,8776,.461,.541,.367,.779,.581,.545
20,2025-26,BRK,41.3,8,1,7,.125,1920,314,710,206,380,108,330,159,209,104,219,323,194,61,20,124,183,895,.442,.542,.327,.761,.558,.518
21,2025-26,OKC,41.2,9,8,1,.889,2260,390,833,264,462,126,371,194,225,97,329,426,228,96,48,112,208,1100,.468,.571,.340,.862,.590,.544
22,2022-23,DAL,41.0,82,38,44,.463,19930,3283,6909,2037,3547,1246,3362,1554,2057,625,2556,3181,1880,514,304,1002,1697,9366,.475,.574,.371,.755,.599,.565
23,2020-21,POR,40.8,72,42,30,.583,17305,2973,6558,1841,3619,1132,2939,1282,1558,766,2441,3207,1531,496,363,799,1362,8360,.453,.509,.385,.823,.577,.540
24,2020-21,HOU,40.6,72,17,55,.236,17305,2826,6372,1834,3449,992,2923,1189,1606,671,2396,3067,1699,546,361,1060,1407,7833,.444,.532,.339,.740,.553,.521
25,2021-22,UTA,40.3,82,49,33,.598,19730,3327,7067,2135,3759,1192,3308,1470,1916,884,2916,3800,1836,588,402,1149,1547,9316,.471,.568,.360,.767,.589,.555
26,2022-23,MIL,40.3,82,58,24,.707,19830,3504,7411,2287,4105,1217,3306,1364,1837,914,3074,3988,2115,521,403,1199,1481,9589,.473,.557,.368,.743,.583,.555
27,2016-17,HOU,40.3,82,55,27,.671,19780,3305,7152,2124,3846,1181,3306,1667,2177,892,2746,3638,2070,670,352,1240,1634,9458,.462,.552,.357,.766,.583,.545
28,2024-25,MIN,39.9,82,49,33,.598,19830,3364,7182,2131,3913,1233,3269,1411,1789,908,2726,3634,2142,654,406,1186,1498,9372,.468,.545,.377,.789,.588,.554
29,2024-25,UTA,39.8,82,17,65,.207,19805,3305,7272,2161,4005,1144,3267,1421,1836,983,2741,3724,2093,555,360,1412,1549,9175,.454,.540,.350,.774,.568,.533
30,2025-26,MEM,39.8,9,3,6,.333,2160,355,809,237,451,118,358,205,243,99,289,388,245,72,40,132,191,1033,.439,.525,.330,.844,.564,.512
31,2019-20,MIN,39.7,64,19,45,.297,15560,2586,5865,1733,3325,853,2540,1223,1624,675,2193,2868,1525,555,362,981,1370,7248,.441,.521,.336,.753,.551,.514
32,2025-26,CHO,39.6,8,3,5,.375,1920,336,700,215,383,121,317,170,212,93,276,369,217,55,37,134,171,963,.480,.561,.382,.802,.607,.566
33,2025-26,IND,39.6,8,1,7,.125,1970,313,768,215,451,98,317,169,230,116,281,397,190,50,36,112,196,893,.408,.477,.309,.735,.514,.471
34,2024-25,SAS,39.6,82,34,48,.415,19730,3426,7362,2268,4116,1158,3246,1332,1721,896,2685,3581,2348,674,455,1138,1363,9342,.465,.551,.357,.774,.575,.544
35,2023-24,DAL,39.5,82,50,32,.610,19705,3535,7352,2338,4110,1197,3242,1397,1842,797,2724,3521,2106,563,406,1027,1500,9664,.481,.569,.369,.758,.592,.562
36,2024-25,BRK,39.4,82,26,56,.317,19780,3086,7060,1973,3828,1113,3232,1334,1696,894,2493,3387,2063,639,352,1244,1698,8619,.437,.515,.344,.787,.552,.516
37,2021-22,GSW,39.4,82,53,29,.646,19730,3323,7087,2147,3856,1176,3231,1280,1665,800,2930,3730,2223,719,372,1221,1723,9102,.469,.557,.364,.769,.582,.552
38,2020-21,TOR,39.3,72,27,45,.375,17305,2859,6383,1818,3552,1041,2831,1252,1536,680,2314,2994,1735,618,388,952,1526,8011,.448,.512,.368,.815,.567,.529
39,2023-24,SAC,39.3,82,46,36,.561,19855,3553,7455,2375,4236,1178,3219,1274,1710,888,2719,3607,2324,625,342,1078,1632,9558,.477,.561,.366,.745,.582,.556
40,2025-26,MIL,39.3,8,5,3,.625,1920,354,698,230,384,124,314,127,183,67,260,327,213,59,38,118,195,959,.507,.599,.395,.694,.616,.596
41,2024-25,WAS,39.1,82,18,64,.220,19730,3233,7371,2158,4161,1075,3210,1315,1690,867,2716,3583,2058,623,420,1276,1618,8856,.439,.519,.335,.778,.546,.512
42,2023-24,GSW,38.9,82,46,36,.561,19830,3582,7515,2371,4324,1211,3191,1282,1644,996,2834,3830,2402,572,377,1174,1598,9657,.477,.548,.380,.780,.586,.557
43,2019-20,MIL,38.9,73,56,17,.767,17595,3160,6638,2153,3798,1007,2840,1336,1800,691,3083,3774,1889,526,429,1102,1431,8663,.476,.567,.355,.742,.583,.552
44,2024-25,OKC,38.8,82,68,14,.829,19705,3660,7600,2468,4416,1192,3184,1369,1672,871,2801,3672,2202,847,465,961,1631,9881,.482,.559,.374,.819,.593,.560
45,2020-21,GSW,38.7,72,39,33,.542,17305,2973,6347,1925,3558,1048,2789,1193,1520,574,2524,3098,1991,587,342,1080,1526,8187,.468,.541,.376,.785,.583,.551
46,2021-22,HOU,38.7,82,20,62,.244,19755,3229,7083,2124,3913,1105,3170,1434,2010,786,2660,3446,1932,600,382,1351,1692,8997,.456,.543,.349,.713,.565,.534
47,2025-26,UTA,38.5,8,3,5,.375,1945,308,703,211,395,97,308,199,237,116,275,391,217,57,28,140,172,912,.438,.534,.315,.840,.565,.507
48,2021-22,MIL,38.4,82,51,31,.622,19755,3429,7331,2276,4180,1153,3151,1459,1881,840,2990,3830,1960,623,326,1100,1494,9470,.468,.544,.366,.776,.580,.546
49,2024-25,CHO,38.3,82,19,63,.232,19755,3142,7308,2077,4165,1065,3143,1269,1621,1003,2703,3706,1994,607,368,1271,1535,8618,.430,.499,.339,.783,.537,.503
50,2018-19,MIL,38.2,82,60,22,.732,19780,3555,7471,2450,4337,1105,3134,1471,1904,762,3316,4078,2136,615,486,1137,1608,9686,.476,.565,.353,.773,.583,.550
51,2021-22,CHO,38.2,82,43,39,.524,19880,3508,7497,2365,4367,1143,3130,1298,1753,888,2767,3655,2302,707,402,1087,1629,9457,.468,.542,.365,.740,.572,.544
52,2019-20,BRK,38.1,72,35,37,.486,17480,2908,6498,1967,3752,941,2746,1291,1732,766,2683,3449,1761,464,323,1099,1510,8048,.448,.524,.343,.745,.554,.520
53,2020-21,DAL,38.1,72,42,30,.583,17305,2958,6287,1964,3543,994,2744,1186,1524,657,2463,3120,1647,450,311,869,1396,8096,.470,.554,.362,.778,.582,.550
