Season,Restricted Area,In The Paint (Non-RA),Mid-Range,Corner 3,Above the Break 3,Backcourt
1996-97,74306,23852,79698,6149,15299,235
1997-98,66659,28020,73521,5933,25695,258
1998-99,37930,18775,45678,4599,16090,162
1999-00,61613,31604,78892,8349,26064,268
2000-01,59513,31927,76947,8573,25774,322
2001-02,61818,29773,75634,9168,27879,324
2002-03,62127,30412,75728,10086,27386,375
2003-04,63263,28981,72162,10258,27396,360
2004-05,67472,27659,74227,11654,29511,392
2005-06,67332,27111,71316,11961,29970,395
2006-07,68283,26646,68885,12598,31489,407
2007-08,68393,27581,70404,12966,34007,504
2008-09,69200,27154,68070,13605,33654,486
2009-10,70879,28206,66911,12733,34479,509
2010-11,66877,32542,65681,13110,33576,516
2014-15,70433,32728,56822,15371,43426,459
2015-16,71913,32337,54412,16421,46616,479
2016-17,71560,31581,49167,16801,53482,541
2017-18,71312,35326,42733,16711,58876,565
2018-19,76666,37494,35532,19102,64410,513
2019-20,64471,32447,27112,17820,59932,441
2020-21,61360,36915,26891,18929,61321,338
2021-22,66464,42768,29703,23034,68853,471
2022-23,68714,45681,27678,22461,66899,438
2023-24,68611,45778,26321,23577,67775,478
2024-25,64916,47477,23143,25153,72630,585
2025-26,7187,4913,2444,2524,7839,4
