,Three Pointers,Two Pointers,Free Throws,Season
0,3.38,77.14,19.48,1979
1,1.44,75.84,22.72,1980
2,1.38,76.55,22.06,1981
3,2.87,75.59,21.54,1982
4,2.5,75.45,22.05,1983
5,3.47,73.85,22.68,1984
6,3.42,73.2,23.38,1985
7,4.09,70.66,25.25,1986
8,4.81,72.78,22.41,1987
9,5.55,70.42,24.03,1988
10,5.87,71.2,22.93,1989
11,7.36,68.52,24.11,1990
12,8.84,68.24,22.93,1991
13,13.01,65.81,21.18,1992
14,6.59,69.7,23.7,1993
15,16.1,63.27,20.64,1994
16,14.03,64.81,21.15,1995
17,19.64,56.12,24.23,1996
18,10.71,66.33,22.96,1997
19,18.11,57.22,24.67,1998
20,10.54,66.73,22.73,1999
21,16.36,61.68,21.95,2000
22,18.52,60.32,21.16,2001
23,21.25,55.16,23.59,2002
24,25.25,54.53,20.22,2003
25,20.41,54.43,25.15,2004
26,20.12,54.63,25.24,2005
27,22.16,52.98,24.86,2006
28,20.09,56.2,23.72,2007
29,19.99,54.53,25.47,2008
30,18.51,58.14,23.35,2009
31,16.18,59.59,24.23,2010
32,19.92,57.52,22.56,2011
33,29.76,49.04,21.2,2012
34,28.59,48.3,23.11,2013
35,28.8,47.08,24.12,2014
36,33.8,44.95,21.24,2015
37,28.76,47.46,23.78,2016
38,28.75,50.5,20.75,2017
39,34.13,44.63,21.24,2018
40,35.09,42.7,22.21,2019
41,34.13,47.37,18.5,2020
42,30.83,48.81,20.37,2021
43,30.32,49.34,20.35,2022
44,30.05,50.51,19.44,2023
45,33.34,48.12,18.54,2024
46,30.64,43.94,25.42,2025
