Season,2 pointers,0 to 3 feet,3 to 10 feet,10 to 16 feet,16 feet to 3P,3P
2025,0.583,0.231,0.207,0.094,0.051,0.417
2024,0.579,0.226,0.214,0.091,0.048,0.421
2023,0.605,0.241,0.211,0.096,0.058,0.395
2022,0.613,0.245,0.206,0.096,0.063,0.387
2021,0.601,0.239,0.193,0.094,0.07,0.399
2020,0.608,0.254,0.186,0.096,0.072,0.392
2019,0.616,0.282,0.165,0.093,0.077,0.384
2018,0.641,0.292,0.162,0.096,0.092,0.359
2017,0.663,0.281,0.156,0.106,0.12,0.337
2016,0.684,0.29,0.152,0.099,0.142,0.316
2015,0.715,0.293,0.158,0.103,0.162,0.285
2014,0.732,0.29,0.164,0.103,0.175,0.268
2013,0.741,0.286,0.169,0.105,0.18,0.259
2012,0.757,0.293,0.164,0.107,0.193,0.243
2011,0.774,0.287,0.169,0.11,0.208,0.226
2010,0.778,0.276,0.178,0.11,0.214,0.222
2009,0.778,0.32,0.129,0.11,0.218,0.222
2008,0.776,0.314,0.124,0.111,0.227,0.224
2007,0.778,0.308,0.124,0.111,0.235,0.222
2006,0.787,0.314,0.131,0.113,0.229,0.213
2005,0.798,0.309,0.133,0.119,0.236,0.202
2004,0.804,0.304,0.135,0.129,0.236,0.196
2003,0.813,0.297,0.147,0.141,0.229,0.187
2002,0.818,0.286,0.15,0.146,0.236,0.182
2001,0.819,0.287,0.148,0.153,0.23,0.181
2000,0.83,0.273,0.168,0.158,0.232,0.17
1999,0.833,0.256,0.188,0.161,0.228,0.167
1998,0.832,0.266,0.188,0.155,0.223,0.168
1997,0.841,0.286,0.178,0.163,0.213,0.159
1996,0.788,0.341,0.142,0.149,0.156,0.212
