Season,Free Throws,Made 2s,Missed 2s,Made 3s,Missed 3s
2025,51.6,56.6,47.0,26.6,47.6
2024,43.4,56.4,46.8,27.0,48.2
2023,43.4,58.8,48.8,25.6,44.6
2022,47.0,59.4,48.8,24.6,43.8
2021,43.8,56.4,49.4,24.8,45.6
2020,43.6,57.0,50.6,25.4,43.8
2019,46.2,57.4,52.0,24.4,43.8
2018,46.2,59.4,55.0,22.8,41.2
2017,43.4,58.2,56.0,21.0,37.0
2016,46.2,58.6,58.2,19.4,34.6
2015,46.8,59.4,61.6,17.0,31.2
2014,45.6,59.4,63.0,15.6,29.2
2013,47.2,60.0,63.0,15.4,27.6
2012,44.4,59.8,64.2,14.4,25.6
2011,45.0,60.2,65.8,12.8,24.0
2010,48.8,61.4,65.0,13.0,23.0
2009,49.0,62.6,64.6,12.8,23.4
2008,49.4,61.0,64.6,13.2,23.0
2007,49.8,61.4,65.4,13.2,23.0
2006,52.2,60.8,64.8,12.2,21.6
2005,52.6,60.2,65.8,11.4,20.6
2004,52.2,60.6,68.4,11.2,20.4
2003,48.4,59.6,70.2,10.4,19.4
2002,48.8,61.2,71.0,10.2,19.2
2001,47.6,62.0,71.2,10.4,19.0
2000,49.8,61.8,72.0,9.6,17.8
1999,50.6,64.0,72.8,9.6,17.8
1998,51.6,59.4,70.6,9.0,17.4
1997,52.6,63.0,71.0,8.8,16.6
1996,50.6,60.2,64.8,12.0,21.6
1995,52.8,62.2,66.2,11.8,20.2
1994,54.2,65.0,67.4,11.0,19.6
1993,53.2,72.0,77.0,6.6,13.2
1992,55.4,75.4,78.6,6.0,12.0
1991,53.4,77.6,81.8,5.0,10.2
1990,55.8,78.2,82.0,4.6,9.6
1989,57.0,78.6,82.6,4.4,8.8
1988,57.6,80.8,84.0,4.2,9.0
1987,58.2,81.0,84.4,3.2,6.8
1986,61.0,82.4,85.8,2.8,6.6
1985,60.6,84.6,86.0,1.8,4.8
1984,58.8,85.8,86.2,1.8,4.4
1983,59.4,85.8,86.2,1.2,3.6
1982,56.6,86.0,88.8,1.0,3.6
1981,57.2,85.4,86.4,1.2,3.4
1980,57.8,85.0,87.8,1.0,3.0
1979,55.6,85.6,90.0,1.6,4.0
