Season,Team Name,3PA/G,W/L%
2024,Boston Celtics,48.2,0.744
2025,Boston Celtics,46.0,0.4
2018,Houston Rockets,45.4,0.646
2019,Houston Rockets,45.3,0.611
2025,Cleveland Cavaliers,45.2,0.667
2025,New York Knicks,43.6,0.625
2025,Phoenix Suns,43.2,0.444
2022,Golden State Warriors,43.2,0.537
2020,Utah Jazz,43.0,0.722
2022,Boston Celtics,42.6,0.695
2023,Boston Celtics,42.5,0.78
2024,Golden State Warriors,42.4,0.585
2017,Houston Rockets,42.3,0.793
2025,Golden State Warriors,42.1,0.5
2025,Portland Trail Blazers,42.1,0.625
2024,Chicago Bulls,42.0,0.476
2025,Brooklyn Nets,41.8,0.111
2024,Cleveland Cavaliers,41.5,0.78
2021,Minnesota Timberwolves,41.3,0.561
2019,Dallas Mavericks,41.3,0.573
2022,Dallas Mavericks,41.0,0.463
2020,Portland Trail Blazers,40.8,0.583
2020,Houston Rockets,40.6,0.236
2025,Oklahoma City Thunder,40.6,0.9
2021,Utah Jazz,40.3,0.598
2022,Milwaukee Bucks,40.3,0.707
2016,Houston Rockets,40.3,0.671
2024,Minnesota Timberwolves,39.9,0.598
2024,Utah Jazz,39.8,0.207
2019,Minnesota Timberwolves,39.7,0.297
2025,Indiana Pacers,39.6,0.125
2024,San Antonio Spurs,39.6,0.415
2025,Charlotte Hornets,39.6,0.333
2023,Dallas Mavericks,39.5,0.61
2024,Brooklyn Nets,39.4,0.317
2021,Golden State Warriors,39.4,0.646
2020,Toronto Raptors,39.3,0.375
2025,Memphis Grizzlies,39.3,0.4
2023,Sacramento Kings,39.3,0.561
2025,Milwaukee Bucks,39.2,0.667
2024,Washington Wizards,39.1,0.22
2023,Golden State Warriors,38.9,0.561
2019,Milwaukee Bucks,38.9,0.767
2024,Oklahoma City Thunder,38.8,0.829
2020,Golden State Warriors,38.7,0.542
2021,Houston Rockets,38.7,0.244
2025,Utah Jazz,38.6,0.333
2021,Milwaukee Bucks,38.4,0.622
2024,Charlotte Hornets,38.3,0.232
2018,Milwaukee Bucks,38.2,0.732
2021,Charlotte Hornets,38.2,0.524
2019,Brooklyn Nets,38.1,0.486
2020,Dallas Mavericks,38.1,0.583
2023,Milwaukee Bucks,38.1,0.598
2024,Phoenix Suns,38.0,0.439
2024,Memphis Grizzlies,37.9,0.585
2022,Utah Jazz,37.8,0.451
2023,Memphis Grizzlies,37.8,0.329
2024,Portland Trail Blazers,37.7,0.439
2023,Atlanta Hawks,37.7,0.439
2024,Atlanta Hawks,37.7,0.488
2020,Minnesota Timberwolves,37.6,0.319
2021,Oklahoma City Thunder,37.4,0.293
2021,Dallas Mavericks,37.4,0.634
2022,Sacramento Kings,37.3,0.585
