name,date,total,1 unit,2 units,3 and 4 units,5 units or more,multi_total,rt,multi_rt,population,rt_pc,multi_rt_pc,region
"Abilene, TX",2019-11-01,23.0,21.0,2.0,0.0,0.0,2.0,23.0,2.0,184278.0,0.12481142621474078,0.01085316749693398,
"Abilene, TX",2019-12-01,37.0,31.0,6.0,0.0,0.0,6.0,60.0,8.0,184278.0,0.3255950249080194,0.04341266998773592,
"Abilene, TX",2020-01-01,29.0,29.0,0.0,0.0,0.0,0.0,89.0,8.0,184278.0,0.4829659536135621,0.04341266998773592,
"Abilene, TX",2020-02-01,30.0,30.0,0.0,0.0,0.0,0.0,119.0,8.0,184278.0,0.6457634660675718,0.04341266998773592,
"Abilene, TX",2020-03-01,29.0,27.0,2.0,0.0,0.0,2.0,148.0,10.0,184278.0,0.8031343947731145,0.0542658374846699,
"Abilene, TX",2020-04-01,29.0,27.0,2.0,0.0,0.0,2.0,177.0,12.0,184278.0,0.9605053234786572,0.06511900498160389,
"Abilene, TX",2020-05-01,20.0,20.0,0.0,0.0,0.0,0.0,197.0,12.0,184278.0,1.069036998447997,0.06511900498160389,
"Abilene, TX",2020-06-01,201.0,40.0,2.0,20.0,139.0,161.0,398.0,173.0,184278.0,2.159780331889862,0.9387989884847893,
"Abilene, TX",2020-07-01,113.0,42.0,14.0,0.0,57.0,71.0,511.0,244.0,184278.0,2.772984295466632,1.3240864346259456,
"Abilene, TX",2020-08-01,33.0,31.0,2.0,0.0,0.0,2.0,544.0,246.0,184278.0,2.952061559166043,1.3349396021228797,
"Abilene, TX",2020-09-01,32.0,30.0,2.0,0.0,0.0,2.0,576.0,248.0,184278.0,3.1257122391169863,1.3457927696198135,
"Abilene, TX",2020-10-01,32.0,28.0,4.0,0.0,0.0,4.0,608.0,252.0,184278.0,3.29936291906793,1.3674991046136815,
"Abilene, TX",2020-11-01,35.0,29.0,6.0,0.0,0.0,6.0,620.0,256.0,184278.0,3.364481924049534,1.3892054396075495,
"Abilene, TX",2020-12-01,53.0,37.0,16.0,0.0,0.0,16.0,636.0,266.0,184278.0,3.4513072640250058,1.4434712770922193,
"Abilene, TX",2021-01-01,47.0,47.0,0.0,0.0,0.0,0.0,654.0,266.0,184278.0,3.548985771497412,1.4434712770922193,
"Abilene, TX",2021-02-01,33.0,31.0,2.0,0.0,0.0,2.0,657.0,268.0,184278.0,3.5652655227428123,1.4543244445891534,
"Abilene, TX",2021-03-01,99.0,45.0,6.0,0.0,48.0,54.0,727.0,320.0,184278.0,3.945126385135502,1.7365067995094368,
"Abilene, TX",2021-04-01,78.0,52.0,26.0,0.0,0.0,26.0,776.0,344.0,184278.0,4.2110289888103845,1.8667448094726447,
"Abilene, TX",2021-05-01,50.0,42.0,8.0,0.0,0.0,8.0,806.0,352.0,184278.0,4.373826501264394,1.9101574794603804,
"Abilene, TX",2021-06-01,297.0,48.0,8.0,0.0,241.0,249.0,902.0,440.0,184278.0,4.894778541117225,2.3876968493254758,
"Abilene, TX",2021-07-01,23.0,23.0,0.0,0.0,0.0,0.0,812.0,369.0,184278.0,4.406386003755196,2.0024094031843194,
"Abilene, TX",2021-08-01,58.0,50.0,8.0,0.0,0.0,8.0,837.0,375.0,184278.0,4.542050597466871,2.0349689056751212,
"Abilene, TX",2021-09-01,62.0,56.0,6.0,0.0,0.0,6.0,867.0,379.0,184278.0,4.7048481099208805,2.056675240668989,
"Abilene, TX",2021-10-01,37.0,27.0,10.0,0.0,0.0,10.0,872.0,385.0,184278.0,4.731981028663216,2.0892347431597913,
"Abilene, TX",2021-11-01,43.0,35.0,8.0,0.0,0.0,8.0,880.0,387.0,184278.0,4.7753936986509515,2.100087910656725,
"Abilene, TX",2021-12-01,42.0,36.0,6.0,0.0,0.0,6.0,869.0,377.0,184278.0,4.715701277417814,2.0458220731720553,
"Abilene, TX",2022-01-01,54.0,38.0,16.0,0.0,0.0,16.0,876.0,393.0,184278.0,4.753687363657083,2.1326474131475273,
"Abilene, TX",2022-02-01,51.0,51.0,0.0,0.0,0.0,0.0,894.0,391.0,184278.0,4.85136587112949,2.121794245650593,
"Abilene, TX",2022-03-01,73.0,69.0,4.0,0.0,0.0,4.0,868.0,341.0,184278.0,4.710274693669347,1.8504650582272437,
"Abilene, TX",2022-04-01,21.0,19.0,2.0,0.0,0.0,2.0,811.0,317.0,184278.0,4.400959420006729,1.720227048264036,
"Abilene, TX",2022-05-01,320.0,44.0,2.0,0.0,274.0,276.0,1081.0,585.0,184278.0,5.866137032092817,3.174551492853189,
"Abilene, TX",2022-06-01,59.0,59.0,0.0,0.0,0.0,0.0,843.0,336.0,184278.0,4.574610099957673,1.8233321394849087,
"Abilene, TX",2022-07-01,43.0,37.0,6.0,0.0,0.0,6.0,863.0,342.0,184278.0,4.683141774927012,1.8558916419757105,
"Abilene, TX",2022-08-01,45.0,43.0,2.0,0.0,0.0,2.0,850.0,336.0,184278.0,4.612596186196941,1.8233321394849087,
"Abilene, TX",2022-09-01,38.0,34.0,4.0,0.0,0.0,4.0,826.0,334.0,184278.0,4.482358176233734,1.8124789719879746,
"Abilene, TX",2022-10-01,46.0,36.0,10.0,0.0,0.0,10.0,835.0,334.0,184278.0,4.531197429969937,1.8124789719879746,
"Abilene, TX",2022-11-01,18.0,16.0,2.0,0.0,0.0,2.0,810.0,328.0,184278.0,4.395532836258262,1.7799194694971727,
"Abilene, TX",2022-12-01,31.0,27.0,4.0,0.0,0.0,4.0,799.0,326.0,184278.0,4.335840415025125,1.7690663020002388,
"Abilene, TX",2023-01-01,23.0,15.0,8.0,0.0,0.0,8.0,768.0,318.0,184278.0,4.167616318822649,1.7256536320125029,
"Abilene, TX",2023-02-01,29.0,27.0,2.0,0.0,0.0,2.0,746.0,320.0,184278.0,4.048231476356375,1.7365067995094368,
"Abilene, TX",2023-03-01,40.0,34.0,6.0,0.0,0.0,6.0,713.0,322.0,184278.0,3.8691542126569636,1.7473599670063709,
"Abilene, TX",2023-04-01,44.0,42.0,2.0,0.0,0.0,2.0,736.0,322.0,184278.0,3.993965638871705,1.7473599670063709,
"Abilene, TX",2023-05-01,45.0,45.0,0.0,0.0,0.0,0.0,461.0,46.0,184278.0,2.5016551080432823,0.24962285242948157,
"Abilene, TX",2023-06-01,80.0,12.0,4.0,0.0,64.0,68.0,482.0,114.0,184278.0,2.6156133667610892,0.6186305473252369,
"Abilene, TX",2023-07-01,32.0,30.0,2.0,0.0,0.0,2.0,471.0,110.0,184278.0,2.5559209455279523,0.5969242123313689,
"Abilene, TX",2023-08-01,37.0,21.0,16.0,0.0,0.0,16.0,463.0,124.0,184278.0,2.512508275540217,0.6728963848099068,
"Abilene, TX",2023-09-01,26.0,22.0,4.0,0.0,0.0,4.0,451.0,124.0,184278.0,2.4473892705586127,0.6728963848099068,
"Abilene, TX",2023-10-01,22.0,20.0,2.0,0.0,0.0,2.0,427.0,116.0,184278.0,2.3171512605954048,0.6294837148221709,
"Abilene, TX",2023-11-01,23.0,21.0,2.0,0.0,0.0,2.0,432.0,116.0,184278.0,2.34428417933774,0.6294837148221709,
"Abilene, TX",2023-12-01,55.0,47.0,8.0,0.0,0.0,8.0,456.0,120.0,184278.0,2.4745221893009477,0.6511900498160388,
"Abilene, TX",2024-01-01,30.0,28.0,2.0,0.0,0.0,2.0,463.0,114.0,184278.0,2.512508275540217,0.6186305473252369,
"Abilene, TX",2024-02-01,37.0,31.0,6.0,0.0,0.0,6.0,471.0,118.0,184278.0,2.5559209455279523,0.6403368823191049,
"Abilene, TX",2024-03-01,24.0,18.0,6.0,0.0,0.0,6.0,455.0,118.0,184278.0,2.469095605552481,0.6403368823191049,
"Abilene, TX",2024-04-01,51.0,43.0,8.0,0.0,0.0,8.0,462.0,124.0,184278.0,2.507081691791749,0.6728963848099068,
"Abilene, TX",2024-05-01,33.0,33.0,0.0,0.0,0.0,0.0,450.0,124.0,184278.0,2.4419626868101454,0.6728963848099068,
"Abilene, TX",2024-06-01,44.0,24.0,20.0,0.0,0.0,20.0,414.0,76.0,184278.0,2.2466056718653338,0.41242036488349126,
"Abilene, TX",2024-07-01,63.0,55.0,8.0,0.0,0.0,8.0,445.0,82.0,184278.0,2.414829768067811,0.4449798673742932,
"Abilene, TX",2024-08-01,54.0,38.0,16.0,0.0,0.0,16.0,462.0,82.0,184278.0,2.507081691791749,0.4449798673742932,
"Abilene, TX",2024-09-01,38.0,32.0,6.0,0.0,0.0,6.0,474.0,84.0,184278.0,2.5722006967733533,0.45583303487122717,
"Abilene, TX",2024-10-01,48.0,28.0,20.0,0.0,0.0,20.0,500.0,102.0,184278.0,2.7132918742334953,0.553511542343633,
"Abilene, TX",2024-11-01,21.0,17.0,4.0,0.0,0.0,4.0,498.0,104.0,184278.0,2.7024387067365607,0.564364709840567,
"Abilene, TX",2024-12-01,78.0,78.0,0.0,0.0,0.0,0.0,521.0,96.0,184278.0,2.827250132951302,0.5209520398528311,
"Abilene, TX",2025-01-01,82.0,78.0,4.0,0.0,0.0,4.0,573.0,98.0,184278.0,3.1094324878715853,0.5318052073497651,
"Abilene, TX",2025-02-01,71.0,51.0,20.0,0.0,0.0,20.0,607.0,112.0,184278.0,3.2939363353194633,0.6077773798283029,
"Abilene, TX",2025-03-01,89.0,59.0,30.0,0.0,0.0,30.0,672.0,136.0,184278.0,3.6466642789698174,0.7380153897915107,
"Abilene, TX",2025-04-01,48.0,44.0,4.0,0.0,0.0,4.0,669.0,132.0,184278.0,3.630384527724416,0.7163090547976427,
"Abilene, TX",2025-05-01,61.0,61.0,0.0,0.0,0.0,0.0,697.0,132.0,184278.0,3.782328872681492,0.7163090547976427,
"Abilene, TX",2025-06-01,128.0,42.0,86.0,0.0,0.0,86.0,781.0,198.0,184278.0,4.238161907552719,1.074463582196464,
"Abilene, TX",2025-07-01,122.0,88.0,34.0,0.0,0.0,34.0,840.0,224.0,184278.0,4.558330348712272,1.2155547596566059,
"Abilene, TX",2025-08-01,93.0,71.0,22.0,0.0,0.0,22.0,879.0,230.0,184278.0,4.769967114902484,1.2481142621474077,
"Akron, OH",2019-11-01,38.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,702209.0,0.054114942987059406,0.0,
"Akron, OH",2019-12-01,30.0,30.0,0.0,0.0,0.0,0.0,68.0,0.0,702209.0,0.09683726639789579,0.0,
"Akron, OH",2020-01-01,38.0,38.0,0.0,0.0,0.0,0.0,106.0,0.0,702209.0,0.15095220938495518,0.0,
"Akron, OH",2020-02-01,40.0,40.0,0.0,0.0,0.0,0.0,146.0,0.0,702209.0,0.20791530726607035,0.0,
"Akron, OH",2020-03-01,51.0,51.0,0.0,0.0,0.0,0.0,197.0,0.0,702209.0,0.28054325706449224,0.0,
"Akron, OH",2020-04-01,44.0,44.0,0.0,0.0,0.0,0.0,241.0,0.0,702209.0,0.3432026647337189,0.0,
"Akron, OH",2020-05-01,38.0,38.0,0.0,0.0,0.0,0.0,279.0,0.0,702209.0,0.3973176077207783,0.0,
"Akron, OH",2020-06-01,61.0,61.0,0.0,0.0,0.0,0.0,340.0,0.0,702209.0,0.4841863319894789,0.0,
"Akron, OH",2020-07-01,52.0,45.0,2.0,0.0,5.0,7.0,392.0,7.0,702209.0,0.5582383592349287,0.009968542129195155,
"Akron, OH",2020-08-01,57.0,57.0,0.0,0.0,0.0,0.0,449.0,7.0,702209.0,0.6394107737155177,0.009968542129195155,
"Akron, OH",2020-09-01,62.0,62.0,0.0,0.0,0.0,0.0,511.0,7.0,702209.0,0.7277035754312463,0.009968542129195155,
"Akron, OH",2020-10-01,53.0,53.0,0.0,0.0,0.0,0.0,564.0,7.0,702209.0,0.8031796801237239,0.009968542129195155,
