name,date,total,1 unit,2 units,3 and 4 units,5 units or more,multi_total,rt,multi_rt,population,rt_pc,multi_rt_pc,lat,lng,region
"Aberdeen, SD",2025-08-01,20.0,6.0,14.0,0.0,0.0,14.0,172.0,106.0,,,,45.4649,-98.4686,
"Aberdeen, WA",2025-08-01,23.0,21.0,2.0,0.0,0.0,2.0,290.0,35.0,,,,46.9757,-123.8094,
"Abilene, TX",2025-08-01,93.0,71.0,22.0,0.0,0.0,22.0,879.0,230.0,184278.0,4.769967114902484,1.2481142621474077,32.4543,-99.7384,
"Ada, OK",2025-08-01,2.0,2.0,0.0,0.0,0.0,0.0,18.0,12.0,,,,34.7662,-96.6681,
"Adrian, MI",2025-08-01,14.0,14.0,0.0,0.0,0.0,0.0,164.0,19.0,,,,41.8994,-84.0447,
"Akron, OH",2025-08-01,54.0,54.0,0.0,0.0,0.0,0.0,990.0,294.0,702209.0,1.4098366725576004,0.4186787694261965,41.0798,-81.5219,
"Alamogordo, NM",2025-08-01,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,,,,32.8837,-105.9625,
"Alamosa, CO",2025-08-01,14.0,14.0,0.0,0.0,0.0,0.0,141.0,14.0,,,,37.4752,-105.877,
"Albany, GA",2025-08-01,19.0,14.0,0.0,0.0,5.0,5.0,208.0,42.0,145451.0,1.430034857099642,0.28875703845281225,31.5776,-84.1762,
"Albany, NY",2025-08-01,152.0,135.0,2.0,0.0,15.0,17.0,2322.0,1104.0,913485.0,2.54191366032283,1.2085584328149888,42.6664,-73.7987,
"Albany, OR",2025-08-01,17.0,13.0,4.0,0.0,0.0,4.0,197.0,34.0,132474.0,1.4870842580430876,0.2566541359059136,44.6272,-123.0965,
"Albemarle, NC",2025-08-01,26.0,26.0,0.0,0.0,0.0,0.0,348.0,0.0,,,,35.3594,-80.1915,
"Albert Lea, MN",2025-08-01,3.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,,,,43.6548,-93.3643,
"Albertville, AL",2025-08-01,12.0,12.0,0.0,0.0,0.0,0.0,133.0,0.0,,,,34.2633,-86.2108,
"Albuquerque, NM",2025-08-01,192.0,137.0,0.0,0.0,55.0,55.0,3141.0,1206.0,926303.0,3.3908990902544844,1.3019497939659053,35.1054,-106.6465,
"Alexander City, AL",2025-08-01,24.0,24.0,0.0,0.0,0.0,0.0,213.0,0.0,,,,32.9229,-85.9358,
"Alexandria, LA",2025-08-01,24.0,22.0,2.0,0.0,0.0,2.0,271.0,24.0,148008.0,1.8309821090751852,0.16215339711366952,31.2923,-92.4702,
"Alexandria, MN",2025-08-01,29.0,19.0,0.0,0.0,10.0,10.0,419.0,224.0,,,,45.8776,-95.3767,
"Alice, TX",2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,27.7556,-98.0653,
"Allentown, PA",2025-08-01,221.0,96.0,2.0,3.0,120.0,125.0,2159.0,883.0,886418.0,2.4356454855384255,0.996144031371204,40.5961,-75.4756,
"Alma, MI",2025-08-01,3.0,3.0,0.0,0.0,0.0,0.0,43.0,4.0,,,,43.3799,-84.6556,
"Alpena, MI",2025-08-01,1.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,,,,45.074,-83.4402,
"Altoona, PA",2025-08-01,6.0,4.0,2.0,0.0,0.0,2.0,103.0,24.0,120269.0,0.856413539648621,0.1995526694326884,40.5082,-78.4007,
"Altus, OK",2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,,,,34.6565,-99.3061,
"Amarillo, TX",2025-08-01,359.0,45.0,2.0,0.0,312.0,314.0,1164.0,584.0,274650.0,4.2381212452211905,2.1263426178772984,35.1984,-101.8316,
"Americus, GA",2025-08-01,5.0,5.0,0.0,0.0,0.0,0.0,45.0,0.0,,,,32.0736,-84.2248,
"Ames, IA",2025-08-01,21.0,21.0,0.0,0.0,0.0,0.0,420.0,210.0,129227.0,3.2500947944315044,1.6250473972157522,42.0256,-93.6217,
"Amherst Town, MA",2025-08-01,22.0,9.0,0.0,0.0,13.0,13.0,259.0,167.0,165399.0,1.5659103138471213,1.009679623214167,,,
"Amsterdam, NY",2025-08-01,6.0,6.0,0.0,0.0,0.0,0.0,283.0,232.0,,,,42.942,-74.1906,
"Anchorage, AK",2025-08-01,38.0,15.0,6.0,3.0,14.0,23.0,372.0,127.0,407213.0,0.9135268274834055,0.3118760943290121,61.1508,-149.1091,
"Anderson Creek, NC",2025-08-01,158.0,158.0,0.0,0.0,0.0,0.0,1584.0,6.0,,,,35.2657,-78.958,
"Andrews, TX",2025-08-01,7.0,2.0,0.0,0.0,5.0,5.0,54.0,26.0,,,,32.3207,-102.552,
"Angola, IN",2025-08-01,10.0,10.0,0.0,0.0,0.0,0.0,140.0,2.0,,,,41.6433,-85.005,
"Ann Arbor, MI",2025-08-01,98.0,60.0,0.0,0.0,38.0,38.0,1281.0,734.0,373875.0,3.4262788365095287,1.9632230023403545,42.2759,-83.731,
"Anniston, AL",2025-08-01,9.0,9.0,0.0,0.0,0.0,0.0,151.0,12.0,116427.0,1.2969500201843216,0.10306887577623747,33.6712,-85.8135,
