name,date,affordability_index,lat,lng,one_year_change,one_year_date,population
"Abilene, TX",2026-08-01,0.3578102514586102,32.4543,-99.7384,0.09015745470333425,2025-08-01,184278.0
"Akron, OH",2026-08-01,0.2046141492824559,41.0798,-81.5219,0.004963863408339597,2025-08-01,702209.0
"Albany, GA",2026-08-01,0.2193312420432596,31.5776,-84.1762,-0.0042837785511253,2025-08-01,145451.0
"Albany, NY",2026-08-01,0.2192394873915925,42.6664,-73.7987,0.003101037551190483,2025-08-01,913485.0
"Albany, OR",2026-08-01,0.2235894414383994,44.6272,-123.0965,-0.00427404575345991,2025-08-01,132474.0
"Albuquerque, NM",2026-08-01,0.2195624388376486,35.1054,-106.6465,-0.003814155881123521,2025-08-01,926303.0
"Alexandria, LA",2026-08-01,0.2166936077471933,31.2923,-92.4702,-0.004902459604635201,2025-08-01,148008.0
"Allentown, PA",2026-08-01,0.2487385568806071,40.5961,-75.4756,0.00012688848724448643,2025-08-01,886418.0
"Altoona, PA",2026-08-01,0.1749937022590747,40.5082,-78.4007,0.007492450975093906,2025-08-01,120269.0
"Amarillo, TX",2026-08-01,0.2085636807390636,35.1984,-101.8316,0.005240757641283678,2025-08-01,274650.0
"Ames, IA",2026-08-01,0.1709072248552088,42.0256,-93.6217,-0.0005258287528273065,2025-08-01,129227.0
"Anchorage, AK",2026-08-01,0.196108379475663,61.1508,-149.1091,0.0024798678427215004,2025-08-01,407213.0
"Ann Arbor, MI",2026-08-01,0.2473176179569615,42.2759,-83.731,-0.0036525822197209235,2025-08-01,373875.0
"Anniston, AL",2026-08-01,0.2115814062299231,33.6712,-85.8135,0.0011497972563033199,2025-08-01,116427.0
"Appleton, WI",2026-08-01,0.1701884479142057,44.278,-88.3892,0.0023033710665320006,2025-08-01,248992.0
"Asheville, NC",2026-08-01,0.2432033518139911,35.5707,-82.5537,-0.005730672726425884,2025-08-01,422333.0
"Athens, GA",2026-08-01,0.2825022255092126,33.9508,-83.3689,-0.0008189677265881823,2025-08-01,223689.0
"Atlanta, GA",2026-08-01,0.2247528415328443,33.7628,-84.422,-0.002302404102939304,2025-08-01,6411149.0
"Atlantic City, NJ",2026-08-01,0.2932335702742979,39.3797,-74.4527,0.010309348740696833,2025-08-01,372989.0
"Auburn, AL",2026-08-01,0.2659200236777951,32.6087,-85.4903,0.004615114981354307,2025-08-01,206006.0
"Augusta, GA",2026-08-01,0.2349884498200597,33.3645,-82.0708,-0.0015975370288457968,2025-08-01,636760.0
"Austin, TX",2026-08-01,0.1867117141394619,30.3005,-97.7522,-0.0075033271116916045,2025-08-01,2550637.0
"Bakersfield, CA",2026-08-01,0.2825000103347049,35.3529,-119.0359,-0.003288444193632889,2025-08-01,922529.0
"Baltimore, MD",2026-08-01,0.2213656515211484,39.3051,-76.6144,-0.0009005273448257078,2025-08-01,2859024.0
"Bangor, ME",2026-08-01,0.2643005852124902,44.8323,-68.7906,0.0019111323689744997,2025-08-01,156840.0
"Barnstable Town, MA",2026-08-01,0.3588691386057204,,,0.0023401585524222,2025-08-01,232570.0
"Baton Rouge, LA",2026-08-01,0.228718217038155,30.442,-91.1311,0.00015047331306872191,2025-08-01,882652.0
"Battle Creek, MI",2026-08-01,0.1917922386871951,42.2985,-85.2296,0.005231862135635618,2025-08-01,133785.0
"Bay City, MI",2026-08-01,0.1912942864168763,43.5902,-83.8887,-0.003370207774981898,2025-08-01,102651.0
"Beaumont, TX",2026-08-01,0.2213172493931888,30.0849,-94.1451,-0.00023265988534848514,2025-08-01,398733.0
"Beckley, WV",2026-08-01,0.2292911141724227,37.7877,-81.1841,-0.010616077818751402,2025-08-01,110979.0
"Bellingham, WA",2026-08-01,0.2552183594077225,48.7548,-122.469,-0.0046297153798498525,2025-08-01,234954.0
"Bend, OR",2026-08-01,0.2577982993002697,44.0563,-121.3095,0.0007255639950836112,2025-08-01,264407.0
"Billings, MT",2026-08-01,0.2065447150372454,45.7891,-108.5526,0.000889153057089892,2025-08-01,192531.0
"Binghamton, NY",2026-08-01,0.2291983556958234,42.1014,-75.9093,0.0033389304048916935,2025-08-01,243971.0
"Birmingham, AL",2026-08-01,0.2161382005403135,33.5279,-86.7971,-0.0035023949498849127,2025-08-01,1192583.0
"Bismarck, ND",2026-08-01,0.1733838255725156,46.8143,-100.7694,0.0014295289545491197,2025-08-01,139183.0
"Blacksburg, VA",2026-08-01,0.2808635248509513,37.23,-80.4279,0.00970027480210156,2025-08-01,182041.0
"Bloomington, IL",2026-08-01,0.1812370150736407,40.4757,-88.9703,0.000915129253058311,2025-08-01,172069.0
"Bloomington, IN",2026-08-01,0.2429720882195147,39.1637,-86.5257,-0.00023040218054751205,2025-08-01,162553.0
"Bloomsburg, PA",2026-08-01,0.2019981649005195,41.0027,-76.4561,0.011582560812767706,2025-08-01,
"Boise City, ID",2026-08-01,0.2389596344031632,,,0.005556103521216799,2025-08-01,845877.0
"Boston, MA",2026-08-01,0.2990276900814302,42.3188,-71.0852,-0.0011030787449344825,2025-08-01,5025517.0
"Boulder, CO",2026-08-01,0.2453508760102943,40.0248,-105.2524,-0.005382181510003331,2025-08-01,330262.0
"Bowling Green, KY",2026-08-01,0.2114310341063762,36.9716,-86.4378,-0.0017330971236813875,2025-08-01,195159.0
"Bozeman, MT",2026-08-01,0.2293713323736497,45.6833,-111.0558,-0.0030672609379864824,2025-08-01,126984.0
"Bremerton, WA",2026-08-01,0.209727788909853,47.5436,-122.7121,0.00019538414783829006,2025-08-01,281420.0
"Bridgeport, CT",2026-08-01,0.2792175133031308,41.1918,-73.1954,-0.00040550591273386116,2025-08-01,972679.0
"Brownsville, TX",2026-08-01,0.3059509862003484,25.9975,-97.458,0.0016328438971006665,2025-08-01,431874.0
"Brunswick, GA",2026-08-01,0.2627462208196843,31.1449,-81.4746,-0.003664692221616195,2025-08-01,117135.0
"Buffalo, NY",2026-08-01,0.2255390963610722,42.9018,-78.8487,0.0004755071442194836,2025-08-01,1160172.0
"Burlington, NC",2026-08-01,0.224582732176711,36.076,-79.4685,-0.00178237298715192,2025-08-01,183040.0
"Burlington, VT",2026-08-01,0.2707000393518924,44.4876,-73.2316,-0.00518994691538599,2025-08-01,229445.0
"California, MD",2026-08-01,0.2123396181115748,38.2969,-76.4949,-0.006387376577730197,2025-08-01,
"Canton, OH",2026-08-01,0.1822443317034084,40.8078,-81.3676,0.003657928927301407,2025-08-01,400551.0
