name,date,zori,lat,lng,one_year_change,one_year_date,population
"Atlanta, GA",2026-03-01,1807.9933149144365,33.7628,-84.422,1.5800490336350448,2025-03-01,6411149.0
"Austin, TX",2026-03-01,1563.2481090115027,30.3005,-97.7522,-2.3656771176053137,2025-03-01,2550637.0
"Baltimore, MD",2026-03-01,1857.133568376452,39.3051,-76.6144,2.4599778739674116,2025-03-01,2859024.0
"Birmingham, AL",2026-03-01,1405.9765644666438,33.5279,-86.7971,1.6467558408933547,2025-03-01,1192583.0
"Boston, MA",2026-03-01,3097.7323271060063,42.3188,-71.0852,1.9076426751572617,2025-03-01,5025517.0
"Buffalo, NY",2026-03-01,1374.310884598038,42.9018,-78.8487,3.587115341550806,2025-03-01,1160172.0
"Charlotte, NC",2026-03-01,1715.7586937668027,35.2083,-80.8303,0.5271279221823022,2025-03-01,2883370.0
"Chicago, IL",2026-03-01,2132.285103756572,41.8375,-87.6866,5.460287712744072,2025-03-01,9408576.0
"Cincinnati, OH",2026-03-01,1535.7346891668803,39.1413,-84.506,3.534601239038304,2025-03-01,2302815.0
"Cleveland, OH",2026-03-01,1393.5310094497725,41.4764,-81.6805,5.02400292390901,2025-03-01,2171877.0
"Columbus, OH",2026-03-01,1484.2623704459393,39.9862,-82.9855,1.7173655741419047,2025-03-01,2225377.0
"Dallas, TX",2026-03-01,1630.3725705029492,32.7935,-96.7667,0.1543805577532087,2025-03-01,8344032.0
"Denver, CO",2026-03-01,1843.742786799073,39.762,-104.8758,-0.9768635874893072,2025-03-01,3052498.0
"Detroit, MI",2026-03-01,1461.3825480622434,42.3834,-83.1024,2.407599032596952,2025-03-01,4400578.0
"Grand Rapids, MI",2026-03-01,1643.6446324623575,42.9619,-85.6562,3.820135072747477,2025-03-01,1178826.0
"Hartford, CT",2026-03-01,1885.548553557386,41.7661,-72.6834,2.5055192066818943,2025-03-01,1169048.0
"Houston, TX",2026-03-01,1619.5244699196417,29.786,-95.3885,-0.4396052136297346,2025-03-01,7796182.0
"Indianapolis, IN",2026-03-01,1486.129989785832,39.7771,-86.1458,2.6119668156881826,2025-03-01,2174833.0
"Jacksonville, FL",2026-03-01,1666.341413941581,30.3322,-81.6749,0.7058571496622701,2025-03-01,1760548.0
"Kansas City, MO",2026-03-01,1480.6952410608956,39.1238,-94.5541,3.5349082086193473,2025-03-01,2253579.0
"Las Vegas, NV",2026-03-01,1719.7542213393026,36.2333,-115.2654,-0.07636590875249594,2025-03-01,2398871.0
"Los Angeles, CA",2026-03-01,2884.124774777187,34.1141,-118.4068,1.1040130248131552,2025-03-01,12927614.0
"Louisville, KY",2026-03-01,1360.5908216909836,38.1663,-85.6485,1.9454596151006864,2025-03-01,
"Memphis, TN",2026-03-01,1421.1352726061184,35.1087,-89.9663,1.2118163933965809,2025-03-01,1339345.0
"Miami, FL",2026-03-01,2654.1438680133983,25.784,-80.2101,0.5470921357435543,2025-03-01,6457988.0
"Milwaukee, WI",2026-03-01,1483.9651573746405,43.0642,-87.9675,3.451719641259321,2025-03-01,1574452.0
"Minneapolis, MN",2026-03-01,1664.4418048535483,44.9635,-93.2678,3.9782875163602682,2025-03-01,3757952.0
"Nashville, TN",2026-03-01,1776.7647901327612,36.1715,-86.7842,0.2104574036692508,2025-03-01,2150553.0
"New York, NY",2026-03-01,3258.384199753898,40.6943,-73.9249,4.235863537784512,2025-03-01,19940274.0
"Oklahoma City, OK",2026-03-01,1359.3621842867126,35.4676,-97.5136,2.631751764649226,2025-03-01,1497821.0
"Orlando, FL",2026-03-01,1922.3659430191096,28.4773,-81.337,0.23921649988567495,2025-03-01,2940513.0
"Philadelphia, PA",2026-03-01,1858.8106246974312,40.0077,-75.1339,3.146970843456187,2025-03-01,6330422.0
"Phoenix, AZ",2026-03-01,1723.9049767234983,33.5722,-112.0892,-0.6673321696849421,2025-03-01,5186958.0
"Pittsburgh, PA",2026-03-01,1446.134227631463,40.4397,-79.9763,3.8451222804518403,2025-03-01,2429917.0
"Portland, OR",2026-03-01,1778.7336113477284,45.5371,-122.65,0.9289525334526871,2025-03-01,2537904.0
"Providence, RI",2026-03-01,2094.635044472318,41.823,-71.4187,4.82077489410162,2025-03-01,1700901.0
"Raleigh, NC",2026-03-01,1650.8760004747485,35.8324,-78.6429,0.1936854816332767,2025-03-01,1562009.0
"Richmond, VA",2026-03-01,1658.2028477040217,37.5295,-77.4756,3.9409972152079753,2025-03-01,1370165.0
"Riverside, CA",2026-03-01,2477.9727378202124,33.9381,-117.3949,1.7424004736390941,2025-03-01,4744214.0
"Sacramento, CA",2026-03-01,2211.4823274410774,38.5677,-121.4685,2.100604820364116,2025-03-01,2463127.0
"Salt Lake City, UT",2026-03-01,1598.869911061601,40.7776,-111.9311,-0.6506409948628833,2025-03-01,1300762.0
"San Antonio, TX",2026-03-01,1391.7987271825916,29.4632,-98.5238,-1.5959096537608075,2025-03-01,2763006.0
"San Diego, CA",2026-03-01,2871.4440038425814,32.8313,-117.1222,1.5693508246379384,2025-03-01,3298799.0
"San Francisco, CA",2026-03-01,3103.0446242787534,37.7558,-122.4449,6.318344076827254,2025-03-01,4648486.0
"San Jose, CA",2026-03-01,3430.8720672018244,37.3012,-121.848,5.125745230755729,2025-03-01,1995484.0
"Seattle, WA",2026-03-01,2181.272552770515,47.6211,-122.3244,1.826780355695079,2025-03-01,4145494.0
"St. Louis, MO",2026-03-01,1395.1906806482286,38.6359,-90.2451,3.5267534574389137,2025-03-01,2811927.0
"Tampa, FL",2026-03-01,1975.9318112038509,27.9945,-82.4447,-1.378297458578348,2025-03-01,3424560.0
"Virginia Beach, VA",2026-03-01,1786.6878754113288,36.7335,-76.0435,5.70451439525137,2025-03-01,1794278.0
"Washington, DC",2026-03-01,2331.413621679168,38.9047,-77.0163,0.20769236652140588,2025-03-01,6436489.0
