name,lat,lng,population
"New York, NY",40.6943,-73.9249,18832416
"Los Angeles, CA",34.1141,-118.4068,11885717
"Chicago, IL",41.8375,-87.6866,8489066
"Miami, FL",25.784,-80.2101,6113982
"Houston, TX",29.786,-95.3885,6046392
"Dallas, TX",32.7935,-96.7667,5843632
"Philadelphia, PA",40.0077,-75.1339,5696588
"Atlanta, GA",33.7628,-84.422,5211164
"Washington, DC",38.9047,-77.0163,5146120
"Boston, MA",42.3188,-71.0852,4355184
"Phoenix, AZ",33.5722,-112.0892,4065338
"Detroit, MI",42.3834,-83.1024,3716929
"Seattle, WA",47.6211,-122.3244,3555253
"San Francisco, CA",37.7558,-122.4449,3364862
"San Diego, CA",32.8313,-117.1222,3057778
"Minneapolis, MN",44.9635,-93.2678,2906807
"Tampa, FL",27.9945,-82.4447,2906035
"Brooklyn, NY",40.6501,-73.9496,2736074
"Denver, CO",39.762,-104.8758,2691349
"Queens, NY",40.7498,-73.7976,2405464
"Riverside, CA",33.9381,-117.3949,2288508
"Las Vegas, NV",36.2333,-115.2654,2256509
"Baltimore, MD",39.3051,-76.6144,2189589
"St. Louis, MO",38.6359,-90.2451,2127843
"Portland, OR",45.5371,-122.65,2084045
"San Antonio, TX",29.4632,-98.5238,2069843
"Sacramento, CA",38.5677,-121.4685,1962998
"Austin, TX",30.3005,-97.7522,1915031
"Orlando, FL",28.4773,-81.337,1913597
"San Juan, PR",18.3985,-66.061,1809800
"San Jose, CA",37.3012,-121.848,1771563
"Indianapolis, IN",39.7771,-86.1458,1740984
"Pittsburgh, PA",40.4397,-79.9763,1712828
"Cincinnati, OH",39.1413,-84.506,1704916
"Manhattan, NY",40.7834,-73.9662,1694263
"Kansas City, MO",39.1238,-94.5541,1686807
"Cleveland, OH",41.4764,-81.6805,1679247
"Columbus, OH",39.9862,-82.9855,1578153
"Bronx, NY",40.8501,-73.8662,1472654
"Charlotte, NC",35.2083,-80.8303,1436613
"Virginia Beach, VA",36.7335,-76.0435,1431821
"Jacksonville, FL",30.3322,-81.6749,1303156
"Milwaukee, WI",43.0642,-87.9675,1290221
"Providence, RI",41.823,-71.4187,1270529
