Name,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,date,multi_total
"Aberdeen, SD",5.0,5.0,0.0,0.0,0.0,2026-04-01,0.0
"Aberdeen, WA",18.0,18.0,0.0,0.0,0.0,2026-04-01,0.0
"Abilene, TX",145.0,117.0,28.0,0.0,0.0,2026-04-01,28.0
"Ada, OK",4.0,4.0,0.0,0.0,0.0,2026-04-01,0.0
"Adrian, MI",15.0,15.0,0.0,0.0,0.0,2026-04-01,0.0
"Akron, OH",62.0,62.0,0.0,0.0,0.0,2026-04-01,0.0
"Alamogordo, NM",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Alamosa, CO",18.0,16.0,2.0,0.0,0.0,2026-04-01,2.0
"Albany, GA",22.0,16.0,0.0,0.0,6.0,2026-04-01,6.0
"Albany, OR",17.0,11.0,2.0,4.0,0.0,2026-04-01,6.0
"Albany, NY",194.0,99.0,8.0,15.0,72.0,2026-04-01,95.0
"Albemarle, NC",31.0,31.0,0.0,0.0,0.0,2026-04-01,0.0
"Albert Lea, MN",4.0,4.0,0.0,0.0,0.0,2026-04-01,0.0
"Albertville, AL",17.0,17.0,0.0,0.0,0.0,2026-04-01,0.0
"Albuquerque, NM",227.0,178.0,0.0,0.0,49.0,2026-04-01,49.0
"Alexander City, AL",18.0,18.0,0.0,0.0,0.0,2026-04-01,0.0
"Alexandria, LA",28.0,28.0,0.0,0.0,0.0,2026-04-01,0.0
"Alexandria, MN",39.0,22.0,0.0,0.0,17.0,2026-04-01,17.0
"Alice, TX",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Allentown, PA",149.0,103.0,2.0,3.0,41.0,2026-04-01,46.0
"Alma, MI",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Alpena, MI",11.0,6.0,0.0,0.0,5.0,2026-04-01,5.0
"Altoona, PA",7.0,5.0,2.0,0.0,0.0,2026-04-01,2.0
"Altus, OK",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Amarillo, TX",196.0,59.0,0.0,0.0,137.0,2026-04-01,137.0
"Americus, GA",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Ames, IA",31.0,28.0,0.0,3.0,0.0,2026-04-01,3.0
"Amherst Town, MA",23.0,7.0,6.0,0.0,10.0,2026-04-01,16.0
"Amsterdam, NY",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Anchorage, AK",26.0,19.0,2.0,0.0,5.0,2026-04-01,7.0
"Anderson Creek, NC",204.0,204.0,0.0,0.0,0.0,2026-04-01,0.0
"Andrews, TX",6.0,6.0,0.0,0.0,0.0,2026-04-01,0.0
"Angola, IN",17.0,17.0,0.0,0.0,0.0,2026-04-01,0.0
"Ann Arbor, MI",147.0,45.0,0.0,4.0,98.0,2026-04-01,102.0
"Anniston, AL",6.0,4.0,2.0,0.0,0.0,2026-04-01,2.0
"Appleton, WI",162.0,60.0,4.0,0.0,98.0,2026-04-01,102.0
"Arcadia, FL",16.0,16.0,0.0,0.0,0.0,2026-04-01,0.0
"Ardmore, OK",5.0,5.0,0.0,0.0,0.0,2026-04-01,0.0
"Arkadelphia, AR",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"Arkansas City, KS",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Asheville, NC",690.0,212.0,2.0,0.0,476.0,2026-04-01,478.0
"Ashland, OH",7.0,7.0,0.0,0.0,0.0,2026-04-01,0.0
"Astoria, OR",7.0,7.0,0.0,0.0,0.0,2026-04-01,0.0
"Atchison, KS",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"Athens, OH",13.0,0.0,0.0,0.0,13.0,2026-04-01,13.0
"Athens, TN",23.0,20.0,0.0,3.0,0.0,2026-04-01,3.0
"Athens, TX",14.0,14.0,0.0,0.0,0.0,2026-04-01,0.0
"Athens, GA",142.0,59.0,0.0,0.0,83.0,2026-04-01,83.0
"Atlanta, GA",4115.0,2085.0,12.0,25.0,1993.0,2026-04-01,2030.0
"Atlantic City, NJ",121.0,113.0,8.0,0.0,0.0,2026-04-01,8.0
"Auburn, IN",9.0,9.0,0.0,0.0,0.0,2026-04-01,0.0
"Auburn, NY",6.0,6.0,0.0,0.0,0.0,2026-04-01,0.0
"Auburn, AL",170.0,170.0,0.0,0.0,0.0,2026-04-01,0.0
"Augusta, GA",324.0,313.0,0.0,4.0,7.0,2026-04-01,11.0
"Augusta, ME",50.0,40.0,0.0,0.0,10.0,2026-04-01,10.0
"Austin, MN",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Austin, TX",1511.0,1386.0,72.0,17.0,36.0,2026-04-01,125.0
"Bainbridge, GA",17.0,7.0,0.0,0.0,10.0,2026-04-01,10.0
"Baker City, OR",6.0,6.0,0.0,0.0,0.0,2026-04-01,0.0
"Bakersfield, CA",270.0,240.0,20.0,0.0,10.0,2026-04-01,30.0
"Baltimore, MD",796.0,343.0,2.0,0.0,451.0,2026-04-01,453.0
"Bangor, ME",59.0,59.0,0.0,0.0,0.0,2026-04-01,0.0
"Baraboo, WI",86.0,30.0,0.0,0.0,56.0,2026-04-01,56.0
"Barnstable Town, MA",28.0,19.0,0.0,4.0,5.0,2026-04-01,9.0
"Barre, VT",16.0,14.0,2.0,0.0,0.0,2026-04-01,2.0
"Bartlesville, OK",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Batavia, NY",7.0,7.0,0.0,0.0,0.0,2026-04-01,0.0
"Batesville, AR",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Baton Rouge, LA",316.0,252.0,2.0,0.0,62.0,2026-04-01,64.0
"Battle Creek, MI",14.0,14.0,0.0,0.0,0.0,2026-04-01,0.0
"Bay City, MI",8.0,3.0,0.0,0.0,5.0,2026-04-01,5.0
"Bay City, TX",20.0,20.0,0.0,0.0,0.0,2026-04-01,0.0
"Beatrice, NE",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Beaumont, TX",94.0,78.0,2.0,0.0,14.0,2026-04-01,16.0
"Beaver Dam, WI",11.0,11.0,0.0,0.0,0.0,2026-04-01,0.0
"Beckley, WV",11.0,11.0,0.0,0.0,0.0,2026-04-01,0.0
"Bedford, IN",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"Beeville, TX",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"Bellefontaine, OH",11.0,11.0,0.0,0.0,0.0,2026-04-01,0.0
"Bellingham, WA",67.0,55.0,12.0,0.0,0.0,2026-04-01,12.0
"Bemidji, MN",15.0,6.0,0.0,0.0,9.0,2026-04-01,9.0
"Bend, OR",193.0,147.0,16.0,3.0,27.0,2026-04-01,46.0
"Bennington, VT",9.0,9.0,0.0,0.0,0.0,2026-04-01,0.0
"Big Rapids, MI",13.0,13.0,0.0,0.0,0.0,2026-04-01,0.0
"Big Spring, TX",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Billings, MT",64.0,45.0,0.0,19.0,0.0,2026-04-01,19.0
"Binghamton, NY",36.0,14.0,0.0,0.0,22.0,2026-04-01,22.0
"Birmingham, AL",367.0,316.0,2.0,0.0,49.0,2026-04-01,51.0
"Bishop, CA",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Bismarck, ND",46.0,46.0,0.0,0.0,0.0,2026-04-01,0.0
"Blackfoot, ID",21.0,21.0,0.0,0.0,0.0,2026-04-01,0.0
"Blacksburg, VA",32.0,32.0,0.0,0.0,0.0,2026-04-01,0.0
"Bloomington, IL",25.0,25.0,0.0,0.0,0.0,2026-04-01,0.0
"Bloomington, IN",27.0,27.0,0.0,0.0,0.0,2026-04-01,0.0
"Bloomsburg, PA",16.0,16.0,0.0,0.0,0.0,2026-04-01,0.0
"Bluefield, WV",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Blytheville, AR",4.0,4.0,0.0,0.0,0.0,2026-04-01,0.0
"Bogalusa, LA",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Boise City, ID",934.0,727.0,16.0,34.0,157.0,2026-04-01,207.0
"Bonham, TX",20.0,20.0,0.0,0.0,0.0,2026-04-01,0.0
"Boone, NC",30.0,28.0,2.0,0.0,0.0,2026-04-01,2.0
"Borger, TX",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Boston, MA",884.0,394.0,34.0,7.0,449.0,2026-04-01,490.0
"Boulder, CO",51.0,51.0,0.0,0.0,0.0,2026-04-01,0.0
"Bowling Green, KY",90.0,74.0,0.0,0.0,16.0,2026-04-01,16.0
"Bozeman, MT",104.0,59.0,8.0,7.0,30.0,2026-04-01,45.0
"Bradford, PA",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Brainerd, MN",237.0,92.0,0.0,3.0,142.0,2026-04-01,145.0
"Branson, MO",97.0,97.0,0.0,0.0,0.0,2026-04-01,0.0
"Brattleboro, VT",14.0,11.0,0.0,3.0,0.0,2026-04-01,3.0
"Breckenridge, CO",21.0,16.0,0.0,0.0,5.0,2026-04-01,5.0
"Bremerton, WA",130.0,52.0,2.0,4.0,72.0,2026-04-01,78.0
"Brenham, TX",16.0,16.0,0.0,0.0,0.0,2026-04-01,0.0
"Brevard, NC",16.0,16.0,0.0,0.0,0.0,2026-04-01,0.0
"Bridgeport, CT",96.0,41.0,6.0,18.0,31.0,2026-04-01,55.0
"Brigham City, UT",33.0,33.0,0.0,0.0,0.0,2026-04-01,0.0
"Brookhaven, MS",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Brookings, OR",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Brookings, SD",43.0,40.0,0.0,3.0,0.0,2026-04-01,3.0
"Brownsville, TX",232.0,174.0,12.0,3.0,43.0,2026-04-01,58.0
"Brownwood, TX",11.0,11.0,0.0,0.0,0.0,2026-04-01,0.0
"Brunswick, GA",55.0,53.0,2.0,0.0,0.0,2026-04-01,2.0
"Bucyrus, OH",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Buffalo, NY",145.0,90.0,0.0,31.0,24.0,2026-04-01,55.0
"Burley, ID",22.0,22.0,0.0,0.0,0.0,2026-04-01,0.0
"Burlington, IA",7.0,2.0,0.0,0.0,5.0,2026-04-01,5.0
"Burlington, NC",174.0,174.0,0.0,0.0,0.0,2026-04-01,0.0
"Burlington, VT",40.0,33.0,2.0,0.0,5.0,2026-04-01,7.0
"Butte, MT",10.0,7.0,0.0,3.0,0.0,2026-04-01,3.0
"Cadillac, MI",23.0,8.0,0.0,0.0,15.0,2026-04-01,15.0
"Calhoun, GA",30.0,30.0,0.0,0.0,0.0,2026-04-01,0.0
"Cambridge, MD",9.0,9.0,0.0,0.0,0.0,2026-04-01,0.0
"Cambridge, OH",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Camden, AR",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Campbellsville, KY",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Canton, IL",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Canton, OH",72.0,50.0,4.0,6.0,12.0,2026-04-01,22.0
"Cape Coral, FL",1382.0,678.0,20.0,0.0,684.0,2026-04-01,704.0
"Cape Girardeau, MO",10.0,10.0,0.0,0.0,0.0,2026-04-01,0.0
"Carbondale, IL",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Carlsbad, NM",29.0,29.0,0.0,0.0,0.0,2026-04-01,0.0
"Carroll, IA",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Carson City, NV",41.0,28.0,0.0,0.0,13.0,2026-04-01,13.0
"Casper, WY",13.0,13.0,0.0,0.0,0.0,2026-04-01,0.0
"Cañon City, CO",15.0,15.0,0.0,0.0,0.0,2026-04-01,0.0
"Cedar City, UT",104.0,100.0,0.0,4.0,0.0,2026-04-01,4.0
"Cedar Rapids, IA",168.0,56.0,4.0,4.0,104.0,2026-04-01,112.0
"Cedartown, GA",26.0,11.0,0.0,0.0,15.0,2026-04-01,15.0
"Celina, OH",13.0,11.0,2.0,0.0,0.0,2026-04-01,2.0
"Centralia, IL",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Centralia, WA",27.0,24.0,0.0,3.0,0.0,2026-04-01,3.0
"Chambersburg, PA",67.0,52.0,10.0,0.0,5.0,2026-04-01,15.0
"Champaign, IL",19.0,19.0,0.0,0.0,0.0,2026-04-01,0.0
"Charleston, WV",10.0,10.0,0.0,0.0,0.0,2026-04-01,0.0
"Charleston, IL",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"Charleston, SC",831.0,611.0,2.0,8.0,210.0,2026-04-01,220.0
