season,total_pts,pts_3,pts_2,pts_ft,pct_3,pct_2,pct_ft
1980,2713,96,2092,525,3.54,77.11,19.35
1981,2124,33,1604,487,1.55,75.52,22.93
1982,2819,39,2158,622,1.38,76.55,22.06
1983,2281,69,1720,492,3.02,75.41,21.57
1984,3133,87,2362,684,2.78,75.39,21.83
1985,3610,132,2662,816,3.66,73.74,22.6
1986,2257,87,1654,516,3.85,73.28,22.86
1987,4012,144,2848,1020,3.59,70.99,25.42
1988,3611,183,2610,818,5.07,72.28,22.65
1989,2867,162,2028,677,5.65,70.74,23.61
1990,3892,225,2782,885,5.78,71.48,22.74
1991,3130,231,2154,745,7.38,68.82,23.8
1992,1768,168,1220,380,9.5,69.0,21.49
1993,2543,342,1666,535,13.45,65.51,21.04
1994,1768,114,1234,420,6.45,69.8,23.76
1995,2543,447,1574,522,17.58,61.9,20.53
1996,2157,315,1386,456,14.6,64.26,21.14
1997,2084,417,1168,499,20.01,56.05,23.94
1998,1482,159,990,333,10.73,66.8,22.47
1999,381,69,218,94,18.11,57.22,24.67
2000,1769,180,1178,411,10.18,66.59,23.23
2001,3540,555,2198,787,15.68,62.09,22.23
2002,2374,438,1448,488,18.45,60.99,20.56
2003,3075,624,1730,721,20.29,56.26,23.45
2004,1767,435,966,366,24.62,54.67,20.71
2005,2950,633,1574,743,21.46,53.36,25.19
2006,4749,972,2574,1203,20.47,54.2,25.33
2007,3562,807,1866,889,22.66,52.39,24.96
2008,2552,516,1428,608,20.22,55.96,23.82
2009,3275,663,1776,836,20.24,54.23,25.53
2010,3071,555,1792,724,18.07,58.35,23.58
2011,1954,327,1182,445,16.73,60.49,22.77
2012,1257,285,674,298,22.67,53.62,23.71
2013,1538,453,754,331,29.45,49.02,21.52
2014,2573,774,1214,585,30.08,47.18,22.74
2015,2292,645,1088,559,28.14,47.47,24.39
2016,2955,999,1304,652,33.81,44.13,22.06
2017,4818,1374,2272,1172,28.52,47.16,24.33
2018,3987,1155,1992,840,28.97,49.96,21.07
2019,6111,2100,2714,1297,34.36,44.41,21.22
2020,5226,1833,2218,1175,35.07,42.44,22.48
2021,5248,1866,2448,934,35.56,46.65,17.8
2022,5262,1665,2552,1045,31.64,48.5,19.86
2023,8935,2703,4380,1852,30.25,49.02,20.73
2024,7129,2169,3580,1380,30.43,50.22,19.36
2025,6091,2061,2914,1116,33.84,47.84,18.32
2026,801,255,340,206,31.84,42.45,25.72
