season,scoring_type,percentage
1980,pct_3,0.0354
1981,pct_3,0.0155
1982,pct_3,0.0138
1983,pct_3,0.0302
1984,pct_3,0.0278
1985,pct_3,0.0366
1986,pct_3,0.0385
1987,pct_3,0.0359
1988,pct_3,0.0507
1989,pct_3,0.0565
1990,pct_3,0.057800000000000004
1991,pct_3,0.0738
1992,pct_3,0.095
1993,pct_3,0.13449999999999998
1994,pct_3,0.0645
1995,pct_3,0.17579999999999998
1996,pct_3,0.146
1997,pct_3,0.20010000000000003
1998,pct_3,0.1073
1999,pct_3,0.18109999999999998
2000,pct_3,0.1018
2001,pct_3,0.1568
2002,pct_3,0.1845
2003,pct_3,0.2029
2004,pct_3,0.2462
2005,pct_3,0.2146
2006,pct_3,0.2047
2007,pct_3,0.2266
2008,pct_3,0.2022
2009,pct_3,0.2024
2010,pct_3,0.1807
2011,pct_3,0.1673
2012,pct_3,0.2267
2013,pct_3,0.2945
2014,pct_3,0.30079999999999996
2015,pct_3,0.2814
2016,pct_3,0.3381
2017,pct_3,0.2852
2018,pct_3,0.2897
2019,pct_3,0.3436
2020,pct_3,0.3507
2021,pct_3,0.3556
2022,pct_3,0.3164
2023,pct_3,0.3025
2024,pct_3,0.3043
2025,pct_3,0.33840000000000003
2026,pct_3,0.3184
1980,pct_2,0.7711
1981,pct_2,0.7552
1982,pct_2,0.7655
1983,pct_2,0.7541
1984,pct_2,0.7539
1985,pct_2,0.7373999999999999
1986,pct_2,0.7328
1987,pct_2,0.7099
1988,pct_2,0.7228
1989,pct_2,0.7073999999999999
1990,pct_2,0.7148
1991,pct_2,0.6881999999999999
1992,pct_2,0.69
1993,pct_2,0.6551
1994,pct_2,0.698
1995,pct_2,0.619
1996,pct_2,0.6426000000000001
1997,pct_2,0.5605
1998,pct_2,0.6679999999999999
1999,pct_2,0.5722
2000,pct_2,0.6659
2001,pct_2,0.6209
2002,pct_2,0.6099
2003,pct_2,0.5626
2004,pct_2,0.5467
2005,pct_2,0.5336
2006,pct_2,0.542
2007,pct_2,0.5239
2008,pct_2,0.5596
2009,pct_2,0.5423
2010,pct_2,0.5835
2011,pct_2,0.6049
2012,pct_2,0.5362
2013,pct_2,0.4902
2014,pct_2,0.4718
2015,pct_2,0.4747
2016,pct_2,0.4413
2017,pct_2,0.47159999999999996
2018,pct_2,0.4996
2019,pct_2,0.44409999999999994
2020,pct_2,0.4244
2021,pct_2,0.46649999999999997
2022,pct_2,0.485
2023,pct_2,0.4902
2024,pct_2,0.5022
2025,pct_2,0.47840000000000005
2026,pct_2,0.42450000000000004
1980,pct_ft,0.1935
1981,pct_ft,0.2293
1982,pct_ft,0.2206
1983,pct_ft,0.2157
1984,pct_ft,0.2183
1985,pct_ft,0.226
1986,pct_ft,0.2286
1987,pct_ft,0.25420000000000004
1988,pct_ft,0.22649999999999998
1989,pct_ft,0.2361
1990,pct_ft,0.2274
1991,pct_ft,0.23800000000000002
1992,pct_ft,0.21489999999999998
1993,pct_ft,0.2104
1994,pct_ft,0.2376
1995,pct_ft,0.2053
1996,pct_ft,0.2114
1997,pct_ft,0.2394
1998,pct_ft,0.22469999999999998
1999,pct_ft,0.24670000000000003
2000,pct_ft,0.2323
2001,pct_ft,0.2223
2002,pct_ft,0.20559999999999998
2003,pct_ft,0.2345
2004,pct_ft,0.2071
2005,pct_ft,0.2519
2006,pct_ft,0.25329999999999997
2007,pct_ft,0.24960000000000002
2008,pct_ft,0.2382
2009,pct_ft,0.2553
2010,pct_ft,0.23579999999999998
2011,pct_ft,0.22769999999999999
2012,pct_ft,0.2371
2013,pct_ft,0.2152
2014,pct_ft,0.2274
2015,pct_ft,0.2439
2016,pct_ft,0.2206
2017,pct_ft,0.2433
2018,pct_ft,0.2107
2019,pct_ft,0.2122
2020,pct_ft,0.2248
2021,pct_ft,0.17800000000000002
2022,pct_ft,0.1986
2023,pct_ft,0.2073
2024,pct_ft,0.1936
2025,pct_ft,0.1832
2026,pct_ft,0.2572
