date,NASDAQCOM,UMCSENT,NASDAQCOM_yoy_change,UMCSENT_yoy_change,yoy_change_diff
1971-02-01,100.0,78.1,,,
1971-05-01,111.35,80.2,,,
1971-08-01,105.59,82.1,,,
1971-11-01,103.69,82.0,,,
1972-02-01,119.58,92.8,,,
1972-05-01,130.16,88.6,,,
1972-08-01,128.45,95.2,,,
1972-11-01,131.59,90.7,,,
1973-02-01,126.94,81.9,,,
1973-05-01,107.96,77.0,,,
1973-08-01,107.13,72.0,,,
1973-11-01,109.62,76.5,,,
1974-02-01,94.15,61.8,-5.85,-20.87067861715749,15.020678617157492
1974-05-01,87.63,72.1,-21.302200269420744,-10.099750623441405,-11.202449645979339
1974-08-01,69.63,64.4,-34.056255327209016,-21.559074299634585,-12.497181027574431
1974-11-01,65.06,59.5,-37.25528016202141,-27.439024390243905,-9.816255771777502
1975-02-01,70.73,57.6,-40.85131292858337,-37.93103448275862,-2.9202784458247493
1975-05-01,79.27,72.8,-39.0980331899201,-17.83295711060948,-21.26507607931062
1975-08-01,81.62,75.7,-36.457765667574925,-20.483193277310917,-15.974572390264008
1975-11-01,76.62,75.6,-41.77369100995516,-16.648291069459763,-25.125399940495395
1976-02-01,87.28,84.6,-31.24310697967544,3.296703296703285,-34.539810276378724
1976-05-01,89.05,83.3,-17.515746572804737,8.18181818181818,-25.697564754622917
1976-08-01,91.27,89.7,-14.804443199850647,24.583333333333336,-39.38777653318398
1976-11-01,90.39,87.0,-17.542419266557197,13.725490196078427,-31.26790946263562
1977-02-01,96.3,87.1,2.2835900159320133,40.93851132686084,-38.65492131092883
1977-05-01,95.83,90.2,9.357525961428736,25.104022191400844,-15.746496229972108
1977-08-01,100.76,89.0,44.707740916271746,38.198757763975145,6.508983152296601
1977-11-01,96.74,84.4,48.69351367968029,41.84873949579833,6.84477418388196
1978-01-01,104.0,83.7,47.03803195249541,45.3125,1.725531952495409
1978-02-01,101.54,84.3,28.09385644001514,15.796703296703306,12.297153143311835
1978-03-01,101.47,78.8,24.320019603038467,4.095112285336855,20.224907317701614
1978-04-01,105.89,81.6,38.20151396502218,7.9365079365079305,30.26500602851425
1978-05-01,115.96,82.9,32.85976168652611,-2.0094562647754,34.869217951301515
1978-06-01,120.34,80.0,35.137563166760266,-3.961584633853543,39.09914780061381
1978-07-01,120.15,82.4,31.642379752383043,-8.138238573021184,39.78061832540423
