date,SP500
2015-11-01,2086.59
2015-12-01,2102.63
2016-01-01,2012.66
2016-02-01,1939.38
2016-03-01,1978.35
2016-04-01,2072.78
2016-05-01,2081.43
2016-06-01,2099.33
2016-07-01,2102.95
2016-08-01,2170.84
2016-09-01,2170.86
2016-10-01,2161.2
2016-11-01,2111.72
2016-12-01,2191.08
2017-01-01,2257.83
2017-02-01,2279.55
2017-03-01,2395.96
2017-04-01,2358.84
2017-05-01,2388.33
2017-06-01,2430.06
2017-07-01,2429.01
2017-08-01,2476.35
2017-09-01,2476.55
2017-10-01,2529.12
2017-11-01,2579.36
2017-12-01,2642.22
2018-01-01,2695.81
2018-02-01,2821.98
2018-03-01,2677.67
2018-04-01,2581.88
2018-05-01,2654.8
2018-06-01,2734.62
2018-07-01,2726.71
2018-08-01,2813.36
2018-09-01,2896.72
2018-10-01,2924.59
2018-11-01,2740.37
2018-12-01,2790.37
2019-01-01,2510.03
2019-02-01,2706.53
2019-03-01,2803.69
2019-04-01,2867.19
2019-05-01,2923.73
2019-06-01,2744.45
2019-07-01,2964.33
2019-08-01,2953.56
2019-09-01,2906.27
2019-10-01,2940.25
2019-11-01,3066.91
2019-12-01,3113.87
2020-01-01,3257.85
2020-02-01,3248.92
2020-03-01,3090.23
2020-04-01,2470.5
2020-05-01,2830.71
2020-06-01,3055.73
2020-07-01,3115.86
2020-08-01,3294.61
2020-09-01,3526.65
2020-10-01,3380.8
2020-11-01,3310.24
2020-12-01,3662.45
2021-01-01,3700.65
2021-02-01,3773.86
2021-03-01,3901.82
2021-04-01,4019.87
2021-05-01,4192.66
2021-06-01,4202.04
2021-07-01,4319.94
2021-08-01,4387.16
2021-09-01,4524.09
2021-10-01,4357.04
2021-11-01,4613.67
2021-12-01,4513.04
2022-01-01,4796.56
2022-02-01,4546.54
2022-03-01,4306.26
2022-04-01,4545.86
2022-05-01,4155.38
2022-06-01,4101.23
2022-07-01,3825.33
2022-08-01,4118.63
2022-09-01,3966.85
2022-10-01,3678.43
2022-11-01,3856.1
2022-12-01,4076.57
2023-01-01,3824.14
2023-02-01,4119.21
2023-03-01,3951.39
2023-04-01,4124.51
2023-05-01,4167.87
2023-06-01,4221.02
2023-07-01,4455.59
2023-08-01,4576.73
2023-09-01,4515.77
2023-10-01,4288.39
2023-11-01,4237.86
2023-12-01,4594.63
2024-01-01,4742.83
2024-02-01,4906.19
2024-03-01,5137.08
2024-04-01,5243.77
2024-05-01,5018.39
2024-06-01,5283.4
2024-07-01,5475.09
2024-08-01,5446.68
2024-09-01,5528.93
2024-10-01,5708.75
2024-11-01,5728.8
2024-12-01,6047.15
2025-01-01,5868.55
2025-02-01,5994.57
2025-03-01,5849.72
2025-04-01,5633.07
2025-05-01,5604.14
2025-06-01,5935.94
2025-07-01,6198.01
2025-08-01,6238.01
2025-09-01,6415.54
2025-10-01,6711.2
2025-11-01,6851.97
