date,hurricanes_win,hornets_win,panthers_win,total_wins,winning_teams,winning_leagues
2000-09-03,0.0,0.0,0.0,0.0,[],[]
2000-09-10,0.0,0.0,1.0,1.0,['Panthers'],['NFL']
2000-09-17,0.0,0.0,0.0,0.0,[],[]
2000-10-01,0.0,0.0,0.0,0.0,[],[]
2000-10-07,0.0,0.0,0.0,0.0,[],[]
2000-10-08,0.0,0.0,1.0,1.0,['Panthers'],['NFL']
2000-10-10,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-10-13,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-10-14,0.0,0.0,0.0,0.0,[],[]
2000-10-15,0.0,0.0,0.0,0.0,[],[]
2000-10-18,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-10-21,0.0,0.0,0.0,0.0,[],[]
2000-10-22,0.0,0.0,1.0,1.0,['Panthers'],['NFL']
2000-10-24,0.0,0.0,0.0,0.0,[],[]
2000-10-25,0.0,0.0,0.0,0.0,[],[]
2000-10-27,0.0,0.0,0.0,0.0,[],[]
2000-10-29,0.0,0.0,0.0,0.0,[],[]
2000-10-31,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-11-03,0.0,0.0,0.0,0.0,[],[]
2000-11-04,0.0,0.0,0.0,0.0,[],[]
2000-11-05,0.0,0.0,1.0,1.0,['Panthers'],['NFL']
2000-11-08,0.0,0.0,0.0,0.0,[],[]
2000-11-10,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-11-12,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-11-15,0.0,0.0,0.0,0.0,[],[]
2000-11-16,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-11-18,0.0,0.0,0.0,0.0,[],[]
2000-11-19,0.0,0.0,0.0,0.0,[],[]
2000-11-22,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-11-24,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-11-26,0.0,0.0,0.0,0.0,[],[]
2000-11-27,0.0,0.0,1.0,1.0,['Panthers'],['NFL']
2000-11-29,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-11-30,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-12-03,0.0,0.0,1.0,1.0,['Panthers'],['NFL']
2000-12-06,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-12-09,0.0,0.0,0.0,0.0,[],[]
2000-12-10,0.0,0.0,0.0,0.0,[],[]
2000-12-13,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-12-15,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-12-16,0.0,0.0,0.0,0.0,[],[]
2000-12-17,0.0,0.0,1.0,1.0,['Panthers'],['NFL']
2000-12-19,0.0,0.0,0.0,0.0,[],[]
2000-12-23,0.0,0.0,0.0,0.0,[],[]
2000-12-24,0.0,0.0,0.0,0.0,[],[]
2000-12-26,0.0,0.0,0.0,0.0,[],[]
2000-12-27,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2000-12-29,0.0,0.0,0.0,0.0,[],[]
2000-12-31,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-01-03,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-01-06,0.0,0.0,0.0,0.0,[],[]
2001-01-07,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-01-09,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-01-12,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-01-14,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-01-16,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-01-18,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-01-20,0.0,0.0,0.0,0.0,[],[]
2001-01-22,0.0,0.0,0.0,0.0,[],[]
2001-01-24,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-01-27,0.0,0.0,0.0,0.0,[],[]
2001-01-29,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-01-31,0.0,0.0,0.0,0.0,[],[]
2001-02-01,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-02-07,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-02-08,0.0,0.0,0.0,0.0,[],[]
2001-02-11,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-02-14,0.0,0.0,0.0,0.0,[],[]
2001-02-16,0.0,0.0,0.0,0.0,[],[]
2001-02-18,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-02-19,0.0,0.0,0.0,0.0,[],[]
2001-02-21,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-02-23,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-02-24,0.0,0.0,0.0,0.0,[],[]
2001-02-27,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-03-01,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-03-02,0.0,0.0,0.0,0.0,[],[]
2001-03-04,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-03-07,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-03-08,0.0,0.0,0.0,0.0,[],[]
2001-03-11,0.0,0.0,0.0,0.0,[],[]
2001-03-14,0.0,0.0,0.0,0.0,[],[]
2001-03-15,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-03-18,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-03-21,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-03-23,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
