date,nc_panthers_win
2000-09-03,0
2000-09-10,1
2000-09-17,0
2000-10-01,0
2000-10-08,1
2000-10-15,0
2000-10-22,1
2000-10-29,0
2000-11-05,1
2000-11-12,0
2000-11-19,0
2000-11-27,1
2000-12-03,1
2000-12-10,0
2000-12-17,1
2000-12-24,0
2001-09-09,1
2001-09-23,0
2001-09-30,0
2001-10-07,0
2001-10-14,0
2001-10-21,0
2001-10-28,0
2001-11-04,0
2001-11-11,0
2001-11-18,0
2001-11-25,0
2001-12-02,0
2001-12-09,0
2001-12-23,0
2001-12-30,0
2002-01-06,0
2002-09-08,1
2002-09-15,1
2002-09-22,1
2002-09-29,0
2002-10-06,0
2002-10-13,0
2002-10-20,0
2002-10-27,0
2002-11-10,0
2002-11-17,0
2002-11-24,0
2002-12-01,1
2002-12-08,1
2002-12-15,0
2002-12-22,1
2002-12-29,1
2003-09-07,1
2003-09-14,1
2003-09-28,1
2003-10-05,1
2003-10-12,1
2003-10-19,0
2003-10-26,1
2003-11-02,0
2003-11-09,1
2003-11-16,1
2003-11-23,0
2003-11-30,0
2003-12-07,0
2003-12-14,1
2003-12-21,1
2003-12-28,1
2004-01-03,1
2004-01-10,1
2004-01-18,1
2004-02-01,0
2004-09-13,0
2004-09-19,1
2004-10-03,0
2004-10-10,0
2004-10-17,0
2004-10-24,0
2004-10-31,0
2004-11-07,0
2004-11-14,1
2004-11-21,1
2004-11-28,1
2004-12-05,1
2004-12-12,1
2004-12-18,0
2004-12-26,1
2005-01-02,0
2005-09-11,0
2005-09-18,1
2005-09-25,0
2005-10-03,1
2005-10-09,1
2005-10-16,1
2005-10-30,1
2005-11-06,1
2005-11-13,1
2005-11-20,0
2005-11-27,1
2005-12-04,1
2005-12-11,0
2005-12-18,1
2005-12-24,0
2006-01-01,1
2006-01-08,1
2006-01-15,1
2006-01-22,0
2006-09-10,0
2006-09-17,0
2006-09-24,1
2006-10-01,1
2006-10-08,1
2006-10-15,1
2006-10-22,0
2006-10-29,0
2006-11-13,1
2006-11-19,1
2006-11-26,0
2006-12-04,0
2006-12-10,0
2006-12-17,0
2006-12-24,1
2006-12-31,1
2007-09-09,1
2007-09-16,0
2007-09-23,1
2007-09-30,0
2007-10-07,1
2007-10-14,1
2007-10-28,0
2007-11-04,0
2007-11-11,0
2007-11-18,0
2007-11-25,0
2007-12-02,1
2007-12-09,0
2007-12-16,1
2007-12-22,0
2007-12-30,1
2008-09-07,1
2008-09-14,1
2008-09-21,0
2008-09-28,1
2008-10-05,1
2008-10-12,0
2008-10-19,1
2008-10-26,1
2008-11-09,1
2008-11-16,1
2008-11-23,0
2008-11-30,1
2008-12-08,1
2008-12-14,1
2008-12-21,0
2008-12-28,1
2009-01-10,0
2009-09-13,0
2009-09-20,0
2009-09-28,0
2009-10-11,1
2009-10-18,1
2009-10-25,0
2009-11-01,1
2009-11-08,0
2009-11-15,1
2009-11-19,0
2009-11-29,0
2009-12-06,1
2009-12-13,0
2009-12-20,1
2009-12-27,1
2010-01-03,1
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-24,1
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,0
2010-11-28,0
2010-12-05,0
2010-12-12,0
2010-12-19,1
2010-12-23,0
2011-01-02,0
2011-09-11,0
2011-09-18,0
2011-09-25,1
2011-10-02,0
2011-10-09,0
2011-10-16,0
2011-10-23,1
2011-10-30,0
2011-11-13,0
2011-11-20,0
2011-11-27,1
2011-12-04,1
2011-12-11,0
2011-12-18,1
2011-12-24,1
2012-01-01,0
2012-09-09,0
2012-09-16,1
2012-09-20,0
2012-09-30,0
2012-10-07,0
2012-10-21,0
2012-10-28,0
2012-11-04,1
2012-11-11,0
2012-11-18,0
2012-11-26,1
2012-12-02,0
2012-12-09,1
2012-12-16,1
2012-12-23,1
2012-12-30,1
2013-09-08,0
2013-09-15,0
2013-09-22,1
2013-10-06,0
2013-10-13,1
2013-10-20,1
2013-10-24,1
2013-11-03,1
2013-11-10,1
2013-11-18,1
2013-11-24,1
2013-12-01,1
2013-12-08,0
2013-12-15,1
2013-12-22,1
2013-12-29,1
2014-01-12,0
2014-09-07,1
2014-09-14,1
2014-09-21,0
2014-09-28,0
2014-10-05,1
2014-10-12,1
2014-10-19,0
2014-10-26,0
2014-10-30,0
2014-11-10,0
2014-11-16,0
2014-11-30,0
2014-12-07,1
2014-12-14,1
2014-12-21,1
2014-12-28,1
2015-01-03,1
2015-01-10,0
2015-09-13,1
2015-09-20,1
2015-09-27,1
2015-10-04,1
2015-10-18,1
2015-10-25,1
2015-11-02,1
2015-11-08,1
2015-11-15,1
2015-11-22,1
2015-11-26,1
2015-12-06,1
2015-12-13,1
2015-12-20,1
2015-12-27,0
2016-01-03,1
2016-01-17,1
2016-01-24,1
2016-02-07,0
2016-09-08,0
2016-09-18,1
2016-09-25,0
2016-10-02,0
2016-10-10,0
2016-10-16,0
2016-10-30,1
2016-11-06,1
2016-11-13,0
2016-11-17,1
2016-11-27,0
2016-12-04,0
2016-12-11,1
2016-12-19,1
2016-12-24,0
2017-01-01,0
2017-09-10,1
2017-09-17,1
2017-09-24,0
2017-10-01,1
2017-10-08,1
2017-10-12,0
2017-10-22,0
2017-10-29,1
2017-11-05,1
2017-11-13,1
2017-11-26,1
2017-12-03,0
2017-12-10,1
2017-12-17,1
2017-12-24,1
2017-12-31,0
2018-01-07,0
2018-09-09,1
2018-09-16,0
2018-09-23,1
2018-10-07,1
2018-10-14,0
2018-10-21,1
2018-10-28,1
2018-11-04,1
2018-11-08,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-17,0
2018-12-23,0
2018-12-30,1
2019-09-08,0
