game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON
3932,2000-04-03T20:05:00Z,2000-04-03,R,Final,Colorado Rockies,Atlanta Braves,115,144,N,1,,,,,0,2,9,Top,16,Turner Field,[],ATL leads 1-0,Atlanta Braves,Colorado Rockies,Greg Maddux,Pedro Astacio,Mike Remlinger,2000-04-03 - Colorado Rockies (0) @ Atlanta Braves (2) (Final),2000
3966,2000-04-04T23:40:00Z,2000-04-04,R,Final,Colorado Rockies,Atlanta Braves,115,144,N,1,,,,,5,3,9,Bottom,16,Turner Field,[],Series tied 1-1,Colorado Rockies,Atlanta Braves,Julian Tavarez,John Burkett,Jose Jimenez,2000-04-04 - Colorado Rockies (5) @ Atlanta Braves (3) (Final),2000
5094,2000-04-05T23:40:00Z,2000-04-05,R,Final,Colorado Rockies,Atlanta Braves,115,144,N,1,,,,,6,9,9,Top,16,Turner Field,[],ATL wins 2-1,Atlanta Braves,Colorado Rockies,Bruce Chen,Manny Aybar,Kerry Ligtenberg,2000-04-05 - Colorado Rockies (6) @ Atlanta Braves (9) (Final),2000
3883,2000-04-07T23:40:00Z,2000-04-07,R,Final,San Francisco Giants,Atlanta Braves,137,144,N,1,,,,,6,2,9,Bottom,16,Turner Field,[],SF leads 1-0,San Francisco Giants,Atlanta Braves,Mark Gardner,Terry Mulholland,,2000-04-07 - San Francisco Giants (6) @ Atlanta Braves (2) (Final),2000
3970,2000-04-08T23:10:00Z,2000-04-08,R,Final,San Francisco Giants,Atlanta Braves,137,144,N,1,,,,,5,7,9,Top,16,Turner Field,[],Series tied 1-1,Atlanta Braves,San Francisco Giants,Greg Maddux,Livan Hernandez,Kerry Ligtenberg,2000-04-08 - San Francisco Giants (5) @ Atlanta Braves (7) (Final),2000
3972,2000-04-09T17:10:00Z,2000-04-09,R,Final,San Francisco Giants,Atlanta Braves,137,144,N,1,,,,,3,9,9,Top,16,Turner Field,[],ATL wins 2-1,Atlanta Braves,San Francisco Giants,Tom Glavine,Russ Ortiz,,2000-04-09 - San Francisco Giants (3) @ Atlanta Braves (9) (Final),2000
4080,2000-04-10T18:20:00Z,2000-04-10,R,Final,Atlanta Braves,Chicago Cubs,144,112,N,1,,,,,3,4,9,Bottom,17,Wrigley Field,[],CHC leads 1-0,Chicago Cubs,Atlanta Braves,Mark Guthrie,Kerry Ligtenberg,,2000-04-10 - Atlanta Braves (3) @ Chicago Cubs (4) (Final),2000
4981,2000-04-12T18:20:00Z,2000-04-12,R,Final,Atlanta Braves,Chicago Cubs,144,112,N,1,,,,,4,11,9,Top,17,Wrigley Field,[],CHC wins 2-0,Chicago Cubs,Atlanta Braves,Kyle Farnsworth,Terry Mulholland,,2000-04-12 - Atlanta Braves (4) @ Chicago Cubs (11) (Final),2000
4005,2000-04-13T18:20:00Z,2000-04-13,R,Final,Atlanta Braves,Chicago Cubs,144,112,N,1,,,,,2,3,9,Bottom,17,Wrigley Field,[],CHC wins 3-0,Chicago Cubs,Atlanta Braves,Mark Guthrie,Mike Remlinger,,2000-04-13 - Atlanta Braves (2) @ Chicago Cubs (3) (Final),2000
4050,2000-04-14T23:05:00Z,2000-04-14,R,Final,Atlanta Braves,Milwaukee Brewers,144,158,N,1,,,,,6,3,9,Bottom,23,Milwaukee County Stadium,[],ATL leads 1-0,Atlanta Braves,Milwaukee Brewers,Tom Glavine,Steve Woodard,Mike Remlinger,2000-04-14 - Atlanta Braves (6) @ Milwaukee Brewers (3) (Final),2000
4118,2000-04-15T18:05:00Z,2000-04-15,R,Final,Atlanta Braves,Milwaukee Brewers,144,158,N,1,,,,,3,6,9,Top,23,Milwaukee County Stadium,[],Series tied 1-1,Milwaukee Brewers,Atlanta Braves,David Weathers,John Burkett,Bob Wickman,2000-04-15 - Atlanta Braves (3) @ Milwaukee Brewers (6) (Final),2000
4989,2000-04-16T18:05:00Z,2000-04-16,R,Final,Atlanta Braves,Milwaukee Brewers,144,158,N,1,,,,,2,1,9,Bottom,23,Milwaukee County Stadium,[],ATL wins 2-1,Atlanta Braves,Milwaukee Brewers,Terry Mulholland,Everett Stull,Mike Remlinger,2000-04-16 - Atlanta Braves (2) @ Milwaukee Brewers (1) (Final),2000
4015,2000-04-18T23:40:00Z,2000-04-18,R,Final,Philadelphia Phillies,Atlanta Braves,143,144,N,1,,,,,3,4,12,Bottom,16,Turner Field,[],ATL leads 1-0,Atlanta Braves,Philadelphia Phillies,Luis Rivera,Carlos Reyes,,2000-04-18 - Philadelphia Phillies (3) @ Atlanta Braves (4) (Final),2000
5215,2000-04-19T23:40:00Z,2000-04-19,R,Final,Philadelphia Phillies,Atlanta Braves,143,144,N,1,,,,,1,10,9,Top,16,Turner Field,[],ATL wins 2-0,Atlanta Braves,Philadelphia Phillies,Tom Glavine,Randy Wolf,,2000-04-19 - Philadelphia Phillies (1) @ Atlanta Braves (10) (Final),2000
4996,2000-04-20T23:40:00Z,2000-04-20,R,Final,Philadelphia Phillies,Atlanta Braves,143,144,N,1,,,,,4,6,9,Top,16,Turner Field,[],ATL wins 3-0,Atlanta Braves,Philadelphia Phillies,Kevin Millwood,Scott Aldred,John Rocker,2000-04-20 - Philadelphia Phillies (4) @ Atlanta Braves (6) (Final),2000
4158,2000-04-21T23:40:00Z,2000-04-21,R,Final,Pittsburgh Pirates,Atlanta Braves,134,144,N,1,,,,,2,6,9,Top,16,Turner Field,[],ATL leads 1-0,Atlanta Braves,Pittsburgh Pirates,Terry Mulholland,Mike Garcia,,2000-04-21 - Pittsburgh Pirates (2) @ Atlanta Braves (6) (Final),2000
3978,2000-04-22T23:10:00Z,2000-04-22,R,Final,Pittsburgh Pirates,Atlanta Braves,134,144,N,1,,,,,2,4,9,Top,16,Turner Field,[],ATL wins 2-0,Atlanta Braves,Pittsburgh Pirates,Bruce Chen,Kris Benson,John Rocker,2000-04-22 - Pittsburgh Pirates (2) @ Atlanta Braves (4) (Final),2000
5221,2000-04-23T17:10:00Z,2000-04-23,R,Final,Pittsburgh Pirates,Atlanta Braves,134,144,N,1,,,,,3,5,9,Top,16,Turner Field,[],ATL wins 3-0,Atlanta Braves,Pittsburgh Pirates,Greg Maddux,Francisco Cordova,John Rocker,2000-04-23 - Pittsburgh Pirates (3) @ Atlanta Braves (5) (Final),2000
5051,2000-04-25T23:40:00Z,2000-04-25,R,Final,Los Angeles Dodgers,Atlanta Braves,119,144,N,1,,,,,0,1,9,Top,16,Turner Field,[],ATL leads 1-0,Atlanta Braves,Los Angeles Dodgers,Tom Glavine,Kevin Brown,,2000-04-25 - Los Angeles Dodgers (0) @ Atlanta Braves (1) (Final),2000
5122,2000-04-26T23:40:00Z,2000-04-26,R,Final,Los Angeles Dodgers,Atlanta Braves,119,144,N,1,,,,,1,5,9,Top,16,Turner Field,[],ATL wins 2-0,Atlanta Braves,Los Angeles Dodgers,Kevin Millwood,Eric Gagne,,2000-04-26 - Los Angeles Dodgers (1) @ Atlanta Braves (5) (Final),2000
4093,2000-04-27T17:10:00Z,2000-04-27,R,Final,Los Angeles Dodgers,Atlanta Braves,119,144,N,1,,,,,3,6,9,Top,16,Turner Field,[],ATL wins 3-0,Atlanta Braves,Los Angeles Dodgers,Terry Mulholland,Chan Ho Park,John Rocker,2000-04-27 - Los Angeles Dodgers (3) @ Atlanta Braves (6) (Final),2000
3984,2000-04-29T02:05:00Z,2000-04-28,R,Final,Atlanta Braves,San Diego Padres,144,135,N,1,,,,,7,2,9,Bottom,28,Qualcomm Stadium,[],ATL leads 1-0,Atlanta Braves,San Diego Padres,Greg Maddux,Brian Meadows,Mike Remlinger,2000-04-28 - Atlanta Braves (7) @ San Diego Padres (2) (Final),2000
5010,2000-04-30T02:05:00Z,2000-04-29,R,Final,Atlanta Braves,San Diego Padres,144,135,N,1,,,,,7,4,12,Bottom,28,Qualcomm Stadium,[],ATL wins 2-0,Atlanta Braves,San Diego Padres,Bruce Chen,Vicente Palacios,John Rocker,2000-04-29 - Atlanta Braves (7) @ San Diego Padres (4) (Final),2000
4095,2000-05-01T00:05:00Z,2000-04-30,R,Final,Atlanta Braves,San Diego Padres,144,135,N,1,,,,,7,4,9,Bottom,28,Qualcomm Stadium,[],ATL wins 3-0,Atlanta Braves,San Diego Padres,Tom Glavine,Sterling Hitchcock,,2000-04-30 - Atlanta Braves (7) @ San Diego Padres (4) (Final),2000
5130,2000-05-02T02:10:00Z,2000-05-01,R,Final,Atlanta Braves,Los Angeles Dodgers,144,119,N,1,,,,,2,1,9,Bottom,22,Dodger Stadium,[],ATL leads 1-0,Atlanta Braves,Los Angeles Dodgers,Kevin Millwood,Eric Gagne,John Rocker,2000-05-01 - Atlanta Braves (2) @ Los Angeles Dodgers (1) (Final),2000
5227,2000-05-03T02:10:00Z,2000-05-02,R,Final,Atlanta Braves,Los Angeles Dodgers,144,119,N,1,,,,,5,3,9,Bottom,22,Dodger Stadium,[],ATL wins 2-0,Atlanta Braves,Los Angeles Dodgers,Bruce Chen,Terry Adams,John Rocker,2000-05-02 - Atlanta Braves (5) @ Los Angeles Dodgers (3) (Final),2000
