game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON,losing_Team
3496,2000-04-04T02:05:00Z,2000-04-03,R,Final,Detroit Tigers,Oakland Athletics,116,133,N,1,,,,,7,4,9,Bottom,10,Network Associates Coliseum,[],DET leads 1-0,Detroit Tigers,Oakland Athletics,Hideo Nomo,Kevin Appier,Todd Jones,2000-04-03 - Detroit Tigers (7) @ Oakland Athletics (4) (Final),2000,
3293,2000-04-05T02:05:00Z,2000-04-04,R,Final,Detroit Tigers,Oakland Athletics,116,133,N,1,,,,,1,3,9,Top,10,Network Associates Coliseum,[],Series tied 1-1,Oakland Athletics,Detroit Tigers,Tim Hudson,C.J. Nitkowski,Jason Isringhausen,2000-04-04 - Detroit Tigers (1) @ Oakland Athletics (3) (Final),2000,
3294,2000-04-05T19:35:00Z,2000-04-05,R,Final,Detroit Tigers,Oakland Athletics,116,133,N,1,,,,,2,8,9,Top,10,Network Associates Coliseum,[],OAK wins 2-1,Oakland Athletics,Detroit Tigers,Omar Olivares,Brian Moehler,,2000-04-05 - Detroit Tigers (2) @ Oakland Athletics (8) (Final),2000,
3346,2000-04-08T02:05:00Z,2000-04-07,R,Final,Chicago White Sox,Oakland Athletics,145,133,N,1,,,,,7,6,9,Bottom,10,Network Associates Coliseum,[],CWS leads 1-0,Chicago White Sox,Oakland Athletics,Scott Eyre,Mike Magnante,Keith Foulke,2000-04-07 - Chicago White Sox (7) @ Oakland Athletics (6) (Final),2000,
3414,2000-04-08T20:05:00Z,2000-04-08,R,Final,Chicago White Sox,Oakland Athletics,145,133,N,1,,,,,7,3,9,Bottom,10,Network Associates Coliseum,[],CWS wins 2-0,Chicago White Sox,Oakland Athletics,Mike Sirotka,Ron Mahay,,2000-04-08 - Chicago White Sox (7) @ Oakland Athletics (3) (Final),2000,
3298,2000-04-09T20:05:00Z,2000-04-09,R,Final,Chicago White Sox,Oakland Athletics,145,133,N,1,,,,,2,14,9,Top,10,Network Associates Coliseum,[],CWS wins 2-1,Oakland Athletics,Chicago White Sox,Kevin Appier,Kip Wells,,2000-04-09 - Chicago White Sox (2) @ Oakland Athletics (14) (Final),2000,
5180,2000-04-11T02:05:00Z,2000-04-10,R,Final,Cleveland Indians,Oakland Athletics,114,133,N,1,,,,,9,4,9,Bottom,10,Network Associates Coliseum,[],CLE leads 1-0,Cleveland Indians,Oakland Athletics,Scott Kamieniecki,Jeff Tam,,2000-04-10 - Cleveland Indians (9) @ Oakland Athletics (4) (Final),2000,
5182,2000-04-12T02:05:00Z,2000-04-11,R,Final,Cleveland Indians,Oakland Athletics,114,133,N,1,,,,,5,1,9,Bottom,10,Network Associates Coliseum,[],CLE wins 2-0,Cleveland Indians,Oakland Athletics,Charles Nagy,Omar Olivares,,2000-04-11 - Cleveland Indians (5) @ Oakland Athletics (1) (Final),2000,
4979,2000-04-12T19:35:00Z,2000-04-12,R,Final,Cleveland Indians,Oakland Athletics,114,133,N,1,,,,,5,0,9,Bottom,10,Network Associates Coliseum,[],CLE wins 3-0,Cleveland Indians,Oakland Athletics,Jaret Wright,Gil Heredia,,2000-04-12 - Cleveland Indians (5) @ Oakland Athletics (0) (Final),2000,
5204,2000-04-14T22:05:00Z,2000-04-14,R,Final,Oakland Athletics,Boston Red Sox,133,111,N,1,,,,,13,6,9,Bottom,3,Fenway Park,[],OAK leads 1-0,Oakland Athletics,Boston Red Sox,Kevin Appier,Brian Rose,,2000-04-14 - Oakland Athletics (13) @ Boston Red Sox (6) (Final),2000,
3424,2000-04-15T17:05:00Z,2000-04-15,R,Final,Oakland Athletics,Boston Red Sox,133,111,N,1,,,,,2,14,9,Top,3,Fenway Park,[],Series tied 1-1,Boston Red Sox,Oakland Athletics,Pedro Martínez,Tim Hudson,,2000-04-15 - Oakland Athletics (2) @ Boston Red Sox (14) (Final),2000,
3511,2000-04-16T17:05:00Z,2000-04-16,R,Final,Oakland Athletics,Boston Red Sox,133,111,N,1,,,,,4,5,9,Bottom,3,Fenway Park,[],BOS leads 2-1,Boston Red Sox,Oakland Athletics,Derek Lowe,T.J. Mathews,,2000-04-16 - Oakland Athletics (4) @ Boston Red Sox (5) (Final),2000,
3305,2000-04-17T15:05:00Z,2000-04-17,R,Final,Oakland Athletics,Boston Red Sox,133,111,N,1,,,,,1,0,9,Bottom,3,Fenway Park,[],Series tied 2-2,Oakland Athletics,Boston Red Sox,Gil Heredia,Jeff Fassero,Jason Isringhausen,2000-04-17 - Oakland Athletics (1) @ Boston Red Sox (0) (Final),2000,
3309,2000-04-18T23:05:00Z,2000-04-18,R,Final,Oakland Athletics,Cleveland Indians,133,114,N,1,,,,,8,5,9,Bottom,5,Jacobs Field,[],OAK leads 1-0,Oakland Athletics,Cleveland Indians,Mark Mulder,Charles Nagy,Jason Isringhausen,2000-04-18 - Oakland Athletics (8) @ Cleveland Indians (5) (Final),2000,
4993,2000-04-19T23:05:00Z,2000-04-19,R,Final,Oakland Athletics,Cleveland Indians,133,114,N,1,,,,,10,5,9,Bottom,5,Jacobs Field,[],OAK wins 2-0,Oakland Athletics,Cleveland Indians,Kevin Appier,Jaret Wright,,2000-04-19 - Oakland Athletics (10) @ Cleveland Indians (5) (Final),2000,
5041,2000-04-20T23:05:00Z,2000-04-20,R,Final,Oakland Athletics,Cleveland Indians,133,114,N,1,,,,,5,9,9,Top,5,Jacobs Field,[],OAK wins 2-1,Cleveland Indians,Oakland Athletics,Dave Burba,Tim Hudson,,2000-04-20 - Oakland Athletics (5) @ Cleveland Indians (9) (Final),2000,
3458,2000-04-22T02:05:00Z,2000-04-21,R,Final,Baltimore Orioles,Oakland Athletics,110,133,N,1,,,,,11,9,9,Bottom,10,Network Associates Coliseum,[],BAL leads 1-0,Baltimore Orioles,Oakland Athletics,Sidney Ponson,Omar Olivares,Mike Timlin,2000-04-21 - Baltimore Orioles (11) @ Oakland Athletics (9) (Final),2000,
3461,2000-04-22T20:05:00Z,2000-04-22,R,Final,Baltimore Orioles,Oakland Athletics,110,133,N,1,,,,,4,3,9,Bottom,10,Network Associates Coliseum,[],BAL wins 2-0,Baltimore Orioles,Oakland Athletics,Jose Mercedes,Gil Heredia,Buddy Groom,2000-04-22 - Baltimore Orioles (4) @ Oakland Athletics (3) (Final),2000,
3316,2000-04-24T00:05:00Z,2000-04-23,R,Final,Baltimore Orioles,Oakland Athletics,110,133,N,1,,,,,2,3,11,Bottom,10,Network Associates Coliseum,[],BAL wins 2-1,Oakland Athletics,Baltimore Orioles,Jason Isringhausen,Tim Worrell,,2000-04-23 - Baltimore Orioles (2) @ Oakland Athletics (3) (Final),2000,
3366,2000-04-25T02:05:00Z,2000-04-24,R,Final,Toronto Blue Jays,Oakland Athletics,141,133,N,1,,,,,3,2,9,Bottom,10,Network Associates Coliseum,[],TOR leads 1-0,Toronto Blue Jays,Oakland Athletics,David Wells,Kevin Appier,Billy Koch,2000-04-24 - Toronto Blue Jays (3) @ Oakland Athletics (2) (Final),2000,
5049,2000-04-26T02:05:00Z,2000-04-25,R,Final,Toronto Blue Jays,Oakland Athletics,141,133,N,1,,,,,2,11,9,Top,10,Network Associates Coliseum,[],Series tied 1-1,Oakland Athletics,Toronto Blue Jays,Tim Hudson,Roy Halladay,,2000-04-25 - Toronto Blue Jays (2) @ Oakland Athletics (11) (Final),2000,
5161,2000-04-27T02:05:00Z,2000-04-26,R,Final,Toronto Blue Jays,Oakland Athletics,141,133,N,1,,,,,4,2,9,Bottom,10,Network Associates Coliseum,[],TOR wins 2-1,Toronto Blue Jays,Oakland Athletics,Chris Carpenter,Omar Olivares,Billy Koch,2000-04-26 - Toronto Blue Jays (4) @ Oakland Athletics (2) (Final),2000,
5280,2000-04-29T00:05:00Z,2000-04-28,R,Final,Oakland Athletics,Minnesota Twins,133,142,N,1,,,,,5,2,9,Bottom,8,Hubert H. Humphrey Metrodome,[],OAK leads 1-0,Oakland Athletics,Minnesota Twins,Gil Heredia,Brad Radke,Jason Isringhausen,2000-04-28 - Oakland Athletics (5) @ Minnesota Twins (2) (Final),2000,
