game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON,losing_Team
3928,2000-03-29T10:00:00Z,2000-03-29,R,Final,Chicago Cubs,New York Mets,112,121,N,1,,,,,5,3,9,Bottom,2397,Tokyo Dome,[],CHC leads 1-0,Chicago Cubs,New York Mets,Jon Lieber,Mike Hampton,Rick Aguilera,2000-03-29 - Chicago Cubs (5) @ New York Mets (3) (Final),2000,
3929,2000-03-30T10:30:00Z,2000-03-30,R,Final,New York Mets,Chicago Cubs,121,112,N,1,,,,,5,1,11,Bottom,2397,Tokyo Dome,[],Series tied 1-1,New York Mets,Chicago Cubs,Dennis Cook,Danny Young,,2000-03-30 - New York Mets (5) @ Chicago Cubs (1) (Final),2000,
3933,2000-04-03T20:10:00Z,2000-04-03,R,Final,Chicago Cubs,St. Louis Cardinals,112,138,N,1,,,,,1,7,9,Top,30,Busch Stadium I,[],STL leads 1-0,St. Louis Cardinals,Chicago Cubs,Darryl Kile,Kevin Tapani,,2000-04-03 - Chicago Cubs (1) @ St. Louis Cardinals (7) (Final),2000,
4076,2000-04-06T00:10:00Z,2000-04-05,R,Final,Chicago Cubs,St. Louis Cardinals,112,138,N,1,,,,,4,10,9,Top,30,Busch Stadium I,[],STL wins 2-0,St. Louis Cardinals,Chicago Cubs,Pat Hentgen,Jon Lieber,,2000-04-05 - Chicago Cubs (4) @ St. Louis Cardinals (10) (Final),2000,
4078,2000-04-06T17:10:00Z,2000-04-06,R,Final,Chicago Cubs,St. Louis Cardinals,112,138,N,1,,,,,3,13,9,Top,30,Busch Stadium I,[],STL wins 3-0,St. Louis Cardinals,Chicago Cubs,Garrett Stephenson,Kyle Farnsworth,,2000-04-06 - Chicago Cubs (3) @ St. Louis Cardinals (13) (Final),2000,
3881,2000-04-07T23:05:00Z,2000-04-07,R,Final,Chicago Cubs,Cincinnati Reds,112,113,N,1,,,,,10,6,9,Bottom,18,Cinergy Field,[],CHC leads 1-0,Chicago Cubs,Cincinnati Reds,Andrew Lorraine,Pete Harnisch,Rick Aguilera,2000-04-07 - Chicago Cubs (10) @ Cincinnati Reds (6) (Final),2000,
3937,2000-04-08T17:15:00Z,2000-04-08,R,Final,Chicago Cubs,Cincinnati Reds,112,113,N,1,,,,,3,4,11,Bottom,18,Cinergy Field,[],Series tied 1-1,Cincinnati Reds,Chicago Cubs,Danny Graves,Mark Guthrie,,2000-04-08 - Chicago Cubs (3) @ Cincinnati Reds (4) (Final),2000,
5078,2000-04-09T17:15:00Z,2000-04-09,R,Final,Chicago Cubs,Cincinnati Reds,112,113,N,1,,,,,7,8,11,Bottom,18,Cinergy Field,[],CIN wins 2-1,Cincinnati Reds,Chicago Cubs,Danny Graves,Matt Karchner,,2000-04-09 - Chicago Cubs (7) @ Cincinnati Reds (8) (Final),2000,
4080,2000-04-10T18:20:00Z,2000-04-10,R,Final,Atlanta Braves,Chicago Cubs,144,112,N,1,,,,,3,4,9,Bottom,17,Wrigley Field,[],CHC leads 1-0,Chicago Cubs,Atlanta Braves,Mark Guthrie,Kerry Ligtenberg,,2000-04-10 - Atlanta Braves (3) @ Chicago Cubs (4) (Final),2000,
4981,2000-04-12T18:20:00Z,2000-04-12,R,Final,Atlanta Braves,Chicago Cubs,144,112,N,1,,,,,4,11,9,Top,17,Wrigley Field,[],CHC wins 2-0,Chicago Cubs,Atlanta Braves,Kyle Farnsworth,Terry Mulholland,,2000-04-12 - Atlanta Braves (4) @ Chicago Cubs (11) (Final),2000,
4005,2000-04-13T18:20:00Z,2000-04-13,R,Final,Atlanta Braves,Chicago Cubs,144,112,N,1,,,,,2,3,9,Bottom,17,Wrigley Field,[],CHC wins 3-0,Chicago Cubs,Atlanta Braves,Mark Guthrie,Mike Remlinger,,2000-04-13 - Atlanta Braves (2) @ Chicago Cubs (3) (Final),2000,
4049,2000-04-14T19:20:00Z,2000-04-14,R,Final,Florida Marlins,Chicago Cubs,146,112,N,1,,,,,9,4,9,Bottom,17,Wrigley Field,[],FLA leads 1-0,Florida Marlins,Chicago Cubs,Alex Fernandez,Andrew Lorraine,,2000-04-14 - Florida Marlins (9) @ Chicago Cubs (4) (Final),2000,
4119,2000-04-15T18:20:00Z,2000-04-15,R,Final,Florida Marlins,Chicago Cubs,146,112,N,1,,,,,2,4,9,Top,17,Wrigley Field,[],Series tied 1-1,Chicago Cubs,Florida Marlins,Scott Downs,Ryan Dempster,Rick Aguilera,2000-04-15 - Florida Marlins (2) @ Chicago Cubs (4) (Final),2000,
4210,2000-04-16T18:20:00Z,2000-04-16,R,Final,Florida Marlins,Chicago Cubs,146,112,N,1,,,,,6,5,10,Bottom,17,Wrigley Field,[],FLA leads 2-1,Florida Marlins,Chicago Cubs,Dan Miceli,Ruben Quevedo,Antonio Alfonseca,2000-04-16 - Florida Marlins (6) @ Chicago Cubs (5) (Final),2000,
5036,2000-04-17T18:20:00Z,2000-04-17,R,Final,Florida Marlins,Chicago Cubs,146,112,N,1,,,,,6,5,9,Bottom,17,Wrigley Field,[],FLA wins 3-1,Florida Marlins,Chicago Cubs,Jesus Sanchez,Kyle Farnsworth,Antonio Alfonseca,2000-04-17 - Florida Marlins (6) @ Chicago Cubs (5) (Final),2000,
5111,2000-04-18T23:05:00Z,2000-04-18,R,Final,Chicago Cubs,Montreal Expos,112,120,N,1,,,,,3,4,9,Top,24,Olympic Stadium,[],MON leads 1-0,Montreal Expos,Chicago Cubs,Scott Strickland,Kevin Tapani,Ugueth Urbina,2000-04-18 - Chicago Cubs (3) @ Montreal Expos (4) (Final),2000,
5217,2000-04-19T23:05:00Z,2000-04-19,R,Final,Chicago Cubs,Montreal Expos,112,120,N,1,,,,,3,7,9,Top,24,Olympic Stadium,[],MON wins 2-0,Montreal Expos,Chicago Cubs,Carl Pavano,Ruben Quevedo,,2000-04-19 - Chicago Cubs (3) @ Montreal Expos (7) (Final),2000,
5042,2000-04-20T23:05:00Z,2000-04-20,R,Final,Chicago Cubs,Montreal Expos,112,120,N,1,,,,,10,6,9,Bottom,24,Olympic Stadium,[],MON wins 2-1,Chicago Cubs,Montreal Expos,Brian Williams,Matt Blank,,2000-04-20 - Chicago Cubs (10) @ Montreal Expos (6) (Final),2000,
4073,2000-04-21T23:10:00Z,2000-04-21,R,Final,Chicago Cubs,New York Mets,112,121,N,1,,,,,0,0,,,25,Shea Stadium,[],,New York Mets,Chicago Cubs,,,,2000-04-21 - Chicago Cubs () @ New York Mets () (Final),2000,
5115,2000-04-22T17:10:00Z,2000-04-22,R,Final,Chicago Cubs,New York Mets,112,121,Y,1,,,,,3,8,9,Top,25,Shea Stadium,[],NYM leads 1-0,New York Mets,Chicago Cubs,Glendon Rusch,Jon Lieber,,2000-04-22 - Chicago Cubs (3) @ New York Mets (8) (Final),2000,
5046,2000-04-22T23:10:00Z,2000-04-22,R,Final,Chicago Cubs,New York Mets,112,121,Y,2,,,,,6,7,9,Top,25,Shea Stadium,[],NYM leads 2-0,New York Mets,Chicago Cubs,Dennis Cook,Kyle Farnsworth,Armando Benitez,2000-04-22 - Chicago Cubs (6) @ New York Mets (7) (Final),2000,
5219,2000-04-23T17:10:00Z,2000-04-23,R,Final,Chicago Cubs,New York Mets,112,121,N,1,,,,,8,15,9,Top,25,Shea Stadium,[],NYM wins 3-0,New York Mets,Chicago Cubs,Mike Hampton,Kevin Tapani,,2000-04-23 - Chicago Cubs (8) @ New York Mets (15) (Final),2000,
4087,2000-04-26T00:05:00Z,2000-04-25,R,Final,Chicago Cubs,Houston Astros,112,117,N,1,,,,,7,11,9,Top,2392,Enron Field,[],HOU leads 1-0,Houston Astros,Chicago Cubs,Shane Reynolds,Scott Downs,,2000-04-25 - Chicago Cubs (7) @ Houston Astros (11) (Final),2000,
4090,2000-04-27T00:05:00Z,2000-04-26,R,Final,Chicago Cubs,Houston Astros,112,117,N,1,,,,,13,8,9,Bottom,2392,Enron Field,[],Series tied 1-1,Chicago Cubs,Houston Astros,Matt Karchner,Mike Maddux,Rick Aguilera,2000-04-26 - Chicago Cubs (13) @ Houston Astros (8) (Final),2000,
4179,2000-04-27T20:05:00Z,2000-04-27,R,Final,Chicago Cubs,Houston Astros,112,117,N,1,,,,,12,3,9,Bottom,2392,Enron Field,[],CHC wins 2-1,Chicago Cubs,Houston Astros,Jon Lieber,Jose Lima,,2000-04-27 - Chicago Cubs (12) @ Houston Astros (3) (Final),2000,
4180,2000-04-28T19:20:00Z,2000-04-28,R,Final,Arizona Diamondbacks,Chicago Cubs,109,112,N,1,,,,,5,6,9,Top,17,Wrigley Field,[],CHC leads 1-0,Chicago Cubs,Arizona Diamondbacks,Kevin Tapani,Russ Springer,Rick Aguilera,2000-04-28 - Arizona Diamondbacks (5) @ Chicago Cubs (6) (Final),2000,
4029,2000-04-29T18:20:00Z,2000-04-29,R,Final,Arizona Diamondbacks,Chicago Cubs,109,112,N,1,,,,,7,4,10,Bottom,17,Wrigley Field,[],Series tied 1-1,Arizona Diamondbacks,Chicago Cubs,Matt Mantei,Mark Guthrie,Mike Morgan,2000-04-29 - Arizona Diamondbacks (7) @ Chicago Cubs (4) (Final),2000,
4034,2000-04-30T18:20:00Z,2000-04-30,R,Final,Arizona Diamondbacks,Chicago Cubs,109,112,N,1,,,,,6,0,9,Bottom,17,Wrigley Field,[],AZ wins 2-1,Arizona Diamondbacks,Chicago Cubs,Randy Johnson,Andrew Lorraine,,2000-04-30 - Arizona Diamondbacks (6) @ Chicago Cubs (0) (Final),2000,
5225,2000-05-03T00:05:00Z,2000-05-02,R,Final,Houston Astros,Chicago Cubs,117,112,N,1,,,,,1,11,9,Top,17,Wrigley Field,[],CHC leads 1-0,Chicago Cubs,Houston Astros,Kerry Wood,Jose Lima,Brian Williams,2000-05-02 - Houston Astros (1) @ Chicago Cubs (11) (Final),2000,
5229,2000-05-03T18:20:00Z,2000-05-03,R,Final,Houston Astros,Chicago Cubs,117,112,N,1,,,,,3,4,9,Top,17,Wrigley Field,[],CHC wins 2-0,Chicago Cubs,Houston Astros,Jon Lieber,Chris Holt,Rick Aguilera,2000-05-03 - Houston Astros (3) @ Chicago Cubs (4) (Final),2000,
3989,2000-05-04T18:20:00Z,2000-05-04,R,Final,Houston Astros,Chicago Cubs,117,112,N,1,,,,,6,2,9,Bottom,17,Wrigley Field,[],CHC wins 2-1,Houston Astros,Chicago Cubs,Scott Elarton,Ismael Valdez,Billy Wagner,2000-05-04 - Houston Astros (6) @ Chicago Cubs (2) (Final),2000,
3993,2000-05-05T19:20:00Z,2000-05-05,R,Final,Pittsburgh Pirates,Chicago Cubs,134,112,N,1,,,,,4,2,9,Bottom,17,Wrigley Field,[],PIT leads 1-0,Pittsburgh Pirates,Chicago Cubs,Todd Ritchie,Kevin Tapani,Mike Williams,2000-05-05 - Pittsburgh Pirates (4) @ Chicago Cubs (2) (Final),2000,
4041,2000-05-06T18:20:00Z,2000-05-06,R,Final,Pittsburgh Pirates,Chicago Cubs,134,112,N,1,,,,,11,9,9,Bottom,17,Wrigley Field,[],PIT wins 2-0,Pittsburgh Pirates,Chicago Cubs,Jeff Wallace,Kyle Farnsworth,Mike Williams,2000-05-06 - Pittsburgh Pirates (11) @ Chicago Cubs (9) (Final),2000,
5293,2000-05-07T18:20:00Z,2000-05-07,R,Final,Pittsburgh Pirates,Chicago Cubs,134,112,N,1,,,,,11,3,9,Bottom,17,Wrigley Field,[],PIT wins 3-0,Pittsburgh Pirates,Chicago Cubs,Jason Schmidt,Kerry Wood,,2000-05-07 - Pittsburgh Pirates (11) @ Chicago Cubs (3) (Final),2000,
4194,2000-05-09T00:05:00Z,2000-05-08,R,Final,Milwaukee Brewers,Chicago Cubs,158,112,N,1,,,,,11,12,10,Bottom,17,Wrigley Field,[],CHC leads 1-0,Chicago Cubs,Milwaukee Brewers,Felix Heredia,Bob Wickman,,2000-05-08 - Milwaukee Brewers (11) @ Chicago Cubs (12) (Final),2000,
5178,2000-05-10T00:05:00Z,2000-05-09,R,Final,Milwaukee Brewers,Chicago Cubs,158,112,N,1,,,,,4,3,9,Bottom,17,Wrigley Field,[],Series tied 1-1,Milwaukee Brewers,Chicago Cubs,Jeff D'Amico,Mark Guthrie,David Weathers,2000-05-09 - Milwaukee Brewers (4) @ Chicago Cubs (3) (Final),2000,
5234,2000-05-10T18:20:00Z,2000-05-10,R,Final,Milwaukee Brewers,Chicago Cubs,158,112,N,1,,,,,8,9,11,Bottom,17,Wrigley Field,[],CHC leads 2-1,Chicago Cubs,Milwaukee Brewers,Rick Aguilera,Valerio De Los Santos,,2000-05-10 - Milwaukee Brewers (8) @ Chicago Cubs (9) (Final),2000,
4045,2000-05-11T18:20:00Z,2000-05-11,R,Final,Milwaukee Brewers,Chicago Cubs,158,112,N,1,,,,,14,8,9,Bottom,17,Wrigley Field,[],Series tied 2-2,Milwaukee Brewers,Chicago Cubs,Steve Woodard,Brian Williams,,2000-05-11 - Milwaukee Brewers (14) @ Chicago Cubs (8) (Final),2000,
4109,2000-05-12T23:05:00Z,2000-05-12,R,Final,Chicago Cubs,Montreal Expos,112,120,N,1,,,,,3,8,9,Top,24,Olympic Stadium,[],MON leads 1-0,Montreal Expos,Chicago Cubs,Mike Thurman,Kerry Wood,Dustin Hermanson,2000-05-12 - Chicago Cubs (3) @ Montreal Expos (8) (Final),2000,
