game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON
3962,2000-04-03T23:05:00Z,2000-04-03,R,Final,Los Angeles Dodgers,Montreal Expos,119,120,N,1,,,,,10,4,9,Bottom,24,Olympic Stadium,[],LA leads 1-0,Los Angeles Dodgers,Montreal Expos,Kevin Brown,Dustin Hermanson,Terry Adams,2000-04-03 - Los Angeles Dodgers (10) @ Montreal Expos (4) (Final),2000
3965,2000-04-04T23:05:00Z,2000-04-04,R,Final,Los Angeles Dodgers,Montreal Expos,119,120,N,1,,,,,10,4,9,Bottom,24,Olympic Stadium,[],LA leads 2-0,Los Angeles Dodgers,Montreal Expos,Chan Ho Park,Hideki Irabu,,2000-04-04 - Los Angeles Dodgers (10) @ Montreal Expos (4) (Final),2000
5093,2000-04-05T23:05:00Z,2000-04-05,R,Final,Los Angeles Dodgers,Montreal Expos,119,120,N,1,,,,,5,6,9,Bottom,24,Olympic Stadium,[],LA leads 2-1,Montreal Expos,Los Angeles Dodgers,Anthony Telford,Jeff Shaw,,2000-04-05 - Los Angeles Dodgers (5) @ Montreal Expos (6) (Final),2000
5096,2000-04-06T23:05:00Z,2000-04-06,R,Final,Los Angeles Dodgers,Montreal Expos,119,120,N,1,,,,,3,11,9,Top,24,Olympic Stadium,[],Series tied 2-2,Montreal Expos,Los Angeles Dodgers,Carl Pavano,Carlos Perez,,2000-04-06 - Los Angeles Dodgers (3) @ Montreal Expos (11) (Final),2000
3882,2000-04-07T23:05:00Z,2000-04-07,R,Final,San Diego Padres,Montreal Expos,135,120,N,1,,,,,10,5,9,Bottom,24,Olympic Stadium,[],SD leads 1-0,San Diego Padres,Montreal Expos,Brian Meadows,Jeremy Powell,,2000-04-07 - San Diego Padres (10) @ Montreal Expos (5) (Final),2000
3938,2000-04-08T18:05:00Z,2000-04-08,R,Final,San Diego Padres,Montreal Expos,135,120,N,1,,,,,9,10,9,Top,24,Olympic Stadium,[],Series tied 1-1,Montreal Expos,San Diego Padres,Anthony Telford,Donne Wall,Ugueth Urbina,2000-04-08 - San Diego Padres (9) @ Montreal Expos (10) (Final),2000
5027,2000-04-09T17:35:00Z,2000-04-09,R,Final,San Diego Padres,Montreal Expos,135,120,N,1,,,,,1,2,9,Top,24,Olympic Stadium,[],MON wins 2-1,Montreal Expos,San Diego Padres,Hideki Irabu,Brian Boehringer,Ugueth Urbina,2000-04-09 - San Diego Padres (1) @ Montreal Expos (2) (Final),2000
4084,2000-04-11T23:05:00Z,2000-04-11,R,Final,Montreal Expos,Pittsburgh Pirates,120,134,N,1,,,,,7,3,9,Bottom,27,Three Rivers Stadium,[],MON leads 1-0,Montreal Expos,Pittsburgh Pirates,Javier Vazquez,Kris Benson,Steve Kline,2000-04-11 - Montreal Expos (7) @ Pittsburgh Pirates (3) (Final),2000
4982,2000-04-12T23:05:00Z,2000-04-12,R,Final,Montreal Expos,Pittsburgh Pirates,120,134,N,1,,,,,4,6,9,Top,27,Three Rivers Stadium,[],Series tied 1-1,Pittsburgh Pirates,Montreal Expos,Jose Silva,Miguel Batista,Mike Williams,2000-04-12 - Montreal Expos (4) @ Pittsburgh Pirates (6) (Final),2000
4007,2000-04-13T23:05:00Z,2000-04-13,R,Final,Montreal Expos,Pittsburgh Pirates,120,134,N,1,,,,,3,4,9,Bottom,27,Three Rivers Stadium,[],PIT wins 2-1,Pittsburgh Pirates,Montreal Expos,Jose Silva,Ugueth Urbina,,2000-04-13 - Montreal Expos (3) @ Pittsburgh Pirates (4) (Final),2000
4051,2000-04-14T23:05:00Z,2000-04-14,R,Final,Montreal Expos,Philadelphia Phillies,120,143,N,1,,,,,4,0,9,Bottom,26,Veterans Stadium,[],MON leads 1-0,Montreal Expos,Philadelphia Phillies,Dustin Hermanson,Chris Brock,,2000-04-14 - Montreal Expos (4) @ Philadelphia Phillies (0) (Final),2000
4207,2000-04-15T23:05:00Z,2000-04-15,R,Final,Montreal Expos,Philadelphia Phillies,120,143,N,1,,,,,0,0,,,26,Veterans Stadium,[],MON leads 1-0,Philadelphia Phillies,Montreal Expos,,,,2000-04-15 - Montreal Expos () @ Philadelphia Phillies () (Final),2000
4987,2000-04-16T17:35:00Z,2000-04-16,R,Final,Montreal Expos,Philadelphia Phillies,120,143,N,1,,,,,4,5,9,Bottom,26,Veterans Stadium,[],Series tied 1-1,Philadelphia Phillies,Montreal Expos,Scott Aldred,Anthony Telford,,2000-04-16 - Montreal Expos (4) @ Philadelphia Phillies (5) (Final),2000
5035,2000-04-17T23:05:00Z,2000-04-17,R,Final,Montreal Expos,Philadelphia Phillies,120,143,N,1,,,,,0,0,,,26,Veterans Stadium,[],Series tied 1-1,Philadelphia Phillies,Montreal Expos,,,,2000-04-17 - Montreal Expos () @ Philadelphia Phillies () (Final),2000
5111,2000-04-18T23:05:00Z,2000-04-18,R,Final,Chicago Cubs,Montreal Expos,112,120,N,1,,,,,3,4,9,Top,24,Olympic Stadium,[],MON leads 1-0,Montreal Expos,Chicago Cubs,Scott Strickland,Kevin Tapani,Ugueth Urbina,2000-04-18 - Chicago Cubs (3) @ Montreal Expos (4) (Final),2000
5217,2000-04-19T23:05:00Z,2000-04-19,R,Final,Chicago Cubs,Montreal Expos,112,120,N,1,,,,,3,7,9,Top,24,Olympic Stadium,[],MON wins 2-0,Montreal Expos,Chicago Cubs,Carl Pavano,Ruben Quevedo,,2000-04-19 - Chicago Cubs (3) @ Montreal Expos (7) (Final),2000
5042,2000-04-20T23:05:00Z,2000-04-20,R,Final,Chicago Cubs,Montreal Expos,112,120,N,1,,,,,10,6,9,Bottom,24,Olympic Stadium,[],MON wins 2-1,Chicago Cubs,Montreal Expos,Brian Williams,Matt Blank,,2000-04-20 - Chicago Cubs (10) @ Montreal Expos (6) (Final),2000
4072,2000-04-21T23:05:00Z,2000-04-21,R,Final,Milwaukee Brewers,Montreal Expos,158,120,N,1,,,,,1,5,9,Top,24,Olympic Stadium,[],MON leads 1-0,Montreal Expos,Milwaukee Brewers,Dustin Hermanson,Jimmy Haynes,Ugueth Urbina,2000-04-21 - Milwaukee Brewers (1) @ Montreal Expos (5) (Final),2000
5118,2000-04-22T23:05:00Z,2000-04-22,R,Final,Milwaukee Brewers,Montreal Expos,158,120,N,1,,,,,7,3,9,Bottom,24,Olympic Stadium,[],Series tied 1-1,Milwaukee Brewers,Montreal Expos,Everett Stull,Hideki Irabu,,2000-04-22 - Milwaukee Brewers (7) @ Montreal Expos (3) (Final),2000
4023,2000-04-23T17:35:00Z,2000-04-23,R,Final,Milwaukee Brewers,Montreal Expos,158,120,N,1,,,,,4,6,9,Top,24,Olympic Stadium,[],MON wins 2-1,Montreal Expos,Milwaukee Brewers,Javier Vazquez,Jaime Navarro,Ugueth Urbina,2000-04-23 - Milwaukee Brewers (4) @ Montreal Expos (6) (Final),2000
5050,2000-04-25T23:05:00Z,2000-04-25,R,Final,Colorado Rockies,Montreal Expos,115,120,N,1,,,,,4,10,9,Top,24,Olympic Stadium,[],MON leads 1-0,Montreal Expos,Colorado Rockies,Carl Pavano,Brian Bohanon,,2000-04-25 - Colorado Rockies (4) @ Montreal Expos (10) (Final),2000
4088,2000-04-26T23:05:00Z,2000-04-26,R,Final,Colorado Rockies,Montreal Expos,115,120,N,1,,,,,2,9,9,Top,24,Olympic Stadium,[],MON wins 2-0,Montreal Expos,Colorado Rockies,Dustin Hermanson,Kevin Jarvis,Ugueth Urbina,2000-04-26 - Colorado Rockies (2) @ Montreal Expos (9) (Final),2000
3986,2000-04-29T02:35:00Z,2000-04-28,R,Final,Montreal Expos,San Francisco Giants,120,137,N,1,,,,,9,3,9,Bottom,2395,PacBell Park,[],MON leads 1-0,Montreal Expos,San Francisco Giants,Anthony Telford,Russ Ortiz,,2000-04-28 - Montreal Expos (9) @ San Francisco Giants (3) (Final),2000
5056,2000-04-29T20:05:00Z,2000-04-29,R,Final,Montreal Expos,San Francisco Giants,120,137,N,1,,,,,1,2,9,Top,2395,PacBell Park,[],Series tied 1-1,San Francisco Giants,Montreal Expos,John Johnstone,Anthony Telford,Robb Nen,2000-04-29 - Montreal Expos (1) @ San Francisco Giants (2) (Final),2000
5061,2000-04-30T20:05:00Z,2000-04-30,R,Final,Montreal Expos,San Francisco Giants,120,137,N,1,,,,,4,3,9,Bottom,2395,PacBell Park,[],MON wins 2-1,Montreal Expos,San Francisco Giants,Scott Strickland,John Johnstone,Ugueth Urbina,2000-04-30 - Montreal Expos (4) @ San Francisco Giants (3) (Final),2000
4097,2000-05-02T01:05:00Z,2000-05-01,R,Final,Montreal Expos,Colorado Rockies,120,115,N,1,,,,,8,15,9,Top,19,Coors Field,[],COL leads 1-0,Colorado Rockies,Montreal Expos,Gabe White,Dustin Hermanson,,2000-05-01 - Montreal Expos (8) @ Colorado Rockies (15) (Final),2000
5226,2000-05-03T01:05:00Z,2000-05-02,R,Final,Montreal Expos,Colorado Rockies,120,115,N,1,,,,,6,12,9,Top,19,Coors Field,[],COL wins 2-0,Colorado Rockies,Montreal Expos,Scott Karl,Jeremy Powell,,2000-05-02 - Montreal Expos (6) @ Colorado Rockies (12) (Final),2000
5063,2000-05-03T19:05:00Z,2000-05-03,R,Final,Montreal Expos,Colorado Rockies,120,115,N,1,,,,,7,16,9,Top,19,Coors Field,[],COL wins 3-0,Colorado Rockies,Montreal Expos,Pedro Astacio,Hideki Irabu,,2000-05-03 - Montreal Expos (7) @ Colorado Rockies (16) (Final),2000
4038,2000-05-06T00:05:00Z,2000-05-05,R,Final,Montreal Expos,Milwaukee Brewers,120,158,N,1,,,,,10,2,9,Bottom,23,Milwaukee County Stadium,[],MON leads 1-0,Montreal Expos,Milwaukee Brewers,Javier Vazquez,Jason Bere,,2000-05-05 - Montreal Expos (10) @ Milwaukee Brewers (2) (Final),2000
