game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON,losing_Team
3932,2000-04-03T20:05:00Z,2000-04-03,R,Final,Colorado Rockies,Atlanta Braves,115,144,N,1,,,,,0,2,9,Top,16,Turner Field,[],ATL leads 1-0,Atlanta Braves,Colorado Rockies,Greg Maddux,Pedro Astacio,Mike Remlinger,2000-04-03 - Colorado Rockies (0) @ Atlanta Braves (2) (Final),2000,
3966,2000-04-04T23:40:00Z,2000-04-04,R,Final,Colorado Rockies,Atlanta Braves,115,144,N,1,,,,,5,3,9,Bottom,16,Turner Field,[],Series tied 1-1,Colorado Rockies,Atlanta Braves,Julian Tavarez,John Burkett,Jose Jimenez,2000-04-04 - Colorado Rockies (5) @ Atlanta Braves (3) (Final),2000,
5094,2000-04-05T23:40:00Z,2000-04-05,R,Final,Colorado Rockies,Atlanta Braves,115,144,N,1,,,,,6,9,9,Top,16,Turner Field,[],ATL wins 2-1,Atlanta Braves,Colorado Rockies,Bruce Chen,Manny Aybar,Kerry Ligtenberg,2000-04-05 - Colorado Rockies (6) @ Atlanta Braves (9) (Final),2000,
5021,2000-04-07T23:05:00Z,2000-04-07,R,Final,Colorado Rockies,Florida Marlins,115,146,N,1,,,,,3,4,9,Top,20,Pro Player Stadium,[],FLA leads 1-0,Florida Marlins,Colorado Rockies,Brad Penny,Masato Yoshii,Antonio Alfonseca,2000-04-07 - Colorado Rockies (3) @ Florida Marlins (4) (Final),2000,
5025,2000-04-08T23:05:00Z,2000-04-08,R,Final,Colorado Rockies,Florida Marlins,115,146,N,1,,,,,4,2,9,Bottom,20,Pro Player Stadium,[],Series tied 1-1,Colorado Rockies,Florida Marlins,Jose Jimenez,Alex Fernandez,David Lee,2000-04-08 - Colorado Rockies (4) @ Florida Marlins (2) (Final),2000,
3971,2000-04-09T17:05:00Z,2000-04-09,R,Final,Colorado Rockies,Florida Marlins,115,146,N,1,,,,,6,7,9,Top,20,Pro Player Stadium,[],FLA wins 2-1,Florida Marlins,Colorado Rockies,Ryan Dempster,Pedro Astacio,Antonio Alfonseca,2000-04-09 - Colorado Rockies (6) @ Florida Marlins (7) (Final),2000,
4081,2000-04-10T19:05:00Z,2000-04-10,R,Final,Cincinnati Reds,Colorado Rockies,113,115,N,1,,,,,5,7,9,Top,19,Coors Field,[],COL leads 1-0,Colorado Rockies,Cincinnati Reds,Rolando Arrojo,Steve Parris,Stan Belinda,2000-04-10 - Cincinnati Reds (5) @ Colorado Rockies (7) (Final),2000,
5183,2000-04-12T01:05:00Z,2000-04-11,R,Final,Cincinnati Reds,Colorado Rockies,113,115,N,1,,,,,10,3,9,Bottom,19,Coors Field,[],Series tied 1-1,Cincinnati Reds,Colorado Rockies,Ron Villone,Brian Bohanon,,2000-04-11 - Cincinnati Reds (10) @ Colorado Rockies (3) (Final),2000,
4002,2000-04-12T19:05:00Z,2000-04-12,R,Final,Cincinnati Reds,Colorado Rockies,113,115,N,1,,,,,5,7,9,Top,19,Coors Field,[],COL wins 2-1,Colorado Rockies,Cincinnati Reds,Jose Jimenez,Dennys Reyes,Julian Tavarez,2000-04-12 - Cincinnati Reds (5) @ Colorado Rockies (7) (Final),2000,
5099,2000-04-14T01:05:00Z,2000-04-13,R,Final,St. Louis Cardinals,Colorado Rockies,138,115,N,1,,,,,6,12,9,Top,19,Coors Field,[],COL leads 1-0,Colorado Rockies,St. Louis Cardinals,Rick Croushore,Darryl Kile,,2000-04-13 - St. Louis Cardinals (6) @ Colorado Rockies (12) (Final),2000,
4053,2000-04-15T01:05:00Z,2000-04-14,R,Final,St. Louis Cardinals,Colorado Rockies,138,115,N,1,,,,,2,6,9,Top,19,Coors Field,[],COL leads 2-0,Colorado Rockies,St. Louis Cardinals,Pedro Astacio,Rick Ankiel,,2000-04-14 - St. Louis Cardinals (2) @ Colorado Rockies (6) (Final),2000,
4120,2000-04-15T19:05:00Z,2000-04-15,R,Final,St. Louis Cardinals,Colorado Rockies,138,115,N,1,,,,,0,0,,,19,Coors Field,[],COL leads 2-0,Colorado Rockies,St. Louis Cardinals,,,,2000-04-15 - St. Louis Cardinals () @ Colorado Rockies () (Final),2000,
4988,2000-04-16T19:05:00Z,2000-04-16,R,Final,St. Louis Cardinals,Colorado Rockies,138,115,Y,1,,,,,9,3,9,Bottom,19,Coors Field,[],COL leads 2-1,St. Louis Cardinals,Colorado Rockies,Pat Hentgen,Rolando Arrojo,,2000-04-16 - St. Louis Cardinals (9) @ Colorado Rockies (3) (Final),2000,
5209,2000-04-17T01:05:00Z,2000-04-16,R,Final,St. Louis Cardinals,Colorado Rockies,138,115,Y,2,,,,,13,14,9,Top,19,Coors Field,[],COL wins 3-1,Colorado Rockies,St. Louis Cardinals,Jose Jimenez,Mike Mohler,Gabe White,2000-04-16 - St. Louis Cardinals (13) @ Colorado Rockies (14) (Final),2000,
3958,2000-04-18T01:35:00Z,2000-04-17,R,Final,Colorado Rockies,Arizona Diamondbacks,115,109,N,1,,,,,9,1,9,Bottom,15,Bank One Ballpark,[],COL leads 1-0,Colorado Rockies,Arizona Diamondbacks,Masato Yoshii,Omar Daal,,2000-04-17 - Colorado Rockies (9) @ Arizona Diamondbacks (1) (Final),2000,
4016,2000-04-19T01:35:00Z,2000-04-18,R,Final,Colorado Rockies,Arizona Diamondbacks,115,109,N,1,,,,,1,7,9,Top,15,Bank One Ballpark,[],Series tied 1-1,Arizona Diamondbacks,Colorado Rockies,Armando Reynoso,Scott Karl,,2000-04-18 - Colorado Rockies (1) @ Arizona Diamondbacks (7) (Final),2000,
4020,2000-04-20T01:35:00Z,2000-04-19,R,Final,Colorado Rockies,Arizona Diamondbacks,115,109,N,1,,,,,7,8,9,Top,15,Bank One Ballpark,[],AZ leads 2-1,Arizona Diamondbacks,Colorado Rockies,Mike Morgan,Julian Tavarez,Byung-Hyun Kim,2000-04-19 - Colorado Rockies (7) @ Arizona Diamondbacks (8) (Final),2000,
5043,2000-04-21T01:35:00Z,2000-04-20,R,Final,Colorado Rockies,Arizona Diamondbacks,115,109,N,1,,,,,0,3,9,Top,15,Bank One Ballpark,[],AZ wins 3-1,Arizona Diamondbacks,Colorado Rockies,Randy Johnson,Rolando Arrojo,,2000-04-20 - Colorado Rockies (0) @ Arizona Diamondbacks (3) (Final),2000,
4160,2000-04-22T00:10:00Z,2000-04-21,R,Final,Colorado Rockies,St. Louis Cardinals,115,138,N,1,,,,,6,4,9,Bottom,30,Busch Stadium I,[],COL leads 1-0,Colorado Rockies,St. Louis Cardinals,Kevin Jarvis,Pat Hentgen,Jose Jimenez,2000-04-21 - Colorado Rockies (6) @ St. Louis Cardinals (4) (Final),2000,
3979,2000-04-23T00:10:00Z,2000-04-22,R,Final,Colorado Rockies,St. Louis Cardinals,115,138,N,1,,,,,7,6,9,Bottom,30,Busch Stadium I,[],COL leads 2-0,Colorado Rockies,St. Louis Cardinals,Rick Croushore,Mike James,Jose Jimenez,2000-04-22 - Colorado Rockies (7) @ St. Louis Cardinals (6) (Final),2000,
5220,2000-04-23T20:10:00Z,2000-04-23,R,Final,Colorado Rockies,St. Louis Cardinals,115,138,N,1,,,,,3,6,7,Bottom,30,Busch Stadium I,[],COL leads 2-1,St. Louis Cardinals,Colorado Rockies,Andy Benes,Scott Karl,Heathcliff Slocumb,2000-04-23 - Colorado Rockies (3) @ St. Louis Cardinals (6) (Final),2000,
5003,2000-04-24T17:10:00Z,2000-04-24,R,Final,Colorado Rockies,St. Louis Cardinals,115,138,N,1,,,,,0,0,,,30,Busch Stadium I,[],COL leads 2-1,St. Louis Cardinals,Colorado Rockies,,,,2000-04-24 - Colorado Rockies () @ St. Louis Cardinals () (Final),2000,
5050,2000-04-25T23:05:00Z,2000-04-25,R,Final,Colorado Rockies,Montreal Expos,115,120,N,1,,,,,4,10,9,Top,24,Olympic Stadium,[],MON leads 1-0,Montreal Expos,Colorado Rockies,Carl Pavano,Brian Bohanon,,2000-04-25 - Colorado Rockies (4) @ Montreal Expos (10) (Final),2000,
4088,2000-04-26T23:05:00Z,2000-04-26,R,Final,Colorado Rockies,Montreal Expos,115,120,N,1,,,,,2,9,9,Top,24,Olympic Stadium,[],MON wins 2-0,Montreal Expos,Colorado Rockies,Dustin Hermanson,Kevin Jarvis,Ugueth Urbina,2000-04-26 - Colorado Rockies (2) @ Montreal Expos (9) (Final),2000,
3983,2000-04-29T01:05:00Z,2000-04-28,R,Final,New York Mets,Colorado Rockies,121,115,N,1,,,,,5,12,9,Top,19,Coors Field,[],COL leads 1-0,Colorado Rockies,New York Mets,Pedro Astacio,Mike Hampton,,2000-04-28 - New York Mets (5) @ Colorado Rockies (12) (Final),2000,
4030,2000-04-29T19:05:00Z,2000-04-29,R,Final,New York Mets,Colorado Rockies,121,115,N,1,,,,,13,6,9,Bottom,19,Coors Field,[],Series tied 1-1,New York Mets,Colorado Rockies,Rick Reed,Masato Yoshii,,2000-04-29 - New York Mets (13) @ Colorado Rockies (6) (Final),2000,
