game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,summary,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,SEASON
4969,2000-04-03T23:05:00Z,2000-04-03,R,Postponed,Houston Astros,Pittsburgh Pirates,117,134,N,1,,,,,0,0,,,27,Three Rivers Stadium,[],HOU leads 1-0,2000-04-03 - Houston Astros @ Pittsburgh Pirates (Postponed),,,,,,2000
4969,2000-04-04T23:05:00Z,2000-04-04,R,Final,Houston Astros,Pittsburgh Pirates,117,134,N,1,,,,,5,2,9,Bottom,27,Three Rivers Stadium,[],HOU leads 1-0,2000-04-04 - Houston Astros (5) @ Pittsburgh Pirates (2) (Final),Houston Astros,Pittsburgh Pirates,Shane Reynolds,Jason Schmidt,Billy Wagner,2000
4972,2000-04-05T23:05:00Z,2000-04-05,R,Final,Houston Astros,Pittsburgh Pirates,117,134,N,1,,,,,11,2,9,Bottom,27,Three Rivers Stadium,[],HOU wins 2-0,2000-04-05 - Houston Astros (11) @ Pittsburgh Pirates (2) (Final),Houston Astros,Pittsburgh Pirates,Jose Lima,Kris Benson,,2000
4957,2000-04-06T17:35:00Z,2000-04-06,R,Final,Houston Astros,Pittsburgh Pirates,117,134,N,1,,,,,1,10,9,Top,27,Three Rivers Stadium,[],HOU wins 2-1,2000-04-06 - Houston Astros (1) @ Pittsburgh Pirates (10) (Final),Pittsburgh Pirates,Houston Astros,Francisco Cordova,Chris Holt,,2000
3884,2000-04-08T00:05:00Z,2000-04-07,R,Final,Philadelphia Phillies,Houston Astros,143,117,N,1,,,,,4,1,9,Bottom,2392,Enron Field,[],PHI leads 1-0,2000-04-07 - Philadelphia Phillies (4) @ Houston Astros (1) (Final),Philadelphia Phillies,Houston Astros,Randy Wolf,Octavio Dotel,Wayne Gomes,2000
3968,2000-04-08T19:05:00Z,2000-04-08,R,Final,Philadelphia Phillies,Houston Astros,143,117,N,1,,,,,5,8,9,Top,2392,Enron Field,[],Series tied 1-1,2000-04-08 - Philadelphia Phillies (5) @ Houston Astros (8) (Final),Houston Astros,Philadelphia Phillies,Mike Maddux,Chris Brock,Billy Wagner,2000
3974,2000-04-09T19:05:00Z,2000-04-09,R,Final,Philadelphia Phillies,Houston Astros,143,117,N,1,,,,,3,2,9,Bottom,2392,Enron Field,[],PHI wins 2-1,2000-04-09 - Philadelphia Phillies (3) @ Houston Astros (2) (Final),Philadelphia Phillies,Houston Astros,Steve Schrenk,Jay Powell,Wayne Gomes,2000
4082,2000-04-11T00:05:00Z,2000-04-10,R,Final,St. Louis Cardinals,Houston Astros,138,117,N,1,,,,,8,7,9,Bottom,2392,Enron Field,[],STL leads 1-0,2000-04-10 - St. Louis Cardinals (8) @ Houston Astros (7) (Final),St. Louis Cardinals,Houston Astros,Pat Hentgen,Jose Lima,Dave Veres,2000
4978,2000-04-12T00:05:00Z,2000-04-11,R,Final,St. Louis Cardinals,Houston Astros,138,117,N,1,,,,,10,6,9,Bottom,2392,Enron Field,[],STL wins 2-0,2000-04-11 - St. Louis Cardinals (10) @ Houston Astros (6) (Final),St. Louis Cardinals,Houston Astros,Garrett Stephenson,Chris Holt,,2000
4004,2000-04-13T00:05:00Z,2000-04-12,R,Final,St. Louis Cardinals,Houston Astros,138,117,N,1,,,,,5,7,9,Top,2392,Enron Field,[],STL wins 2-1,2000-04-12 - St. Louis Cardinals (5) @ Houston Astros (7) (Final),Houston Astros,St. Louis Cardinals,Yorkis Perez,David Wainhouse,Billy Wagner,2000
