game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON
3962,2000-04-03T23:05:00Z,2000-04-03,R,Final,Los Angeles Dodgers,Montreal Expos,119,120,N,1,,,,,10,4,9,Bottom,24,Olympic Stadium,[],LA leads 1-0,Los Angeles Dodgers,Montreal Expos,Kevin Brown,Dustin Hermanson,Terry Adams,2000-04-03 - Los Angeles Dodgers (10) @ Montreal Expos (4) (Final),2000
3965,2000-04-04T23:05:00Z,2000-04-04,R,Final,Los Angeles Dodgers,Montreal Expos,119,120,N,1,,,,,10,4,9,Bottom,24,Olympic Stadium,[],LA leads 2-0,Los Angeles Dodgers,Montreal Expos,Chan Ho Park,Hideki Irabu,,2000-04-04 - Los Angeles Dodgers (10) @ Montreal Expos (4) (Final),2000
5093,2000-04-05T23:05:00Z,2000-04-05,R,Final,Los Angeles Dodgers,Montreal Expos,119,120,N,1,,,,,5,6,9,Bottom,24,Olympic Stadium,[],LA leads 2-1,Montreal Expos,Los Angeles Dodgers,Anthony Telford,Jeff Shaw,,2000-04-05 - Los Angeles Dodgers (5) @ Montreal Expos (6) (Final),2000
5096,2000-04-06T23:05:00Z,2000-04-06,R,Final,Los Angeles Dodgers,Montreal Expos,119,120,N,1,,,,,3,11,9,Top,24,Olympic Stadium,[],Series tied 2-2,Montreal Expos,Los Angeles Dodgers,Carl Pavano,Carlos Perez,,2000-04-06 - Los Angeles Dodgers (3) @ Montreal Expos (11) (Final),2000
5022,2000-04-07T23:10:00Z,2000-04-07,R,Final,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,1,2,9,Top,25,Shea Stadium,[],NYM leads 1-0,New York Mets,Los Angeles Dodgers,Rick Reed,Darren Dreifort,Armando Benitez,2000-04-07 - Los Angeles Dodgers (1) @ New York Mets (2) (Final),2000
3936,2000-04-08T17:10:00Z,2000-04-08,R,Final,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,6,5,10,Bottom,25,Shea Stadium,[],Series tied 1-1,Los Angeles Dodgers,New York Mets,Mike Fetters,Armando Benitez,Jeff Shaw,2000-04-08 - Los Angeles Dodgers (6) @ New York Mets (5) (Final),2000
5026,2000-04-09T17:10:00Z,2000-04-09,R,Final,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,0,0,,,25,Shea Stadium,[],Series tied 1-1,New York Mets,Los Angeles Dodgers,,,,2000-04-09 - Los Angeles Dodgers () @ New York Mets () (Final),2000
4083,2000-04-11T20:05:00Z,2000-04-11,R,Final,Los Angeles Dodgers,San Francisco Giants,119,137,N,1,,,,,6,5,9,Bottom,2395,PacBell Park,[],LA leads 1-0,Los Angeles Dodgers,San Francisco Giants,Chan Ho Park,Kirk Rueter,Jeff Shaw,2000-04-11 - Los Angeles Dodgers (6) @ San Francisco Giants (5) (Final),2000
5028,2000-04-13T02:35:00Z,2000-04-12,R,Final,Los Angeles Dodgers,San Francisco Giants,119,137,N,1,,,,,6,5,9,Bottom,2395,PacBell Park,[],LA wins 2-0,Los Angeles Dodgers,San Francisco Giants,Terry Adams,Ben Weber,Jeff Shaw,2000-04-12 - Los Angeles Dodgers (6) @ San Francisco Giants (5) (Final),2000
5028,2000-04-13T03:33:00Z,2000-04-13,R,Final,Los Angeles Dodgers,San Francisco Giants,119,137,N,1,,,,,6,5,9,Bottom,2395,PacBell Park,[],LA wins 2-0,Los Angeles Dodgers,San Francisco Giants,Terry Adams,Ben Weber,Jeff Shaw,2000-04-13 - Los Angeles Dodgers (6) @ San Francisco Giants (5) (Final),2000
4048,2000-04-14T02:35:00Z,2000-04-13,R,Final,Los Angeles Dodgers,San Francisco Giants,119,137,N,1,,,,,11,7,9,Bottom,2395,PacBell Park,[],LA wins 3-0,Los Angeles Dodgers,San Francisco Giants,Carlos Perez,Mark Gardner,Jeff Shaw,2000-04-13 - Los Angeles Dodgers (11) @ San Francisco Giants (7) (Final),2000
5105,2000-04-14T20:10:00Z,2000-04-14,R,Final,Cincinnati Reds,Los Angeles Dodgers,113,119,N,1,,,,,1,8,9,Top,22,Dodger Stadium,[],LA leads 1-0,Los Angeles Dodgers,Cincinnati Reds,Orel Hershiser,Rob Bell,,2000-04-14 - Cincinnati Reds (1) @ Los Angeles Dodgers (8) (Final),2000
4986,2000-04-16T00:10:00Z,2000-04-15,R,Final,Cincinnati Reds,Los Angeles Dodgers,113,119,N,1,,,,,5,4,9,Bottom,22,Dodger Stadium,[],Series tied 1-1,Cincinnati Reds,Los Angeles Dodgers,Scott Williamson,Alan Mills,Danny Graves,2000-04-15 - Cincinnati Reds (5) @ Los Angeles Dodgers (4) (Final),2000
3957,2000-04-16T20:10:00Z,2000-04-16,R,Final,Cincinnati Reds,Los Angeles Dodgers,113,119,N,1,,,,,5,3,9,Bottom,22,Dodger Stadium,[],CIN wins 2-1,Cincinnati Reds,Los Angeles Dodgers,Steve Parris,Chan Ho Park,Danny Graves,2000-04-16 - Cincinnati Reds (5) @ Los Angeles Dodgers (3) (Final),2000
3959,2000-04-18T02:10:00Z,2000-04-17,R,Cancelled,Houston Astros,Los Angeles Dodgers,117,119,N,1,,,,,0,0,,,22,Dodger Stadium,[],,,,,,,2000-04-17 - Houston Astros @ Los Angeles Dodgers (Cancelled),2000
4017,2000-04-19T02:10:00Z,2000-04-18,R,Final,Houston Astros,Los Angeles Dodgers,117,119,N,1,,,,,3,5,9,Top,22,Dodger Stadium,[],LA leads 1-0,Los Angeles Dodgers,Houston Astros,Darren Dreifort,Octavio Dotel,Jeff Shaw,2000-04-18 - Houston Astros (3) @ Los Angeles Dodgers (5) (Final),2000
4021,2000-04-20T02:05:00Z,2000-04-19,R,Final,Houston Astros,Los Angeles Dodgers,117,119,N,1,,,,,10,3,9,Bottom,22,Dodger Stadium,[],Series tied 1-1,Houston Astros,Los Angeles Dodgers,Shane Reynolds,Orel Hershiser,,2000-04-19 - Houston Astros (10) @ Los Angeles Dodgers (3) (Final),2000
4070,2000-04-21T23:05:00Z,2000-04-21,R,Final,Los Angeles Dodgers,Cincinnati Reds,119,113,N,1,,,,,9,2,9,Bottom,18,Cinergy Field,[],LA leads 1-0,Los Angeles Dodgers,Cincinnati Reds,Matt Herges,Steve Parris,Terry Adams,2000-04-21 - Los Angeles Dodgers (9) @ Cincinnati Reds (2) (Final),2000
4162,2000-04-22T17:15:00Z,2000-04-22,R,Final,Los Angeles Dodgers,Cincinnati Reds,119,113,N,1,,,,,16,2,9,Bottom,18,Cinergy Field,[],LA wins 2-0,Los Angeles Dodgers,Cincinnati Reds,Chan Ho Park,Pete Harnisch,Alan Mills,2000-04-22 - Los Angeles Dodgers (16) @ Cincinnati Reds (2) (Final),2000
4022,2000-04-23T17:15:00Z,2000-04-23,R,Final,Los Angeles Dodgers,Cincinnati Reds,119,113,N,1,,,,,11,3,9,Bottom,18,Cinergy Field,[],LA wins 3-0,Los Angeles Dodgers,Cincinnati Reds,Carlos Perez,Ron Villone,,2000-04-23 - Los Angeles Dodgers (11) @ Cincinnati Reds (3) (Final),2000
5037,2000-04-24T17:05:00Z,2000-04-24,R,Final,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,0,1,9,Bottom,25,Shea Stadium,[],NYM wins Season,New York Mets,Los Angeles Dodgers,Armando Benitez,Terry Adams,,2000-04-24 - Los Angeles Dodgers (0) @ New York Mets (1) (Final),2000
5051,2000-04-25T23:40:00Z,2000-04-25,R,Final,Los Angeles Dodgers,Atlanta Braves,119,144,N,1,,,,,0,1,9,Top,16,Turner Field,[],ATL leads 1-0,Atlanta Braves,Los Angeles Dodgers,Tom Glavine,Kevin Brown,,2000-04-25 - Los Angeles Dodgers (0) @ Atlanta Braves (1) (Final),2000
5122,2000-04-26T23:40:00Z,2000-04-26,R,Final,Los Angeles Dodgers,Atlanta Braves,119,144,N,1,,,,,1,5,9,Top,16,Turner Field,[],ATL wins 2-0,Atlanta Braves,Los Angeles Dodgers,Kevin Millwood,Eric Gagne,,2000-04-26 - Los Angeles Dodgers (1) @ Atlanta Braves (5) (Final),2000
4093,2000-04-27T17:10:00Z,2000-04-27,R,Final,Los Angeles Dodgers,Atlanta Braves,119,144,N,1,,,,,3,6,9,Top,16,Turner Field,[],ATL wins 3-0,Atlanta Braves,Los Angeles Dodgers,Terry Mulholland,Chan Ho Park,John Rocker,2000-04-27 - Los Angeles Dodgers (3) @ Atlanta Braves (6) (Final),2000
3985,2000-04-29T02:10:00Z,2000-04-28,R,Final,Florida Marlins,Los Angeles Dodgers,146,119,N,1,,,,,3,5,9,Top,22,Dodger Stadium,[],LA leads 1-0,Los Angeles Dodgers,Florida Marlins,Terry Adams,Brad Penny,Jeff Shaw,2000-04-28 - Florida Marlins (3) @ Los Angeles Dodgers (5) (Final),2000
4032,2000-04-30T00:10:00Z,2000-04-29,R,Final,Florida Marlins,Los Angeles Dodgers,146,119,N,1,,,,,12,13,9,Bottom,22,Dodger Stadium,[],LA wins 2-0,Los Angeles Dodgers,Florida Marlins,Jeff Shaw,Antonio Alfonseca,,2000-04-29 - Florida Marlins (12) @ Los Angeles Dodgers (13) (Final),2000
5128,2000-04-30T20:10:00Z,2000-04-30,R,Final,Florida Marlins,Los Angeles Dodgers,146,119,N,1,,,,,1,7,9,Top,22,Dodger Stadium,[],LA wins 3-0,Los Angeles Dodgers,Florida Marlins,Kevin Brown,Alex Fernandez,,2000-04-30 - Florida Marlins (1) @ Los Angeles Dodgers (7) (Final),2000
5130,2000-05-02T02:10:00Z,2000-05-01,R,Final,Atlanta Braves,Los Angeles Dodgers,144,119,N,1,,,,,2,1,9,Bottom,22,Dodger Stadium,[],ATL leads 1-0,Atlanta Braves,Los Angeles Dodgers,Kevin Millwood,Eric Gagne,John Rocker,2000-05-01 - Atlanta Braves (2) @ Los Angeles Dodgers (1) (Final),2000
