game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON
3412,2000-04-04T00:05:00Z,2000-04-03,R,Final,Tampa Bay Devil Rays,Minnesota Twins,139,142,N,1,,,,,7,0,9,Bottom,8,Hubert H. Humphrey Metrodome,[],TB leads 1-0,Tampa Bay Devil Rays,Minnesota Twins,Steve Trachsel,Brad Radke,,2000-04-03 - Tampa Bay Devil Rays (7) @ Minnesota Twins (0) (Final),2000
3214,2000-04-05T00:05:00Z,2000-04-04,R,Final,Tampa Bay Devil Rays,Minnesota Twins,139,142,N,1,,,,,5,6,9,Bottom,8,Hubert H. Humphrey Metrodome,[],Series tied 1-1,Minnesota Twins,Tampa Bay Devil Rays,Hector Carrasco,Roberto Hernandez,,2000-04-04 - Tampa Bay Devil Rays (5) @ Minnesota Twins (6) (Final),2000
5092,2000-04-06T00:05:00Z,2000-04-05,R,Final,Tampa Bay Devil Rays,Minnesota Twins,139,142,N,1,,,,,7,10,9,Bottom,8,Hubert H. Humphrey Metrodome,[],MIN leads 2-1,Minnesota Twins,Tampa Bay Devil Rays,Eddie Guardado,Rick White,,2000-04-05 - Tampa Bay Devil Rays (7) @ Minnesota Twins (10) (Final),2000
4956,2000-04-06T17:05:00Z,2000-04-06,R,Final,Tampa Bay Devil Rays,Minnesota Twins,139,142,N,1,,,,,7,6,9,Bottom,8,Hubert H. Humphrey Metrodome,[],Series tied 2-2,Tampa Bay Devil Rays,Minnesota Twins,Jim Mecir,Hector Carrasco,Roberto Hernandez,2000-04-06 - Tampa Bay Devil Rays (7) @ Minnesota Twins (6) (Final),2000
4959,2000-04-07T18:05:00Z,2000-04-07,R,Final,Minnesota Twins,Kansas City Royals,142,118,N,1,,,,,6,10,9,Top,7,Kauffman Stadium,[],KC leads 1-0,Kansas City Royals,Minnesota Twins,Chris Fussell,Travis Miller,,2000-04-07 - Minnesota Twins (6) @ Kansas City Royals (10) (Final),2000
3413,2000-04-08T18:05:00Z,2000-04-08,R,Final,Minnesota Twins,Kansas City Royals,142,118,N,1,,,,,2,5,9,Top,7,Kauffman Stadium,[],KC leads 2-0,Kansas City Royals,Minnesota Twins,Jeff Suppan,Brad Radke,Jose Santiago,2000-04-08 - Minnesota Twins (2) @ Kansas City Royals (5) (Final),2000
3503,2000-04-09T18:05:00Z,2000-04-09,R,Final,Minnesota Twins,Kansas City Royals,142,118,N,1,,,,,13,7,9,Bottom,7,Kauffman Stadium,[],KC leads 2-1,Minnesota Twins,Kansas City Royals,Eric Milton,Jay Witasick,,2000-04-09 - Minnesota Twins (13) @ Kansas City Royals (7) (Final),2000
3300,2000-04-10T18:05:00Z,2000-04-10,R,Final,Minnesota Twins,Kansas City Royals,142,118,N,1,,,,,5,6,9,Bottom,7,Kauffman Stadium,[],KC wins 3-1,Kansas City Royals,Minnesota Twins,Ricky Bottalico,LaTroy Hawkins,,2000-04-10 - Minnesota Twins (5) @ Kansas City Royals (6) (Final),2000
3302,2000-04-11T17:05:00Z,2000-04-11,R,Final,Minnesota Twins,Boston Red Sox,142,111,N,1,,,,,4,13,9,Top,3,Fenway Park,[],BOS leads 1-0,Boston Red Sox,Minnesota Twins,Ramon Martinez,Joe Mays,,2000-04-11 - Minnesota Twins (4) @ Boston Red Sox (13) (Final),2000
5029,2000-04-12T22:05:00Z,2000-04-12,R,Final,Minnesota Twins,Boston Red Sox,142,111,N,1,,,,,3,7,9,Top,3,Fenway Park,[],BOS wins 2-0,Boston Red Sox,Minnesota Twins,Jeff Fassero,Johan Santana,,2000-04-12 - Minnesota Twins (3) @ Boston Red Sox (7) (Final),2000
3354,2000-04-13T22:05:00Z,2000-04-13,R,Final,Minnesota Twins,Boston Red Sox,142,111,N,1,,,,,3,4,9,Top,3,Fenway Park,[],BOS wins 3-0,Boston Red Sox,Minnesota Twins,Tim Wakefield,Bob Wells,Derek Lowe,2000-04-13 - Minnesota Twins (3) @ Boston Red Sox (4) (Final),2000
3423,2000-04-15T00:05:00Z,2000-04-14,R,Final,Baltimore Orioles,Minnesota Twins,110,142,N,1,,,,,9,10,9,Top,8,Hubert H. Humphrey Metrodome,[],MIN leads 1-0,Minnesota Twins,Baltimore Orioles,Mark Redman,Buddy Groom,Eddie Guardado,2000-04-14 - Baltimore Orioles (9) @ Minnesota Twins (10) (Final),2000
3510,2000-04-15T23:05:00Z,2000-04-15,R,Final,Baltimore Orioles,Minnesota Twins,110,142,N,1,,,,,6,4,9,Bottom,8,Hubert H. Humphrey Metrodome,[],Series tied 1-1,Baltimore Orioles,Minnesota Twins,Tim Worrell,Travis Miller,Mike Trombley,2000-04-15 - Baltimore Orioles (6) @ Minnesota Twins (4) (Final),2000
