game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON
3928,2000-03-29T10:00:00Z,2000-03-29,R,Final,Chicago Cubs,New York Mets,112,121,N,1,,,,,5,3,9,Bottom,2397,Tokyo Dome,[],CHC leads 1-0,Chicago Cubs,New York Mets,Jon Lieber,Mike Hampton,Rick Aguilera,2000-03-29 - Chicago Cubs (5) @ New York Mets (3) (Final),2000
3929,2000-03-30T10:30:00Z,2000-03-30,R,Final,New York Mets,Chicago Cubs,121,112,N,1,,,,,5,1,11,Bottom,2397,Tokyo Dome,[],Series tied 1-1,New York Mets,Chicago Cubs,Dennis Cook,Danny Young,,2000-03-30 - New York Mets (5) @ Chicago Cubs (1) (Final),2000
3931,2000-04-03T17:10:00Z,2000-04-03,R,Final,San Diego Padres,New York Mets,135,121,N,1,,,,,1,2,9,Top,25,Shea Stadium,[],NYM leads 1-0,New York Mets,San Diego Padres,Al Leiter,Donne Wall,Armando Benitez,2000-04-03 - San Diego Padres (1) @ New York Mets (2) (Final),2000
4075,2000-04-05T23:10:00Z,2000-04-05,R,Final,San Diego Padres,New York Mets,135,121,N,1,,,,,4,0,9,Bottom,25,Shea Stadium,[],Series tied 1-1,San Diego Padres,New York Mets,Woody Williams,Bobby Jones,,2000-04-05 - San Diego Padres (4) @ New York Mets (0) (Final),2000
3879,2000-04-06T23:10:00Z,2000-04-06,R,Final,San Diego Padres,New York Mets,135,121,N,1,,,,,8,5,9,Bottom,25,Shea Stadium,[],SD wins 2-1,San Diego Padres,New York Mets,Matt Clement,Mike Hampton,,2000-04-06 - San Diego Padres (8) @ New York Mets (5) (Final),2000
5022,2000-04-07T23:10:00Z,2000-04-07,R,Final,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,1,2,9,Top,25,Shea Stadium,[],NYM leads 1-0,New York Mets,Los Angeles Dodgers,Rick Reed,Darren Dreifort,Armando Benitez,2000-04-07 - Los Angeles Dodgers (1) @ New York Mets (2) (Final),2000
3936,2000-04-08T17:10:00Z,2000-04-08,R,Final,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,6,5,10,Bottom,25,Shea Stadium,[],Series tied 1-1,Los Angeles Dodgers,New York Mets,Mike Fetters,Armando Benitez,Jeff Shaw,2000-04-08 - Los Angeles Dodgers (6) @ New York Mets (5) (Final),2000
5026,2000-04-09T17:10:00Z,2000-04-09,R,Final,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,0,0,,,25,Shea Stadium,[],Series tied 1-1,New York Mets,Los Angeles Dodgers,,,,2000-04-09 - Los Angeles Dodgers () @ New York Mets () (Final),2000
5081,2000-04-10T23:05:00Z,2000-04-10,R,Final,New York Mets,Philadelphia Phillies,121,143,N,1,,,,,7,9,9,Top,26,Veterans Stadium,[],PHI leads 1-0,Philadelphia Phillies,New York Mets,Amaury Telemaco,Rich Rodriguez,Wayne Gomes,2000-04-10 - New York Mets (7) @ Philadelphia Phillies (9) (Final),2000
4003,2000-04-12T23:05:00Z,2000-04-12,R,Final,New York Mets,Philadelphia Phillies,121,143,N,1,,,,,5,8,9,Top,26,Veterans Stadium,[],PHI wins 2-0,Philadelphia Phillies,New York Mets,Robert Person,Mike Hampton,Wayne Gomes,2000-04-12 - New York Mets (5) @ Philadelphia Phillies (8) (Final),2000
4006,2000-04-13T23:05:00Z,2000-04-13,R,Final,New York Mets,Philadelphia Phillies,121,143,N,1,,,,,2,1,9,Bottom,26,Veterans Stadium,[],PHI wins 2-1,New York Mets,Philadelphia Phillies,Dennis Cook,Scott Aldred,Armando Benitez,2000-04-13 - New York Mets (2) @ Philadelphia Phillies (1) (Final),2000
4052,2000-04-14T23:05:00Z,2000-04-14,R,Final,New York Mets,Pittsburgh Pirates,121,134,N,1,,,,,8,5,12,Bottom,27,Three Rivers Stadium,[],NYM leads 1-0,New York Mets,Pittsburgh Pirates,John Franco,Jose Silva,,2000-04-14 - New York Mets (8) @ Pittsburgh Pirates (5) (Final),2000
4117,2000-04-15T17:35:00Z,2000-04-15,R,Final,New York Mets,Pittsburgh Pirates,121,134,N,1,,,,,0,2,9,Top,27,Three Rivers Stadium,[],Series tied 1-1,Pittsburgh Pirates,New York Mets,Jimmy Anderson,Glendon Rusch,Mike Williams,2000-04-15 - New York Mets (0) @ Pittsburgh Pirates (2) (Final),2000
4209,2000-04-16T17:35:00Z,2000-04-16,R,Final,New York Mets,Pittsburgh Pirates,121,134,N,1,,,,,12,9,9,Bottom,27,Three Rivers Stadium,[],NYM wins 2-1,New York Mets,Pittsburgh Pirates,Pat Mahomes,Chris Peters,Armando Benitez,2000-04-16 - New York Mets (12) @ Pittsburgh Pirates (9) (Final),2000
3960,2000-04-18T23:10:00Z,2000-04-18,R,Final,Milwaukee Brewers,New York Mets,158,121,N,1,,,,,7,10,9,Top,25,Shea Stadium,[],NYM leads 1-0,New York Mets,Milwaukee Brewers,Mike Hampton,Jaime Navarro,Armando Benitez,2000-04-18 - Milwaukee Brewers (7) @ New York Mets (10) (Final),2000
4019,2000-04-19T23:10:00Z,2000-04-19,R,Final,Milwaukee Brewers,New York Mets,158,121,N,1,,,,,1,3,9,Top,25,Shea Stadium,[],NYM wins 2-0,New York Mets,Milwaukee Brewers,Rick Reed,Jason Bere,Armando Benitez,2000-04-19 - Milwaukee Brewers (1) @ New York Mets (3) (Final),2000
4067,2000-04-20T23:10:00Z,2000-04-20,R,Final,Milwaukee Brewers,New York Mets,158,121,N,1,,,,,4,5,10,Bottom,25,Shea Stadium,[],NYM wins 3-0,New York Mets,Milwaukee Brewers,Turk Wendell,Curt Leskanic,,2000-04-20 - Milwaukee Brewers (4) @ New York Mets (5) (Final),2000
4073,2000-04-21T23:10:00Z,2000-04-21,R,Final,Chicago Cubs,New York Mets,112,121,N,1,,,,,0,0,,,25,Shea Stadium,[],,New York Mets,Chicago Cubs,,,,2000-04-21 - Chicago Cubs () @ New York Mets () (Final),2000
5115,2000-04-22T17:10:00Z,2000-04-22,R,Final,Chicago Cubs,New York Mets,112,121,Y,1,,,,,3,8,9,Top,25,Shea Stadium,[],NYM leads 1-0,New York Mets,Chicago Cubs,Glendon Rusch,Jon Lieber,,2000-04-22 - Chicago Cubs (3) @ New York Mets (8) (Final),2000
5046,2000-04-22T23:10:00Z,2000-04-22,R,Final,Chicago Cubs,New York Mets,112,121,Y,2,,,,,6,7,9,Top,25,Shea Stadium,[],NYM leads 2-0,New York Mets,Chicago Cubs,Dennis Cook,Kyle Farnsworth,Armando Benitez,2000-04-22 - Chicago Cubs (6) @ New York Mets (7) (Final),2000
5219,2000-04-23T17:10:00Z,2000-04-23,R,Final,Chicago Cubs,New York Mets,112,121,N,1,,,,,8,15,9,Top,25,Shea Stadium,[],NYM wins 3-0,New York Mets,Chicago Cubs,Mike Hampton,Kevin Tapani,,2000-04-23 - Chicago Cubs (8) @ New York Mets (15) (Final),2000
5037,2000-04-24T17:05:00Z,2000-04-24,R,Final,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,0,1,9,Bottom,25,Shea Stadium,[],NYM wins Season,New York Mets,Los Angeles Dodgers,Armando Benitez,Terry Adams,,2000-04-24 - Los Angeles Dodgers (0) @ New York Mets (1) (Final),2000
4028,2000-04-25T23:10:00Z,2000-04-25,R,Final,Cincinnati Reds,New York Mets,113,121,N,1,,,,,5,6,9,Top,25,Shea Stadium,[],NYM leads 1-0,New York Mets,Cincinnati Reds,Turk Wendell,Scott Sullivan,Armando Benitez,2000-04-25 - Cincinnati Reds (5) @ New York Mets (6) (Final),2000
5160,2000-04-26T23:10:00Z,2000-04-26,R,Final,Cincinnati Reds,New York Mets,113,121,N,1,,,,,12,1,9,Bottom,25,Shea Stadium,[],Series tied 1-1,Cincinnati Reds,New York Mets,Denny Neagle,Dennis Springer,,2000-04-26 - Cincinnati Reds (12) @ New York Mets (1) (Final),2000
5164,2000-04-27T17:10:00Z,2000-04-27,R,Final,Cincinnati Reds,New York Mets,113,121,N,1,,,,,2,1,12,Bottom,25,Shea Stadium,[],CIN wins 2-1,Cincinnati Reds,New York Mets,Danny Graves,Armando Benitez,Scott Sullivan,2000-04-27 - Cincinnati Reds (2) @ New York Mets (1) (Final),2000
3983,2000-04-29T01:05:00Z,2000-04-28,R,Final,New York Mets,Colorado Rockies,121,115,N,1,,,,,5,12,9,Top,19,Coors Field,[],COL leads 1-0,Colorado Rockies,New York Mets,Pedro Astacio,Mike Hampton,,2000-04-28 - New York Mets (5) @ Colorado Rockies (12) (Final),2000
4030,2000-04-29T19:05:00Z,2000-04-29,R,Final,New York Mets,Colorado Rockies,121,115,N,1,,,,,13,6,9,Bottom,19,Coors Field,[],Series tied 1-1,New York Mets,Colorado Rockies,Rick Reed,Masato Yoshii,,2000-04-29 - New York Mets (13) @ Colorado Rockies (6) (Final),2000
4094,2000-04-30T19:05:00Z,2000-04-30,R,Final,New York Mets,Colorado Rockies,121,115,N,1,,,,,14,11,9,Bottom,19,Coors Field,[],NYM wins 2-1,New York Mets,Colorado Rockies,Al Leiter,Brian Bohanon,,2000-04-30 - New York Mets (14) @ Colorado Rockies (11) (Final),2000
4098,2000-05-02T02:15:00Z,2000-05-01,R,Final,New York Mets,San Francisco Giants,121,137,N,1,,,,,3,10,9,Top,2395,PacBell Park,[],SF leads 1-0,San Francisco Giants,New York Mets,Shawn Estes,Bill Pulsipher,,2000-05-01 - New York Mets (3) @ San Francisco Giants (10) (Final),2000
4187,2000-05-03T02:15:00Z,2000-05-02,R,Final,New York Mets,San Francisco Giants,121,137,N,1,,,,,1,7,9,Top,2395,PacBell Park,[],SF leads 2-0,San Francisco Giants,New York Mets,Livan Hernandez,Glendon Rusch,,2000-05-02 - New York Mets (1) @ San Francisco Giants (7) (Final),2000
5066,2000-05-03T23:05:00Z,2000-05-03,R,Final,New York Mets,San Francisco Giants,121,137,N,1,,,,,5,8,11,Bottom,2395,PacBell Park,[],SF wins 3-0,San Francisco Giants,New York Mets,Felix Rodriguez,Turk Wendell,,2000-05-03 - New York Mets (5) @ San Francisco Giants (8) (Final),2000
3991,2000-05-04T19:35:00Z,2000-05-04,R,Final,New York Mets,San Francisco Giants,121,137,N,1,,,,,2,7,9,Top,2395,PacBell Park,[],SF wins 4-0,San Francisco Giants,New York Mets,Felix Rodriguez,Rick Reed,,2000-05-04 - New York Mets (2) @ San Francisco Giants (7) (Final),2000
4036,2000-05-05T23:05:00Z,2000-05-05,R,Final,New York Mets,Florida Marlins,121,146,N,1,,,,,4,1,9,Bottom,20,Pro Player Stadium,[],NYM leads 1-0,New York Mets,Florida Marlins,Al Leiter,Jesus Sanchez,John Franco,2000-05-05 - New York Mets (4) @ Florida Marlins (1) (Final),2000
4102,2000-05-06T23:05:00Z,2000-05-06,R,Final,New York Mets,Florida Marlins,121,146,N,1,,,,,1,9,9,Top,20,Pro Player Stadium,[],Series tied 1-1,Florida Marlins,New York Mets,Alex Fernandez,Bill Pulsipher,,2000-05-06 - New York Mets (1) @ Florida Marlins (9) (Final),2000
4104,2000-05-07T17:05:00Z,2000-05-07,R,Final,New York Mets,Florida Marlins,121,146,N,1,,,,,0,3,9,Top,20,Pro Player Stadium,[],FLA wins 2-1,Florida Marlins,New York Mets,Ryan Dempster,Glendon Rusch,,2000-05-07 - New York Mets (0) @ Florida Marlins (3) (Final),2000
4197,2000-05-09T23:05:00Z,2000-05-09,R,Final,New York Mets,Pittsburgh Pirates,121,134,N,1,,,,,2,0,9,Bottom,27,Three Rivers Stadium,[],NYM leads 1-0,New York Mets,Pittsburgh Pirates,Mike Hampton,Kris Benson,Armando Benitez,2000-05-09 - New York Mets (2) @ Pittsburgh Pirates (0) (Final),2000
5235,2000-05-10T23:05:00Z,2000-05-10,R,Final,New York Mets,Pittsburgh Pirates,121,134,N,1,,,,,9,13,9,Top,27,Three Rivers Stadium,[],Series tied 1-1,Pittsburgh Pirates,New York Mets,Jose Silva,Dennis Cook,,2000-05-10 - New York Mets (9) @ Pittsburgh Pirates (13) (Final),2000
4047,2000-05-11T23:05:00Z,2000-05-11,R,Final,New York Mets,Pittsburgh Pirates,121,134,N,1,,,,,3,2,9,Bottom,27,Three Rivers Stadium,[],NYM wins 2-1,New York Mets,Pittsburgh Pirates,Al Leiter,Jimmy Anderson,,2000-05-11 - New York Mets (3) @ Pittsburgh Pirates (2) (Final),2000
4112,2000-05-12T23:10:00Z,2000-05-12,R,Final,Florida Marlins,New York Mets,146,121,N,1,,,,,6,4,9,Bottom,25,Shea Stadium,[],FLA leads 1-0,Florida Marlins,New York Mets,Ryan Dempster,Glendon Rusch,Antonio Alfonseca,2000-05-12 - Florida Marlins (6) @ New York Mets (4) (Final),2000
5190,2000-05-13T17:10:00Z,2000-05-13,R,Final,Florida Marlins,New York Mets,146,121,N,1,,,,,7,6,9,Bottom,25,Shea Stadium,[],FLA wins 2-0,Florida Marlins,New York Mets,Ron Mahay,Dennis Cook,Antonio Alfonseca,2000-05-13 - Florida Marlins (7) @ New York Mets (6) (Final),2000
4204,2000-05-14T17:10:00Z,2000-05-14,R,Final,Florida Marlins,New York Mets,146,121,N,1,,,,,1,5,9,Top,25,Shea Stadium,[],FLA wins 2-1,New York Mets,Florida Marlins,Mike Hampton,Brad Penny,,2000-05-14 - Florida Marlins (1) @ New York Mets (5) (Final),2000
