game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON
3967,2000-04-05T02:05:00Z,2000-04-04,R,Final,Philadelphia Phillies,Arizona Diamondbacks,143,109,N,1,,,,,4,6,9,Top,15,Bank One Ballpark,[],AZ leads 1-0,Arizona Diamondbacks,Philadelphia Phillies,Randy Johnson,Andy Ashby,Darren Holmes,2000-04-04 - Philadelphia Phillies (4) @ Arizona Diamondbacks (6) (Final),2000
4973,2000-04-06T01:35:00Z,2000-04-05,R,Final,Philadelphia Phillies,Arizona Diamondbacks,143,109,N,1,,,,,3,11,9,Top,15,Bank One Ballpark,[],AZ wins 2-0,Arizona Diamondbacks,Philadelphia Phillies,Todd Stottlemyre,Paul Byrd,Mike Morgan,2000-04-05 - Philadelphia Phillies (3) @ Arizona Diamondbacks (11) (Final),2000
3880,2000-04-07T01:35:00Z,2000-04-06,R,Final,Philadelphia Phillies,Arizona Diamondbacks,143,109,N,1,,,,,2,3,11,Bottom,15,Bank One Ballpark,[],AZ wins 3-0,Arizona Diamondbacks,Philadelphia Phillies,Russ Springer,Steve Schrenk,,2000-04-06 - Philadelphia Phillies (2) @ Arizona Diamondbacks (3) (Final),2000
3884,2000-04-08T00:05:00Z,2000-04-07,R,Final,Philadelphia Phillies,Houston Astros,143,117,N,1,,,,,4,1,9,Bottom,2392,Enron Field,[],PHI leads 1-0,Philadelphia Phillies,Houston Astros,Randy Wolf,Octavio Dotel,Wayne Gomes,2000-04-07 - Philadelphia Phillies (4) @ Houston Astros (1) (Final),2000
3968,2000-04-08T19:05:00Z,2000-04-08,R,Final,Philadelphia Phillies,Houston Astros,143,117,N,1,,,,,5,8,9,Top,2392,Enron Field,[],Series tied 1-1,Houston Astros,Philadelphia Phillies,Mike Maddux,Chris Brock,Billy Wagner,2000-04-08 - Philadelphia Phillies (5) @ Houston Astros (8) (Final),2000
3974,2000-04-09T19:05:00Z,2000-04-09,R,Final,Philadelphia Phillies,Houston Astros,143,117,N,1,,,,,3,2,9,Bottom,2392,Enron Field,[],PHI wins 2-1,Philadelphia Phillies,Houston Astros,Steve Schrenk,Jay Powell,Wayne Gomes,2000-04-09 - Philadelphia Phillies (3) @ Houston Astros (2) (Final),2000
5081,2000-04-10T23:05:00Z,2000-04-10,R,Final,New York Mets,Philadelphia Phillies,121,143,N,1,,,,,7,9,9,Top,26,Veterans Stadium,[],PHI leads 1-0,Philadelphia Phillies,New York Mets,Amaury Telemaco,Rich Rodriguez,Wayne Gomes,2000-04-10 - New York Mets (7) @ Philadelphia Phillies (9) (Final),2000
4003,2000-04-12T23:05:00Z,2000-04-12,R,Final,New York Mets,Philadelphia Phillies,121,143,N,1,,,,,5,8,9,Top,26,Veterans Stadium,[],PHI wins 2-0,Philadelphia Phillies,New York Mets,Robert Person,Mike Hampton,Wayne Gomes,2000-04-12 - New York Mets (5) @ Philadelphia Phillies (8) (Final),2000
4006,2000-04-13T23:05:00Z,2000-04-13,R,Final,New York Mets,Philadelphia Phillies,121,143,N,1,,,,,2,1,9,Bottom,26,Veterans Stadium,[],PHI wins 2-1,New York Mets,Philadelphia Phillies,Dennis Cook,Scott Aldred,Armando Benitez,2000-04-13 - New York Mets (2) @ Philadelphia Phillies (1) (Final),2000
4051,2000-04-14T23:05:00Z,2000-04-14,R,Final,Montreal Expos,Philadelphia Phillies,120,143,N,1,,,,,4,0,9,Bottom,26,Veterans Stadium,[],MON leads 1-0,Montreal Expos,Philadelphia Phillies,Dustin Hermanson,Chris Brock,,2000-04-14 - Montreal Expos (4) @ Philadelphia Phillies (0) (Final),2000
4207,2000-04-15T23:05:00Z,2000-04-15,R,Final,Montreal Expos,Philadelphia Phillies,120,143,N,1,,,,,0,0,,,26,Veterans Stadium,[],MON leads 1-0,Philadelphia Phillies,Montreal Expos,,,,2000-04-15 - Montreal Expos () @ Philadelphia Phillies () (Final),2000
4987,2000-04-16T17:35:00Z,2000-04-16,R,Final,Montreal Expos,Philadelphia Phillies,120,143,N,1,,,,,4,5,9,Bottom,26,Veterans Stadium,[],Series tied 1-1,Philadelphia Phillies,Montreal Expos,Scott Aldred,Anthony Telford,,2000-04-16 - Montreal Expos (4) @ Philadelphia Phillies (5) (Final),2000
5035,2000-04-17T23:05:00Z,2000-04-17,R,Final,Montreal Expos,Philadelphia Phillies,120,143,N,1,,,,,0,0,,,26,Veterans Stadium,[],Series tied 1-1,Philadelphia Phillies,Montreal Expos,,,,2000-04-17 - Montreal Expos () @ Philadelphia Phillies () (Final),2000
4015,2000-04-18T23:40:00Z,2000-04-18,R,Final,Philadelphia Phillies,Atlanta Braves,143,144,N,1,,,,,3,4,12,Bottom,16,Turner Field,[],ATL leads 1-0,Atlanta Braves,Philadelphia Phillies,Luis Rivera,Carlos Reyes,,2000-04-18 - Philadelphia Phillies (3) @ Atlanta Braves (4) (Final),2000
5215,2000-04-19T23:40:00Z,2000-04-19,R,Final,Philadelphia Phillies,Atlanta Braves,143,144,N,1,,,,,1,10,9,Top,16,Turner Field,[],ATL wins 2-0,Atlanta Braves,Philadelphia Phillies,Tom Glavine,Randy Wolf,,2000-04-19 - Philadelphia Phillies (1) @ Atlanta Braves (10) (Final),2000
4996,2000-04-20T23:40:00Z,2000-04-20,R,Final,Philadelphia Phillies,Atlanta Braves,143,144,N,1,,,,,4,6,9,Top,16,Turner Field,[],ATL wins 3-0,Atlanta Braves,Philadelphia Phillies,Kevin Millwood,Scott Aldred,John Rocker,2000-04-20 - Philadelphia Phillies (4) @ Atlanta Braves (6) (Final),2000
4071,2000-04-21T23:05:00Z,2000-04-21,R,Final,Philadelphia Phillies,Florida Marlins,143,146,N,1,,,,,4,3,9,Bottom,20,Pro Player Stadium,[],PHI leads 1-0,Philadelphia Phillies,Florida Marlins,Andy Ashby,Vladimir Nunez,,2000-04-21 - Philadelphia Phillies (4) @ Florida Marlins (3) (Final),2000
3977,2000-04-22T23:05:00Z,2000-04-22,R,Final,Philadelphia Phillies,Florida Marlins,143,146,N,1,,,,,2,4,9,Top,20,Pro Player Stadium,[],Series tied 1-1,Florida Marlins,Philadelphia Phillies,Jesus Sanchez,Paul Byrd,Antonio Alfonseca,2000-04-22 - Philadelphia Phillies (2) @ Florida Marlins (4) (Final),2000
3980,2000-04-23T17:05:00Z,2000-04-23,R,Final,Philadelphia Phillies,Florida Marlins,143,146,N,1,,,,,2,5,9,Top,20,Pro Player Stadium,[],FLA leads 2-1,Florida Marlins,Philadelphia Phillies,Brad Penny,Robert Person,Antonio Alfonseca,2000-04-23 - Philadelphia Phillies (2) @ Florida Marlins (5) (Final),2000
4025,2000-04-24T23:05:00Z,2000-04-24,R,Final,Philadelphia Phillies,Florida Marlins,143,146,N,1,,,,,1,3,9,Top,20,Pro Player Stadium,[],FLA wins 3-1,Florida Marlins,Philadelphia Phillies,Alex Fernandez,Randy Wolf,Antonio Alfonseca,2000-04-24 - Philadelphia Phillies (1) @ Florida Marlins (3) (Final),2000
5052,2000-04-25T23:05:00Z,2000-04-25,R,Final,Arizona Diamondbacks,Philadelphia Phillies,109,143,N,1,,,,,10,2,9,Bottom,26,Veterans Stadium,[],AZ leads 1-0,Arizona Diamondbacks,Philadelphia Phillies,Randy Johnson,Chris Brock,,2000-04-25 - Arizona Diamondbacks (10) @ Philadelphia Phillies (2) (Final),2000
5123,2000-04-26T23:05:00Z,2000-04-26,R,Final,Arizona Diamondbacks,Philadelphia Phillies,109,143,N,1,,,,,10,4,9,Bottom,26,Veterans Stadium,[],AZ wins 2-0,Arizona Diamondbacks,Philadelphia Phillies,Todd Stottlemyre,Andy Ashby,,2000-04-26 - Arizona Diamondbacks (10) @ Philadelphia Phillies (4) (Final),2000
4092,2000-04-27T19:05:00Z,2000-04-27,R,Final,Arizona Diamondbacks,Philadelphia Phillies,109,143,N,1,,,,,4,5,9,Bottom,26,Veterans Stadium,[],AZ wins 2-1,Philadelphia Phillies,Arizona Diamondbacks,Wayne Gomes,Byung-Hyun Kim,,2000-04-27 - Arizona Diamondbacks (4) @ Philadelphia Phillies (5) (Final),2000
4182,2000-04-28T23:05:00Z,2000-04-28,R,Final,St. Louis Cardinals,Philadelphia Phillies,138,143,N,1,,,,,7,4,9,Bottom,26,Veterans Stadium,[],STL leads 1-0,St. Louis Cardinals,Philadelphia Phillies,Garrett Stephenson,Carlos Reyes,Dave Veres,2000-04-28 - St. Louis Cardinals (7) @ Philadelphia Phillies (4) (Final),2000
4031,2000-04-29T23:05:00Z,2000-04-29,R,Final,St. Louis Cardinals,Philadelphia Phillies,138,143,N,1,,,,,7,6,10,Bottom,26,Veterans Stadium,[],STL wins 2-0,St. Louis Cardinals,Philadelphia Phillies,Mike Mohler,Wayne Gomes,,2000-04-29 - St. Louis Cardinals (7) @ Philadelphia Phillies (6) (Final),2000
5062,2000-04-30T17:35:00Z,2000-04-30,R,Final,St. Louis Cardinals,Philadelphia Phillies,138,143,N,1,,,,,4,3,9,Bottom,26,Veterans Stadium,[],STL wins 3-0,St. Louis Cardinals,Philadelphia Phillies,Darryl Kile,Curt Schilling,Mike James,2000-04-30 - St. Louis Cardinals (4) @ Philadelphia Phillies (3) (Final),2000
4099,2000-05-02T23:05:00Z,2000-05-02,R,Final,Cincinnati Reds,Philadelphia Phillies,113,143,N,1,,,,,7,0,9,Bottom,26,Veterans Stadium,[],CIN leads 1-0,Cincinnati Reds,Philadelphia Phillies,Denny Neagle,Andy Ashby,Scott Sullivan,2000-05-02 - Cincinnati Reds (7) @ Philadelphia Phillies (0) (Final),2000
4188,2000-05-03T23:05:00Z,2000-05-03,R,Final,Cincinnati Reds,Philadelphia Phillies,113,143,N,1,,,,,2,5,9,Top,26,Veterans Stadium,[],Series tied 1-1,Philadelphia Phillies,Cincinnati Reds,Paul Byrd,Steve Parris,,2000-05-03 - Cincinnati Reds (2) @ Philadelphia Phillies (5) (Final),2000
3990,2000-05-04T19:05:00Z,2000-05-04,R,Final,Cincinnati Reds,Philadelphia Phillies,113,143,N,1,,,,,1,14,9,Top,26,Veterans Stadium,[],PHI wins 2-1,Philadelphia Phillies,Cincinnati Reds,Robert Person,Pete Harnisch,,2000-05-04 - Cincinnati Reds (1) @ Philadelphia Phillies (14) (Final),2000
4037,2000-05-05T23:40:00Z,2000-05-05,R,Final,Philadelphia Phillies,Atlanta Braves,143,144,N,1,,,,,5,6,9,Bottom,16,Turner Field,[],ATL leads 1-0,Atlanta Braves,Philadelphia Phillies,Rudy Seanez,Wayne Gomes,,2000-05-05 - Philadelphia Phillies (5) @ Atlanta Braves (6) (Final),2000
4103,2000-05-06T23:10:00Z,2000-05-06,R,Final,Philadelphia Phillies,Atlanta Braves,143,144,N,1,,,,,6,0,9,Bottom,16,Turner Field,[],Series tied 1-1,Philadelphia Phillies,Atlanta Braves,Curt Schilling,Kevin Millwood,,2000-05-06 - Philadelphia Phillies (6) @ Atlanta Braves (0) (Final),2000
4105,2000-05-07T17:10:00Z,2000-05-07,R,Final,Philadelphia Phillies,Atlanta Braves,143,144,N,1,,,,,7,4,9,Bottom,16,Turner Field,[],PHI wins 2-1,Philadelphia Phillies,Atlanta Braves,Andy Ashby,Terry Mulholland,Wayne Gomes,2000-05-07 - Philadelphia Phillies (7) @ Atlanta Braves (4) (Final),2000
5232,2000-05-09T23:05:00Z,2000-05-09,R,Final,Philadelphia Phillies,Montreal Expos,143,120,N,1,,,,,2,3,9,Bottom,24,Olympic Stadium,[],MON leads 1-0,Montreal Expos,Philadelphia Phillies,Steve Kline,Wayne Gomes,,2000-05-09 - Philadelphia Phillies (2) @ Montreal Expos (3) (Final),2000
4042,2000-05-10T23:05:00Z,2000-05-10,R,Final,Philadelphia Phillies,Montreal Expos,143,120,N,1,,,,,8,0,9,Bottom,24,Olympic Stadium,[],Series tied 1-1,Philadelphia Phillies,Montreal Expos,Robert Person,Javier Vazquez,,2000-05-10 - Philadelphia Phillies (8) @ Montreal Expos (0) (Final),2000
5238,2000-05-11T23:05:00Z,2000-05-11,R,Final,Philadelphia Phillies,Montreal Expos,143,120,N,1,,,,,6,4,9,Bottom,24,Olympic Stadium,[],PHI wins 2-1,Philadelphia Phillies,Montreal Expos,Randy Wolf,Carl Pavano,Wayne Gomes,2000-05-11 - Philadelphia Phillies (6) @ Montreal Expos (4) (Final),2000
4110,2000-05-12T23:05:00Z,2000-05-12,R,Final,Atlanta Braves,Philadelphia Phillies,144,143,N,1,,,,,8,7,9,Bottom,26,Veterans Stadium,[],ATL leads 1-0,Atlanta Braves,Philadelphia Phillies,Kerry Ligtenberg,Wayne Gomes,John Rocker,2000-05-12 - Atlanta Braves (8) @ Philadelphia Phillies (7) (Final),2000
5193,2000-05-13T23:05:00Z,2000-05-13,R,Final,Atlanta Braves,Philadelphia Phillies,144,143,N,1,,,,,3,2,10,Bottom,26,Veterans Stadium,[],ATL wins 2-0,Atlanta Braves,Philadelphia Phillies,Rudy Seanez,Scott Aldred,John Rocker,2000-05-13 - Atlanta Braves (3) @ Philadelphia Phillies (2) (Final),2000
5249,2000-05-14T17:35:00Z,2000-05-14,R,Final,Atlanta Braves,Philadelphia Phillies,144,143,N,1,,,,,11,2,9,Bottom,26,Veterans Stadium,[],ATL wins 3-0,Atlanta Braves,Philadelphia Phillies,John Burkett,Paul Byrd,,2000-05-14 - Atlanta Braves (11) @ Philadelphia Phillies (2) (Final),2000
4014,2000-05-16T23:05:00Z,2000-05-16,R,Final,St. Louis Cardinals,Philadelphia Phillies,138,143,N,1,,,,,8,2,9,Bottom,26,Veterans Stadium,[],STL leads 1-0,St. Louis Cardinals,Philadelphia Phillies,Andy Benes,Robert Person,,2000-05-16 - St. Louis Cardinals (8) @ Philadelphia Phillies (2) (Final),2000
4058,2000-05-17T23:05:00Z,2000-05-17,R,Final,St. Louis Cardinals,Philadelphia Phillies,138,143,N,1,,,,,4,5,9,Top,26,Veterans Stadium,[],Series tied 1-1,Philadelphia Phillies,St. Louis Cardinals,Randy Wolf,Heathcliff Slocumb,Jeff Brantley,2000-05-17 - St. Louis Cardinals (4) @ Philadelphia Phillies (5) (Final),2000
4126,2000-05-18T23:05:00Z,2000-05-18,R,Final,St. Louis Cardinals,Philadelphia Phillies,138,143,N,1,,,,,7,2,9,Bottom,26,Veterans Stadium,[],STL wins 2-1,St. Louis Cardinals,Philadelphia Phillies,Garrett Stephenson,Curt Schilling,,2000-05-18 - St. Louis Cardinals (7) @ Philadelphia Phillies (2) (Final),2000
5255,2000-05-19T23:05:00Z,2000-05-19,R,Final,Colorado Rockies,Philadelphia Phillies,115,143,N,1,,,,,10,2,9,Bottom,26,Veterans Stadium,[],COL leads 1-0,Colorado Rockies,Philadelphia Phillies,Pedro Astacio,Andy Ashby,,2000-05-19 - Colorado Rockies (10) @ Philadelphia Phillies (2) (Final),2000
4066,2000-05-20T23:05:00Z,2000-05-20,R,Final,Colorado Rockies,Philadelphia Phillies,115,143,N,1,,,,,4,3,9,Bottom,26,Veterans Stadium,[],COL wins 2-0,Colorado Rockies,Philadelphia Phillies,Julian Tavarez,Chris Brock,Jose Jimenez,2000-05-20 - Colorado Rockies (4) @ Philadelphia Phillies (3) (Final),2000
4133,2000-05-21T17:35:00Z,2000-05-21,R,Final,Colorado Rockies,Philadelphia Phillies,115,143,N,1,,,,,3,4,9,Top,26,Veterans Stadium,[],COL wins 2-1,Philadelphia Phillies,Colorado Rockies,Robert Person,Masato Yoshii,Jeff Brantley,2000-05-21 - Colorado Rockies (3) @ Philadelphia Phillies (4) (Final),2000
5304,2000-05-24T00:05:00Z,2000-05-23,R,Final,Philadelphia Phillies,Houston Astros,143,117,N,1,,,,,2,10,9,Top,2392,Enron Field,[],HOU leads 1-0,Houston Astros,Philadelphia Phillies,Chris Holt,Randy Wolf,,2000-05-23 - Philadelphia Phillies (2) @ Houston Astros (10) (Final),2000
4154,2000-05-25T00:05:00Z,2000-05-24,R,Final,Philadelphia Phillies,Houston Astros,143,117,N,1,,,,,9,7,9,Bottom,2392,Enron Field,[],Series tied 1-1,Philadelphia Phillies,Houston Astros,Wayne Gomes,Billy Wagner,Jeff Brantley,2000-05-24 - Philadelphia Phillies (9) @ Houston Astros (7) (Final),2000
4224,2000-05-26T00:05:00Z,2000-05-25,R,Final,Philadelphia Phillies,Houston Astros,143,117,N,1,,,,,6,10,9,Top,2392,Enron Field,[],HOU wins 2-1,Houston Astros,Philadelphia Phillies,Scott Elarton,Andy Ashby,Joe Slusarski,2000-05-25 - Philadelphia Phillies (6) @ Houston Astros (10) (Final),2000
4138,2000-05-27T02:10:00Z,2000-05-26,R,Final,Philadelphia Phillies,Los Angeles Dodgers,143,119,N,1,,,,,4,11,9,Top,22,Dodger Stadium,[],LA leads 1-0,Los Angeles Dodgers,Philadelphia Phillies,Kevin Brown,Paul Byrd,,2000-05-26 - Philadelphia Phillies (4) @ Los Angeles Dodgers (11) (Final),2000
4143,2000-05-28T02:10:00Z,2000-05-27,R,Final,Philadelphia Phillies,Los Angeles Dodgers,143,119,N,1,,,,,7,6,9,Bottom,22,Dodger Stadium,[],Series tied 1-1,Philadelphia Phillies,Los Angeles Dodgers,Robert Person,Darren Dreifort,Jeff Brantley,2000-05-27 - Philadelphia Phillies (7) @ Los Angeles Dodgers (6) (Final),2000
4167,2000-05-28T20:10:00Z,2000-05-28,R,Final,Philadelphia Phillies,Los Angeles Dodgers,143,119,N,1,,,,,4,2,9,Bottom,22,Dodger Stadium,[],PHI wins 2-1,Philadelphia Phillies,Los Angeles Dodgers,Randy Wolf,Antonio Osuna,,2000-05-28 - Philadelphia Phillies (4) @ Los Angeles Dodgers (2) (Final),2000
4170,2000-05-29T20:05:00Z,2000-05-29,R,Final,Philadelphia Phillies,San Francisco Giants,143,137,N,1,,,,,2,7,9,Top,2395,PacBell Park,[],SF leads 1-0,San Francisco Giants,Philadelphia Phillies,Shawn Estes,Curt Schilling,Alan Embree,2000-05-29 - Philadelphia Phillies (2) @ San Francisco Giants (7) (Final),2000
4237,2000-05-31T02:15:00Z,2000-05-30,R,Final,Philadelphia Phillies,San Francisco Giants,143,137,N,1,,,,,3,7,9,Top,2395,PacBell Park,[],SF wins 2-0,San Francisco Giants,Philadelphia Phillies,Livan Hernandez,Andy Ashby,Robb Nen,2000-05-30 - Philadelphia Phillies (3) @ San Francisco Giants (7) (Final),2000
4086,2000-06-01T02:15:00Z,2000-05-31,R,Final,Philadelphia Phillies,San Francisco Giants,143,137,N,1,,,,,4,10,9,Top,2395,PacBell Park,[],SF wins 3-0,San Francisco Giants,Philadelphia Phillies,Mark Gardner,Paul Byrd,,2000-05-31 - Philadelphia Phillies (4) @ San Francisco Giants (10) (Final),2000
4713,2000-06-02T23:35:00Z,2000-06-02,R,Final,Boston Red Sox,Philadelphia Phillies,111,143,N,1,,,,,1,2,11,Bottom,26,Veterans Stadium,[],PHI leads 1-0,Philadelphia Phillies,Boston Red Sox,Jeff Brantley,John Wasdin,,2000-06-02 - Boston Red Sox (1) @ Philadelphia Phillies (2) (Final),2000
4656,2000-06-03T23:05:00Z,2000-06-03,R,Final,Boston Red Sox,Philadelphia Phillies,111,143,N,1,,,,,3,9,9,Top,26,Veterans Stadium,[],PHI wins 2-0,Philadelphia Phillies,Boston Red Sox,Randy Wolf,Tim Wakefield,,2000-06-03 - Boston Red Sox (3) @ Philadelphia Phillies (9) (Final),2000
4724,2000-06-04T17:35:00Z,2000-06-04,R,Final,Boston Red Sox,Philadelphia Phillies,111,143,N,1,,,,,5,6,12,Bottom,26,Veterans Stadium,[],PHI wins 3-0,Philadelphia Phillies,Boston Red Sox,Steve Schrenk,Rheal Cormier,,2000-06-04 - Boston Red Sox (5) @ Philadelphia Phillies (6) (Final),2000
