game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON
3933,2000-04-03T20:10:00Z,2000-04-03,R,Final,Chicago Cubs,St. Louis Cardinals,112,138,N,1,,,,,1,7,9,Top,30,Busch Stadium I,[],STL leads 1-0,St. Louis Cardinals,Chicago Cubs,Darryl Kile,Kevin Tapani,,2000-04-03 - Chicago Cubs (1) @ St. Louis Cardinals (7) (Final),2000
4076,2000-04-06T00:10:00Z,2000-04-05,R,Final,Chicago Cubs,St. Louis Cardinals,112,138,N,1,,,,,4,10,9,Top,30,Busch Stadium I,[],STL wins 2-0,St. Louis Cardinals,Chicago Cubs,Pat Hentgen,Jon Lieber,,2000-04-05 - Chicago Cubs (4) @ St. Louis Cardinals (10) (Final),2000
4078,2000-04-06T17:10:00Z,2000-04-06,R,Final,Chicago Cubs,St. Louis Cardinals,112,138,N,1,,,,,3,13,9,Top,30,Busch Stadium I,[],STL wins 3-0,St. Louis Cardinals,Chicago Cubs,Garrett Stephenson,Kyle Farnsworth,,2000-04-06 - Chicago Cubs (3) @ St. Louis Cardinals (13) (Final),2000
3934,2000-04-08T00:10:00Z,2000-04-07,R,Final,Milwaukee Brewers,St. Louis Cardinals,158,138,N,1,,,,,9,1,9,Bottom,30,Busch Stadium I,[],MIL leads 1-0,Milwaukee Brewers,St. Louis Cardinals,Jason Bere,Andy Benes,,2000-04-07 - Milwaukee Brewers (9) @ St. Louis Cardinals (1) (Final),2000
3939,2000-04-08T18:10:00Z,2000-04-08,R,Final,Milwaukee Brewers,St. Louis Cardinals,158,138,N,1,,,,,8,10,9,Top,30,Busch Stadium I,[],Series tied 1-1,St. Louis Cardinals,Milwaukee Brewers,Darryl Kile,Steve Woodard,Dave Veres,2000-04-08 - Milwaukee Brewers (8) @ St. Louis Cardinals (10) (Final),2000
3973,2000-04-09T18:10:00Z,2000-04-09,R,Final,Milwaukee Brewers,St. Louis Cardinals,158,138,N,1,,,,,2,11,9,Top,30,Busch Stadium I,[],STL wins 2-1,St. Louis Cardinals,Milwaukee Brewers,Rick Ankiel,Valerio De Los Santos,,2000-04-09 - Milwaukee Brewers (2) @ St. Louis Cardinals (11) (Final),2000
4082,2000-04-11T00:05:00Z,2000-04-10,R,Final,St. Louis Cardinals,Houston Astros,138,117,N,1,,,,,8,7,9,Bottom,2392,Enron Field,[],STL leads 1-0,St. Louis Cardinals,Houston Astros,Pat Hentgen,Jose Lima,Dave Veres,2000-04-10 - St. Louis Cardinals (8) @ Houston Astros (7) (Final),2000
4978,2000-04-12T00:05:00Z,2000-04-11,R,Final,St. Louis Cardinals,Houston Astros,138,117,N,1,,,,,10,6,9,Bottom,2392,Enron Field,[],STL wins 2-0,St. Louis Cardinals,Houston Astros,Garrett Stephenson,Chris Holt,,2000-04-11 - St. Louis Cardinals (10) @ Houston Astros (6) (Final),2000
4004,2000-04-13T00:05:00Z,2000-04-12,R,Final,St. Louis Cardinals,Houston Astros,138,117,N,1,,,,,5,7,9,Top,2392,Enron Field,[],STL wins 2-1,Houston Astros,St. Louis Cardinals,Yorkis Perez,David Wainhouse,Billy Wagner,2000-04-12 - St. Louis Cardinals (5) @ Houston Astros (7) (Final),2000
5099,2000-04-14T01:05:00Z,2000-04-13,R,Final,St. Louis Cardinals,Colorado Rockies,138,115,N,1,,,,,6,12,9,Top,19,Coors Field,[],COL leads 1-0,Colorado Rockies,St. Louis Cardinals,Rick Croushore,Darryl Kile,,2000-04-13 - St. Louis Cardinals (6) @ Colorado Rockies (12) (Final),2000
4053,2000-04-15T01:05:00Z,2000-04-14,R,Final,St. Louis Cardinals,Colorado Rockies,138,115,N,1,,,,,2,6,9,Top,19,Coors Field,[],COL leads 2-0,Colorado Rockies,St. Louis Cardinals,Pedro Astacio,Rick Ankiel,,2000-04-14 - St. Louis Cardinals (2) @ Colorado Rockies (6) (Final),2000
4120,2000-04-15T19:05:00Z,2000-04-15,R,Final,St. Louis Cardinals,Colorado Rockies,138,115,N,1,,,,,0,0,,,19,Coors Field,[],COL leads 2-0,Colorado Rockies,St. Louis Cardinals,,,,2000-04-15 - St. Louis Cardinals () @ Colorado Rockies () (Final),2000
4988,2000-04-16T19:05:00Z,2000-04-16,R,Final,St. Louis Cardinals,Colorado Rockies,138,115,Y,1,,,,,9,3,9,Bottom,19,Coors Field,[],COL leads 2-1,St. Louis Cardinals,Colorado Rockies,Pat Hentgen,Rolando Arrojo,,2000-04-16 - St. Louis Cardinals (9) @ Colorado Rockies (3) (Final),2000
5209,2000-04-17T01:05:00Z,2000-04-16,R,Final,St. Louis Cardinals,Colorado Rockies,138,115,Y,2,,,,,13,14,9,Top,19,Coors Field,[],COL wins 3-1,Colorado Rockies,St. Louis Cardinals,Jose Jimenez,Mike Mohler,Gabe White,2000-04-16 - St. Louis Cardinals (13) @ Colorado Rockies (14) (Final),2000
5108,2000-04-19T00:10:00Z,2000-04-18,R,Final,San Diego Padres,St. Louis Cardinals,135,138,N,1,,,,,4,5,9,Top,30,Busch Stadium I,[],STL leads 1-0,St. Louis Cardinals,San Diego Padres,Andy Benes,Brian Meadows,Dave Veres,2000-04-18 - San Diego Padres (4) @ St. Louis Cardinals (5) (Final),2000
4992,2000-04-20T00:10:00Z,2000-04-19,R,Final,San Diego Padres,St. Louis Cardinals,135,138,N,1,,,,,3,4,9,Top,30,Busch Stadium I,[],STL wins 2-0,St. Louis Cardinals,San Diego Padres,Darryl Kile,Sterling Hitchcock,Dave Veres,2000-04-19 - San Diego Padres (3) @ St. Louis Cardinals (4) (Final),2000
