SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
22000,1610612744,GSW,Golden State Warriors,0020001188,2001-04-18,GSW vs. VAN,L,241,81,31,102,0.304,3,11,0.273,16,26,0.615,33,28,61,21,7,10,14,22,-14.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001168,2001-04-16,GSW vs. DAL,L,239,101,35,84,0.417,1,6,0.167,30,42,0.714,15,24,39,20,11,5,14,29,-9.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001152,2001-04-14,GSW vs. LAC,L,240,94,41,108,0.38,0,6,0.0,12,17,0.706,30,29,59,21,5,3,14,21,-12.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001145,2001-04-13,GSW @ DEN,L,239,92,38,92,0.413,1,6,0.167,15,25,0.6,23,31,54,22,6,18,8,16,-16.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001131,2001-04-11,GSW @ SEA,L,241,101,42,79,0.532,2,6,0.333,15,18,0.833,10,19,29,23,11,4,16,23,-6.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001123,2001-04-10,GSW @ POR,L,239,88,34,83,0.41,2,5,0.4,18,26,0.692,17,25,42,15,8,1,15,24,-28.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001108,2001-04-08,GSW vs. SAS,L,239,76,31,86,0.36,2,8,0.25,12,18,0.667,22,30,52,19,7,2,16,22,-8.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001095,2001-04-06,GSW vs. POR,L,240,91,33,95,0.347,2,10,0.2,23,35,0.657,25,20,45,17,17,9,20,22,-31.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001080,2001-04-04,GSW vs. MIL,L,240,78,30,89,0.337,0,6,0.0,18,26,0.692,24,28,52,11,8,5,20,15,-30.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001057,2001-04-01,GSW @ DET,L,240,87,34,100,0.34,4,13,0.308,15,20,0.75,23,27,50,20,6,3,15,21,-17.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001039,2001-03-30,GSW @ PHI,L,240,89,33,94,0.351,3,11,0.273,20,24,0.833,21,24,45,23,8,4,10,16,-13.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001031,2001-03-29,GSW @ WAS,L,241,100,43,98,0.439,4,13,0.308,10,17,0.588,15,17,32,28,16,3,11,25,-16.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001015,2001-03-26,GSW vs. NYK,L,266,87,34,93,0.366,3,9,0.333,16,22,0.727,17,29,46,26,15,7,11,16,-2.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020001002,2001-03-24,GSW vs. DET,W,242,103,38,97,0.392,3,10,0.3,24,32,0.75,20,41,61,24,8,7,12,25,8.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000983,2001-03-21,GSW vs. WAS,L,240,94,38,81,0.469,1,7,0.143,17,26,0.654,12,30,42,26,10,10,16,19,-5.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000964,2001-03-18,GSW vs. SEA,L,241,99,39,93,0.419,5,14,0.357,16,19,0.842,21,33,54,26,1,6,13,22,-5.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000949,2001-03-16,GSW @ LAC,L,240,76,32,98,0.327,2,9,0.222,10,18,0.556,24,29,53,21,6,5,11,16,-18.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000933,2001-03-14,GSW vs. UTA,L,238,83,29,81,0.358,4,13,0.308,21,32,0.656,21,20,41,17,10,7,13,20,-19.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000917,2001-03-12,GSW vs. DEN,L,240,79,30,83,0.361,5,9,0.556,14,28,0.5,17,30,47,19,6,6,14,22,-5.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000904,2001-03-10,GSW @ HOU,L,239,81,32,81,0.395,1,9,0.111,16,17,0.941,11,28,39,16,12,6,19,19,-5.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000894,2001-03-09,GSW @ DAL,L,240,73,25,79,0.316,1,10,0.1,22,34,0.647,19,34,53,14,8,8,23,27,-29.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000871,2001-03-06,GSW vs. LAL,L,241,85,35,93,0.376,3,13,0.231,12,21,0.571,20,30,50,22,8,3,14,24,-12.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000860,2001-03-04,GSW @ LAL,L,241,95,35,93,0.376,1,6,0.167,24,28,0.857,22,21,43,17,9,4,16,23,-15.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000851,2001-03-03,GSW @ POR,L,240,91,38,92,0.413,3,11,0.273,12,18,0.667,16,26,42,23,8,6,13,16,-31.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000831,2001-02-28,GSW vs. SAC,L,240,101,45,99,0.455,4,17,0.235,7,8,0.875,16,31,47,25,12,8,16,20,-21.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000811,2001-02-26,GSW @ CHI,W,240,84,35,76,0.461,1,6,0.167,13,24,0.542,9,37,46,23,10,8,18,18,6.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000805,2001-02-25,GSW @ MIL,L,239,95,40,89,0.449,1,7,0.143,14,25,0.56,15,23,38,26,8,6,11,14,-27.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000789,2001-02-23,GSW @ MIN,L,240,83,33,91,0.363,3,14,0.214,14,18,0.778,20,27,47,22,5,2,15,13,-39.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000780,2001-02-22,GSW @ CHH,L,241,91,36,87,0.414,5,9,0.556,14,16,0.875,10,25,35,22,10,2,11,15,-2.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000765,2001-02-20,GSW @ TOR,L,240,102,42,96,0.438,3,11,0.273,15,25,0.6,17,26,43,30,11,10,12,17,-11.0,2000-01
