SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
22000,1610612746,LAC,Los Angeles Clippers,0020001176,2001-04-17,LAC @ UTA,L,239,92,31,76,0.408,6,15,0.4,24,29,0.828,10,24,34,12,10,3,15,30,-5.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020001167,2001-04-16,LAC vs. PHX,W,240,100,43,84,0.512,5,11,0.455,9,14,0.643,12,36,48,26,4,8,15,13,20.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020001152,2001-04-14,LAC @ GSW,W,240,106,42,82,0.512,2,13,0.154,20,28,0.714,13,33,46,22,10,6,15,19,12.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020001147,2001-04-13,LAC vs. MIN,W,240,111,43,85,0.506,6,10,0.6,19,32,0.594,17,29,46,21,5,5,16,26,6.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020001122,2001-04-10,LAC @ SAC,L,265,109,47,99,0.475,4,11,0.364,11,19,0.579,15,33,48,26,5,8,11,21,-7.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020001103,2001-04-07,LAC vs. SAS,L,240,83,33,84,0.393,3,17,0.176,14,19,0.737,12,28,40,17,4,3,9,22,-10.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020001094,2001-04-06,LAC vs. MIL,W,264,113,41,94,0.436,7,18,0.389,24,35,0.686,15,39,54,23,6,6,15,20,3.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020001081,2001-04-04,LAC @ VAN,L,240,78,30,74,0.405,2,12,0.167,16,22,0.727,5,26,31,14,5,4,10,19,-8.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020001052,2001-03-31,LAC vs. CLE,W,240,104,38,77,0.494,6,15,0.4,22,32,0.688,10,29,39,26,3,9,8,24,7.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020001047,2001-03-30,LAC @ SEA,L,241,84,34,73,0.466,3,15,0.2,13,20,0.65,11,36,47,20,7,8,17,17,-10.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020001023,2001-03-27,LAC vs. DET,W,240,101,37,80,0.463,5,14,0.357,22,31,0.71,13,32,45,27,9,7,18,23,7.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020001016,2001-03-26,LAC @ POR,L,240,96,35,76,0.461,4,13,0.308,22,27,0.815,4,32,36,20,5,3,10,27,-8.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020000988,2001-03-22,LAC vs. HOU,W,240,97,35,74,0.473,7,11,0.636,20,29,0.69,9,37,46,19,3,8,9,13,5.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020000975,2001-03-20,LAC vs. PHI,W,240,88,32,56,0.571,8,18,0.444,16,22,0.727,4,29,33,20,3,10,18,16,11.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020000963,2001-03-18,LAC vs. UTA,L,241,96,32,60,0.533,4,8,0.5,28,37,0.757,7,22,29,21,5,4,13,23,-15.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020000949,2001-03-16,LAC vs. GSW,W,240,94,34,70,0.486,7,12,0.583,19,22,0.864,4,43,47,22,7,12,16,20,18.0,2000-01
