SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
22000,1610612752,NYK,New York Knicks,0020001180,2001-04-18,NYK vs. DET,W,241,94,35,78,0.449,5,15,0.333,19,22,0.864,7,42,49,21,5,2,16,29,6.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001166,2001-04-16,NYK @ CLE,L,241,78,33,79,0.418,4,15,0.267,8,16,0.5,13,25,38,19,8,5,15,22,-2.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001155,2001-04-15,NYK @ PHI,L,240,82,31,78,0.397,3,14,0.214,17,18,0.944,7,26,33,17,5,2,11,23,-7.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001138,2001-04-13,NYK vs. ATL,W,241,101,43,83,0.518,5,11,0.455,10,14,0.714,13,31,44,32,10,3,13,13,36.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001129,2001-04-11,NYK @ IND,L,240,93,36,73,0.493,6,16,0.375,15,21,0.714,8,34,42,23,5,2,18,20,-7.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001111,2001-04-09,NYK vs. CHH,W,238,113,45,73,0.616,5,10,0.5,18,25,0.72,10,26,36,21,10,5,15,24,15.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001105,2001-04-08,NYK @ MIA,L,240,76,31,74,0.419,1,13,0.077,13,18,0.722,10,33,43,13,3,4,16,30,-5.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001082,2001-04-05,NYK vs. WAS,W,240,93,40,73,0.548,5,11,0.455,8,12,0.667,9,23,32,19,7,3,14,20,13.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001063,2001-04-03,NYK vs. ORL,W,240,94,35,75,0.467,7,14,0.5,17,22,0.773,8,38,46,23,5,5,10,17,12.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001059,2001-04-01,NYK @ LAL,W,240,79,30,75,0.4,2,12,0.167,17,19,0.895,12,31,43,12,4,3,12,25,1.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001046,2001-03-30,NYK @ POR,L,240,79,29,63,0.46,4,8,0.5,17,25,0.68,3,26,29,17,5,3,20,31,-17.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001037,2001-03-29,NYK @ VAN,L,240,68,30,76,0.395,1,8,0.125,7,13,0.538,6,33,39,19,4,2,10,19,-21.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001024,2001-03-27,NYK @ SAC,L,264,117,40,88,0.455,8,15,0.533,29,34,0.853,6,34,40,23,9,3,12,30,-7.0,2000-01
22000,1610612752,NYK,New York Knicks,0020001015,2001-03-26,NYK @ GSW,W,264,89,37,85,0.435,3,8,0.375,12,12,1.0,13,37,50,23,8,2,21,22,2.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000991,2001-03-23,NYK vs. NJN,L,239,86,32,90,0.356,3,18,0.167,19,27,0.704,13,38,51,15,11,6,11,22,-9.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000970,2001-03-20,NYK @ CLE,W,240,110,42,77,0.545,5,8,0.625,21,22,0.955,9,33,42,27,9,9,18,21,35.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000951,2001-03-17,NYK vs. CHI,W,240,101,41,66,0.621,3,6,0.5,16,22,0.727,7,32,39,24,5,4,20,19,21.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000935,2001-03-15,NYK vs. TOR,W,241,88,34,74,0.459,1,7,0.143,19,23,0.826,7,31,38,16,5,5,7,19,16.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000918,2001-03-13,NYK vs. CLE,W,241,98,39,80,0.488,3,8,0.375,17,21,0.81,8,32,40,25,4,11,9,17,19.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000906,2001-03-11,NYK vs. MIA,W,239,86,37,86,0.43,4,10,0.4,8,10,0.8,18,27,45,22,10,4,14,19,3.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000889,2001-03-09,NYK @ NJN,L,241,83,28,75,0.373,2,10,0.2,25,39,0.641,10,31,41,16,8,8,8,20,-13.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000881,2001-03-07,NYK @ IND,W,240,79,29,72,0.403,5,11,0.455,16,19,0.842,8,33,41,18,6,9,11,23,4.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000867,2001-03-06,NYK vs. IND,W,240,97,36,68,0.529,3,10,0.3,22,26,0.846,7,25,32,21,7,1,8,22,14.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000855,2001-03-04,NYK @ TOR,L,240,88,31,71,0.437,2,11,0.182,24,29,0.828,8,24,32,13,6,6,16,22,-10.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000844,2001-03-02,NYK @ CHI,L,240,72,27,74,0.365,5,20,0.25,13,18,0.722,6,36,42,23,7,3,13,21,-9.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000832,2001-03-01,NYK vs. BOS,W,240,95,35,84,0.417,5,17,0.294,20,21,0.952,12,31,43,24,9,4,11,25,7.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000816,2001-02-27,NYK vs. SEA,W,238,101,40,74,0.541,7,11,0.636,14,17,0.824,8,36,44,30,0,9,15,23,9.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000801,2001-02-25,NYK vs. SAC,W,241,88,38,75,0.507,4,16,0.25,8,10,0.8,8,32,40,16,7,2,15,18,2.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000784,2001-02-23,NYK vs. PHX,L,265,84,31,80,0.388,5,18,0.278,17,19,0.895,12,36,48,16,5,0,19,18,-4.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000775,2001-02-21,NYK @ DET,L,238,85,30,80,0.375,5,14,0.357,20,31,0.645,13,33,46,14,6,3,14,28,-5.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000762,2001-02-20,NYK vs. MIA,W,242,76,29,68,0.426,4,14,0.286,14,16,0.875,5,31,36,19,6,4,15,20,2.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000751,2001-02-18,NYK @ ORL,L,239,88,33,69,0.478,5,10,0.5,17,23,0.739,7,29,36,13,4,4,18,23,-8.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000736,2001-02-16,NYK vs. NJN,W,241,114,44,79,0.557,7,16,0.438,19,27,0.704,6,23,29,22,6,4,5,19,10.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000727,2001-02-14,NYK @ UTA,L,239,90,31,66,0.47,6,13,0.462,22,30,0.733,5,27,32,21,8,8,13,35,-16.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000718,2001-02-13,NYK @ DEN,L,240,77,27,76,0.355,3,9,0.333,20,23,0.87,8,34,42,18,3,3,14,24,-19.0,2000-01
