SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
22000,1610612755,PHI,Philadelphia 76ers,0020001181,2001-04-18,PHI vs. CHI,L,240,86,33,78,0.423,5,17,0.294,15,19,0.789,16,29,45,25,6,1,18,19,-6.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020001174,2001-04-17,PHI @ IND,W,266,111,41,94,0.436,6,11,0.545,23,28,0.821,12,34,46,26,9,3,14,32,7.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020001155,2001-04-15,PHI vs. NYK,W,240,89,34,77,0.442,1,7,0.143,20,31,0.645,15,34,49,20,8,4,10,21,7.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020001132,2001-04-12,PHI @ ORL,L,239,77,34,81,0.42,0,10,0.0,9,14,0.643,13,26,39,25,10,2,17,25,-24.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020001116,2001-04-10,PHI @ MIA,L,240,81,31,78,0.397,5,11,0.455,14,20,0.7,10,34,44,12,6,1,14,17,-2.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020001112,2001-04-09,PHI vs. BOS,W,241,108,41,83,0.494,2,11,0.182,24,28,0.857,17,35,52,24,8,7,8,16,13.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020001089,2001-04-06,PHI vs. CLE,W,240,96,38,85,0.447,2,3,0.667,18,27,0.667,24,31,55,20,7,6,13,17,8.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020001078,2001-04-04,PHI @ DET,W,241,90,34,93,0.366,0,2,0.0,22,30,0.733,15,28,43,22,11,3,8,23,6.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020001066,2001-04-03,PHI @ TOR,L,240,85,33,88,0.375,2,7,0.286,17,20,0.85,21,27,48,20,4,4,16,10,-15.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020001054,2001-04-01,PHI vs. IND,W,240,104,36,82,0.439,3,7,0.429,29,40,0.725,14,38,52,24,5,1,9,30,11.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020001039,2001-03-30,PHI vs. GSW,W,240,102,40,79,0.506,3,9,0.333,19,21,0.905,8,36,44,26,7,5,13,21,13.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020001026,2001-03-28,PHI vs. ORL,L,239,95,31,81,0.383,5,11,0.455,28,43,0.651,24,32,56,18,14,3,25,20,-1.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020001011,2001-03-26,PHI vs. MIL,W,240,90,36,93,0.387,1,8,0.125,17,26,0.654,21,28,49,23,15,2,14,17,12.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000997,2001-03-23,PHI @ PHX,L,241,71,27,72,0.375,2,5,0.4,15,22,0.682,13,34,47,15,4,3,18,14,-13.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000975,2001-03-20,PHI @ LAC,L,239,77,31,79,0.392,2,12,0.167,13,16,0.813,15,17,32,14,9,2,10,19,-11.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000967,2001-03-19,PHI @ SEA,L,241,89,33,72,0.458,7,11,0.636,16,20,0.8,14,27,41,19,5,6,22,23,-4.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000955,2001-03-17,PHI @ MIL,L,240,78,33,68,0.485,0,4,0.0,12,13,0.923,7,28,35,21,6,3,17,15,-9.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000941,2001-03-16,PHI vs. SAC,L,241,79,31,79,0.392,2,7,0.286,15,22,0.682,13,25,38,22,9,3,12,14,-20.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000930,2001-03-14,PHI @ CHI,W,241,85,34,66,0.515,0,2,0.0,17,27,0.63,10,31,41,22,8,6,11,14,18.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000905,2001-03-11,PHI @ BOS,W,241,97,35,74,0.473,0,1,0.0,27,34,0.794,13,35,48,22,10,6,23,27,6.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000890,2001-03-09,PHI vs. ATL,W,240,108,43,88,0.489,3,6,0.5,19,24,0.792,17,31,48,30,9,10,12,20,5.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000876,2001-03-07,PHI vs. NJN,W,241,102,37,77,0.481,3,11,0.273,25,29,0.862,15,26,41,25,12,3,17,13,8.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000838,2001-03-02,PHI vs. WAS,W,240,107,41,83,0.494,2,6,0.333,23,33,0.697,12,30,42,28,8,4,13,19,5.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000822,2001-02-28,PHI vs. MIA,W,240,79,26,78,0.333,3,9,0.333,24,32,0.75,19,36,55,12,9,6,14,20,10.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000809,2001-02-26,PHI vs. MIL,L,241,91,32,75,0.427,4,10,0.4,23,28,0.821,12,30,42,23,5,0,13,14,-7.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000796,2001-02-24,PHI @ CHH,L,240,85,30,66,0.455,4,10,0.4,21,26,0.808,5,40,45,19,5,5,19,20,-1.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000787,2001-02-23,PHI @ DET,W,242,99,40,85,0.471,2,7,0.286,17,22,0.773,11,42,53,21,6,7,15,17,21.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000772,2001-02-21,PHI vs. VAN,W,239,107,38,86,0.442,2,10,0.2,29,40,0.725,19,29,48,21,13,0,11,29,16.0,2000-01
