SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
22000,1610612756,PHX,Phoenix Suns,0020001187,2001-04-18,PHX vs. UTA,W,240,98,35,66,0.53,1,5,0.2,27,39,0.692,7,25,32,21,8,3,17,23,5.0,2000-01
22000,1610612756,PHX,Phoenix Suns,0020001167,2001-04-16,PHX @ LAC,L,240,80,34,88,0.386,2,14,0.143,10,14,0.714,13,28,41,20,10,5,11,18,-20.0,2000-01
22000,1610612756,PHX,Phoenix Suns,0020001161,2001-04-15,PHX vs. SAC,W,240,88,39,99,0.394,5,18,0.278,5,6,0.833,20,39,59,27,13,9,15,15,2.0,2000-01
22000,1610612756,PHX,Phoenix Suns,0020001146,2001-04-13,PHX vs. SEA,W,240,109,42,90,0.467,9,21,0.429,16,20,0.8,18,26,44,32,10,6,11,20,9.0,2000-01
22000,1610612756,PHX,Phoenix Suns,0020001130,2001-04-11,PHX vs. DAL,W,239,111,39,89,0.438,7,21,0.333,26,31,0.839,16,31,47,25,7,2,15,23,5.0,2000-01
22000,1610612756,PHX,Phoenix Suns,0020001121,2001-04-10,PHX @ LAL,L,242,80,30,83,0.361,4,10,0.4,16,19,0.842,11,29,40,17,7,6,13,18,-26.0,2000-01
22000,1610612756,PHX,Phoenix Suns,0020001099,2001-04-07,PHX @ CLE,W,239,102,38,90,0.422,6,12,0.5,20,27,0.741,13,22,35,21,9,8,11,24,4.0,2000-01
22000,1610612756,PHX,Phoenix Suns,0020001093,2001-04-06,PHX @ MIN,L,241,88,32,82,0.39,6,20,0.3,18,24,0.75,13,31,44,20,5,3,14,21,-13.0,2000-01
22000,1610612756,PHX,Phoenix Suns,0020001076,2001-04-04,PHX @ CHH,W,240,103,41,92,0.446,4,13,0.308,17,28,0.607,16,30,46,23,11,1,11,19,9.0,2000-01
22000,1610612756,PHX,Phoenix Suns,0020001067,2001-04-03,PHX @ IND,L,240,81,30,80,0.375,1,13,0.077,20,27,0.741,13,34,47,17,9,4,12,16,-4.0,2000-01
