SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
22000,1610612764,WAS,Washington Wizards,0020001182,2001-04-18,WAS vs. TOR,L,240,92,35,80,0.438,6,11,0.545,16,26,0.615,8,34,42,16,5,4,15,17,-6.0,2000-01
22000,1610612764,WAS,Washington Wizards,0020001172,2001-04-17,WAS @ ATL,L,241,119,43,86,0.5,3,10,0.3,30,36,0.833,11,32,43,21,10,2,17,24,-3.0,2000-01
22000,1610612764,WAS,Washington Wizards,0020001156,2001-04-15,WAS vs. CLE,L,239,98,36,77,0.468,0,6,0.0,26,29,0.897,10,26,36,20,9,4,15,22,-8.0,2000-01
22000,1610612764,WAS,Washington Wizards,0020001140,2001-04-13,WAS vs. ORL,W,240,113,38,72,0.528,0,3,0.0,37,48,0.771,10,30,40,27,8,5,16,25,3.0,2000-01
22000,1610612764,WAS,Washington Wizards,0020001126,2001-04-11,WAS vs. CHI,L,241,109,45,71,0.634,2,6,0.333,17,23,0.739,8,25,33,27,9,4,23,16,-4.0,2000-01
22000,1610612764,WAS,Washington Wizards,0020001114,2001-04-09,WAS @ IND,L,241,78,31,87,0.356,2,7,0.286,14,19,0.737,17,27,44,18,7,4,21,27,-22.0,2000-01
22000,1610612764,WAS,Washington Wizards,0020001097,2001-04-07,WAS vs. BOS,L,240,100,36,75,0.48,2,9,0.222,26,35,0.743,13,33,46,16,9,4,17,20,-2.0,2000-01
22000,1610612764,WAS,Washington Wizards,0020001082,2001-04-05,WAS @ NYK,L,240,80,31,66,0.47,4,11,0.364,14,20,0.7,5,23,28,17,8,2,17,19,-13.0,2000-01
22000,1610612764,WAS,Washington Wizards,0020001074,2001-04-04,WAS vs. MIA,L,240,84,31,79,0.392,0,5,0.0,22,31,0.71,17,28,45,15,8,3,15,10,-2.0,2000-01
22000,1610612764,WAS,Washington Wizards,0020001048,2001-03-31,WAS vs. HOU,L,240,86,31,81,0.383,2,7,0.286,22,37,0.595,20,29,49,15,10,4,11,21,-10.0,2000-01
