game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-06,SJS,STL,1.0,4.0,20002001
2000-10-12,SJS,PHX,2.0,1.0,20002001
2000-10-14,SJS,BOS,5.0,2.0,20002001
2000-10-18,DAL,SJS,2.0,1.0,20002001
2000-10-20,MIN,SJS,1.0,3.0,20002001
2000-10-21,NSH,SJS,3.0,5.0,20002001
2000-10-24,CAR,SJS,2.0,3.0,20002001
2000-10-25,CBJ,SJS,1.0,3.0,20002001
2000-10-28,SJS,ATL,2.0,2.0,20002001
2000-11-01,SJS,PIT,3.0,2.0,20002001
2000-11-04,SJS,CAR,4.0,1.0,20002001
2000-11-05,VAN,SJS,2.0,2.0,20002001
2000-11-08,CHI,SJS,2.0,3.0,20002001
2000-11-09,CBJ,SJS,5.0,2.0,20002001
2000-11-11,NYI,SJS,0.0,4.0,20002001
2000-11-14,NJD,SJS,2.0,3.0,20002001
2000-11-15,DET,SJS,4.0,1.0,20002001
2000-11-18,SJS,NYI,5.0,3.0,20002001
2000-11-22,SJS,CHI,4.0,1.0,20002001
2000-11-25,SJS,NJD,2.0,3.0,20002001
2000-11-28,SJS,MIN,4.0,1.0,20002001
2000-11-30,SJS,ANA,3.0,2.0,20002001
2000-12-03,EDM,SJS,3.0,3.0,20002001
2000-12-04,CGY,SJS,0.0,8.0,20002001
2000-12-06,SJS,DAL,2.0,2.0,20002001
2000-12-08,SJS,VAN,1.0,6.0,20002001
2000-12-12,SJS,NYR,3.0,2.0,20002001
2000-12-14,SJS,CBJ,2.0,1.0,20002001
2000-12-16,PHX,SJS,1.0,2.0,20002001
2000-12-18,WSH,SJS,3.0,5.0,20002001
2000-12-20,DET,SJS,0.0,2.0,20002001
2000-12-21,PHI,SJS,4.0,3.0,20002001
2000-12-23,BUF,SJS,5.0,2.0,20002001
2000-12-26,LAK,SJS,1.0,2.0,20002001
2000-12-28,SJS,EDM,2.0,2.0,20002001
2000-12-30,SJS,VAN,3.0,6.0,20002001
2001-01-01,PHX,SJS,2.0,3.0,20002001
2001-01-03,SJS,CGY,0.0,1.0,20002001
2001-01-04,COL,SJS,2.0,2.0,20002001
2001-01-06,SJS,FLA,3.0,1.0,20002001
2001-01-09,SJS,BUF,2.0,1.0,20002001
2001-01-11,SJS,STL,6.0,3.0,20002001
2001-01-13,SJS,NSH,3.0,5.0,20002001
2001-01-15,SJS,DET,2.0,3.0,20002001
2001-01-17,SJS,CGY,4.0,4.0,20002001
2001-01-20,SJS,COL,1.0,2.0,20002001
2001-01-22,EDM,SJS,2.0,2.0,20002001
2001-01-24,SJS,EDM,6.0,1.0,20002001
2001-01-26,DAL,SJS,1.0,2.0,20002001
2001-01-27,STL,SJS,3.0,4.0,20002001
2001-01-30,SJS,COL,1.0,3.0,20002001
2001-02-01,SJS,DAL,2.0,4.0,20002001
2001-02-06,CGY,SJS,1.0,1.0,20002001
2001-02-08,VAN,SJS,0.0,0.0,20002001
2001-02-10,SJS,CHI,3.0,2.0,20002001
2001-02-14,CHI,SJS,0.0,7.0,20002001
2001-02-16,NSH,SJS,0.0,2.0,20002001
2001-02-18,MIN,SJS,3.0,1.0,20002001
2001-02-20,SJS,CBJ,3.0,2.0,20002001
2001-02-21,ANA,SJS,1.0,0.0,20002001
2001-02-23,SJS,ANA,3.0,1.0,20002001
2001-02-26,STL,SJS,7.0,2.0,20002001
2001-02-28,TOR,SJS,2.0,1.0,20002001
2001-03-01,OTT,SJS,8.0,4.0,20002001
2001-03-03,BOS,SJS,3.0,2.0,20002001
2001-03-06,TBL,SJS,2.0,1.0,20002001
2001-03-07,FLA,SJS,3.0,3.0,20002001
2001-03-10,SJS,NSH,0.0,3.0,20002001
2001-03-12,SJS,MTL,3.0,0.0,20002001
2001-03-14,SJS,LAK,1.0,4.0,20002001
2001-03-17,LAK,SJS,1.0,0.0,20002001
2001-03-18,SJS,DET,4.0,6.0,20002001
2001-03-20,COL,SJS,4.0,1.0,20002001
2001-03-22,SJS,OTT,1.0,2.0,20002001
2001-03-26,LAK,SJS,0.0,0.0,20002001
2001-03-27,SJS,LAK,3.0,2.0,20002001
2001-03-29,SJS,ANA,7.0,4.0,20002001
2001-03-31,PHX,SJS,3.0,1.0,20002001
2001-04-02,SJS,MIN,4.0,2.0,20002001
2001-04-05,SJS,PHX,3.0,0.0,20002001
2001-04-07,SJS,DAL,4.0,5.0,20002001
2001-04-08,ANA,SJS,1.0,4.0,20002001
2001-04-12,STL,SJS,3.0,1.0,20002001
2001-04-14,STL,SJS,0.0,1.0,20002001
2001-04-16,SJS,STL,3.0,6.0,20002001
2001-04-17,SJS,STL,3.0,2.0,20002001
2001-04-19,STL,SJS,3.0,2.0,20002001
