game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-05,BOS,OTT,4.0,4.0,20002001
2000-10-07,PHI,BOS,1.0,5.0,20002001
2000-10-09,BOS,FLA,4.0,2.0,20002001
2000-10-11,ANA,BOS,2.0,3.0,20002001
2000-10-13,LAK,BOS,5.0,0.0,20002001
2000-10-14,SJS,BOS,5.0,2.0,20002001
2000-10-17,EDM,BOS,6.0,1.0,20002001
2000-10-20,CGY,BOS,3.0,2.0,20002001
2000-10-26,BOS,WSH,4.0,1.0,20002001
2000-10-28,BOS,TOR,1.0,2.0,20002001
2000-10-29,NYR,BOS,5.0,1.0,20002001
2000-10-31,NYI,BOS,4.0,2.0,20002001
2000-11-02,BOS,CHI,5.0,4.0,20002001
2000-11-04,BOS,ATL,3.0,8.0,20002001
2000-11-05,TOR,BOS,7.0,1.0,20002001
2000-11-09,BOS,OTT,2.0,1.0,20002001
2000-11-11,BOS,NSH,2.0,2.0,20002001
2000-11-16,BOS,NJD,2.0,3.0,20002001
2000-11-18,BOS,MIN,1.0,6.0,20002001
2000-11-21,OTT,BOS,2.0,1.0,20002001
2000-11-22,DET,BOS,4.0,5.0,20002001
2000-11-24,BOS,CAR,1.0,3.0,20002001
2000-11-26,BOS,LAK,4.0,4.0,20002001
2000-11-28,BOS,PIT,3.0,1.0,20002001
2000-12-01,WSH,BOS,3.0,2.0,20002001
2000-12-02,BOS,WSH,0.0,2.0,20002001
2000-12-04,ATL,BOS,5.0,4.0,20002001
2000-12-06,PIT,BOS,2.0,3.0,20002001
2000-12-08,CBJ,BOS,3.0,2.0,20002001
2000-12-09,BOS,NYR,6.0,4.0,20002001
2000-12-12,BOS,BUF,0.0,3.0,20002001
2000-12-16,BOS,CAR,4.0,1.0,20002001
2000-12-19,BOS,PHI,4.0,4.0,20002001
2000-12-21,BOS,TOR,4.0,0.0,20002001
2000-12-23,BOS,DET,1.0,2.0,20002001
2000-12-27,NYI,BOS,2.0,5.0,20002001
2000-12-29,FLA,BOS,3.0,0.0,20002001
2000-12-30,TBL,BOS,1.0,1.0,20002001
2001-01-01,BUF,BOS,3.0,4.0,20002001
2001-01-05,WSH,BOS,1.0,1.0,20002001
2001-01-06,BOS,DAL,0.0,4.0,20002001
2001-01-09,BOS,PIT,5.0,2.0,20002001
2001-01-10,MTL,BOS,1.0,2.0,20002001
2001-01-13,BOS,NYR,4.0,1.0,20002001
2001-01-16,NJD,BOS,4.0,5.0,20002001
2001-01-18,CAR,BOS,4.0,2.0,20002001
2001-01-19,NSH,BOS,1.0,0.0,20002001
2001-01-22,BOS,FLA,2.0,3.0,20002001
2001-01-24,TOR,BOS,1.0,2.0,20002001
2001-01-26,BUF,BOS,1.0,2.0,20002001
2001-01-27,BOS,NJD,4.0,3.0,20002001
2001-01-30,BOS,STL,5.0,1.0,20002001
2001-02-01,BOS,MTL,0.0,3.0,20002001
2001-02-06,BOS,PHI,4.0,3.0,20002001
2001-02-09,ATL,BOS,5.0,1.0,20002001
2001-02-10,BOS,TBL,6.0,2.0,20002001
2001-02-15,TBL,BOS,3.0,6.0,20002001
2001-02-16,FLA,BOS,2.0,1.0,20002001
2001-02-18,CAR,BOS,5.0,4.0,20002001
2001-02-21,COL,BOS,8.0,2.0,20002001
2001-02-23,DAL,BOS,5.0,4.0,20002001
2001-02-24,STL,BOS,3.0,2.0,20002001
2001-02-27,BOS,PHX,7.0,4.0,20002001
2001-03-01,BOS,TBL,3.0,1.0,20002001
2001-03-03,BOS,SJS,3.0,2.0,20002001
2001-03-05,PHI,BOS,6.0,4.0,20002001
2001-03-06,BOS,BUF,1.0,3.0,20002001
2001-03-08,BOS,OTT,3.0,5.0,20002001
2001-03-10,BOS,ATL,5.0,7.0,20002001
2001-03-15,BOS,VAN,2.0,2.0,20002001
2001-03-17,MTL,BOS,2.0,3.0,20002001
2001-03-20,PIT,BOS,2.0,2.0,20002001
2001-03-22,BOS,MTL,3.0,2.0,20002001
2001-03-24,BOS,COL,2.0,4.0,20002001
2001-03-25,NYR,BOS,2.0,3.0,20002001
2001-03-28,TOR,BOS,0.0,3.0,20002001
2001-03-30,OTT,BOS,5.0,4.0,20002001
2001-03-31,BOS,NYI,4.0,2.0,20002001
2001-04-02,BOS,MTL,3.0,2.0,20002001
2001-04-04,BUF,BOS,2.0,3.0,20002001
2001-04-06,NJD,BOS,5.0,2.0,20002001
2001-04-07,BOS,NYI,4.0,2.0,20002001
2001-10-04,BOS,ANA,4.0,2.0,20012002
2001-10-06,BOS,ATL,4.0,3.0,20012002
2001-10-08,BOS,WSH,4.0,0.0,20012002
2001-10-10,MIN,BOS,2.0,1.0,20012002
2001-10-13,SJS,BOS,3.0,2.0,20012002
2001-10-16,PHX,BOS,1.0,1.0,20012002
2001-10-17,ANA,BOS,2.0,2.0,20012002
2001-10-20,NSH,BOS,1.0,2.0,20012002
2001-10-23,TOR,BOS,2.0,0.0,20012002
2001-10-25,BOS,TOR,2.0,1.0,20012002
2001-10-27,BOS,NYR,1.0,2.0,20012002
2001-10-28,CHI,BOS,3.0,3.0,20012002
2001-10-30,BOS,NJD,3.0,4.0,20012002
2001-11-03,NJD,BOS,1.0,2.0,20012002
2001-11-06,BOS,EDM,1.0,0.0,20012002
2001-11-08,BOS,MIN,3.0,5.0,20012002
2001-11-10,BOS,CBJ,1.0,5.0,20012002
2001-11-13,BOS,MTL,5.0,3.0,20012002
2001-11-15,BOS,NJD,5.0,4.0,20012002
2001-11-17,BOS,BUF,3.0,1.0,20012002
