game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-05,BUF,CHI,4.0,2.0,20002001
2000-10-07,CBJ,CHI,3.0,5.0,20002001
2000-10-12,CHI,DET,0.0,4.0,20002001
2000-10-14,MTL,CHI,5.0,4.0,20002001
2000-10-15,CHI,CBJ,2.0,1.0,20002001
2000-10-18,CHI,NYR,2.0,4.0,20002001
2000-10-20,CHI,DAL,1.0,5.0,20002001
2000-10-21,STL,CHI,1.0,0.0,20002001
2000-10-26,CHI,COL,0.0,2.0,20002001
2000-10-28,CHI,BUF,1.0,3.0,20002001
2000-10-29,MIN,CHI,2.0,3.0,20002001
2000-11-02,BOS,CHI,5.0,4.0,20002001
2000-11-03,DET,CHI,1.0,6.0,20002001
2000-11-05,CHI,ANA,4.0,2.0,20002001
2000-11-08,CHI,SJS,2.0,3.0,20002001
2000-11-10,CHI,MIN,2.0,5.0,20002001
2000-11-11,TOR,CHI,3.0,3.0,20002001
2000-11-14,VAN,CHI,4.0,2.0,20002001
2000-11-16,CGY,CHI,2.0,5.0,20002001
2000-11-17,EDM,CHI,3.0,3.0,20002001
2000-11-21,PHX,CHI,1.0,4.0,20002001
2000-11-22,SJS,CHI,4.0,1.0,20002001
2000-11-24,MIN,CHI,2.0,0.0,20002001
2000-11-27,DET,CHI,5.0,6.0,20002001
2000-11-30,CHI,NSH,0.0,3.0,20002001
2000-12-01,NSH,CHI,1.0,2.0,20002001
2000-12-03,CHI,CBJ,5.0,0.0,20002001
2000-12-07,CHI,MIN,2.0,4.0,20002001
2000-12-09,STL,CHI,6.0,4.0,20002001
2000-12-10,CHI,STL,1.0,6.0,20002001
2000-12-13,ATL,CHI,3.0,1.0,20002001
2000-12-15,DAL,CHI,4.0,1.0,20002001
2000-12-16,NSH,CHI,0.0,3.0,20002001
2000-12-21,CHI,VAN,6.0,4.0,20002001
2000-12-23,OTT,CHI,2.0,3.0,20002001
2000-12-27,CHI,PHX,1.0,1.0,20002001
2000-12-29,CHI,DET,3.0,2.0,20002001
2000-12-31,CAR,CHI,2.0,1.0,20002001
2001-01-03,CHI,VAN,6.0,0.0,20002001
2001-01-05,CHI,EDM,1.0,2.0,20002001
2001-01-07,CHI,TBL,7.0,4.0,20002001
2001-01-09,NYI,CHI,3.0,6.0,20002001
2001-01-12,CBJ,CHI,1.0,3.0,20002001
2001-01-14,CHI,COL,2.0,2.0,20002001
2001-01-17,CHI,FLA,5.0,0.0,20002001
2001-01-19,CHI,WSH,3.0,1.0,20002001
2001-01-21,CHI,PIT,0.0,4.0,20002001
2001-01-25,CHI,PHI,1.0,5.0,20002001
2001-01-26,COL,CHI,5.0,2.0,20002001
2001-01-28,VAN,CHI,2.0,6.0,20002001
2001-01-31,EDM,CHI,3.0,2.0,20002001
2001-02-01,CGY,CHI,5.0,3.0,20002001
2001-02-06,LAK,CHI,3.0,3.0,20002001
2001-02-07,ANA,CHI,2.0,3.0,20002001
2001-02-10,SJS,CHI,3.0,2.0,20002001
2001-02-11,PHX,CHI,3.0,2.0,20002001
2001-02-14,CHI,SJS,0.0,7.0,20002001
2001-02-16,CHI,STL,6.0,2.0,20002001
2001-02-18,CHI,LAK,3.0,0.0,20002001
2001-02-19,NYR,CHI,4.0,2.0,20002001
2001-02-21,CHI,DET,3.0,7.0,20002001
2001-02-23,CHI,ATL,1.0,0.0,20002001
2001-02-25,CHI,TOR,6.0,4.0,20002001
2001-02-27,WSH,CHI,2.0,3.0,20002001
2001-03-01,CHI,LAK,2.0,2.0,20002001
2001-03-04,CHI,CAR,3.0,6.0,20002001
2001-03-07,DAL,CHI,1.0,4.0,20002001
2001-03-09,ANA,CHI,3.0,1.0,20002001
2001-03-10,LAK,CHI,2.0,2.0,20002001
2001-03-13,CHI,DAL,0.0,3.0,20002001
2001-03-15,CHI,NSH,3.0,2.0,20002001
2001-03-18,CHI,ANA,1.0,4.0,20002001
2001-03-22,CHI,NSH,1.0,2.0,20002001
2001-03-24,STL,CHI,5.0,1.0,20002001
2001-03-25,CHI,CGY,1.0,3.0,20002001
2001-03-28,CHI,OTT,2.0,5.0,20002001
2001-03-29,PIT,CHI,5.0,2.0,20002001
2001-04-01,CHI,EDM,3.0,3.0,20002001
2001-04-02,NJD,CHI,4.0,3.0,20002001
2001-04-04,CHI,CGY,2.0,5.0,20002001
2001-04-06,CHI,TOR,0.0,1.0,20002001
2001-04-08,CBJ,CHI,4.0,3.0,20002001
2001-10-04,VAN,CHI,4.0,5.0,20012002
2001-10-06,CGY,CHI,4.0,0.0,20012002
2001-10-09,EDM,CHI,1.0,0.0,20012002
2001-10-11,CHI,PHX,3.0,0.0,20012002
2001-10-12,MIN,CHI,6.0,4.0,20012002
2001-10-14,CHI,CBJ,2.0,2.0,20012002
2001-10-18,NSH,CHI,3.0,5.0,20012002
2001-10-20,DAL,CHI,2.0,2.0,20012002
2001-10-21,CHI,COL,4.0,2.0,20012002
2001-10-23,CHI,CGY,6.0,3.0,20012002
2001-10-25,CHI,SJS,4.0,2.0,20012002
2001-10-28,CHI,BOS,3.0,3.0,20012002
2001-10-30,CHI,LAK,5.0,1.0,20012002
2001-11-01,LAK,CHI,2.0,3.0,20012002
2001-11-02,ANA,CHI,5.0,2.0,20012002
2001-11-04,CHI,DET,5.0,4.0,20012002
2001-11-06,CHI,PHI,2.0,1.0,20012002
2001-11-09,CHI,VAN,3.0,1.0,20012002
2001-11-11,CHI,SJS,3.0,2.0,20012002
2001-11-13,VAN,CHI,3.0,2.0,20012002
2001-11-15,CGY,CHI,2.0,2.0,20012002
2001-11-16,EDM,CHI,7.0,1.0,20012002
2001-11-21,NSH,CHI,4.0,3.0,20012002
2001-11-23,CBJ,CHI,2.0,2.0,20012002
2001-11-25,DET,CHI,4.0,4.0,20012002
2001-11-28,CHI,VAN,3.0,3.0,20012002
2001-11-30,CHI,TOR,1.0,2.0,20012002
2001-12-01,TOR,CHI,4.0,1.0,20012002
2001-12-03,MTL,CHI,2.0,3.0,20012002
2001-12-05,CHI,MIN,4.0,2.0,20012002
2001-12-07,CHI,NYI,4.0,3.0,20012002
2001-12-09,CHI,LAK,2.0,5.0,20012002
2001-12-12,CHI,STL,2.0,2.0,20012002
2001-12-14,ATL,CHI,1.0,3.0,20012002
2001-12-15,NSH,CHI,5.0,2.0,20012002
2001-12-17,DET,CHI,0.0,2.0,20012002
2001-12-19,BUF,CHI,5.0,6.0,20012002
2001-12-21,CHI,EDM,5.0,1.0,20012002
2001-12-23,CHI,DET,0.0,5.0,20012002
2001-12-26,STL,CHI,1.0,3.0,20012002
2001-12-27,CHI,COL,3.0,1.0,20012002
2001-12-30,CHI,ANA,2.0,1.0,20012002
2001-12-31,OTT,CHI,4.0,5.0,20012002
2002-01-04,CHI,TBL,2.0,0.0,20012002
2002-01-06,CHI,PIT,2.0,0.0,20012002
2002-01-09,COL,CHI,7.0,3.0,20012002
2002-01-10,CHI,CBJ,2.0,1.0,20012002
2002-01-12,CBJ,CHI,5.0,4.0,20012002
2002-01-14,CHI,EDM,2.0,1.0,20012002
2002-01-16,FLA,CHI,0.0,3.0,20012002
2002-01-18,TBL,CHI,2.0,2.0,20012002
2002-01-20,CHI,DAL,3.0,2.0,20012002
2002-01-23,CHI,PHX,1.0,4.0,20012002
2002-01-25,CHI,STL,2.0,1.0,20012002
2002-01-28,BOS,CHI,2.0,1.0,20012002
2002-01-30,NJD,CHI,3.0,1.0,20012002
2002-02-06,PHX,CHI,2.0,5.0,20012002
2002-02-08,SJS,CHI,4.0,2.0,20012002
2002-02-09,COL,CHI,2.0,3.0,20012002
2002-02-13,CHI,FLA,5.0,4.0,20012002
2002-02-26,PHI,CHI,5.0,4.0,20012002
2002-02-27,CHI,MTL,2.0,3.0,20012002
2002-03-03,CHI,ANA,2.0,1.0,20012002
2002-03-05,CHI,CAR,1.0,2.0,20012002
2002-03-07,CHI,NYR,5.0,1.0,20012002
2002-03-11,LAK,CHI,2.0,1.0,20012002
2002-03-12,PHX,CHI,3.0,1.0,20012002
2002-03-15,ANA,CHI,1.0,1.0,20012002
2002-03-16,SJS,CHI,2.0,2.0,20012002
2002-03-18,CHI,DAL,2.0,2.0,20012002
2002-03-20,CHI,NJD,1.0,3.0,20012002
2002-03-24,CHI,STL,4.0,3.0,20012002
2002-03-27,CHI,NSH,4.0,1.0,20012002
2002-03-29,MIN,CHI,1.0,3.0,20012002
2002-03-31,CHI,MIN,2.0,1.0,20012002
2002-04-03,CHI,NSH,1.0,3.0,20012002
2002-04-05,STL,CHI,5.0,1.0,20012002
2002-04-07,CHI,CGY,3.0,2.0,20012002
2002-04-09,WSH,CHI,3.0,1.0,20012002
2002-04-10,DET,CHI,3.0,3.0,20012002
2002-04-12,DAL,CHI,3.0,1.0,20012002
2002-04-14,CHI,CBJ,2.0,0.0,20012002
2002-04-18,STL,CHI,1.0,2.0,20012002
2002-04-20,STL,CHI,2.0,0.0,20012002
2002-04-21,CHI,STL,0.0,4.0,20012002
2002-04-23,CHI,STL,0.0,1.0,20012002
2002-04-25,STL,CHI,5.0,3.0,20012002
2002-10-10,CBJ,CHI,2.0,1.0,20022003
2002-10-13,CHI,BUF,3.0,0.0,20022003
2002-10-17,CHI,FLA,4.0,1.0,20022003
2002-10-19,CHI,CGY,2.0,5.0,20022003
2002-10-24,CHI,MIN,2.0,3.0,20022003
2002-10-26,CAR,CHI,3.0,3.0,20022003
2002-10-27,CHI,SJS,3.0,2.0,20022003
2002-10-29,CHI,CBJ,3.0,2.0,20022003
2002-10-31,CHI,LAK,2.0,1.0,20022003
2002-11-02,NJD,CHI,5.0,1.0,20022003
2002-11-03,CHI,EDM,1.0,4.0,20022003
2002-11-05,DET,CHI,0.0,2.0,20022003
2002-11-07,CHI,ATL,5.0,0.0,20022003
2002-11-09,TBL,CHI,2.0,3.0,20022003
2002-11-11,FLA,CHI,2.0,2.0,20022003
2002-11-15,CHI,WSH,2.0,2.0,20022003
2002-11-17,CHI,NSH,4.0,2.0,20022003
2002-11-19,EDM,CHI,3.0,1.0,20022003
2002-11-20,VAN,CHI,5.0,3.0,20022003
2002-11-23,CGY,CHI,3.0,1.0,20022003
2002-11-25,COL,CHI,1.0,0.0,20022003
2002-11-28,PHX,CHI,2.0,4.0,20022003
2002-11-30,LAK,CHI,4.0,1.0,20022003
2002-12-01,ANA,CHI,3.0,2.0,20022003
2002-12-04,CHI,OTT,1.0,0.0,20022003
2002-12-06,CHI,ANA,3.0,4.0,20022003
2002-12-08,CHI,TBL,3.0,1.0,20022003
2002-12-10,NYI,CHI,2.0,3.0,20022003
2002-12-11,NYR,CHI,3.0,4.0,20022003
2002-12-13,BUF,CHI,1.0,1.0,20022003
2002-12-15,CHI,DAL,0.0,5.0,20022003
2002-12-17,CHI,VAN,3.0,2.0,20022003
2002-12-20,CHI,CBJ,3.0,1.0,20022003
2002-12-22,CHI,LAK,3.0,1.0,20022003
2002-12-26,CHI,MIN,2.0,2.0,20022003
2002-12-28,SJS,CHI,3.0,3.0,20022003
2002-12-30,LAK,CHI,0.0,2.0,20022003
2003-01-02,STL,CHI,1.0,4.0,20022003
2003-01-04,NSH,CHI,3.0,3.0,20022003
2003-01-05,CHI,DET,3.0,4.0,20022003
2003-01-08,CHI,PHX,0.0,0.0,20022003
2003-01-09,DAL,CHI,4.0,3.0,20022003
2003-01-12,CHI,NSH,2.0,0.0,20022003
2003-01-13,DET,CHI,5.0,4.0,20022003
2003-01-15,CHI,DET,4.0,1.0,20022003
2003-01-17,CHI,VAN,2.0,4.0,20022003
2003-01-18,STL,CHI,4.0,2.0,20022003
2003-01-20,CBJ,CHI,5.0,1.0,20022003
2003-01-23,CHI,STL,3.0,3.0,20022003
2003-01-25,PIT,CHI,5.0,3.0,20022003
2003-01-26,MTL,CHI,4.0,3.0,20022003
2003-01-30,BOS,CHI,1.0,3.0,20022003
2003-02-05,MIN,CHI,2.0,1.0,20022003
2003-02-06,CGY,CHI,2.0,2.0,20022003
2003-02-08,EDM,CHI,0.0,3.0,20022003
2003-02-10,VAN,CHI,2.0,1.0,20022003
2003-02-12,CHI,TOR,1.0,3.0,20022003
2003-02-14,CHI,SJS,2.0,4.0,20022003
