game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-07,CBJ,CHI,3.0,5.0,20002001
2000-10-09,CBJ,LAK,1.0,7.0,20002001
2000-10-12,CGY,CBJ,2.0,3.0,20002001
2000-10-14,COL,CBJ,3.0,1.0,20002001
2000-10-15,CHI,CBJ,2.0,1.0,20002001
2000-10-18,CBJ,COL,1.0,5.0,20002001
2000-10-21,PIT,CBJ,5.0,2.0,20002001
2000-10-22,CBJ,DET,1.0,2.0,20002001
2000-10-25,CBJ,SJS,1.0,3.0,20002001
2000-10-27,CBJ,WSH,3.0,1.0,20002001
2000-10-28,DET,CBJ,4.0,1.0,20002001
2000-10-31,CBJ,LAK,4.0,1.0,20002001
2000-11-01,DAL,CBJ,4.0,0.0,20002001
2000-11-04,OTT,CBJ,2.0,2.0,20002001
2000-11-05,CBJ,EDM,2.0,4.0,20002001
2000-11-09,CBJ,SJS,5.0,2.0,20002001
2000-11-11,CBJ,PHX,2.0,1.0,20002001
2000-11-14,CBJ,DAL,3.0,2.0,20002001
2000-11-16,NSH,CBJ,1.0,5.0,20002001
2000-11-17,CBJ,FLA,0.0,3.0,20002001
2000-11-19,CBJ,VAN,1.0,6.0,20002001
2000-11-22,COL,CBJ,5.0,2.0,20002001
2000-11-24,DAL,CBJ,3.0,0.0,20002001
2000-11-25,CBJ,DAL,2.0,4.0,20002001
2000-11-29,CBJ,PHI,3.0,4.0,20002001
2000-12-02,CBJ,ATL,1.0,2.0,20002001
2000-12-03,CHI,CBJ,5.0,0.0,20002001
2000-12-06,CBJ,ANA,5.0,2.0,20002001
2000-12-08,CBJ,BOS,3.0,2.0,20002001
2000-12-10,PHX,CBJ,1.0,1.0,20002001
2000-12-13,ANA,CBJ,5.0,4.0,20002001
2000-12-14,SJS,CBJ,2.0,1.0,20002001
2000-12-16,VAN,CBJ,4.0,3.0,20002001
2000-12-18,MTL,CBJ,0.0,2.0,20002001
2000-12-21,CBJ,OTT,3.0,3.0,20002001
2000-12-23,NYI,CBJ,5.0,7.0,20002001
2000-12-26,STL,CBJ,5.0,0.0,20002001
2000-12-27,NJD,CBJ,2.0,2.0,20002001
2000-12-29,CBJ,CAR,3.0,1.0,20002001
2000-12-31,CBJ,NJD,3.0,6.0,20002001
2001-01-03,CBJ,EDM,5.0,2.0,20002001
2001-01-06,VAN,CBJ,4.0,3.0,20002001
2001-01-07,EDM,CBJ,4.0,2.0,20002001
2001-01-10,CBJ,COL,2.0,4.0,20002001
2001-01-12,CBJ,CHI,1.0,3.0,20002001
2001-01-15,CBJ,MIN,3.0,0.0,20002001
2001-01-17,MIN,CBJ,3.0,2.0,20002001
2001-01-21,CBJ,TBL,3.0,1.0,20002001
