game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-04,DAL,COL,2.0,2.0,20002001
2000-10-07,OTT,DAL,3.0,1.0,20002001
2000-10-09,TOR,DAL,1.0,3.0,20002001
2000-10-10,CAR,DAL,5.0,2.0,20002001
2000-10-12,DAL,PHI,4.0,1.0,20002001
2000-10-14,DAL,WSH,3.0,0.0,20002001
2000-10-18,DAL,SJS,2.0,1.0,20002001
2000-10-20,CHI,DAL,1.0,5.0,20002001
2000-10-21,DAL,LAK,4.0,3.0,20002001
2000-10-25,DAL,VAN,2.0,6.0,20002001
2000-10-27,DAL,PHX,2.0,4.0,20002001
2000-10-28,STL,DAL,4.0,3.0,20002001
2000-11-01,DAL,CBJ,4.0,0.0,20002001
2000-11-03,PHX,DAL,2.0,2.0,20002001
2000-11-11,DAL,MTL,2.0,0.0,20002001
2000-11-14,CBJ,DAL,3.0,2.0,20002001
2000-11-15,BUF,DAL,2.0,2.0,20002001
2000-11-17,DET,DAL,0.0,1.0,20002001
2000-11-20,DAL,TBL,6.0,2.0,20002001
2000-11-22,NSH,DAL,0.0,1.0,20002001
2000-11-24,DAL,CBJ,3.0,0.0,20002001
2000-11-25,CBJ,DAL,2.0,4.0,20002001
2000-11-29,DAL,CGY,3.0,4.0,20002001
2000-12-01,COL,DAL,4.0,2.0,20002001
2000-12-02,PHX,DAL,2.0,5.0,20002001
2000-12-06,SJS,DAL,2.0,2.0,20002001
2000-12-07,LAK,DAL,5.0,2.0,20002001
2000-12-10,ANA,DAL,0.0,1.0,20002001
2000-12-13,DAL,EDM,5.0,2.0,20002001
2000-12-15,DAL,CHI,4.0,1.0,20002001
2000-12-17,MIN,DAL,6.0,0.0,20002001
2000-12-20,NJD,DAL,4.0,1.0,20002001
2000-12-21,NYI,DAL,1.0,3.0,20002001
2000-12-23,PIT,DAL,2.0,8.0,20002001
2000-12-27,DAL,ANA,3.0,1.0,20002001
2000-12-29,DAL,LAK,1.0,4.0,20002001
2000-12-31,DAL,NYR,6.0,1.0,20002001
2001-01-04,DET,DAL,4.0,2.0,20002001
2001-01-06,BOS,DAL,0.0,4.0,20002001
2001-01-08,NYR,DAL,1.0,2.0,20002001
2001-01-10,ATL,DAL,2.0,3.0,20002001
2001-01-12,DAL,DET,2.0,3.0,20002001
2001-01-14,TBL,DAL,2.0,3.0,20002001
2001-01-15,FLA,DAL,2.0,0.0,20002001
2001-01-17,DAL,NSH,4.0,3.0,20002001
