game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-06,WSH,LAK,1.0,4.0,20002001
2000-10-07,CAR,WSH,3.0,3.0,20002001
2000-10-11,ATL,WSH,3.0,3.0,20002001
2000-10-13,NSH,WSH,3.0,1.0,20002001
2000-10-14,DAL,WSH,3.0,0.0,20002001
2000-10-17,WSH,COL,3.0,4.0,20002001
2000-10-19,WSH,NJD,5.0,2.0,20002001
2000-10-21,WSH,NYI,4.0,4.0,20002001
2000-10-26,BOS,WSH,4.0,1.0,20002001
2000-10-27,CBJ,WSH,3.0,1.0,20002001
2000-10-29,PHI,WSH,1.0,1.0,20002001
2000-10-31,WSH,DET,6.0,2.0,20002001
2000-11-02,STL,WSH,2.0,0.0,20002001
2000-11-04,FLA,WSH,2.0,3.0,20002001
2000-11-05,TBL,WSH,5.0,2.0,20002001
2000-11-09,WSH,NYR,3.0,5.0,20002001
2000-11-12,WSH,ATL,2.0,2.0,20002001
2000-11-14,WSH,PHX,2.0,2.0,20002001
2000-11-17,WSH,MTL,4.0,3.0,20002001
2000-11-18,PHI,WSH,5.0,3.0,20002001
2000-11-22,WSH,VAN,3.0,2.0,20002001
2000-11-24,WSH,NYI,1.0,0.0,20002001
2000-11-25,ATL,WSH,2.0,1.0,20002001
2000-11-29,WSH,TBL,4.0,1.0,20002001
2000-12-01,WSH,BOS,3.0,2.0,20002001
2000-12-02,BOS,WSH,0.0,2.0,20002001
2000-12-06,NYR,WSH,3.0,2.0,20002001
2000-12-09,NJD,WSH,2.0,3.0,20002001
2000-12-12,NYI,WSH,2.0,3.0,20002001
2000-12-14,WSH,MIN,2.0,1.0,20002001
2000-12-16,WSH,EDM,4.0,0.0,20002001
2000-12-18,WSH,SJS,3.0,5.0,20002001
2000-12-20,WSH,BUF,2.0,2.0,20002001
2000-12-21,BUF,WSH,1.0,3.0,20002001
2000-12-23,WSH,FLA,5.0,3.0,20002001
2000-12-27,OTT,WSH,1.0,5.0,20002001
2000-12-29,NJD,WSH,4.0,2.0,20002001
2000-12-30,WSH,PHI,6.0,3.0,20002001
2001-01-01,WSH,ATL,4.0,2.0,20002001
2001-01-03,PIT,WSH,3.0,2.0,20002001
2001-01-05,WSH,BOS,1.0,1.0,20002001
2001-01-06,TOR,WSH,2.0,3.0,20002001
2001-01-08,WSH,PIT,3.0,5.0,20002001
2001-01-10,MIN,WSH,3.0,0.0,20002001
2001-01-13,WSH,ATL,4.0,1.0,20002001
2001-01-18,OTT,WSH,5.0,4.0,20002001
2001-01-19,CHI,WSH,3.0,1.0,20002001
2001-01-23,TBL,WSH,2.0,5.0,20002001
2001-01-24,WSH,FLA,2.0,1.0,20002001
2001-01-27,MTL,WSH,4.0,2.0,20002001
