game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-04,DAL,COL,2.0,2.0,20002001
2000-10-07,EDM,COL,1.0,1.0,20002001
2000-10-10,CGY,COL,1.0,3.0,20002001
2000-10-12,VAN,COL,2.0,5.0,20002001
2000-10-14,COL,CBJ,3.0,1.0,20002001
2000-10-17,WSH,COL,3.0,4.0,20002001
2000-10-18,CBJ,COL,1.0,5.0,20002001
2000-10-20,COL,FLA,5.0,1.0,20002001
2000-10-25,COL,NSH,2.0,1.0,20002001
2000-10-26,CHI,COL,0.0,2.0,20002001
2000-10-28,COL,EDM,4.0,2.0,20002001
2000-10-30,COL,PHX,0.0,4.0,20002001
2000-11-01,VAN,COL,4.0,3.0,20002001
2000-11-03,COL,CAR,5.0,3.0,20002001
2000-11-07,COL,MIN,2.0,0.0,20002001
2000-11-09,COL,STL,3.0,3.0,20002001
2000-11-11,COL,ANA,3.0,1.0,20002001
2000-11-13,COL,PIT,3.0,2.0,20002001
2000-11-15,ANA,COL,0.0,3.0,20002001
2000-11-16,PHX,COL,6.0,3.0,20002001
2000-11-18,LAK,COL,6.0,4.0,20002001
2000-11-22,COL,CBJ,5.0,2.0,20002001
2000-11-25,COL,CGY,3.0,2.0,20002001
2000-11-29,COL,PHX,2.0,1.0,20002001
2000-12-01,COL,DAL,4.0,2.0,20002001
2000-12-03,NYR,COL,3.0,6.0,20002001
2000-12-05,NJD,COL,6.0,1.0,20002001
2000-12-08,TBL,COL,0.0,2.0,20002001
2000-12-09,FLA,COL,2.0,4.0,20002001
2000-12-11,COL,TBL,2.0,2.0,20002001
2000-12-13,COL,PHI,3.0,3.0,20002001
2000-12-15,COL,DET,3.0,5.0,20002001
2000-12-19,COL,CGY,0.0,3.0,20002001
2000-12-21,COL,LAK,5.0,2.0,20002001
2000-12-23,COL,VAN,3.0,2.0,20002001
2000-12-26,NSH,COL,5.0,2.0,20002001
2000-12-27,COL,EDM,3.0,2.0,20002001
2000-12-29,COL,NSH,3.0,1.0,20002001
2001-01-02,COL,LAK,6.0,2.0,20002001
2001-01-04,COL,SJS,2.0,2.0,20002001
2001-01-06,CAR,COL,2.0,2.0,20002001
2001-01-07,DET,COL,4.0,3.0,20002001
2001-01-10,CBJ,COL,2.0,4.0,20002001
2001-01-12,MIN,COL,0.0,5.0,20002001
2001-01-14,CHI,COL,2.0,2.0,20002001
2001-01-16,COL,NYI,4.0,1.0,20002001
2001-01-18,COL,VAN,7.0,3.0,20002001
2001-01-20,SJS,COL,1.0,2.0,20002001
2001-01-21,ANA,COL,2.0,4.0,20002001
2001-01-26,COL,CHI,5.0,2.0,20002001
2001-01-27,NSH,COL,1.0,5.0,20002001
2001-01-30,SJS,COL,1.0,3.0,20002001
2001-02-01,VAN,COL,5.0,3.0,20002001
2001-02-07,COL,WSH,1.0,3.0,20002001
2001-02-09,COL,CGY,3.0,5.0,20002001
2001-02-10,COL,STL,3.0,4.0,20002001
2001-02-13,MTL,COL,2.0,3.0,20002001
2001-02-15,OTT,COL,4.0,1.0,20002001
2001-02-17,TOR,COL,5.0,5.0,20002001
2001-02-19,PIT,COL,1.0,5.0,20002001
2001-02-21,COL,BOS,8.0,2.0,20002001
2001-02-23,COL,MIN,4.0,1.0,20002001
2001-02-25,COL,ATL,5.0,2.0,20002001
2001-03-03,COL,BUF,2.0,3.0,20002001
2001-03-04,PHX,COL,0.0,5.0,20002001
2001-03-06,ATL,COL,2.0,4.0,20002001
2001-03-08,STL,COL,2.0,5.0,20002001
2001-03-10,DAL,COL,3.0,2.0,20002001
2001-03-11,COL,DAL,3.0,2.0,20002001
2001-03-13,COL,NJD,3.0,6.0,20002001
2001-03-17,COL,DET,5.0,3.0,20002001
2001-03-18,COL,MIN,4.0,3.0,20002001
2001-03-20,COL,SJS,4.0,1.0,20002001
2001-03-22,STL,COL,1.0,3.0,20002001
2001-03-24,BOS,COL,2.0,4.0,20002001
2001-03-28,EDM,COL,4.0,1.0,20002001
2001-03-29,CGY,COL,0.0,1.0,20002001
2001-03-31,LAK,COL,4.0,0.0,20002001
2001-04-02,COL,EDM,5.0,3.0,20002001
2001-04-04,COL,ANA,1.0,1.0,20002001
2001-04-07,DET,COL,4.0,3.0,20002001
2001-04-08,MIN,COL,2.0,4.0,20002001
2001-04-12,COL,VAN,5.0,4.0,20002001
2001-04-14,COL,VAN,2.0,1.0,20002001
2001-04-16,VAN,COL,3.0,4.0,20002001
2001-04-18,VAN,COL,1.0,5.0,20002001
2001-04-26,COL,LAK,3.0,4.0,20002001
2001-04-28,COL,LAK,2.0,0.0,20002001
2001-04-30,LAK,COL,3.0,4.0,20002001
2001-05-02,LAK,COL,0.0,3.0,20002001
2001-05-04,COL,LAK,0.0,1.0,20002001
2001-05-06,LAK,COL,1.0,0.0,20002001
2001-05-09,COL,LAK,5.0,1.0,20002001
2001-05-12,COL,STL,4.0,1.0,20002001
2001-05-14,COL,STL,4.0,2.0,20002001
2001-05-16,STL,COL,4.0,3.0,20002001
2001-05-18,STL,COL,3.0,4.0,20002001
2001-05-21,COL,STL,2.0,1.0,20002001
2001-05-26,COL,NJD,5.0,0.0,20002001
2001-05-29,COL,NJD,1.0,2.0,20002001
2001-05-31,NJD,COL,1.0,3.0,20002001
2001-06-02,NJD,COL,3.0,2.0,20002001
2001-06-04,COL,NJD,1.0,4.0,20002001
2001-06-07,NJD,COL,0.0,4.0,20002001
2001-06-09,COL,NJD,3.0,1.0,20002001
2001-09-16,BRY,COL,3.0,5.0,20012002
2001-10-03,PIT,COL,1.0,3.0,20012002
2001-10-09,COL,VAN,5.0,4.0,20012002
2001-10-11,EDM,COL,5.0,3.0,20012002
2001-10-13,VAN,COL,4.0,0.0,20012002
2001-10-16,COL,TBL,2.0,1.0,20012002
2001-10-18,COL,EDM,1.0,4.0,20012002
2001-10-20,CBJ,COL,0.0,5.0,20012002
2001-10-21,CHI,COL,4.0,2.0,20012002
2001-10-23,COL,CAR,5.0,1.0,20012002
2001-10-25,COL,VAN,4.0,1.0,20012002
2001-10-27,PHX,COL,1.0,0.0,20012002
2001-10-28,ANA,COL,2.0,3.0,20012002
2001-10-31,COL,STL,0.0,1.0,20012002
2001-11-02,MIN,COL,4.0,2.0,20012002
2001-11-03,TOR,COL,4.0,1.0,20012002
2001-11-06,MTL,COL,1.0,1.0,20012002
2001-11-08,OTT,COL,1.0,0.0,20012002
2001-11-10,CGY,COL,2.0,0.0,20012002
2001-11-14,COL,MIN,1.0,0.0,20012002
2001-11-16,COL,NYI,1.0,0.0,20012002
2001-11-18,NJD,COL,0.0,2.0,20012002
2001-11-20,NYR,COL,5.0,3.0,20012002
2001-11-21,NYI,COL,5.0,4.0,20012002
2001-11-24,COL,EDM,2.0,0.0,20012002
2001-11-27,COL,FLA,4.0,1.0,20012002
2001-11-30,VAN,COL,2.0,5.0,20012002
2001-12-01,CGY,COL,2.0,2.0,20012002
2001-12-03,COL,OTT,4.0,2.0,20012002
2001-12-05,DET,COL,1.0,4.0,20012002
2001-12-07,BUF,COL,1.0,4.0,20012002
2001-12-08,CBJ,COL,0.0,2.0,20012002
2001-12-10,COL,ANA,1.0,1.0,20012002
2001-12-12,COL,CBJ,5.0,1.0,20012002
2001-12-14,COL,SJS,0.0,3.0,20012002
2001-12-16,MIN,COL,2.0,3.0,20012002
2001-12-19,COL,ANA,2.0,1.0,20012002
2001-12-21,COL,CGY,2.0,2.0,20012002
2001-12-23,COL,MIN,6.0,3.0,20012002
2001-12-26,DAL,COL,0.0,2.0,20012002
2001-12-27,CHI,COL,3.0,1.0,20012002
2001-12-29,COL,PHI,2.0,5.0,20012002
2002-01-01,NSH,COL,4.0,4.0,20012002
2002-01-03,COL,NYR,3.0,2.0,20012002
2002-01-05,DET,COL,3.0,1.0,20012002
2002-01-09,COL,CHI,7.0,3.0,20012002
2002-01-12,EDM,COL,2.0,2.0,20012002
2002-01-15,COL,SJS,0.0,1.0,20012002
2002-01-17,COL,PHX,3.0,2.0,20012002
2002-01-19,SJS,COL,1.0,3.0,20012002
2002-01-21,COL,BUF,3.0,2.0,20012002
2002-01-23,EDM,COL,2.0,4.0,20012002
2002-01-24,CGY,COL,0.0,2.0,20012002
2002-01-26,LAK,COL,2.0,4.0,20012002
2002-01-28,COL,LAK,4.0,6.0,20012002
2002-01-30,COL,NSH,2.0,5.0,20012002
2002-02-04,COL,DET,1.0,3.0,20012002
2002-02-08,MIN,COL,0.0,6.0,20012002
2002-02-09,COL,CHI,2.0,3.0,20012002
2002-02-11,COL,BOS,5.0,2.0,20012002
2002-02-13,COL,STL,3.0,1.0,20012002
2002-02-26,COL,CGY,2.0,2.0,20012002
2002-02-28,COL,PHX,2.0,1.0,20012002
2002-03-02,COL,DAL,1.0,2.0,20012002
2002-03-04,COL,NJD,2.0,0.0,20012002
2002-03-06,COL,CBJ,4.0,1.0,20012002
2002-03-09,COL,LAK,4.0,3.0,20012002
2002-03-11,STL,COL,2.0,3.0,20012002
2002-03-14,ATL,COL,2.0,0.0,20012002
2002-03-16,PHI,COL,1.0,2.0,20012002
2002-03-17,NSH,COL,4.0,5.0,20012002
2002-03-19,COL,WSH,0.0,3.0,20012002
2002-03-21,LAK,COL,3.0,1.0,20012002
2002-03-23,COL,DET,0.0,2.0,20012002
2002-03-28,SJS,COL,2.0,3.0,20012002
2002-03-30,PHX,COL,5.0,3.0,20012002
2002-04-01,COL,NSH,5.0,1.0,20012002
2002-04-03,COL,ATL,6.0,0.0,20012002
2002-04-05,DAL,COL,3.0,1.0,20012002
2002-04-07,STL,COL,2.0,4.0,20012002
2002-04-09,COL,VAN,1.0,2.0,20012002
2002-04-12,ANA,COL,1.0,3.0,20012002
2002-04-14,COL,DAL,2.0,2.0,20012002
2002-04-18,COL,LAK,4.0,3.0,20012002
2002-04-20,COL,LAK,5.0,3.0,20012002
2002-04-22,LAK,COL,3.0,1.0,20012002
2002-04-23,LAK,COL,0.0,1.0,20012002
2002-04-25,COL,LAK,0.0,1.0,20012002
2002-04-27,LAK,COL,3.0,1.0,20012002
2002-04-29,COL,LAK,4.0,0.0,20012002
2002-05-01,COL,SJS,3.0,6.0,20012002
2002-05-04,COL,SJS,8.0,2.0,20012002
2002-05-06,SJS,COL,6.0,4.0,20012002
2002-05-08,SJS,COL,1.0,4.0,20012002
2002-05-11,COL,SJS,3.0,5.0,20012002
