game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-05,CGY,DET,3.0,4.0,20002001
2000-10-06,EDM,DET,2.0,1.0,20002001
2000-10-11,DET,EDM,3.0,4.0,20002001
2000-10-12,CHI,DET,0.0,4.0,20002001
2000-10-15,DET,CGY,2.0,4.0,20002001
2000-10-17,DET,STL,2.0,1.0,20002001
2000-10-19,DET,NSH,1.0,2.0,20002001
2000-10-21,DET,BUF,5.0,4.0,20002001
2000-10-22,CBJ,DET,1.0,2.0,20002001
2000-10-25,DET,TBL,5.0,1.0,20002001
2000-10-28,DET,CBJ,4.0,1.0,20002001
2000-10-31,WSH,DET,6.0,2.0,20002001
2000-11-01,MTL,DET,2.0,4.0,20002001
2000-11-03,DET,CHI,1.0,6.0,20002001
2000-11-08,PHX,DET,2.0,4.0,20002001
2000-11-11,LAK,DET,2.0,2.0,20002001
2000-11-12,ANA,DET,2.0,3.0,20002001
2000-11-15,DET,SJS,4.0,1.0,20002001
2000-11-17,DET,DAL,0.0,1.0,20002001
2000-11-18,NSH,DET,3.0,2.0,20002001
2000-11-20,DET,NSH,6.0,3.0,20002001
2000-11-22,DET,BOS,4.0,5.0,20002001
2000-11-24,DET,VAN,3.0,2.0,20002001
2000-11-25,NYI,DET,3.0,4.0,20002001
2000-11-27,DET,CHI,5.0,6.0,20002001
2000-11-29,ATL,DET,4.0,6.0,20002001
2000-12-01,FLA,DET,1.0,3.0,20002001
2000-12-02,TBL,DET,3.0,0.0,20002001
2000-12-06,DET,TOR,0.0,3.0,20002001
2000-12-08,DET,PHI,5.0,1.0,20002001
2000-12-10,DET,PIT,3.0,4.0,20002001
2000-12-13,DET,FLA,3.0,3.0,20002001
2000-12-15,COL,DET,3.0,5.0,20002001
2000-12-16,STL,DET,2.0,2.0,20002001
2000-12-18,DET,EDM,4.0,3.0,20002001
2000-12-20,DET,SJS,0.0,2.0,20002001
2000-12-22,DET,ANA,2.0,1.0,20002001
2000-12-23,BOS,DET,1.0,2.0,20002001
2000-12-27,DET,MIN,3.0,5.0,20002001
2000-12-29,CHI,DET,3.0,2.0,20002001
2000-12-31,DET,LAK,2.0,1.0,20002001
2001-01-04,DET,DAL,4.0,2.0,20002001
2001-01-05,MIN,DET,3.0,2.0,20002001
2001-01-07,DET,COL,4.0,3.0,20002001
2001-01-09,DET,PHX,2.0,2.0,20002001
2001-01-12,DAL,DET,2.0,3.0,20002001
