game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-06,WSH,LAK,1.0,4.0,20002001
2000-10-07,BUF,LAK,5.0,3.0,20002001
2000-10-09,CBJ,LAK,1.0,7.0,20002001
2000-10-11,LAK,STL,4.0,4.0,20002001
2000-10-13,LAK,BOS,5.0,0.0,20002001
2000-10-15,LAK,PHX,5.0,6.0,20002001
2000-10-17,NSH,LAK,1.0,1.0,20002001
2000-10-19,STL,LAK,7.0,1.0,20002001
2000-10-21,DAL,LAK,4.0,3.0,20002001
2000-10-23,ANA,LAK,4.0,5.0,20002001
2000-10-25,LAK,ANA,6.0,2.0,20002001
2000-10-28,PHX,LAK,3.0,1.0,20002001
2000-10-31,CBJ,LAK,4.0,1.0,20002001
2000-11-02,ATL,LAK,2.0,5.0,20002001
2000-11-04,NJD,LAK,1.0,2.0,20002001
2000-11-05,NYI,LAK,1.0,4.0,20002001
2000-11-07,LAK,PHX,3.0,3.0,20002001
2000-11-09,LAK,VAN,2.0,0.0,20002001
2000-11-11,LAK,DET,2.0,2.0,20002001
2000-11-16,LAK,NYI,5.0,1.0,20002001
2000-11-18,LAK,COL,6.0,4.0,20002001
2000-11-23,LAK,NJD,1.0,6.0,20002001
2000-11-25,PIT,LAK,2.0,2.0,20002001
2000-11-26,BOS,LAK,4.0,4.0,20002001
2000-11-28,NYR,LAK,7.0,6.0,20002001
2000-12-02,LAK,MIN,3.0,2.0,20002001
2000-12-03,ANA,LAK,4.0,0.0,20002001
2000-12-07,LAK,DAL,5.0,2.0,20002001
2000-12-09,EDM,LAK,2.0,4.0,20002001
2000-12-10,VAN,LAK,1.0,2.0,20002001
2000-12-14,LAK,NYR,5.0,5.0,20002001
2000-12-16,LAK,TBL,3.0,4.0,20002001
2000-12-19,LAK,ATL,6.0,7.0,20002001
2000-12-21,COL,LAK,5.0,2.0,20002001
2000-12-22,MIN,LAK,4.0,3.0,20002001
2000-12-26,LAK,SJS,1.0,2.0,20002001
2000-12-28,STL,LAK,2.0,5.0,20002001
2000-12-29,DAL,LAK,1.0,4.0,20002001
2000-12-31,DET,LAK,2.0,1.0,20002001
2001-01-02,COL,LAK,6.0,2.0,20002001
2001-01-04,LAK,FLA,3.0,4.0,20002001
2001-01-06,LAK,CGY,5.0,0.0,20002001
2001-01-11,LAK,BUF,3.0,2.0,20002001
2001-01-13,LAK,STL,2.0,4.0,20002001
2001-01-16,OTT,LAK,6.0,7.0,20002001
2001-01-17,TOR,LAK,1.0,2.0,20002001
2001-01-20,CAR,LAK,3.0,6.0,20002001
2001-01-22,PHI,LAK,3.0,0.0,20002001
2001-01-25,LAK,CGY,0.0,3.0,20002001
2001-01-27,LAK,MIN,1.0,4.0,20002001
2001-01-30,LAK,DAL,8.0,0.0,20002001
2001-02-01,LAK,NSH,4.0,6.0,20002001
2001-02-06,LAK,CHI,3.0,3.0,20002001
2001-02-08,LAK,CAR,4.0,2.0,20002001
2001-02-10,LAK,WSH,3.0,4.0,20002001
2001-02-12,LAK,EDM,3.0,6.0,20002001
2001-02-14,DAL,LAK,4.0,2.0,20002001
2001-02-16,MIN,LAK,0.0,4.0,20002001
2001-02-18,CHI,LAK,3.0,0.0,20002001
2001-02-20,EDM,LAK,5.0,0.0,20002001
2001-02-22,CGY,LAK,0.0,2.0,20002001
2001-02-24,LAK,CBJ,3.0,1.0,20002001
2001-02-27,NSH,LAK,1.0,2.0,20002001
2001-03-01,CHI,LAK,2.0,2.0,20002001
2001-03-03,LAK,DET,6.0,3.0,20002001
2001-03-04,ANA,LAK,4.0,0.0,20002001
2001-03-06,LAK,MTL,4.0,3.0,20002001
2001-03-08,LAK,NSH,4.0,1.0,20002001
2001-03-10,LAK,CHI,2.0,2.0,20002001
2001-03-14,SJS,LAK,1.0,4.0,20002001
2001-03-17,LAK,SJS,1.0,0.0,20002001
2001-03-19,LAK,PHX,6.0,2.0,20002001
2001-03-21,LAK,EDM,0.0,7.0,20002001
2001-03-24,LAK,ANA,3.0,3.0,20002001
2001-03-26,LAK,SJS,0.0,0.0,20002001
2001-03-27,SJS,LAK,3.0,2.0,20002001
2001-03-29,LAK,CBJ,3.0,0.0,20002001
2001-03-31,LAK,COL,4.0,0.0,20002001
2001-04-02,LAK,VAN,3.0,1.0,20002001
2001-04-03,PHX,LAK,2.0,2.0,20002001
2001-04-05,VAN,LAK,3.0,2.0,20002001
2001-04-07,CGY,LAK,2.0,3.0,20002001
2001-04-11,DET,LAK,5.0,3.0,20002001
2001-04-14,DET,LAK,4.0,0.0,20002001
2001-04-15,LAK,DET,2.0,1.0,20002001
2001-04-18,LAK,DET,4.0,3.0,20002001
2001-04-21,DET,LAK,2.0,3.0,20002001
2001-04-23,LAK,DET,3.0,2.0,20002001
2001-04-26,COL,LAK,3.0,4.0,20002001
2001-04-28,COL,LAK,2.0,0.0,20002001
2001-04-30,LAK,COL,3.0,4.0,20002001
2001-05-02,LAK,COL,0.0,3.0,20002001
2001-05-04,COL,LAK,0.0,1.0,20002001
2001-05-06,LAK,COL,1.0,0.0,20002001
2001-05-09,COL,LAK,5.0,1.0,20002001
2001-10-04,LAK,PHX,2.0,2.0,20012002
2001-10-07,LAK,MIN,3.0,4.0,20012002
2001-10-09,DAL,LAK,2.0,1.0,20012002
2001-10-11,STL,LAK,5.0,6.0,20012002
2001-10-13,LAK,TBL,0.0,1.0,20012002
2001-10-16,LAK,WSH,2.0,3.0,20012002
2001-10-18,LAK,ANA,4.0,1.0,20012002
2001-10-20,DET,LAK,3.0,2.0,20012002
2001-10-23,CBJ,LAK,1.0,7.0,20012002
2001-10-25,TBL,LAK,3.0,0.0,20012002
2001-10-26,FLA,LAK,3.0,2.0,20012002
2001-10-28,CAR,LAK,3.0,2.0,20012002
2001-10-30,CHI,LAK,5.0,1.0,20012002
2001-11-01,LAK,CHI,2.0,3.0,20012002
2001-11-03,LAK,ATL,4.0,1.0,20012002
2001-11-08,LAK,CGY,2.0,3.0,20012002
