game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-06,FLA,VAN,3.0,4.0,20002001
2000-10-09,BOS,FLA,4.0,2.0,20002001
2000-10-13,FLA,CAR,2.0,2.0,20002001
2000-10-18,PHX,FLA,2.0,1.0,20002001
2000-10-20,COL,FLA,5.0,1.0,20002001
2000-10-22,MIN,FLA,0.0,0.0,20002001
2000-10-25,FLA,NJD,1.0,2.0,20002001
2000-10-27,NSH,FLA,3.0,3.0,20002001
2000-10-28,FLA,OTT,3.0,1.0,20002001
2000-10-30,NJD,FLA,6.0,5.0,20002001
2000-11-01,FLA,NYI,0.0,3.0,20002001
2000-11-04,FLA,WSH,2.0,3.0,20002001
2000-11-08,FLA,MTL,2.0,4.0,20002001
2000-11-10,FLA,CGY,3.0,3.0,20002001
2000-11-13,FLA,ATL,1.0,4.0,20002001
2000-11-15,CAR,FLA,1.0,4.0,20002001
2000-11-17,CBJ,FLA,0.0,3.0,20002001
2000-11-18,OTT,FLA,5.0,2.0,20002001
2000-11-21,MTL,FLA,1.0,4.0,20002001
2000-11-24,TBL,FLA,2.0,1.0,20002001
2000-11-25,FLA,TBL,2.0,1.0,20002001
2000-11-29,FLA,CAR,1.0,2.0,20002001
2000-12-01,FLA,DET,1.0,3.0,20002001
2000-12-02,STL,FLA,5.0,2.0,20002001
2000-12-04,TOR,FLA,4.0,4.0,20002001
2000-12-06,FLA,NYI,1.0,4.0,20002001
2000-12-08,ATL,FLA,4.0,3.0,20002001
2000-12-09,FLA,COL,2.0,4.0,20002001
2000-12-13,DET,FLA,3.0,3.0,20002001
2000-12-15,PIT,FLA,1.0,4.0,20002001
2000-12-16,BUF,FLA,3.0,2.0,20002001
2000-12-18,NYR,FLA,6.0,3.0,20002001
2000-12-20,FLA,PIT,2.0,2.0,20002001
2000-12-22,FLA,NJD,0.0,2.0,20002001
2000-12-23,WSH,FLA,5.0,3.0,20002001
2000-12-27,FLA,PHI,2.0,5.0,20002001
2000-12-29,FLA,BOS,3.0,0.0,20002001
2000-12-30,FLA,TOR,1.0,4.0,20002001
2001-01-03,ANA,FLA,3.0,2.0,20002001
2001-01-04,LAK,FLA,3.0,4.0,20002001
2001-01-06,SJS,FLA,3.0,1.0,20002001
2001-01-09,CAR,FLA,7.0,3.0,20002001
2001-01-12,FLA,CAR,2.0,2.0,20002001
2001-01-13,FLA,PHI,1.0,4.0,20002001
2001-01-15,FLA,DAL,2.0,0.0,20002001
2001-01-17,CHI,FLA,5.0,0.0,20002001
2001-01-19,BUF,FLA,1.0,0.0,20002001
2001-01-20,PHI,FLA,5.0,3.0,20002001
2001-01-22,BOS,FLA,2.0,3.0,20002001
2001-01-24,WSH,FLA,2.0,1.0,20002001
2001-01-26,FLA,OTT,4.0,5.0,20002001
2001-01-27,FLA,TBL,3.0,2.0,20002001
2001-01-30,TBL,FLA,4.0,3.0,20002001
2001-01-31,FLA,BUF,5.0,2.0,20002001
2001-02-07,FLA,MIN,2.0,1.0,20002001
2001-02-09,FLA,NYR,2.0,4.0,20002001
2001-02-10,ATL,FLA,3.0,7.0,20002001
2001-02-14,FLA,PHX,4.0,3.0,20002001
2001-02-16,FLA,BOS,2.0,1.0,20002001
2001-02-19,FLA,STL,3.0,0.0,20002001
2001-02-21,PIT,FLA,3.0,2.0,20002001
2001-02-22,OTT,FLA,4.0,2.0,20002001
2001-02-24,NYI,FLA,5.0,4.0,20002001
2001-02-26,NJD,FLA,5.0,3.0,20002001
2001-02-28,NYR,FLA,4.0,2.0,20002001
2001-03-02,FLA,ATL,3.0,4.0,20002001
2001-03-03,ATL,FLA,2.0,2.0,20002001
2001-03-07,FLA,SJS,3.0,3.0,20002001
2001-03-09,FLA,CBJ,6.0,7.0,20002001
2001-03-11,NYI,FLA,1.0,4.0,20002001
2001-03-14,FLA,EDM,2.0,2.0,20002001
2001-03-16,FLA,PIT,3.0,6.0,20002001
2001-03-17,FLA,TOR,3.0,5.0,20002001
2001-03-20,MTL,FLA,3.0,3.0,20002001
2001-03-21,TOR,FLA,1.0,3.0,20002001
2001-03-23,FLA,WSH,4.0,1.0,20002001
2001-03-28,FLA,MTL,2.0,2.0,20002001
2001-03-30,FLA,TBL,2.0,4.0,20002001
