game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-06,ANA,MIN,3.0,1.0,20002001
2000-10-07,PHX,MIN,4.0,1.0,20002001
2000-10-11,MIN,PHI,3.0,3.0,20002001
2000-10-13,STL,MIN,2.0,0.0,20002001
2000-10-15,MIN,EDM,3.0,5.0,20002001
2000-10-18,MIN,TBL,6.0,5.0,20002001
2000-10-20,MIN,SJS,1.0,3.0,20002001
2000-10-22,MIN,FLA,0.0,0.0,20002001
2000-10-24,MTL,MIN,2.0,2.0,20002001
2000-10-25,TOR,MIN,6.0,1.0,20002001
2000-10-27,MIN,CGY,3.0,1.0,20002001
2000-10-29,MIN,CHI,2.0,3.0,20002001
2000-11-03,EDM,MIN,3.0,0.0,20002001
2000-11-05,CGY,MIN,2.0,3.0,20002001
2000-11-07,COL,MIN,2.0,0.0,20002001
2000-11-08,MIN,CGY,0.0,1.0,20002001
2000-11-10,CHI,MIN,2.0,5.0,20002001
2000-11-12,MIN,EDM,4.0,5.0,20002001
2000-11-15,MIN,NYR,2.0,3.0,20002001
2000-11-17,BUF,MIN,3.0,1.0,20002001
2000-11-18,BOS,MIN,1.0,6.0,20002001
2000-11-22,MIN,CGY,1.0,1.0,20002001
2000-11-24,MIN,CHI,2.0,0.0,20002001
2000-11-26,MIN,VAN,4.0,2.0,20002001
2000-11-28,SJS,MIN,4.0,1.0,20002001
2000-11-30,PHX,MIN,2.0,0.0,20002001
2000-12-02,LAK,MIN,3.0,2.0,20002001
2000-12-07,CHI,MIN,2.0,4.0,20002001
2000-12-08,MIN,ANA,0.0,1.0,20002001
2000-12-10,MIN,NSH,1.0,2.0,20002001
2000-12-13,MIN,CAR,1.0,1.0,20002001
2000-12-14,WSH,MIN,2.0,1.0,20002001
2000-12-17,MIN,DAL,6.0,0.0,20002001
2000-12-20,MIN,OTT,2.0,2.0,20002001
2000-12-22,MIN,LAK,4.0,3.0,20002001
2000-12-27,DET,MIN,3.0,5.0,20002001
2000-12-29,MIN,PHX,2.0,2.0,20002001
2000-12-31,MIN,ANA,3.0,2.0,20002001
2001-01-03,MIN,ATL,1.0,1.0,20002001
2001-01-05,MIN,DET,3.0,2.0,20002001
2001-01-06,STL,MIN,5.0,1.0,20002001
2001-01-10,MIN,WSH,3.0,0.0,20002001
2001-01-12,MIN,COL,0.0,5.0,20002001
2001-01-14,NYR,MIN,4.0,2.0,20002001
2001-01-15,CBJ,MIN,3.0,0.0,20002001
2001-01-17,MIN,CBJ,3.0,2.0,20002001
2001-01-19,MIN,NYI,3.0,2.0,20002001
2001-01-21,MIN,NJD,2.0,4.0,20002001
2001-01-24,ANA,MIN,0.0,5.0,20002001
2001-01-27,LAK,MIN,1.0,4.0,20002001
2001-01-30,VAN,MIN,3.0,2.0,20002001
2001-02-06,TBL,MIN,2.0,4.0,20002001
2001-02-07,FLA,MIN,2.0,1.0,20002001
2001-02-09,DAL,MIN,1.0,2.0,20002001
2001-02-11,MIN,PIT,4.0,2.0,20002001
2001-02-14,PIT,MIN,2.0,1.0,20002001
2001-02-16,MIN,LAK,0.0,4.0,20002001
2001-02-18,MIN,SJS,3.0,1.0,20002001
2001-02-21,DAL,MIN,6.0,2.0,20002001
2001-02-23,COL,MIN,4.0,1.0,20002001
2001-02-24,NSH,MIN,2.0,1.0,20002001
2001-02-26,MIN,VAN,2.0,5.0,20002001
2001-03-01,CGY,MIN,1.0,1.0,20002001
2001-03-02,EDM,MIN,3.0,1.0,20002001
2001-03-04,VAN,MIN,3.0,4.0,20002001
2001-03-06,MIN,STL,3.0,3.0,20002001
2001-03-08,NJD,MIN,6.0,2.0,20002001
2001-03-09,NYI,MIN,1.0,4.0,20002001
2001-03-11,MIN,DET,2.0,3.0,20002001
2001-03-14,MIN,STL,0.0,1.0,20002001
2001-03-15,PHI,MIN,3.0,0.0,20002001
