game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-07,CAR,WSH,3.0,3.0,20002001
2000-10-10,CAR,DAL,5.0,2.0,20002001
2000-10-13,FLA,CAR,2.0,2.0,20002001
2000-10-14,NSH,CAR,2.0,1.0,20002001
2000-10-18,PIT,CAR,2.0,3.0,20002001
2000-10-21,MTL,CAR,5.0,2.0,20002001
2000-10-24,CAR,SJS,2.0,3.0,20002001
2000-10-25,BUF,CAR,4.0,1.0,20002001
2000-10-27,CAR,NJD,3.0,3.0,20002001
2000-10-29,CAR,STL,1.0,4.0,20002001
2000-10-31,CAR,TBL,6.0,5.0,20002001
2000-11-03,COL,CAR,5.0,3.0,20002001
2000-11-04,SJS,CAR,4.0,1.0,20002001
2000-11-08,TOR,CAR,5.0,0.0,20002001
2000-11-10,CAR,TOR,3.0,1.0,20002001
2000-11-12,CAR,OTT,4.0,0.0,20002001
2000-11-15,CAR,FLA,1.0,4.0,20002001
2000-11-16,OTT,CAR,0.0,1.0,20002001
2000-11-18,NJD,CAR,3.0,2.0,20002001
2000-11-22,PIT,CAR,1.0,3.0,20002001
2000-11-24,BOS,CAR,1.0,3.0,20002001
2000-11-26,CAR,NSH,4.0,7.0,20002001
2000-11-29,FLA,CAR,1.0,2.0,20002001
2000-11-30,CAR,PHI,2.0,0.0,20002001
2000-12-03,CAR,OTT,0.0,2.0,20002001
2000-12-06,ATL,CAR,3.0,5.0,20002001
2000-12-09,CGY,CAR,7.0,2.0,20002001
2000-12-13,MIN,CAR,1.0,1.0,20002001
2000-12-15,CAR,BUF,5.0,3.0,20002001
2000-12-16,BOS,CAR,4.0,1.0,20002001
2000-12-19,NYI,CAR,2.0,1.0,20002001
2000-12-23,PHI,CAR,2.0,1.0,20002001
2000-12-26,TBL,CAR,3.0,2.0,20002001
2000-12-27,CAR,NYR,4.0,3.0,20002001
2000-12-29,CBJ,CAR,3.0,1.0,20002001
2000-12-31,CAR,CHI,2.0,1.0,20002001
2001-01-03,CAR,TBL,3.0,2.0,20002001
2001-01-06,CAR,COL,2.0,2.0,20002001
2001-01-07,CAR,NYI,5.0,2.0,20002001
2001-01-09,CAR,FLA,7.0,3.0,20002001
2001-01-12,FLA,CAR,2.0,2.0,20002001
2001-01-14,CAR,ANA,4.0,0.0,20002001
2001-01-16,MTL,CAR,2.0,3.0,20002001
2001-01-18,CAR,BOS,4.0,2.0,20002001
2001-01-20,CAR,LAK,3.0,6.0,20002001
2001-01-22,CAR,NYR,2.0,5.0,20002001
2001-01-24,NYR,CAR,2.0,3.0,20002001
2001-01-27,CAR,PHI,3.0,4.0,20002001
2001-01-29,CAR,TBL,5.0,2.0,20002001
2001-01-31,CAR,TOR,3.0,4.0,20002001
2001-02-01,ATL,CAR,1.0,3.0,20002001
2001-02-07,PHX,CAR,1.0,2.0,20002001
2001-02-08,LAK,CAR,4.0,2.0,20002001
2001-02-11,ANA,CAR,2.0,2.0,20002001
2001-02-14,DET,CAR,4.0,3.0,20002001
2001-02-16,CAR,PHX,0.0,2.0,20002001
2001-02-18,CAR,BOS,5.0,4.0,20002001
2001-02-19,PHI,CAR,4.0,0.0,20002001
2001-02-21,CAR,ATL,6.0,3.0,20002001
2001-02-23,CAR,NJD,3.0,2.0,20002001
2001-02-24,CAR,WSH,1.0,2.0,20002001
2001-02-27,ATL,CAR,1.0,1.0,20002001
2001-03-01,NYI,CAR,1.0,3.0,20002001
2001-03-02,NJD,CAR,7.0,3.0,20002001
2001-03-04,CHI,CAR,3.0,6.0,20002001
2001-03-07,CAR,CBJ,2.0,1.0,20002001
2001-03-08,TBL,CAR,1.0,0.0,20002001
2001-03-11,CAR,EDM,2.0,3.0,20002001
2001-03-14,CAR,MTL,3.0,6.0,20002001
2001-03-15,WSH,CAR,0.0,3.0,20002001
2001-03-18,CAR,NYI,2.0,1.0,20002001
2001-03-21,CAR,BUF,1.0,0.0,20002001
2001-03-23,CAR,PIT,5.0,3.0,20002001
2001-03-24,BUF,CAR,3.0,1.0,20002001
2001-03-26,CAR,MTL,2.0,4.0,20002001
2001-03-28,WSH,CAR,7.0,0.0,20002001
2001-03-30,CAR,WSH,4.0,3.0,20002001
2001-04-01,OTT,CAR,2.0,3.0,20002001
2001-04-03,STL,CAR,2.0,2.0,20002001
2001-04-04,NYR,CAR,1.0,3.0,20002001
2001-04-06,CAR,ATL,3.0,2.0,20002001
2001-04-08,CAR,PIT,4.0,6.0,20002001
2001-04-12,NJD,CAR,5.0,1.0,20002001
2001-04-15,NJD,CAR,2.0,0.0,20002001
2001-04-17,CAR,NJD,0.0,4.0,20002001
2001-04-18,CAR,NJD,3.0,2.0,20002001
2001-04-20,NJD,CAR,2.0,3.0,20002001
2001-04-22,CAR,NJD,1.0,5.0,20002001
2001-10-05,CAR,NYR,3.0,1.0,20012002
2001-10-07,CAR,DAL,3.0,0.0,20012002
2001-10-09,CAR,OTT,2.0,6.0,20012002
2001-10-11,CAR,TOR,2.0,3.0,20012002
2001-10-13,ATL,CAR,2.0,5.0,20012002
2001-10-17,CAR,NYI,0.0,4.0,20012002
2001-10-18,NYI,CAR,2.0,1.0,20012002
2001-10-20,CAR,ATL,2.0,1.0,20012002
2001-10-23,COL,CAR,5.0,1.0,20012002
2001-10-24,MIN,CAR,3.0,7.0,20012002
2001-10-26,CAR,NYI,2.0,3.0,20012002
2001-10-28,CAR,LAK,3.0,2.0,20012002
2001-10-30,CAR,DET,2.0,5.0,20012002
2001-11-01,STL,CAR,4.0,3.0,20012002
2001-11-02,CAR,NYR,3.0,2.0,20012002
2001-11-04,CAR,PHX,1.0,0.0,20012002
2001-11-06,CAR,PIT,2.0,2.0,20012002
2001-11-08,WSH,CAR,2.0,3.0,20012002
2001-11-09,CAR,SJS,3.0,2.0,20012002
2001-11-11,CAR,EDM,1.0,1.0,20012002
2001-11-13,DET,CAR,4.0,3.0,20012002
2001-11-15,OTT,CAR,1.0,1.0,20012002
2001-11-17,TBL,CAR,2.0,0.0,20012002
2001-11-19,CAR,CBJ,5.0,2.0,20012002
2001-11-21,DAL,CAR,4.0,4.0,20012002
2001-11-25,CAR,TBL,0.0,4.0,20012002
2001-11-27,TOR,CAR,2.0,5.0,20012002
2001-11-29,NYR,CAR,5.0,0.0,20012002
2001-11-30,WSH,CAR,6.0,2.0,20012002
2001-12-02,CAR,WSH,3.0,4.0,20012002
2001-12-04,CAR,BUF,2.0,4.0,20012002
2001-12-08,FLA,CAR,2.0,3.0,20012002
2001-12-10,NYR,CAR,3.0,4.0,20012002
2001-12-12,CAR,FLA,4.0,1.0,20012002
2001-12-14,BUF,CAR,3.0,2.0,20012002
2001-12-16,PIT,CAR,0.0,7.0,20012002
2001-12-18,CAR,OTT,1.0,5.0,20012002
2001-12-21,CAR,ATL,5.0,4.0,20012002
2001-12-22,PHI,CAR,4.0,3.0,20012002
