game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-06,TBL,NYI,3.0,3.0,20002001
2000-10-11,TOR,NYI,3.0,2.0,20002001
2000-10-14,NYI,CGY,0.0,2.0,20002001
2000-10-17,NYI,ANA,3.0,4.0,20002001
2000-10-20,ATL,NYI,3.0,5.0,20002001
2000-10-21,WSH,NYI,4.0,4.0,20002001
2000-10-27,NYI,MTL,2.0,1.0,20002001
2000-10-28,MTL,NYI,1.0,2.0,20002001
2000-10-31,NYI,BOS,4.0,2.0,20002001
2000-11-01,FLA,NYI,0.0,3.0,20002001
2000-11-03,TBL,NYI,4.0,3.0,20002001
2000-11-05,NYI,LAK,1.0,4.0,20002001
2000-11-07,NYI,NSH,2.0,1.0,20002001
2000-11-09,BUF,NYI,3.0,0.0,20002001
2000-11-11,NYI,SJS,0.0,4.0,20002001
2000-11-16,LAK,NYI,5.0,1.0,20002001
2000-11-18,SJS,NYI,5.0,3.0,20002001
2000-11-19,ANA,NYI,2.0,1.0,20002001
2000-11-22,NYI,NYR,3.0,4.0,20002001
2000-11-24,WSH,NYI,1.0,0.0,20002001
2000-11-25,NYI,DET,3.0,4.0,20002001
2000-11-27,NYI,TBL,7.0,4.0,20002001
2000-11-30,NYI,TOR,4.0,6.0,20002001
2000-12-01,NJD,NYI,0.0,0.0,20002001
2000-12-03,NYI,NJD,1.0,1.0,20002001
2000-12-06,FLA,NYI,1.0,4.0,20002001
2000-12-09,NYI,ATL,2.0,5.0,20002001
2000-12-10,PHI,NYI,5.0,2.0,20002001
2000-12-12,NYI,WSH,2.0,3.0,20002001
2000-12-15,NYI,TOR,3.0,2.0,20002001
2000-12-16,OTT,NYI,6.0,0.0,20002001
2000-12-19,NYI,CAR,2.0,1.0,20002001
2000-12-21,NYI,DAL,1.0,3.0,20002001
2000-12-23,NYI,CBJ,5.0,7.0,20002001
2000-12-27,NYI,BOS,2.0,5.0,20002001
2000-12-29,NYI,ATL,5.0,2.0,20002001
2000-12-30,NYI,BUF,0.0,2.0,20002001
2001-01-02,NYI,MTL,0.0,3.0,20002001
2001-01-04,NJD,NYI,4.0,2.0,20002001
2001-01-06,NYI,PHX,1.0,2.0,20002001
2001-01-07,CAR,NYI,5.0,2.0,20002001
2001-01-09,NYI,CHI,3.0,6.0,20002001
2001-01-12,PIT,NYI,4.0,3.0,20002001
2001-01-13,NYI,PIT,6.0,5.0,20002001
2001-01-16,COL,NYI,4.0,1.0,20002001
2001-01-19,MIN,NYI,3.0,2.0,20002001
2001-01-21,ATL,NYI,4.0,4.0,20002001
2001-01-23,NYI,OTT,2.0,3.0,20002001
2001-01-26,NYR,NYI,2.0,3.0,20002001
2001-01-27,NYI,BUF,1.0,2.0,20002001
2001-01-31,NYI,NJD,3.0,2.0,20002001
2001-02-01,PHI,NYI,2.0,0.0,20002001
2001-02-07,BUF,NYI,2.0,1.0,20002001
2001-02-09,NYI,PHI,2.0,5.0,20002001
2001-02-10,MTL,NYI,5.0,3.0,20002001
2001-02-12,OTT,NYI,3.0,1.0,20002001
2001-02-14,NYI,PHI,1.0,3.0,20002001
2001-02-16,EDM,NYI,2.0,4.0,20002001
2001-02-18,VAN,NYI,3.0,2.0,20002001
2001-02-22,NYI,PHI,4.0,3.0,20002001
2001-02-24,NYI,FLA,5.0,4.0,20002001
2001-02-25,PIT,NYI,6.0,1.0,20002001
2001-02-27,NYI,NJD,1.0,4.0,20002001
2001-03-01,NYI,CAR,1.0,3.0,20002001
2001-03-03,NYI,TBL,0.0,6.0,20002001
2001-03-05,NYR,NYI,2.0,5.0,20002001
2001-03-06,NYI,WSH,1.0,5.0,20002001
2001-03-09,NYI,MIN,1.0,4.0,20002001
2001-03-11,NYI,FLA,1.0,4.0,20002001
2001-03-14,PIT,NYI,1.0,3.0,20002001
2001-03-17,CBJ,NYI,3.0,3.0,20002001
2001-03-18,CAR,NYI,2.0,1.0,20002001
2001-03-20,STL,NYI,3.0,4.0,20002001
2001-03-23,DAL,NYI,2.0,1.0,20002001
2001-03-25,PHX,NYI,2.0,2.0,20002001
2001-03-28,NYR,NYI,4.0,2.0,20002001
2001-03-29,NYI,NYR,4.0,6.0,20002001
2001-03-31,BOS,NYI,4.0,2.0,20002001
2001-04-02,NYI,PIT,4.0,1.0,20002001
2001-04-04,TOR,NYI,4.0,2.0,20002001
2001-04-06,NYI,OTT,3.0,4.0,20002001
2001-04-07,BOS,NYI,4.0,2.0,20002001
2001-10-05,TBL,NYI,2.0,3.0,20012002
2001-10-06,FLA,NYI,0.0,3.0,20012002
2001-10-10,PIT,NYI,3.0,6.0,20012002
2001-10-11,NJD,NYI,4.0,6.0,20012002
2001-10-13,NYI,DET,4.0,5.0,20012002
2001-10-17,CAR,NYI,0.0,4.0,20012002
2001-10-18,NYI,CAR,2.0,1.0,20012002
2001-10-20,NYI,SJS,2.0,2.0,20012002
2001-10-26,CAR,NYI,2.0,3.0,20012002
2001-10-28,NYI,DAL,3.0,2.0,20012002
2001-10-30,NYI,FLA,3.0,2.0,20012002
2001-11-02,DET,NYI,2.0,1.0,20012002
2001-11-03,PHI,NYI,1.0,2.0,20012002
