game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-07,ATL,NYR,1.0,2.0,20002001
2000-10-11,NYR,MTL,3.0,1.0,20002001
2000-10-14,PIT,NYR,8.0,6.0,20002001
2000-10-16,NYR,ANA,3.0,4.0,20002001
2000-10-18,CHI,NYR,2.0,4.0,20002001
2000-10-22,NYR,TBL,2.0,4.0,20002001
2000-10-24,NYR,PHI,4.0,5.0,20002001
2000-10-26,PHI,NYR,3.0,0.0,20002001
2000-10-27,NYR,PIT,1.0,4.0,20002001
2000-10-29,NYR,BOS,5.0,1.0,20002001
2000-11-01,NYR,TBL,6.0,1.0,20002001
2000-11-02,OTT,NYR,6.0,5.0,20002001
2000-11-04,MTL,NYR,2.0,5.0,20002001
2000-11-07,NYR,EDM,4.0,3.0,20002001
2000-11-09,WSH,NYR,3.0,5.0,20002001
2000-11-12,NYR,PHX,0.0,2.0,20002001
2000-11-15,MIN,NYR,2.0,3.0,20002001
2000-11-17,VAN,NYR,4.0,3.0,20002001
2000-11-18,CGY,NYR,4.0,5.0,20002001
2000-11-21,NYR,TOR,1.0,3.0,20002001
2000-11-22,NYI,NYR,3.0,4.0,20002001
2000-11-24,BUF,NYR,3.0,2.0,20002001
2000-11-26,NYR,OTT,3.0,2.0,20002001
2000-11-28,NYR,LAK,7.0,6.0,20002001
2000-11-29,NJD,NYR,5.0,2.0,20002001
2000-12-02,TOR,NYR,8.0,2.0,20002001
2000-12-03,NYR,COL,3.0,6.0,20002001
2000-12-06,NYR,WSH,3.0,2.0,20002001
2000-12-08,NYR,BUF,5.0,2.0,20002001
2000-12-09,BOS,NYR,6.0,4.0,20002001
2000-12-12,SJS,NYR,3.0,2.0,20002001
2000-12-14,LAK,NYR,5.0,5.0,20002001
2000-12-15,ANA,NYR,6.0,4.0,20002001
2000-12-18,NYR,FLA,6.0,3.0,20002001
2000-12-20,NYR,STL,3.0,6.0,20002001
2000-12-23,NYR,NSH,2.0,3.0,20002001
2000-12-27,CAR,NYR,4.0,3.0,20002001
2000-12-28,NYR,ATL,1.0,4.0,20002001
2000-12-31,DAL,NYR,6.0,1.0,20002001
2001-01-04,PHX,NYR,3.0,1.0,20002001
