game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-05,PHI,VAN,6.0,3.0,20002001
2000-10-07,PHI,BOS,1.0,5.0,20002001
2000-10-11,MIN,PHI,3.0,3.0,20002001
2000-10-12,DAL,PHI,4.0,1.0,20002001
2000-10-14,PHX,PHI,6.0,3.0,20002001
2000-10-17,PHI,OTT,1.0,6.0,20002001
2000-10-19,PHI,MTL,3.0,3.0,20002001
2000-10-21,PHI,ANA,3.0,4.0,20002001
2000-10-24,NYR,PHI,4.0,5.0,20002001
2000-10-26,PHI,NYR,3.0,0.0,20002001
2000-10-29,PHI,WSH,1.0,1.0,20002001
2000-11-01,NJD,PHI,1.0,1.0,20002001
2000-11-02,PHI,NSH,1.0,3.0,20002001
2000-11-04,PHI,BUF,3.0,0.0,20002001
2000-11-08,PIT,PHI,5.0,2.0,20002001
2000-11-09,PHI,EDM,2.0,0.0,20002001
2000-11-11,PHI,OTT,4.0,3.0,20002001
2000-11-15,TOR,PHI,1.0,2.0,20002001
2000-11-17,ATL,PHI,2.0,3.0,20002001
2000-11-18,PHI,WSH,5.0,3.0,20002001
2000-11-22,BUF,PHI,1.0,3.0,20002001
2000-11-24,PHI,PIT,0.0,1.0,20002001
2000-11-26,PHI,PHX,1.0,2.0,20002001
2000-11-29,CBJ,PHI,3.0,4.0,20002001
2000-11-30,CAR,PHI,2.0,0.0,20002001
2000-12-02,OTT,PHI,5.0,3.0,20002001
2000-12-06,PHI,TBL,6.0,3.0,20002001
2000-12-08,DET,PHI,5.0,1.0,20002001
2000-12-10,PHI,NYI,5.0,2.0,20002001
2000-12-12,NSH,PHI,2.0,2.0,20002001
2000-12-13,COL,PHI,3.0,3.0,20002001
2000-12-16,PHI,NJD,6.0,3.0,20002001
2000-12-19,BOS,PHI,4.0,4.0,20002001
2000-12-21,PHI,SJS,4.0,3.0,20002001
2000-12-23,PHI,CAR,2.0,1.0,20002001
2000-12-27,FLA,PHI,2.0,5.0,20002001
2000-12-28,TBL,PHI,4.0,3.0,20002001
2000-12-30,WSH,PHI,6.0,3.0,20002001
2001-01-02,NJD,PHI,1.0,1.0,20002001
2001-01-05,ATL,PHI,4.0,6.0,20002001
2001-01-06,PHI,ATL,2.0,2.0,20002001
2001-01-08,STL,PHI,1.0,2.0,20002001
2001-01-12,TBL,PHI,0.0,3.0,20002001
2001-01-13,FLA,PHI,1.0,4.0,20002001
2001-01-16,NYR,PHI,4.0,3.0,20002001
2001-01-18,PHI,NJD,1.0,7.0,20002001
2001-01-20,PHI,FLA,5.0,3.0,20002001
2001-01-22,PHI,LAK,3.0,0.0,20002001
2001-01-25,CHI,PHI,1.0,5.0,20002001
2001-01-27,CAR,PHI,3.0,4.0,20002001
2001-01-28,WSH,PHI,4.0,2.0,20002001
2001-01-31,PIT,PHI,1.0,5.0,20002001
2001-02-01,PHI,NYI,2.0,0.0,20002001
2001-02-06,BOS,PHI,4.0,3.0,20002001
2001-02-07,PIT,PHI,9.0,4.0,20002001
2001-02-09,NYI,PHI,2.0,5.0,20002001
2001-02-14,NYI,PHI,1.0,3.0,20002001
2001-02-15,PHI,TOR,5.0,2.0,20002001
2001-02-17,PHI,ATL,5.0,1.0,20002001
2001-02-19,PHI,CAR,4.0,0.0,20002001
2001-02-22,NYI,PHI,4.0,3.0,20002001
2001-02-24,PHI,TBL,0.0,0.0,20002001
2001-02-25,PHI,NYR,2.0,1.0,20002001
2001-02-27,PHI,MTL,2.0,3.0,20002001
2001-03-01,PHI,BUF,2.0,0.0,20002001
2001-03-03,MTL,PHI,3.0,1.0,20002001
2001-03-05,PHI,BOS,6.0,4.0,20002001
2001-03-08,PHI,CGY,5.0,2.0,20002001
2001-03-10,PHI,NJD,2.0,3.0,20002001
2001-03-13,PHI,STL,5.0,2.0,20002001
2001-03-15,PHI,MIN,3.0,0.0,20002001
2001-03-17,PHI,NYR,2.0,1.0,20002001
2001-03-19,EDM,PHI,2.0,4.0,20002001
2001-03-22,CGY,PHI,3.0,1.0,20002001
2001-03-24,TOR,PHI,5.0,3.0,20002001
2001-03-26,OTT,PHI,3.0,3.0,20002001
2001-03-29,PHI,TOR,1.0,2.0,20002001
2001-03-31,PHI,DET,1.0,0.0,20002001
2001-04-03,PHI,FLA,1.0,2.0,20002001
2001-04-05,MTL,PHI,3.0,2.0,20002001
2001-04-07,PHI,PIT,4.0,3.0,20002001
2001-04-08,BUF,PHI,1.0,2.0,20002001
2001-04-11,PHI,BUF,1.0,2.0,20002001
2001-04-14,PHI,BUF,3.0,4.0,20002001
2001-04-16,BUF,PHI,2.0,3.0,20002001
2001-04-17,BUF,PHI,4.0,3.0,20002001
2001-04-19,PHI,BUF,3.0,1.0,20002001
2001-04-21,BUF,PHI,8.0,0.0,20002001
2001-10-04,PHI,FLA,5.0,2.0,20012002
2001-10-06,PHI,CBJ,3.0,3.0,20012002
2001-10-08,CBJ,PHI,2.0,2.0,20012002
2001-10-10,BUF,PHI,2.0,1.0,20012002
2001-10-13,FLA,PHI,2.0,5.0,20012002
2001-10-16,ATL,PHI,3.0,3.0,20012002
2001-10-18,DET,PHI,3.0,2.0,20012002
2001-10-20,PHI,WSH,6.0,3.0,20012002
2001-10-25,PHI,OTT,2.0,7.0,20012002
2001-10-27,MTL,PHI,1.0,5.0,20012002
2001-10-30,WSH,PHI,0.0,3.0,20012002
2001-10-31,PHI,PIT,3.0,0.0,20012002
2001-11-03,PHI,NYI,1.0,2.0,20012002
2001-11-06,CHI,PHI,2.0,1.0,20012002
2001-11-08,TBL,PHI,1.0,2.0,20012002
2001-11-10,FLA,PHI,2.0,3.0,20012002
2001-11-14,NYR,PHI,4.0,2.0,20012002
2001-11-15,PHI,WSH,5.0,0.0,20012002
2001-11-17,NJD,PHI,1.0,3.0,20012002
2001-11-20,PHI,NJD,3.0,3.0,20012002
2001-11-23,DAL,PHI,3.0,3.0,20012002
2001-11-25,PHI,VAN,1.0,4.0,20012002
2001-11-29,PHI,BOS,2.0,3.0,20012002
2001-12-01,PHI,TBL,2.0,0.0,20012002
2001-12-04,NYI,PHI,2.0,3.0,20012002
2001-12-06,PHI,NYI,0.0,2.0,20012002
2001-12-08,PHI,MIN,5.0,1.0,20012002
2001-12-10,ATL,PHI,1.0,3.0,20012002
2001-12-13,PHI,MTL,2.0,3.0,20012002
2001-12-15,BOS,PHI,2.0,5.0,20012002
2001-12-16,PHI,EDM,2.0,3.0,20012002
2001-12-18,PHI,STL,6.0,3.0,20012002
2001-12-20,PHI,DAL,2.0,1.0,20012002
2001-12-22,PHI,CAR,4.0,3.0,20012002
2001-12-26,WSH,PHI,1.0,4.0,20012002
2001-12-28,PHX,PHI,4.0,2.0,20012002
2001-12-29,COL,PHI,2.0,5.0,20012002
2001-12-31,VAN,PHI,1.0,2.0,20012002
2002-01-02,SJS,PHI,5.0,2.0,20012002
2002-01-06,CAR,PHI,3.0,4.0,20012002
2002-01-08,PHI,ATL,7.0,4.0,20012002
2002-01-10,PHI,NJD,3.0,2.0,20012002
2002-01-12,PHI,NYR,4.0,2.0,20012002
2002-01-14,MTL,PHI,3.0,5.0,20012002
2002-01-15,OTT,PHI,1.0,4.0,20012002
