SEASON,game_date,home_team_abbr,away_team_abbr,home_score,away_score
20142015,2014-09-22,ARI,LAK,5.0,4.0
20142015,2014-09-22,LAK,ARI,4.0,3.0
20142015,2014-09-23,ANA,ARI,0.0,4.0
20142015,2014-09-24,CGY,ARI,4.0,3.0
20142015,2014-09-26,SJS,ARI,1.0,2.0
20142015,2014-09-29,VAN,ARI,2.0,4.0
20142015,2014-10-01,EDM,ARI,3.0,2.0
20142015,2014-10-03,ARI,SJS,1.0,3.0
20142015,2014-10-09,ARI,WPG,2.0,6.0
20142015,2014-10-11,ARI,LAK,3.0,2.0
20142015,2014-10-15,ARI,EDM,7.0,4.0
20142015,2014-10-18,ARI,STL,1.0,6.0
20142015,2014-10-21,NSH,ARI,4.0,3.0
20142015,2014-10-23,MIN,ARI,2.0,0.0
20142015,2014-10-25,ARI,FLA,2.0,1.0
20142015,2014-10-28,TBL,ARI,7.0,3.0
20142015,2014-10-30,FLA,ARI,2.0,1.0
20142015,2014-11-01,CAR,ARI,3.0,0.0
20142015,2014-11-02,WSH,ARI,5.0,6.0
20142015,2014-11-04,ARI,TOR,3.0,2.0
20142015,2014-11-07,ANA,ARI,2.0,3.0
20142015,2014-11-08,ARI,NYI,0.0,1.0
20142015,2014-11-11,ARI,DAL,3.0,4.0
20142015,2014-11-13,CGY,ARI,5.0,3.0
20142015,2014-11-14,VAN,ARI,0.0,5.0
20142015,2014-11-16,EDM,ARI,1.0,2.0
20142015,2014-11-18,ARI,WSH,1.0,2.0
20142015,2014-11-20,DAL,ARI,3.0,1.0
20142015,2014-11-22,SJS,ARI,3.0,4.0
20142015,2014-11-23,ANA,ARI,2.0,1.0
20142015,2014-11-25,ARI,COL,3.0,4.0
20142015,2014-11-29,ARI,CGY,0.0,3.0
20142015,2014-12-01,EDM,ARI,2.0,5.0
20142015,2014-12-02,CGY,ARI,5.0,2.0
20142015,2014-12-04,ARI,LAK,0.0,4.0
20142015,2014-12-06,ARI,BOS,2.0,5.0
20142015,2014-12-11,ARI,NSH,1.0,5.0
20142015,2014-12-13,ARI,MIN,3.0,4.0
20142015,2014-12-16,ARI,EDM,2.0,1.0
20142015,2014-12-20,LAK,ARI,4.0,2.0
20142015,2014-12-22,VAN,ARI,7.0,1.0
20142015,2014-12-23,EDM,ARI,1.0,5.0
20142015,2014-12-27,ARI,ANA,2.0,1.0
20142015,2014-12-29,ARI,PHI,4.0,2.0
20142015,2014-12-31,DAL,ARI,6.0,0.0
20142015,2015-01-03,ARI,CBJ,6.0,3.0
20142015,2015-01-06,ARI,STL,0.0,6.0
20142015,2015-01-08,ARI,WPG,4.0,1.0
20142015,2015-01-10,ARI,OTT,1.0,5.0
20142015,2015-01-13,ARI,SJS,2.0,3.0
