game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-06,PIT,NSH,1.0,3.0,20002001
2000-10-07,NSH,PIT,1.0,3.0,20002001
2000-10-13,PIT,TBL,3.0,2.0,20002001
2000-10-14,PIT,NYR,8.0,6.0,20002001
2000-10-18,PIT,CAR,2.0,3.0,20002001
2000-10-19,OTT,PIT,3.0,3.0,20002001
2000-10-21,PIT,CBJ,5.0,2.0,20002001
2000-10-25,PIT,OTT,2.0,3.0,20002001
2000-10-27,NYR,PIT,1.0,4.0,20002001
2000-10-28,PIT,NJD,0.0,9.0,20002001
2000-11-01,SJS,PIT,3.0,2.0,20002001
2000-11-03,VAN,PIT,2.0,4.0,20002001
2000-11-04,CGY,PIT,1.0,1.0,20002001
2000-11-08,PIT,PHI,5.0,2.0,20002001
2000-11-10,NJD,PIT,2.0,4.0,20002001
2000-11-11,PIT,EDM,5.0,2.0,20002001
2000-11-13,COL,PIT,3.0,2.0,20002001
2000-11-16,STL,PIT,4.0,3.0,20002001
2000-11-18,PIT,ATL,3.0,1.0,20002001
2000-11-22,PIT,CAR,1.0,3.0,20002001
2000-11-24,PHI,PIT,0.0,1.0,20002001
2000-11-25,PIT,LAK,2.0,2.0,20002001
2000-11-28,BOS,PIT,3.0,1.0,20002001
2000-12-01,BUF,PIT,4.0,6.0,20002001
2000-12-02,PIT,BUF,2.0,3.0,20002001
2000-12-05,OTT,PIT,2.0,4.0,20002001
2000-12-06,PIT,BOS,2.0,3.0,20002001
2000-12-09,TOR,PIT,5.0,1.0,20002001
2000-12-10,DET,PIT,3.0,4.0,20002001
2000-12-13,PIT,TOR,4.0,7.0,20002001
2000-12-15,PIT,FLA,1.0,4.0,20002001
2000-12-16,MTL,PIT,4.0,4.0,20002001
2000-12-20,FLA,PIT,2.0,2.0,20002001
2000-12-21,TBL,PIT,1.0,1.0,20002001
2000-12-23,PIT,DAL,2.0,8.0,20002001
2000-12-26,BUF,PIT,3.0,5.0,20002001
2000-12-27,PIT,TOR,5.0,0.0,20002001
2000-12-30,PIT,OTT,5.0,3.0,20002001
2001-01-03,PIT,WSH,3.0,2.0,20002001
2001-01-05,PIT,MTL,3.0,4.0,20002001
2001-01-08,WSH,PIT,3.0,5.0,20002001
2001-01-09,BOS,PIT,5.0,2.0,20002001
2001-01-12,PIT,NYI,4.0,3.0,20002001
2001-01-13,NYI,PIT,6.0,5.0,20002001
2001-01-15,PIT,ANA,3.0,2.0,20002001
2001-01-17,PHX,PIT,5.0,4.0,20002001
2001-01-19,DAL,PIT,6.0,5.0,20002001
2001-01-21,CHI,PIT,0.0,4.0,20002001
2001-01-24,PIT,MTL,3.0,1.0,20002001
2001-01-27,PIT,ATL,5.0,1.0,20002001
2001-01-30,ATL,PIT,3.0,6.0,20002001
2001-01-31,PIT,PHI,1.0,5.0,20002001
2001-02-07,PIT,PHI,9.0,4.0,20002001
2001-02-10,PIT,NJD,5.0,4.0,20002001
2001-02-11,MIN,PIT,4.0,2.0,20002001
2001-02-14,PIT,MIN,2.0,1.0,20002001
2001-02-16,NJD,PIT,4.0,4.0,20002001
2001-02-17,CBJ,PIT,2.0,3.0,20002001
2001-02-19,PIT,COL,1.0,5.0,20002001
2001-02-21,PIT,FLA,3.0,2.0,20002001
2001-02-23,PIT,NYR,6.0,4.0,20002001
2001-02-25,PIT,NYI,6.0,1.0,20002001
2001-02-28,MTL,PIT,4.0,2.0,20002001
2001-03-02,NYR,PIT,5.0,7.0,20002001
2001-03-03,WSH,PIT,4.0,3.0,20002001
2001-03-07,PIT,WSH,3.0,4.0,20002001
2001-03-08,ATL,PIT,3.0,5.0,20002001
