game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-05,PHX,STL,4.0,1.0,20002001
2000-10-06,SJS,STL,1.0,4.0,20002001
2000-10-08,ANA,STL,1.0,5.0,20002001
2000-10-11,LAK,STL,4.0,4.0,20002001
2000-10-13,STL,MIN,2.0,0.0,20002001
2000-10-17,DET,STL,2.0,1.0,20002001
2000-10-19,STL,LAK,7.0,1.0,20002001
2000-10-21,STL,CHI,1.0,0.0,20002001
2000-10-26,STL,CGY,4.0,3.0,20002001
2000-10-28,STL,DAL,4.0,3.0,20002001
2000-10-29,CAR,STL,1.0,4.0,20002001
2000-10-31,NSH,STL,2.0,4.0,20002001
2000-11-02,STL,WSH,2.0,0.0,20002001
2000-11-04,STL,TOR,0.0,0.0,20002001
2000-11-09,COL,STL,3.0,3.0,20002001
2000-11-11,VAN,STL,2.0,5.0,20002001
2000-11-14,EDM,STL,3.0,0.0,20002001
2000-11-16,STL,PIT,4.0,3.0,20002001
2000-11-18,STL,BUF,4.0,1.0,20002001
2000-11-21,STL,VAN,3.0,4.0,20002001
2000-11-24,NSH,STL,0.0,4.0,20002001
2000-11-25,STL,PHX,5.0,1.0,20002001
2000-11-29,TOR,STL,5.0,6.0,20002001
2000-12-02,STL,FLA,5.0,2.0,20002001
2000-12-05,STL,ANA,1.0,0.0,20002001
2000-12-09,STL,CHI,6.0,4.0,20002001
2000-12-10,CHI,STL,1.0,6.0,20002001
2000-12-15,ATL,STL,3.0,6.0,20002001
2000-12-16,STL,DET,2.0,2.0,20002001
2000-12-20,NYR,STL,3.0,6.0,20002001
2000-12-23,STL,ANA,5.0,2.0,20002001
2000-12-26,STL,CBJ,5.0,0.0,20002001
2000-12-28,STL,LAK,2.0,5.0,20002001
2000-12-30,STL,PHX,2.0,1.0,20002001
2001-01-01,STL,EDM,5.0,2.0,20002001
2001-01-02,OTT,STL,3.0,1.0,20002001
2001-01-04,STL,NSH,2.0,4.0,20002001
2001-01-06,STL,MIN,5.0,1.0,20002001
2001-01-08,STL,PHI,1.0,2.0,20002001
2001-01-10,ANA,STL,2.0,4.0,20002001
2001-01-11,SJS,STL,6.0,3.0,20002001
2001-01-13,LAK,STL,2.0,4.0,20002001
2001-01-15,PHX,STL,3.0,1.0,20002001
2001-01-18,STL,EDM,4.0,1.0,20002001
2001-01-20,STL,VAN,3.0,0.0,20002001
2001-01-21,NSH,STL,3.0,1.0,20002001
2001-01-23,MTL,STL,2.0,5.0,20002001
2001-01-25,STL,NJD,4.0,3.0,20002001
2001-01-27,STL,SJS,3.0,4.0,20002001
2001-01-29,STL,TOR,2.0,1.0,20002001
2001-01-30,BOS,STL,5.0,1.0,20002001
2001-02-01,STL,CBJ,2.0,2.0,20002001
2001-02-06,CBJ,STL,2.0,2.0,20002001
2001-02-08,STL,TBL,4.0,1.0,20002001
2001-02-10,COL,STL,3.0,4.0,20002001
2001-02-11,DAL,STL,3.0,3.0,20002001
2001-02-15,STL,CGY,4.0,1.0,20002001
2001-02-16,CHI,STL,6.0,2.0,20002001
2001-02-19,FLA,STL,3.0,0.0,20002001
2001-02-20,TBL,STL,3.0,2.0,20002001
2001-02-23,DET,STL,4.0,2.0,20002001
2001-02-24,STL,BOS,3.0,2.0,20002001
2001-02-26,STL,SJS,7.0,2.0,20002001
2001-02-28,EDM,STL,5.0,3.0,20002001
2001-03-02,VAN,STL,3.0,2.0,20002001
2001-03-03,CGY,STL,3.0,2.0,20002001
2001-03-06,MIN,STL,3.0,3.0,20002001
2001-03-08,STL,COL,2.0,5.0,20002001
2001-03-10,STL,DET,2.0,2.0,20002001
2001-03-13,PHI,STL,5.0,2.0,20002001
2001-03-14,MIN,STL,0.0,1.0,20002001
2001-03-17,CGY,STL,2.0,2.0,20002001
2001-03-20,STL,NYI,3.0,4.0,20002001
2001-03-22,STL,COL,1.0,3.0,20002001
2001-03-24,STL,CHI,5.0,1.0,20002001
2001-03-25,DAL,STL,1.0,1.0,20002001
2001-03-28,DET,STL,5.0,2.0,20002001
2001-03-31,PIT,STL,5.0,3.0,20002001
2001-04-01,CBJ,STL,2.0,1.0,20002001
2001-04-03,STL,CAR,2.0,2.0,20002001
2001-04-05,STL,CBJ,4.0,1.0,20002001
2001-04-07,STL,NSH,1.0,0.0,20002001
2001-04-12,STL,SJS,3.0,1.0,20002001
2001-04-14,STL,SJS,0.0,1.0,20002001
2001-04-16,SJS,STL,3.0,6.0,20002001
2001-04-17,SJS,STL,3.0,2.0,20002001
2001-04-19,STL,SJS,3.0,2.0,20002001
2001-04-21,SJS,STL,1.0,2.0,20002001
2001-04-27,DAL,STL,2.0,4.0,20002001
2001-04-29,DAL,STL,1.0,2.0,20002001
2001-05-01,STL,DAL,3.0,2.0,20002001
2001-05-03,STL,DAL,4.0,1.0,20002001
2001-05-12,COL,STL,4.0,1.0,20002001
2001-05-14,COL,STL,4.0,2.0,20002001
2001-05-16,STL,COL,4.0,3.0,20002001
2001-05-18,STL,COL,3.0,4.0,20002001
2001-05-21,COL,STL,2.0,1.0,20002001
2001-10-04,CBJ,STL,3.0,3.0,20012002
2001-10-06,NSH,STL,2.0,2.0,20012002
2001-10-11,STL,LAK,5.0,6.0,20012002
2001-10-13,TOR,STL,2.0,5.0,20012002
2001-10-17,STL,DAL,2.0,2.0,20012002
2001-10-19,MIN,STL,2.0,3.0,20012002
2001-10-20,STL,PIT,2.0,1.0,20012002
2001-10-22,STL,CGY,2.0,3.0,20012002
2001-10-25,STL,NYR,5.0,1.0,20012002
2001-10-27,OTT,STL,4.0,1.0,20012002
2001-10-31,COL,STL,0.0,1.0,20012002
2001-11-01,STL,CAR,4.0,3.0,20012002
2001-11-03,STL,WSH,4.0,1.0,20012002
2001-11-06,STL,SJS,1.0,4.0,20012002
2001-11-08,STL,VAN,3.0,1.0,20012002
