game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-06,TBL,NYI,3.0,3.0,20002001
2000-10-08,TBL,VAN,4.0,5.0,20002001
2000-10-13,PIT,TBL,3.0,2.0,20002001
2000-10-15,TBL,ATL,5.0,2.0,20002001
2000-10-18,MIN,TBL,6.0,5.0,20002001
2000-10-21,NJD,TBL,7.0,2.0,20002001
2000-10-22,NYR,TBL,2.0,4.0,20002001
2000-10-25,DET,TBL,5.0,1.0,20002001
2000-10-27,TBL,OTT,0.0,6.0,20002001
2000-10-31,CAR,TBL,6.0,5.0,20002001
2000-11-01,NYR,TBL,6.0,1.0,20002001
2000-11-03,TBL,NYI,4.0,3.0,20002001
2000-11-05,TBL,WSH,5.0,2.0,20002001
2000-11-10,TBL,MTL,3.0,1.0,20002001
2000-11-11,TBL,CGY,3.0,4.0,20002001
2000-11-14,MTL,TBL,0.0,1.0,20002001
2000-11-17,TOR,TBL,2.0,2.0,20002001
2000-11-20,DAL,TBL,6.0,2.0,20002001
2000-11-22,TBL,ATL,8.0,2.0,20002001
2000-11-24,TBL,FLA,2.0,1.0,20002001
2000-11-25,FLA,TBL,2.0,1.0,20002001
2000-11-27,NYI,TBL,7.0,4.0,20002001
2000-11-29,WSH,TBL,4.0,1.0,20002001
2000-12-01,ATL,TBL,5.0,3.0,20002001
2000-12-02,TBL,DET,3.0,0.0,20002001
2000-12-06,PHI,TBL,6.0,3.0,20002001
2000-12-08,TBL,COL,0.0,2.0,20002001
2000-12-11,COL,TBL,2.0,2.0,20002001
2000-12-14,PHX,TBL,3.0,2.0,20002001
2000-12-16,LAK,TBL,3.0,4.0,20002001
2000-12-17,ANA,TBL,3.0,1.0,20002001
2000-12-21,TBL,PIT,1.0,1.0,20002001
2000-12-23,TBL,NJD,1.0,5.0,20002001
2000-12-26,TBL,CAR,3.0,2.0,20002001
2000-12-28,TBL,PHI,4.0,3.0,20002001
2000-12-30,TBL,BOS,1.0,1.0,20002001
2000-12-31,TBL,TOR,2.0,3.0,20002001
2001-01-03,CAR,TBL,3.0,2.0,20002001
2001-01-04,OTT,TBL,8.0,3.0,20002001
2001-01-07,CHI,TBL,7.0,4.0,20002001
2001-01-10,TOR,TBL,1.0,3.0,20002001
2001-01-12,TBL,PHI,0.0,3.0,20002001
2001-01-14,TBL,DAL,2.0,3.0,20002001
2001-01-16,BUF,TBL,3.0,1.0,20002001
2001-01-18,MTL,TBL,3.0,1.0,20002001
2001-01-20,OTT,TBL,3.0,0.0,20002001
2001-01-21,CBJ,TBL,3.0,1.0,20002001
2001-01-23,TBL,WSH,2.0,5.0,20002001
2001-01-25,TBL,OTT,2.0,5.0,20002001
2001-01-27,FLA,TBL,3.0,2.0,20002001
2001-01-29,CAR,TBL,5.0,2.0,20002001
2001-01-30,TBL,FLA,4.0,3.0,20002001
2001-02-01,TBL,BUF,4.0,2.0,20002001
2001-02-06,TBL,MIN,2.0,4.0,20002001
2001-02-08,STL,TBL,4.0,1.0,20002001
2001-02-10,BOS,TBL,6.0,2.0,20002001
2001-02-13,TBL,PHX,2.0,5.0,20002001
2001-02-15,TBL,BOS,3.0,6.0,20002001
2001-02-17,TBL,NYR,4.0,5.0,20002001
2001-02-18,NSH,TBL,3.0,2.0,20002001
2001-02-20,TBL,STL,3.0,2.0,20002001
2001-02-24,PHI,TBL,0.0,0.0,20002001
2001-02-25,BUF,TBL,5.0,4.0,20002001
2001-03-01,BOS,TBL,3.0,1.0,20002001
2001-03-03,NYI,TBL,0.0,6.0,20002001
2001-03-04,NJD,TBL,6.0,0.0,20002001
2001-03-06,TBL,SJS,2.0,1.0,20002001
2001-03-08,TBL,CAR,1.0,0.0,20002001
2001-03-10,TBL,CBJ,4.0,1.0,20002001
2001-03-13,TBL,EDM,4.0,5.0,20002001
2001-03-15,TBL,TOR,3.0,2.0,20002001
2001-03-17,TBL,PIT,5.0,1.0,20002001
2001-03-21,ATL,TBL,3.0,4.0,20002001
2001-03-22,TBL,ATL,0.0,2.0,20002001
2001-03-24,TBL,WSH,2.0,3.0,20002001
2001-03-27,TBL,NJD,1.0,7.0,20002001
2001-03-29,TBL,MTL,2.0,6.0,20002001
2001-03-30,FLA,TBL,2.0,4.0,20002001
2001-04-01,TBL,BUF,2.0,4.0,20002001
2001-04-04,PIT,TBL,4.0,2.0,20002001
2001-04-05,TBL,NYR,3.0,4.0,20002001
2001-04-08,WSH,TBL,2.0,1.0,20002001
2001-10-05,TBL,NYI,2.0,3.0,20012002
2001-10-07,TBL,FLA,0.0,5.0,20012002
2001-10-11,SJS,TBL,4.0,3.0,20012002
2001-10-13,LAK,TBL,0.0,1.0,20012002
2001-10-14,ANA,TBL,2.0,3.0,20012002
2001-10-16,COL,TBL,2.0,1.0,20012002
2001-10-20,TBL,NYR,5.0,2.0,20012002
2001-10-23,TBL,WSH,1.0,1.0,20012002
2001-10-25,TBL,LAK,3.0,0.0,20012002
2001-10-27,ATL,TBL,4.0,3.0,20012002
2001-10-30,TOR,TBL,3.0,2.0,20012002
2001-11-02,BUF,TBL,4.0,1.0,20012002
2001-11-03,PIT,TBL,2.0,1.0,20012002
2001-11-06,NYI,TBL,3.0,0.0,20012002
2001-11-08,TBL,PHI,1.0,2.0,20012002
2001-11-10,TBL,PIT,3.0,2.0,20012002
2001-11-15,TBL,TOR,2.0,3.0,20012002
2001-11-17,TBL,CAR,2.0,0.0,20012002
2001-11-20,TBL,ANA,3.0,2.0,20012002
2001-11-21,WSH,TBL,3.0,2.0,20012002
2001-11-23,TBL,NJD,2.0,0.0,20012002
2001-11-25,CAR,TBL,0.0,4.0,20012002
2001-11-27,BOS,TBL,6.0,3.0,20012002
2001-11-29,TBL,ATL,5.0,2.0,20012002
2001-12-01,PHI,TBL,2.0,0.0,20012002
2001-12-02,NYR,TBL,1.0,0.0,20012002
2001-12-04,NJD,TBL,1.0,1.0,20012002
2001-12-06,TBL,CBJ,1.0,0.0,20012002
2001-12-08,OTT,TBL,5.0,2.0,20012002
2001-12-10,VAN,TBL,1.0,1.0,20012002
2001-12-12,CGY,TBL,1.0,3.0,20012002
2001-12-14,EDM,TBL,2.0,1.0,20012002
2001-12-17,MTL,TBL,3.0,4.0,20012002
2001-12-21,TBL,STL,4.0,3.0,20012002
2001-12-26,NSH,TBL,0.0,1.0,20012002
2001-12-27,TBL,CAR,2.0,3.0,20012002
2001-12-29,TBL,BOS,4.0,5.0,20012002
2001-12-31,TBL,TOR,1.0,4.0,20012002
2002-01-02,MIN,TBL,2.0,0.0,20012002
2002-01-04,CHI,TBL,2.0,0.0,20012002
2002-01-06,PHX,TBL,0.0,3.0,20012002
2002-01-08,TBL,DAL,1.0,2.0,20012002
2002-01-12,TBL,OTT,1.0,2.0,20012002
2002-01-13,ATL,TBL,2.0,2.0,20012002
2002-01-15,NJD,TBL,4.0,5.0,20012002
2002-01-18,TBL,CHI,2.0,2.0,20012002
2002-01-19,TBL,MTL,1.0,5.0,20012002
2002-01-21,TBL,NJD,3.0,2.0,20012002
2002-01-23,PIT,TBL,5.0,1.0,20012002
2002-01-25,BUF,TBL,4.0,1.0,20012002
2002-01-26,NYI,TBL,6.0,2.0,20012002
2002-01-28,NYR,TBL,0.0,1.0,20012002
2002-01-30,TBL,CAR,1.0,3.0,20012002
2002-02-04,TBL,OTT,4.0,4.0,20012002
2002-02-06,FLA,TBL,2.0,3.0,20012002
2002-02-07,TBL,FLA,1.0,3.0,20012002
2002-02-09,TBL,WSH,2.0,4.0,20012002
2002-02-11,WSH,TBL,3.0,1.0,20012002
2002-02-26,TBL,DET,3.0,4.0,20012002
2002-03-01,TBL,SJS,4.0,2.0,20012002
2002-03-02,TBL,FLA,3.0,2.0,20012002
2002-03-06,TBL,EDM,2.0,3.0,20012002
2002-03-08,TBL,PHI,2.0,4.0,20012002
2002-03-10,TBL,NSH,5.0,1.0,20012002
2002-03-12,ATL,TBL,4.0,4.0,20012002
2002-03-14,TBL,CGY,3.0,2.0,20012002
2002-03-17,TBL,BUF,2.0,2.0,20012002
2002-03-18,PHI,TBL,3.0,3.0,20012002
2002-03-20,TBL,ATL,4.0,2.0,20012002
2002-03-22,TBL,MTL,3.0,3.0,20012002
2002-03-24,TBL,BOS,3.0,4.0,20012002
2002-03-26,TOR,TBL,7.0,2.0,20012002
2002-03-28,MTL,TBL,2.0,1.0,20012002
2002-03-30,OTT,TBL,3.0,1.0,20012002
2002-04-01,TBL,NYR,4.0,6.0,20012002
2002-04-03,WSH,TBL,4.0,1.0,20012002
2002-04-04,TBL,PIT,4.0,2.0,20012002
2002-04-07,TBL,BUF,3.0,5.0,20012002
2002-04-09,BOS,TBL,2.0,2.0,20012002
2002-04-10,CAR,TBL,4.0,2.0,20012002
2002-04-12,TBL,NYI,1.0,3.0,20012002
2002-04-14,FLA,TBL,2.0,3.0,20012002
2002-10-10,FLA,TBL,3.0,4.0,20022003
2002-10-12,TBL,CAR,5.0,1.0,20022003
2002-10-18,TBL,ATL,8.0,5.0,20022003
2002-10-19,PIT,TBL,3.0,3.0,20022003
2002-10-21,NYR,TBL,2.0,4.0,20022003
2002-10-23,CBJ,TBL,2.0,2.0,20022003
2002-10-25,TBL,WSH,3.0,2.0,20022003
2002-10-26,NJD,TBL,5.0,1.0,20022003
2002-10-28,FLA,TBL,1.0,6.0,20022003
2002-10-30,TBL,NYR,3.0,0.0,20022003
2002-11-01,WSH,TBL,3.0,2.0,20022003
2002-11-02,PIT,TBL,5.0,3.0,20022003
2002-11-05,TOR,TBL,4.0,3.0,20022003
2002-11-08,TBL,PIT,4.0,1.0,20022003
2002-11-09,TBL,CHI,2.0,3.0,20022003
2002-11-11,TBL,PHX,4.0,2.0,20022003
2002-11-15,TBL,SJS,4.0,2.0,20022003
2002-11-17,CAR,TBL,1.0,2.0,20022003
2002-11-19,TBL,PHI,2.0,3.0,20022003
