game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-06,PIT,NSH,1.0,3.0,20002001
2000-10-07,NSH,PIT,1.0,3.0,20002001
2000-10-13,NSH,WSH,3.0,1.0,20002001
2000-10-14,NSH,CAR,2.0,1.0,20002001
2000-10-17,NSH,LAK,1.0,1.0,20002001
2000-10-19,DET,NSH,1.0,2.0,20002001
2000-10-21,NSH,SJS,3.0,5.0,20002001
2000-10-24,NSH,VAN,4.0,4.0,20002001
2000-10-25,COL,NSH,2.0,1.0,20002001
2000-10-27,NSH,FLA,3.0,3.0,20002001
2000-10-31,NSH,STL,2.0,4.0,20002001
2000-11-02,PHI,NSH,1.0,3.0,20002001
2000-11-04,NSH,ANA,3.0,3.0,20002001
2000-11-07,NYI,NSH,2.0,1.0,20002001
2000-11-08,NJD,NSH,3.0,4.0,20002001
2000-11-11,BOS,NSH,2.0,2.0,20002001
2000-11-15,ATL,NSH,1.0,0.0,20002001
2000-11-16,NSH,CBJ,1.0,5.0,20002001
2000-11-18,NSH,DET,3.0,2.0,20002001
2000-11-20,DET,NSH,6.0,3.0,20002001
2000-11-22,NSH,DAL,0.0,1.0,20002001
2000-11-24,NSH,STL,0.0,4.0,20002001
2000-11-26,CAR,NSH,4.0,7.0,20002001
2000-11-28,NSH,CGY,6.0,1.0,20002001
2000-11-30,CHI,NSH,0.0,3.0,20002001
2000-12-01,NSH,CHI,1.0,2.0,20002001
2000-12-04,VAN,NSH,6.0,3.0,20002001
2000-12-06,EDM,NSH,4.0,0.0,20002001
2000-12-07,CGY,NSH,3.0,0.0,20002001
2000-12-10,MIN,NSH,1.0,2.0,20002001
2000-12-12,NSH,PHI,2.0,2.0,20002001
2000-12-14,NSH,EDM,2.0,6.0,20002001
2000-12-16,NSH,CHI,0.0,3.0,20002001
2000-12-20,TOR,NSH,1.0,3.0,20002001
2000-12-21,MTL,NSH,4.0,2.0,20002001
2000-12-23,NYR,NSH,2.0,3.0,20002001
2000-12-26,NSH,COL,5.0,2.0,20002001
2000-12-28,NSH,ANA,2.0,2.0,20002001
2000-12-29,COL,NSH,3.0,1.0,20002001
2001-01-01,NSH,VAN,2.0,5.0,20002001
2001-01-04,STL,NSH,2.0,4.0,20002001
2001-01-06,NSH,BUF,0.0,2.0,20002001
2001-01-08,VAN,NSH,2.0,1.0,20002001
2001-01-10,EDM,NSH,2.0,5.0,20002001
2001-01-11,CGY,NSH,2.0,1.0,20002001
2001-01-13,SJS,NSH,3.0,5.0,20002001
2001-01-16,NSH,EDM,1.0,2.0,20002001
2001-01-17,DAL,NSH,4.0,3.0,20002001
2001-01-19,NSH,BOS,1.0,0.0,20002001
2001-01-21,NSH,STL,3.0,1.0,20002001
2001-01-23,NSH,ATL,4.0,3.0,20002001
2001-01-24,DET,NSH,4.0,3.0,20002001
2001-01-27,NSH,COL,1.0,5.0,20002001
2001-01-29,PHX,NSH,2.0,5.0,20002001
2001-01-31,ANA,NSH,0.0,3.0,20002001
2001-02-01,LAK,NSH,4.0,6.0,20002001
2001-02-08,NSH,CBJ,3.0,1.0,20002001
2001-02-10,CBJ,NSH,3.0,2.0,20002001
2001-02-13,NSH,DAL,1.0,2.0,20002001
2001-02-16,NSH,SJS,0.0,2.0,20002001
2001-02-18,NSH,TBL,3.0,2.0,20002001
2001-02-20,NSH,DET,3.0,3.0,20002001
2001-02-21,WSH,NSH,2.0,1.0,20002001
2001-02-24,NSH,MIN,2.0,1.0,20002001
2001-02-27,NSH,LAK,1.0,2.0,20002001
2001-03-01,NSH,CBJ,2.0,5.0,20002001
2001-03-04,NSH,NYR,5.0,2.0,20002001
2001-03-06,PHX,NSH,5.0,1.0,20002001
