game_date,home_team_abbr,away_team_abbr,home_score,away_score,SEASON
2000-10-07,TOR,MTL,2.0,0.0,20002001
2000-10-09,TOR,DAL,1.0,3.0,20002001
2000-10-11,TOR,NYI,3.0,2.0,20002001
2000-10-14,TOR,OTT,0.0,4.0,20002001
2000-10-16,VAN,TOR,5.0,2.0,20002001
2000-10-19,EDM,TOR,1.0,4.0,20002001
2000-10-21,CGY,TOR,1.0,2.0,20002001
2000-10-25,TOR,MIN,6.0,1.0,20002001
2000-10-27,BUF,TOR,2.0,1.0,20002001
2000-10-28,BOS,TOR,1.0,2.0,20002001
2000-10-31,OTT,TOR,4.0,3.0,20002001
2000-11-02,TOR,NJD,5.0,3.0,20002001
2000-11-04,STL,TOR,0.0,0.0,20002001
2000-11-05,TOR,BOS,7.0,1.0,20002001
2000-11-08,TOR,CAR,5.0,0.0,20002001
2000-11-10,CAR,TOR,3.0,1.0,20002001
2000-11-11,TOR,CHI,3.0,3.0,20002001
2000-11-15,TOR,PHI,1.0,2.0,20002001
2000-11-17,TOR,TBL,2.0,2.0,20002001
2000-11-18,MTL,TOR,1.0,6.0,20002001
2000-11-21,NYR,TOR,1.0,3.0,20002001
2000-11-22,TOR,EDM,4.0,3.0,20002001
2000-11-25,TOR,OTT,2.0,4.0,20002001
2000-11-29,TOR,STL,5.0,6.0,20002001
2000-11-30,NYI,TOR,4.0,6.0,20002001
2000-12-02,TOR,NYR,8.0,2.0,20002001
2000-12-04,TOR,FLA,4.0,4.0,20002001
2000-12-06,DET,TOR,0.0,3.0,20002001
2000-12-09,TOR,PIT,5.0,1.0,20002001
2000-12-13,PIT,TOR,4.0,7.0,20002001
2000-12-15,NYI,TOR,3.0,2.0,20002001
2000-12-16,TOR,CGY,5.0,6.0,20002001
2000-12-20,TOR,NSH,1.0,3.0,20002001
2000-12-21,BOS,TOR,4.0,0.0,20002001
2000-12-23,MTL,TOR,2.0,5.0,20002001
2000-12-26,ATL,TOR,5.0,3.0,20002001
2000-12-27,PIT,TOR,5.0,0.0,20002001
2000-12-30,FLA,TOR,1.0,4.0,20002001
2000-12-31,TBL,TOR,2.0,3.0,20002001
2001-01-03,TOR,BUF,1.0,1.0,20002001
2001-01-05,BUF,TOR,3.0,3.0,20002001
2001-01-06,TOR,WSH,2.0,3.0,20002001
2001-01-10,TOR,TBL,1.0,3.0,20002001
2001-01-12,TOR,PHX,3.0,2.0,20002001
2001-01-13,NJD,TOR,4.0,4.0,20002001
2001-01-17,TOR,LAK,1.0,2.0,20002001
